year, CMCC-CM2-SR5, NorESM2-LM, NorESM2-MM, CNRM-ESM2-1, CanESM5, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, INM-CM4-8, EC-Earth3-Veg, UKESM1-0-LL, MIROC-ES2L
2.055000000000000000e+03, 5.568959506653675895e+00, 5.250346523410856392e+00, 5.286658592139232837e+00, 6.538259661896667296e+00, 7.770320265457598019e+00, 4.849784194367957824e+00, 8.051788731258225695e+00, 5.458645069088692736e+00, 6.441851614226322020e+00, 5.026937218128539442e+00, 6.188459692456425465e+00, 3.530172830515708071e+00, 5.289470015605683528e+00, 7.744620543188512229e+00, 5.959864007776397798e+00, 7.506854467788219409e+00
2.056000000000000000e+03, 5.273376414939139778e+00, 5.279056073673671357e+00, 4.883815690397511844e+00, 6.072193570768416926e+00, 7.832858373088379622e+00, 5.250869307688557086e+00, 7.933796748822545375e+00, 5.663246545927973941e+00, 6.309281399459317541e+00, 4.871662573559301990e+00, 6.215200067537393736e+00, 3.819088111302200605e+00, 4.821393216022574535e+00, 7.850803160660215774e+00, 4.956368432609729702e+00, 7.687914147008827470e+00
2.057000000000000000e+03, 5.208589285838260530e+00, 5.163436302068273420e+00, 4.968149399407296940e+00, 6.154649375618535423e+00, 8.286529576952228027e+00, 5.196643961734613626e+00, 7.356645178176707489e+00, 5.816290950309843666e+00, 6.237091248757110407e+00, 5.615008370491757717e+00, 5.969708354319298138e+00, 4.015463060135354922e+00, 4.949035288146314215e+00, 7.826971718186839233e+00, 5.795033241514975231e+00, 7.634048712602068854e+00
2.058000000000000000e+03, 5.394998075282390282e+00, 5.158458411875771255e+00, 5.277549958613972692e+00, 6.385544947621341727e+00, 8.001154620234789405e+00, 5.093801408303228584e+00, 7.926604969691132041e+00, 5.657898180235692465e+00, 6.180432763800622453e+00, 5.182479569416285514e+00, 5.691939054448068802e+00, 4.249622656768607953e+00, 4.820364485289205803e+00, 7.742549264271409548e+00, 6.313097950304577211e+00, 7.626639428239953666e+00
2.059000000000000000e+03, 5.865934204474525515e+00, 5.143653172328956025e+00, 5.390851758794473092e+00, 5.401718557406169019e+00, 7.759815267599373456e+00, 5.060461016764144837e+00, 8.142252924146252013e+00, 5.703197080085785409e+00, 6.274490658335557747e+00, 5.425936291693154168e+00, 6.026991664329104381e+00, 3.994018274816759639e+00, 4.721803248417491439e+00, 8.158075627207949765e+00, 5.968197657468255812e+00, 7.890120354235710565e+00
2.060000000000000000e+03, 5.218630993332475931e+00, 5.167540062966946124e+00, 5.613275391381232104e+00, 6.296809021478358304e+00, 8.264580199094275770e+00, 5.394550852217683712e+00, 7.897662015839204130e+00, 5.881465627372718608e+00, 6.351352273022677686e+00, 5.687574386754871369e+00, 6.341724347246303850e+00, 3.769916267746439509e+00, 4.666570734785796759e+00, 8.015188659110604519e+00, 6.503127681684663486e+00, 7.509813892052794593e+00
2.061000000000000000e+03, 5.588040690417676259e+00, 5.163482449366049387e+00, 5.266594097293986643e+00, 6.449521923879414587e+00, 8.253195548558926120e+00, 5.119158871774869723e+00, 7.738057104683019105e+00, 5.786871175638317766e+00, 6.218655798949759728e+00, 5.493030051374169886e+00, 6.030609635130466550e+00, 3.883740037319749927e+00, 4.431571194596263474e+00, 7.993187066060043477e+00, 6.389572521577979280e+00, 7.781731430768531688e+00
2.062000000000000000e+03, 5.376658138800851638e+00, 5.171332079835793571e+00, 5.249986519957200670e+00, 6.225057405858630766e+00, 8.628123753429747467e+00, 4.868167167456991962e+00, 8.607628108309365089e+00, 5.834606422170552698e+00, 6.480681497477371877e+00, 5.454928160163091455e+00, 5.606671945802473189e+00, 3.823959443383983192e+00, 4.504530528960636993e+00, 7.720438040522632939e+00, 6.268852759421220000e+00, 7.586470373584520033e+00
2.063000000000000000e+03, 5.158586188631507419e+00, 4.780235531647017311e+00, 5.261692482705373486e+00, 6.443951190922475369e+00, 8.703005442117959234e+00, 5.366432514483534533e+00, 7.837131767335611343e+00, 5.775809824626114697e+00, 6.520615521672881165e+00, 5.657201225960431401e+00, 5.541570554668279414e+00, 4.053689203743442881e+00, 4.794650139313270998e+00, 8.148063631291082132e+00, 5.780936011262076235e+00, 7.810380415402195631e+00
2.064000000000000000e+03, 5.101641261611324474e+00, 5.007949000463571387e+00, 5.089185882402134986e+00, 6.366122179294916528e+00, 7.934561628197149830e+00, 5.269577508371193986e+00, 7.870953689691378763e+00, 6.072633346172596980e+00, 6.789586133483569874e+00, 5.373494442643985458e+00, 5.955255594470489022e+00, 3.962796090378252423e+00, 5.167553668703755321e+00, 8.307673401699657845e+00, 6.584265519084069318e+00, 8.031402870934764238e+00
