year, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, CanESM5, CESM2-WACCM, IPSL-CM6A-LR
2.057000000000000000e+03, 1.303357663711488890e+01, 2.424937931784087297e+01, 4.045093326412328438e-01, 2.479244151609798497e+00, 1.972117783525218382e+00, 2.552056926550562377e+00, 2.044892662425905172e+01, 3.910718348640280784e+00, 1.759668648377003430e+00, 6.885895749052695081e+00, 7.803414070192914664e+00, 1.954789737299834185e+00, 6.346059578713725280e+00
2.058000000000000000e+03, 1.309696286452549785e+01, 2.431983910198113463e+01, 3.531182620339569644e-01, 2.449542029383250163e+00, 1.990155305736926783e+00, 2.451164801518388892e+00, 2.055740384136783305e+01, 3.881233004104441164e+00, 1.793744965113844847e+00, 6.989541253486403427e+00, 7.825340789929362550e+00, 1.913063047178306775e+00, 6.373798250330358073e+00
2.059000000000000000e+03, 1.312369795760972124e+01, 2.428751864238639158e+01, 5.278394122152664236e-01, 2.463006838831784506e+00, 1.991693572779346777e+00, 2.265466175258178172e+00, 2.068287266887982412e+01, 3.864311271616065913e+00, 1.785330174851949891e+00, 6.954911065855571728e+00, 7.826963606423166020e+00, 1.912348520493357462e+00, 6.375461493969322824e+00
2.060000000000000000e+03, 1.318137396248824800e+01, 2.440221914058361818e+01, 5.344277752737400800e-01, 2.449561745275177227e+00, 2.006689933543048365e+00, 2.558005416265091814e+00, 2.056913446794760603e+01, 3.855419237393431064e+00, 1.824864553222286689e+00, 7.042333241560669421e+00, 7.784264776855114754e+00, 1.932353749128649101e+00, 6.346602066456174640e+00
2.061000000000000000e+03, 1.318610136196756422e+01, 2.444347775734417993e+01, 4.594633859095221817e-01, 2.472538493413876992e+00, 2.045070222127449711e+00, 2.658559750050411452e+00, 2.074137284204838849e+01, 3.822991550143438388e+00, 1.845338525687739484e+00, 7.161041970694324021e+00, 7.742635265901196107e+00, 1.937804010126043641e+00, 6.423391900183856862e+00
2.062000000000000000e+03, 1.316501498444180207e+01, 2.459654164091859840e+01, 4.354841769807854535e-01, 2.412373387753024900e+00, 2.070869083732988170e+00, 2.599636401673785180e+00, 2.089474822108900298e+01, 3.788225220289107131e+00, 1.819018494791714291e+00, 7.204517566632463677e+00, 7.905263815006203565e+00, 1.944768428293140339e+00, 6.412052787916400654e+00
2.063000000000000000e+03, 1.325342683464114657e+01, 2.470566521459440068e+01, 4.084584120581482569e-01, 2.361228243874395449e+00, 2.028150086625317261e+00, 2.702537831587215944e+00, 2.085876955836605973e+01, 3.787319715990987934e+00, 1.937229272752218012e+00, 7.326547262099101232e+00, 7.915427094976465128e+00, 2.014118775490588487e+00, 6.353127919666411216e+00
2.064000000000000000e+03, 1.324831395946537071e+01, 2.473017479086633230e+01, 4.599731836488979431e-01, 2.318084754073545639e+00, 2.038684727701391974e+00, 2.659343774683791128e+00, 2.087486912214150792e+01, 3.832965433764265573e+00, 1.921413597533722095e+00, 7.415137016965530847e+00, 7.967760913263449041e+00, 1.978966744041456893e+00, 6.308792549289592877e+00
2.065000000000000000e+03, 1.326130044266229113e+01, 2.490117342617704566e+01, 5.506053269753274915e-01, 2.331935454065689584e+00, 2.036122734988540905e+00, 2.650527989365523585e+00, 2.096381560595773763e+01, 3.876963349482090315e+00, 1.848993136063854070e+00, 7.403766095381758561e+00, 7.943970443312409202e+00, 1.969819501889104929e+00, 6.289211332752397965e+00
2.066000000000000000e+03, 1.333746606644032795e+01, 2.496893414501985475e+01, 4.371207762295619692e-01, 2.392851364981228635e+00, 1.999706915678581609e+00, 2.571896538200235671e+00, 2.098727319546721048e+01, 3.861415455754996895e+00, 1.830908710861023803e+00, 7.409290208650092247e+00, 8.028090840032431785e+00, 1.999115120591405503e+00, 6.323117703273486434e+00
2.067000000000000000e+03, 1.334601602377561491e+01, 2.506753149056673635e+01, 4.426559975392778123e-01, 2.447315758616486647e+00, 2.002462440495877516e+00, 2.599022661378555643e+00, 2.080277724941302253e+01, 3.826554120134680215e+00, 1.951331936500661612e+00, 7.406057799114114992e+00, 7.989725408871239942e+00, 1.998154395992807864e+00, 6.231351757398880586e+00
2.068000000000000000e+03, 1.336454463663223358e+01, 2.530610949541935994e+01, 4.350549356714815130e-01, 2.397124719683379368e+00, 2.011014888438924064e+00, 2.156018445476372669e+00, 2.095335242066792958e+01, 3.857139195308724400e+00, 1.894097407431006852e+00, 7.438058516170229062e+00, 7.744389542752849742e+00, 2.017136403309759185e+00, 6.317531815318314870e+00
