year, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR
2.070000000000000000e+03, 1.857633179633715766e-09, 1.809045531990065875e-09, 9.851570002137945103e-11, 2.410933743533256264e-09, 1.151113199928945346e-09, 2.956656936908567888e-10, 2.619135470122852242e-10, 2.602187532230704740e-09, 1.576994130917440641e-09
2.071000000000000000e+03, 1.856753818591239536e-09, 1.830829162083059732e-09, 9.987634763048533440e-11, 2.548175090618126047e-09, 1.240272622114068905e-09, 2.943646793487201385e-10, 2.603398530820538241e-10, 2.725664931917548294e-09, 1.605043274462217501e-09
2.072000000000000000e+03, 1.972927865186639276e-09, 1.890639414418304650e-09, 1.005417387608357685e-10, 2.573444225820948075e-09, 1.206129336422722618e-09, 2.931160571656422553e-10, 2.584965475380798409e-10, 2.729157765692969715e-09, 1.606374482039104856e-09
2.073000000000000000e+03, 2.055485900347045527e-09, 2.172607265482391182e-09, 1.007095687292468126e-10, 2.547336551819859956e-09, 1.289294457407431929e-09, 2.918130761105409437e-10, 2.569125794889916097e-10, 2.580788543579886160e-09, 1.568400613345182204e-09
2.074000000000000000e+03, 1.924737722521802260e-09, 1.978913354935389231e-09, 1.015076619796074530e-10, 2.541265181768151796e-09, 1.308386513245971321e-09, 2.900265933541837684e-10, 2.544506209878673290e-10, 3.112974378802301539e-09, 1.546751865325780115e-09
2.075000000000000000e+03, 1.849060268767594964e-09, 2.147293780413384980e-09, 1.012833309597087837e-10, 2.562275857332920445e-09, 1.376236808761905271e-09, 2.887183311900404663e-10, 2.532029023877466993e-10, 2.710789986643571625e-09, 1.532551389126018165e-09
2.076000000000000000e+03, 1.934000300105173775e-09, 2.160311685890451986e-09, 1.006343956932153808e-10, 2.651807772156896566e-09, 1.019129230439888506e-09, 2.872850609397161718e-10, 2.520110792970092802e-10, 2.981521210656783135e-09, 1.536373483331257469e-09
2.077000000000000000e+03, 1.956684969328298656e-09, 2.129255286216030912e-09, 1.000296848929221240e-10, 2.304402328752947329e-09, 1.168508956045083486e-09, 2.861429277347686115e-10, 2.505522739356164852e-10, 2.737878778188792100e-09, 1.492306907190275574e-09
2.078000000000000000e+03, 1.914162036594755834e-09, 2.043824547851141398e-09, 1.001977420987822859e-10, 2.433309397547368085e-09, 1.169520097064376684e-09, 2.848877331685089833e-10, 2.491372559243115243e-10, 2.802395276389045426e-09, 1.493590433181232475e-09
2.079000000000000000e+03, 1.637966490273237979e-09, 2.020907718173652603e-09, 1.011028964972243503e-10, 2.510673135416628936e-09, 1.102819324168380441e-09, 2.834326567028156672e-10, 2.476209760531004602e-10, 2.841453240462886863e-09, 1.458714723111242960e-09
2.080000000000000000e+03, 1.640958696612776131e-09, 1.990032272360373095e-09, 1.020737413888107901e-10, 2.531507465623460355e-09, 1.126683957982221876e-09, 2.818795793361061877e-10, 2.460954325861706924e-10, 2.492839220756852979e-09, 1.522055393666161000e-09
2.081000000000000000e+03, 1.908596606193139253e-09, 1.939410684548462449e-09, 1.027202853025078582e-10, 2.391435185211478361e-09, 1.105426937197273023e-09, 2.847479627549358714e-10, 2.468999404501406640e-10, 2.887510186639998874e-09, 1.518619742150837463e-09
2.082000000000000000e+03, 1.858735478983359521e-09, 2.042685637581775654e-09, 1.038144728469613294e-10, 2.517034342390107196e-09, 1.088074217820919161e-09, 2.855500984188116808e-10, 2.473375779406369504e-10, 2.647212612662989537e-09, 1.531347744667799174e-09
2.083000000000000000e+03, 1.982938210592924581e-09, 2.032053092797541108e-09, 1.046441783310565203e-10, 2.589028331030393564e-09, 1.071265508030673646e-09, 2.840949240180704039e-10, 2.461391283445423901e-10, 2.833683442446445496e-09, 1.592907615826656033e-09
2.084000000000000000e+03, 2.117196729772413456e-09, 1.874801107739750442e-09, 1.044068946853815847e-10, 2.653678089259115266e-09, 1.092330586229238689e-09, 2.824517412602663645e-10, 2.450193919193775060e-10, 2.735459327438441358e-09, 1.578277094632945466e-09
