year, TaiESM1, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5
2.059000000000000000e+03, 6.955789185675682518e+01, 1.361380294586557227e+02, 1.124041356961764961e+02, 1.084243547022777108e+02, 9.482461472335809560e+01, 1.042150210395421510e+02, 6.212111404771309964e+01, 1.044188177900650345e+02, 2.073977220226120153e+02, 3.979790061885529440e+01, 1.234307677380184458e+02, 1.503138862433530960e+02, 2.784380963412518213e+02
2.060000000000000000e+03, 6.958112873954978284e+01, 1.361684743210329032e+02, 1.124404022654998840e+02, 1.086520343469463796e+02, 9.480479159354010221e+01, 1.043260627909155858e+02, 6.230490721634186002e+01, 1.045213170273052583e+02, 2.076002772154062370e+02, 3.985183550496604710e+01, 1.235569808587349598e+02, 1.505185972462535631e+02, 2.787422268243303733e+02
2.061000000000000000e+03, 6.977970190110067961e+01, 1.362010203272200783e+02, 1.125198270259527931e+02, 1.088463948021816208e+02, 9.479301146674065137e+01, 1.044691742801842196e+02, 6.249418249935489200e+01, 1.046427298594819035e+02, 2.077130039568905886e+02, 3.991302912138137771e+01, 1.236780835082723229e+02, 1.507072121482810587e+02, 2.789096164473838257e+02
2.062000000000000000e+03, 6.982165409396812095e+01, 1.362139510228474535e+02, 1.125607542294671788e+02, 1.089955269065363979e+02, 9.479054287534860634e+01, 1.045635107605762784e+02, 6.261395751045292002e+01, 1.047543294819659678e+02, 2.078596924928790486e+02, 3.997687438930406501e+01, 1.238256308971617727e+02, 1.509125313613836852e+02, 2.788545145689515721e+02
2.063000000000000000e+03, 6.967943657091716148e+01, 1.362519563082462923e+02, 1.125584618090110638e+02, 1.092039496155696128e+02, 9.478406195151481484e+01, 1.045884420107154398e+02, 6.274455214288281013e+01, 1.048713258785093672e+02, 2.079833125877942734e+02, 4.003380221824460961e+01, 1.240042165799435878e+02, 1.511140447495055525e+02, 2.788578205617908452e+02
2.064000000000000000e+03, 6.970044226635015150e+01, 1.362658996281803923e+02, 1.125374775995688736e+02, 1.093960606228650789e+02, 9.476688432795441486e+01, 1.046363332306473666e+02, 6.283530166720609600e+01, 1.050138791052982299e+02, 2.081868374625922797e+02, 4.008595943266120543e+01, 1.241761033375452143e+02, 1.512956402213179672e+02, 2.789905574780623283e+02
2.065000000000000000e+03, 6.976850948798512775e+01, 1.362528763371329887e+02, 1.125455567998725570e+02, 1.095470338860337023e+02, 9.476025287197441571e+01, 1.047451567560939338e+02, 6.296273884604372739e+01, 1.051414534764656992e+02, 2.082958084204921931e+02, 4.013237811633578644e+01, 1.243250127340821791e+02, 1.514963063143612487e+02, 2.791097329254383226e+02
2.066000000000000000e+03, 6.981533254873811245e+01, 1.362906030413298595e+02, 1.126061504105748838e+02, 1.097170074233521859e+02, 9.475793200921116011e+01, 1.048267731186330280e+02, 6.302563068696629500e+01, 1.052210799019119918e+02, 2.084389801920537195e+02, 4.017876689823248171e+01, 1.245013632109212125e+02, 1.516535629687359688e+02, 2.791409863737034129e+02
2.067000000000000000e+03, 6.985311784610526331e+01, 1.363523041306825689e+02, 1.126291815362142188e+02, 1.098559371298777023e+02, 9.475876504868088546e+01, 1.048828121416513426e+02, 6.315678783942726682e+01, 1.052984872406865975e+02, 2.086763775796219704e+02, 4.023189113871976019e+01, 1.246874151926572409e+02, 1.518585279873635727e+02, 2.792379674660149362e+02
2.068000000000000000e+03, 6.988147049880639372e+01, 1.363763090649450476e+02, 1.126681797199921391e+02, 1.099734349306611847e+02, 9.474284359708587999e+01, 1.049790578497288038e+02, 6.331317094104309717e+01, 1.054298514182600002e+02, 2.089069797723861939e+02, 4.029695024532254166e+01, 1.249008398828098763e+02, 1.520552458873586943e+02, 2.794320641102781337e+02
