year, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, UKESM1-0-LL, INM-CM5-0, CESM2-WACCM
2.045000000000000000e+03, 1.363734026424009649e+00, 3.288505700908567864e+00, 1.163685036032779507e+00, 2.703182730456381577e+00, 3.020724598996434640e+00, 1.342595322325916385e+00, 1.203810197648186087e+00, 2.459756475725495051e+00, 1.679772802182228020e+00, 9.766767340622881655e-01, 1.172960473609562682e+00, 1.891541120125508346e+00, 1.059531979655453426e+00, 2.420509341827134620e+00, 1.150965497891663691e+00, 2.629746583957999650e+00
2.046000000000000000e+03, 1.381577549239690672e+00, 3.301548900961641664e+00, 1.118032059695712954e+00, 2.729945718454522385e+00, 3.247083022246165296e+00, 1.341898986691035800e+00, 1.176666070746270831e+00, 2.438522823677273355e+00, 1.755867412407795314e+00, 9.911268792229264157e-01, 1.169135262572456480e+00, 1.895193682564364268e+00, 1.044874471310798913e+00, 2.409021338911272458e+00, 1.160755872028257585e+00, 2.607433233639892656e+00
2.047000000000000000e+03, 1.378878473648620373e+00, 3.276750667957591734e+00, 1.147534236622657300e+00, 2.768707554511362190e+00, 3.202533830912765112e+00, 1.373675948402819813e+00, 1.162978189889097180e+00, 2.532241492892125301e+00, 1.739691538408308258e+00, 9.999464810790568148e-01, 1.203242362204835603e+00, 1.862856454687643604e+00, 1.079631537409498909e+00, 2.454606934223468429e+00, 1.170042011336776211e+00, 2.629891437780647045e+00
2.048000000000000000e+03, 1.389915869398182346e+00, 3.274874061188036478e+00, 1.151626271607832264e+00, 2.791052484630664576e+00, 3.160640316444547349e+00, 1.343187980087019673e+00, 1.213840757084082345e+00, 2.589415438295789684e+00, 1.779947583075044193e+00, 1.006574050130191189e+00, 1.218686195545446438e+00, 1.862707472893137872e+00, 1.038376780307177505e+00, 2.474227852204974987e+00, 1.178915766774172758e+00, 2.704990563539457771e+00
2.049000000000000000e+03, 1.395648861497957194e+00, 3.197732696568734045e+00, 1.143370879444674193e+00, 2.748516549319609314e+00, 3.224366299400987845e+00, 1.376152137362919525e+00, 1.195895105852552209e+00, 2.629962010251719828e+00, 1.815259611273317697e+00, 9.862924409089157685e-01, 1.171165913144696757e+00, 1.908760718505191356e+00, 1.008002532508420535e+00, 2.462844972114471176e+00, 1.179541114307402161e+00, 2.706747300335399675e+00
2.050000000000000000e+03, 1.390710841125615049e+00, 3.089798263503166886e+00, 1.142514887195053896e+00, 2.682948978603346024e+00, 3.284351609154771534e+00, 1.370107162019550406e+00, 1.186077611799730480e+00, 2.645730980340976757e+00, 1.819289565227284911e+00, 1.004422078347833258e+00, 1.154476665368127097e+00, 1.909877827602230349e+00, 1.077282329064543909e+00, 2.496900274151988786e+00, 1.195353927299651398e+00, 2.685948206425667006e+00
2.051000000000000000e+03, 1.395702125605197574e+00, 3.050685965324491988e+00, 1.209966445496042597e+00, 2.677995052886303462e+00, 3.130712473983007893e+00, 1.366699746152090444e+00, 1.160597636265149557e+00, 2.568166405583636624e+00, 1.794364736811292937e+00, 1.003381066385695686e+00, 1.256300859937950820e+00, 2.006273757462330831e+00, 1.031954581317982678e+00, 2.530008425680119188e+00, 1.194977204001693050e+00, 2.737283513544230384e+00
2.052000000000000000e+03, 1.387067314446402078e+00, 3.353532649748175221e+00, 1.269494828836840616e+00, 2.763013070310752273e+00, 3.018722090219903453e+00, 1.402369088294936450e+00, 1.192783527976885694e+00, 2.554811642115843551e+00, 1.809916053490485011e+00, 1.009082916172689304e+00, 1.234721529438548293e+00, 1.973529773508503116e+00, 1.041649995486086722e+00, 2.502435642337169863e+00, 1.185451578543744056e+00, 2.658359631062984452e+00
2.053000000000000000e+03, 1.374922367000314338e+00, 3.467045628817879699e+00, 1.192065582930435630e+00, 2.841344998820537704e+00, 3.137553171603213897e+00, 1.409467406606089268e+00, 1.200655326069214990e+00, 2.487113792163491155e+00, 1.807311078831898232e+00, 1.029098617399328841e+00, 1.217100050241232578e+00, 1.904155279480465479e+00, 1.091832270296443363e+00, 2.540654217754416688e+00, 1.213521021770119557e+00, 2.767708439260728959e+00
2.054000000000000000e+03, 1.373027851352286000e+00, 3.174408692097615781e+00, 1.181082137585238057e+00, 2.885691493384931139e+00, 3.153208364346341774e+00, 1.383408853547344775e+00, 1.187617179920555044e+00, 2.439727811589539996e+00, 1.798795997674930147e+00, 1.033107441678461802e+00, 1.204071309361423703e+00, 2.040501262507346869e+00, 1.062172000752693801e+00, 2.535903114985715856e+00, 1.192780056378906384e+00, 2.775800915948277048e+00
