year, TaiESM1, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
2.054000000000000000e+03, 2.856745143586151741e-10, 6.131287634864938922e-10, 8.820971325827916596e-10, 2.372258953727933771e-10, 2.267273152118622899e-10, 3.984485066403450770e-10, 4.000745406902568418e-10, 2.856745143586151741e-10, 8.820971325827916596e-10, 1.470509511900960682e-10, 2.627798233416946148e-10, 6.131287634864938922e-10
2.055000000000000000e+03, 1.129198952825179227e-10, 4.658154224697220660e-10, 4.022548906592034937e-10, 3.862211439776806248e-10, 5.181293413906730083e-10, 4.673648607285403228e-10, 4.690924729007798455e-10, 1.129198952825179227e-10, 4.022548906592034937e-10, 4.131641540796297874e-10, 2.780682472976978355e-10, 4.658154224697220660e-10
2.056000000000000000e+03, 1.909008318921693267e-10, 3.377192106627483715e-10, 5.802496228088103669e-10, 2.567931612331781387e-10, 2.008517190626469116e-10, 5.552961541729344380e-10, 5.570281039373725843e-10, 1.909008318921693267e-10, 5.802496228088103669e-10, 2.829224341845936643e-10, 2.611967544530249146e-10, 3.377192106627483715e-10
2.057000000000000000e+03, 1.438370571039535632e-10, 4.913239773652631364e-10, 3.778811936073797005e-10, 2.301408795790564817e-10, 3.036389398424160250e-10, 3.895162992579922875e-10, 3.911308730419141245e-10, 1.438370571039535632e-10, 3.778811936073797005e-10, 2.875486065595533966e-10, 1.918965495664938372e-10, 4.913239773652631364e-10
2.058000000000000000e+03, 1.436948516334671519e-10, 4.462619015861835549e-10, 1.510668002137498188e-10, 3.320414220868582341e-10, 2.099085029370456332e-10, 5.164728517760028437e-10, 5.181159265173656496e-10, 1.436948516334671519e-10, 1.510668002137498188e-10, 3.726061570759639163e-10, 2.572994553288361220e-10, 4.462619015861835549e-10
2.059000000000000000e+03, 1.107244017370111476e-10, 5.240961431691955369e-10, 3.094056722618314118e-10, 2.110142561865542032e-10, 2.522306570055116359e-10, 1.050423178555611623e-09, 1.052131981337877265e-09, 1.107244017370111476e-10, 3.094056722618314118e-10, 3.024225461448021899e-10, 1.928135742603863879e-10, 5.240961431691955369e-10
2.060000000000000000e+03, 1.999086929076419753e-10, 3.696568741805645690e-10, 5.997921534699147398e-10, 3.156296828457190586e-10, 3.732748933945703685e-10, 5.762670721243324650e-10, 5.779497794251007961e-10, 1.999086929076419753e-10, 5.997921534699147398e-10, 4.204225758720571003e-10, 4.922454656589403404e-10, 3.696568741805645690e-10
2.061000000000000000e+03, 1.780823866809850615e-10, 6.604197777414266946e-10, 3.586349335177960942e-10, 2.753045985348148659e-10, 4.588679342468854930e-10, 4.578007696182708592e-10, 4.594597231319150522e-10, 1.780823866809850615e-10, 3.586349335177960942e-10, 3.162881677810916945e-10, 5.567959565137368538e-10, 6.604197777414266946e-10
2.062000000000000000e+03, 1.165066799447163819e-10, 5.963799480115831737e-10, 3.332170526031505747e-10, 2.768381289797658145e-10, 3.739489281930170513e-10, 1.031992205710256844e-09, 1.033651064089758182e-09, 1.165066799447163819e-10, 3.332170526031505747e-10, 3.361711877138070643e-10, 3.304369877626173020e-10, 5.963799480115831737e-10
2.063000000000000000e+03, 1.558313166927537368e-10, 3.352571810143906506e-10, 3.851674806670906284e-10, 2.743285055080188998e-10, 2.321365314110706947e-10, 5.336019901247025143e-10, 5.352904894824474943e-10, 1.558313166927537368e-10, 3.851674806670906284e-10, 3.109360718399270276e-10, 1.608431758000356092e-10, 3.352571810143906506e-10
2.064000000000000000e+03, 1.871298461591457299e-10, 6.271156444829332651e-10, 4.531978813046889875e-10, 2.746420164220531087e-10, 4.930122591803439116e-10, 6.518135619629726788e-10, 6.535875493075057519e-10, 1.871298461591457299e-10, 4.531978813046889875e-10, 2.905435288917954449e-10, 3.476649150340260664e-10, 6.271156444829332651e-10
2.065000000000000000e+03, 1.516547875533834341e-10, 3.851917346854598318e-10, 3.388037023987039895e-10, 2.968079634969294517e-10, 3.810028436488522557e-10, 7.327608875556821121e-10, 7.344673114074428065e-10, 1.516547875533834341e-10, 3.388037023987039895e-10, 3.982554591347201911e-10, 2.098771425624516886e-10, 3.851917346854598318e-10
2.066000000000000000e+03, 1.694134377308135282e-10, 4.376331967546674028e-10, 3.833697602940580617e-10, 3.425876082580589658e-10, 3.094144044303579329e-10, 5.984763757994804717e-10, 6.001505815509462151e-10, 1.694134377308135282e-10, 3.833697602940580617e-10, 3.138956465585764078e-10, 2.042930285412766097e-10, 4.376331967546674028e-10
2.067000000000000000e+03, 2.185318769669872847e-10, 5.291409822836581256e-10, 4.417962141062598420e-10, 4.062875715477002462e-10, 2.739995228293354755e-10, 9.069268451690247395e-10, 9.086296190280341983e-10, 2.185318769669872847e-10, 4.417962141062598420e-10, 2.262049221190697954e-10, 4.984587725431883559e-10, 5.291409822836581256e-10
2.068000000000000000e+03, 1.460443341861538705e-10, 5.162430906232556526e-10, 5.824083272282878181e-10, 3.754462710888456141e-10, 2.446744956935235901e-10, 5.558028242482614178e-10, 5.575147348324520552e-10, 1.460443341861538705e-10, 5.824083272282878181e-10, 3.068031348479423574e-10, 4.660484950754315043e-10, 5.162430906232556526e-10
2.069000000000000000e+03, 2.592676493254905628e-10, 5.525318369734607869e-10, 7.010858496286141299e-10, 4.043488592709860218e-10, 2.975901472689918627e-10, 3.757254926039678499e-10, 3.773844879002095505e-10, 2.592676493254905628e-10, 7.010858496286141299e-10, 3.095155239050205974e-10, 3.360931695203549086e-10, 5.525318369734607869e-10
2.070000000000000000e+03, 1.543263797937602496e-10, 4.491182421720402830e-10, 3.787192000022858252e-10, 2.734898584050066653e-10, 3.274551279639020494e-10, 1.121595640381399694e-09, 1.123250090832977713e-09, 1.543263797937602496e-10, 3.787192000022858252e-10, 3.897206180941540472e-10, 4.268263840760445177e-10, 4.491182421720402830e-10
