year, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR
2.072000000000000000e+03, 1.692763833168475482e-10, 1.335377876563973069e-09, 9.020361673538335233e-10, 2.024918470786670476e-12, 6.398054714517463787e-11, 1.084680337404421478e-09, 1.371612473143121357e-12, 5.593310285239716859e-10
2.073000000000000000e+03, 1.681386817484238498e-10, 1.310230550335555227e-09, 8.978973694798776614e-10, 1.955173558783947719e-12, 9.860975110174050209e-11, 1.083920876208253400e-09, 1.380625221597924901e-12, 5.568476803822448140e-10
2.074000000000000000e+03, 1.670672889505474499e-10, 1.342256913188320069e-09, 9.060780295124198878e-10, 1.902954127346011488e-12, 6.978493827672489647e-11, 1.031772388825050678e-09, 1.439205756025008547e-12, 5.572494359479685032e-10
2.075000000000000000e+03, 1.660975101360579217e-10, 1.337467303940869696e-09, 9.101361523788821428e-10, 1.875531625889462219e-12, 6.900809520005020116e-11, 1.007861121903622277e-09, 1.453814583250575551e-12, 5.562204695643789719e-10
2.076000000000000000e+03, 1.651762304538713914e-10, 1.385218804148127065e-09, 9.123968009157803273e-10, 1.858058902889056357e-12, 8.294426342409387027e-11, 1.033000677168980123e-09, 1.380006738350995405e-12, 5.473780219381362829e-10
2.077000000000000000e+03, 1.642609547325207563e-10, 1.386527659734425069e-09, 9.068216135901233118e-10, 1.966158407131870927e-12, 6.483518895316237199e-11, 1.105415294818710055e-09, 1.351356930226729978e-12, 5.402903683370163441e-10
2.078000000000000000e+03, 1.633723654283705137e-10, 1.368404788495391746e-09, 8.950205698641718072e-10, 2.065762946432110273e-12, 6.896270283806612455e-11, 1.113027549820551931e-09, 1.203266975729437643e-12, 5.355166925411647753e-10
2.079000000000000000e+03, 1.625055731929071912e-10, 1.354158360612871702e-09, 8.891615704043069849e-10, 2.206714783243447245e-12, 6.790412886498962737e-11, 1.039576604889095465e-09, 1.230150028818434514e-12, 5.328913955892233089e-10
2.080000000000000000e+03, 1.616369507314183337e-10, 1.414263047654983056e-09, 8.911547965571920363e-10, 2.312201233572357115e-12, 6.951604268886728901e-11, 1.102926465465218066e-09, 1.297345656115857636e-12, 5.279755174068071529e-10
2.081000000000000000e+03, 1.611044729612172575e-10, 1.450730716691551260e-09, 9.058874299517105289e-10, 2.447080996423342805e-12, 5.888440410435046650e-11, 1.048066307138751845e-09, 1.105741958388058734e-12, 5.255455669067156278e-10
