year, NorESM2-MM, GFDL-ESM4, NorESM2-LM, TaiESM1, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, CESM2-WACCM, CNRM-ESM2-1
2.049000000000000000e+03, 4.224493400859020475e+00, 1.358663233972670703e+01, 4.448893623551940735e+00, 1.731131273435891238e+00, 5.766957545166583543e+00, 7.973696786326006425e+00, 7.782849060208032022e+00, 2.523150372218422888e+01, 2.581543066613529902e+01, 5.302166176729828706e+00, 5.864349103523571749e+00, 4.167265494089153144e+00, 2.961860297658516572e+01
2.050000000000000000e+03, 4.354288031559653049e+00, 1.374277052803893717e+01, 4.476074656913721306e+00, 1.810105078391535116e+00, 5.770163131713869298e+00, 7.948719926739022945e+00, 7.757440067211985202e+00, 2.510525724218865307e+01, 2.598402782561745283e+01, 5.456074047605223853e+00, 5.536180580917165805e+00, 4.155642244811085462e+00, 2.971274247853691719e+01
2.051000000000000000e+03, 4.484879444288263350e+00, 1.379468509238899010e+01, 4.459916355536084787e+00, 1.914082902647275430e+00, 5.782368681721615999e+00, 7.968379198532998586e+00, 7.804660233124850244e+00, 2.516554082829108552e+01, 2.612105214588342150e+01, 5.582262571825070907e+00, 5.783879105993748659e+00, 4.263062438953684641e+00, 2.970517668507576658e+01
2.052000000000000000e+03, 4.479299026708757125e+00, 1.400001612487909419e+01, 4.367964195998427890e+00, 1.902498200805783801e+00, 5.778253101033067551e+00, 7.962918993532483114e+00, 7.657309884033749903e+00, 2.525939438886406663e+01, 2.615060158393793799e+01, 5.540186973686415328e+00, 5.904213882681404790e+00, 4.130830618858061243e+00, 2.988762206911384212e+01
2.053000000000000000e+03, 4.440304469827618838e+00, 1.418927090678437608e+01, 4.219453906027800016e+00, 1.853721814721281280e+00, 5.775601132282056405e+00, 7.994717662717931717e+00, 7.729497345637269312e+00, 2.535131670634606849e+01, 2.627790521674104696e+01, 5.525048471506164738e+00, 6.004594335890994117e+00, 4.000644070518985629e+00, 3.002555471456801328e+01
2.054000000000000000e+03, 4.490303947860356359e+00, 1.419619080577174053e+01, 4.323703010453167295e+00, 1.990538398088234739e+00, 5.762797285435561356e+00, 8.050777563138380444e+00, 7.801566883400044894e+00, 2.548266455751911153e+01, 2.643797051137677201e+01, 5.472346765440806671e+00, 5.741351897312737762e+00, 4.060896550410840966e+00, 3.014522486765621778e+01
2.055000000000000000e+03, 4.261642496731115060e+00, 1.442072440518973409e+01, 4.437256686390441018e+00, 1.840199661524925645e+00, 5.747020089967773693e+00, 8.075098197242930098e+00, 7.875700073708724602e+00, 2.551221176368215993e+01, 2.654930121471339532e+01, 5.458941029338729045e+00, 5.612735441465732222e+00, 4.244425602599283920e+00, 3.015008756898936682e+01
2.056000000000000000e+03, 4.212406860594242630e+00, 1.453592824631415148e+01, 4.382368879456858934e+00, 1.775895616038370761e+00, 5.712588671659456274e+00, 8.105757217276430282e+00, 8.107207964435795944e+00, 2.563340867621349162e+01, 2.664038822570665133e+01, 5.497586606774656381e+00, 5.842774687667927402e+00, 4.195188186043242062e+00, 3.026935389193579340e+01
2.057000000000000000e+03, 4.157496209305794110e+00, 1.465606612493816918e+01, 4.249269530285680219e+00, 1.944485771227782767e+00, 5.670238441616351821e+00, 8.121672401849947320e+00, 8.039765398406483854e+00, 2.576437737081540646e+01, 2.674350007099623383e+01, 5.466719353594437614e+00, 5.923563397839441969e+00, 4.129281911042878228e+00, 3.044249436801700170e+01
2.058000000000000000e+03, 3.999114240665378794e+00, 1.483862334533992033e+01, 4.300572090441429296e+00, 1.753942234403789824e+00, 5.611930243963525911e+00, 8.166504264848473582e+00, 7.997030210797468897e+00, 2.589694747828534105e+01, 2.688298685084167161e+01, 5.528191650984817684e+00, 5.675021588422169749e+00, 4.205590447999968617e+00, 3.052374298756313209e+01
2.059000000000000000e+03, 4.132406577908684042e+00, 1.499916169891923623e+01, 4.385270235589022292e+00, 1.651559487122159720e+00, 5.619563603394210460e+00, 8.222461058585048832e+00, 7.943656487912801545e+00, 2.590302826449140738e+01, 2.702273537643062440e+01, 5.488499069046029355e+00, 6.461382873031060292e+00, 4.176133256314664699e+00, 3.073653189344441117e+01
2.060000000000000000e+03, 4.406871661561523545e+00, 1.486894621708407804e+01, 4.528623363176068395e+00, 1.903849097910833565e+00, 5.636615857274761332e+00, 8.259592040815936898e+00, 7.935923647295257233e+00, 2.588970553895919835e+01, 2.719524087615159047e+01, 5.451961347949044523e+00, 6.550962938959607129e+00, 4.283275992556981215e+00, 3.083918423362423411e+01
2.061000000000000000e+03, 4.376293854198628708e+00, 1.498024752840600193e+01, 4.552176667706024915e+00, 1.968005560770371698e+00, 5.650099831909868087e+00, 8.280343014703126059e+00, 7.949779692960843747e+00, 2.596767318573027694e+01, 2.737727473433168868e+01, 5.484714487051754794e+00, 5.952239669862492200e+00, 4.268456499338444843e+00, 3.101914784091336941e+01
2.062000000000000000e+03, 4.481868314634434469e+00, 1.512384194859754238e+01, 4.353675023621217832e+00, 1.750648604073826720e+00, 5.654122317360624983e+00, 8.341089073497666817e+00, 7.976122449232539324e+00, 2.607513560898586746e+01, 2.750277163605042929e+01, 5.422125793633121305e+00, 5.482598241164443387e+00, 4.145922223038398968e+00, 3.110732543015859264e+01
2.063000000000000000e+03, 4.534180435284867805e+00, 1.517573298711738694e+01, 4.273906300971470174e+00, 1.612346791342581964e+00, 5.641521259541198319e+00, 8.405713160336688361e+00, 7.899226837465132434e+00, 2.617452987402214504e+01, 2.763460016304468070e+01, 5.383396504572210972e+00, 5.789821106320599320e+00, 4.105417023104846130e+00, 3.117270989821308547e+01
2.064000000000000000e+03, 4.611404936216294104e+00, 1.550358677249504780e+01, 4.350947336689964473e+00, 1.893566717405966493e+00, 5.638436077650786693e+00, 8.362288952568956546e+00, 7.803846697471835014e+00, 2.626585704223579754e+01, 2.770685556156084317e+01, 5.356362877359611474e+00, 6.046674163392610879e+00, 4.079476274826851601e+00, 3.136707297002689643e+01
2.065000000000000000e+03, 4.425088814797928372e+00, 1.561608401556832071e+01, 4.470052403513054884e+00, 1.843190282596371965e+00, 5.641147911437633056e+00, 8.357510616950833082e+00, 7.912041240766843231e+00, 2.645386423081941629e+01, 2.780692951657018597e+01, 5.318286727383960688e+00, 5.866250389652753583e+00, 4.202477165060479969e+00, 3.140843555278711818e+01
2.066000000000000000e+03, 4.382308725955418538e+00, 1.569237059406740364e+01, 4.311293263409182508e+00, 1.859472048369503527e+00, 5.650464707536409392e+00, 8.330054473006336835e+00, 8.084346563602522906e+00, 2.654141626384223329e+01, 2.784418037859591877e+01, 5.416887018801460840e+00, 5.828259702468778336e+00, 4.301519560838488410e+00, 3.152208471053441485e+01
2.067000000000000000e+03, 4.440325842306162230e+00, 1.596348230725918782e+01, 4.397360576091485562e+00, 1.849841652260740599e+00, 5.662331531723316935e+00, 8.380616661518574873e+00, 8.152942312997351948e+00, 2.655846621899775428e+01, 2.794392769901675777e+01, 5.509528997760322788e+00, 6.149813960727168016e+00, 4.177118900443858251e+00, 3.172712831620077978e+01
2.068000000000000000e+03, 4.592611832932589344e+00, 1.613020972609766446e+01, 4.472952433913798487e+00, 1.840928313792983495e+00, 5.624903784504379445e+00, 8.424842831667286092e+00, 8.013287005254829509e+00, 2.666966893874577949e+01, 2.806842941486910092e+01, 5.354573039182536576e+00, 6.590181142846764928e+00, 4.236596695742394836e+00, 3.184690821452599963e+01
2.069000000000000000e+03, 4.641819049399916963e+00, 1.620217565208522359e+01, 4.516551146526046168e+00, 1.990052907482039446e+00, 5.606452048975353541e+00, 8.409321119725627014e+00, 8.016676816020503082e+00, 2.677187304836900594e+01, 2.808806473772104084e+01, 5.417964499405149681e+00, 5.873404385621912027e+00, 4.242028288718226570e+00, 3.203512086399977221e+01
2.070000000000000000e+03, 4.585319576166693167e+00, 1.636444726725206777e+01, 4.492380571555564472e+00, 1.955827876554208977e+00, 5.576509610855412191e+00, 8.407277738739267647e+00, 8.121499365828181993e+00, 2.683076895611087664e+01, 2.816323709870134095e+01, 5.586166678738402780e+00, 5.241162695901733670e+00, 4.283015318852174680e+00, 3.212103014066929774e+01
2.071000000000000000e+03, 4.564451613393043949e+00, 1.641135982061878451e+01, 4.486739052429501662e+00, 1.829473718958906980e+00, 5.573345657533587350e+00, 8.488211355181212170e+00, 8.191416578240566793e+00, 2.677032571000206573e+01, 2.827242386306043542e+01, 5.601071103091276981e+00, 5.546666585090243906e+00, 4.316971767340138655e+00, 3.231628603183543191e+01
