year, MIROC-ES2L, GFDL-ESM4, INM-CM4-8, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, TaiESM1, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, CMCC-CM2-SR5, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, CESM2-WACCM
2.055000000000000000e+03, 7.356067649999999958e+01, 6.358411310399999650e+01, 8.446055878800000016e+01, 8.468567063999999789e+01, 6.194925926999999177e+01, 5.339091709799999563e+01, 4.757563533599999772e+01, 7.494001383599999144e+01, 5.525168695199999291e+01, 5.411644219799999433e+01, 9.389307099599999162e+01, 4.996599712199999743e+01, 8.156153314799999521e+01, 5.475488457599999492e+01, 6.253888786199999572e+01, 5.553647674199999784e+01
2.056000000000000000e+03, 7.322183006399998817e+01, 6.558338512799998909e+01, 8.331044086800000059e+01, 8.547428350799999919e+01, 6.305496661799999458e+01, 5.395953088799999620e+01, 4.660060528799999702e+01, 7.533563295599999776e+01, 5.498056801799999249e+01, 5.548882190399999814e+01, 9.356888879999999631e+01, 5.286456943199999614e+01, 8.000660336400000006e+01, 5.418422094599999639e+01, 5.839345700999999877e+01, 5.557095347399999241e+01
2.057000000000000000e+03, 7.344154925999998795e+01, 6.614785587599999417e+01, 8.282631596399998841e+01, 8.387660667599999442e+01, 6.393455296199999793e+01, 5.257649989799999446e+01, 4.816310371199999452e+01, 7.692358093199999303e+01, 5.220635003999999668e+01, 5.292259961399999924e+01, 9.543511832399998696e+01, 5.197629097799999442e+01, 8.142595199999999522e+01, 5.253804174599999754e+01, 6.066568099799999203e+01, 5.446407929399999404e+01
2.058000000000000000e+03, 7.346573737199999243e+01, 6.768184575600000130e+01, 8.410031517599999518e+01, 8.471421860399999559e+01, 6.386054191199999508e+01, 5.322302731799999265e+01, 4.736888926199999617e+01, 7.562241345599998965e+01, 5.051141224199999868e+01, 5.218434973799999455e+01, 9.485580200399999740e+01, 5.056239806999999331e+01, 8.352414457199999731e+01, 5.245619794199999575e+01, 6.175021586399999762e+01, 5.528124800999999877e+01
2.059000000000000000e+03, 7.287109455599998853e+01, 6.764159005199999797e+01, 8.346652041599999450e+01, 8.476536999599998978e+01, 6.064407095399999292e+01, 5.413442560199999321e+01, 4.891805584199999402e+01, 7.590370669200000009e+01, 5.235545224799999886e+01, 5.220858909599999720e+01, 9.582065380799998877e+01, 5.153678951399999875e+01, 8.207755671599998948e+01, 5.257244752199999738e+01, 5.815508426999999614e+01, 5.567946884999999924e+01
2.060000000000000000e+03, 7.308058820399999433e+01, 6.585107452199999045e+01, 8.357170874399999150e+01, 8.412638756399999806e+01, 6.408683242200000052e+01, 5.273948188799999315e+01, 4.846125688199999360e+01, 7.841480011199999467e+01, 5.317927111799999551e+01, 5.248149769799999831e+01, 9.715979062799999610e+01, 5.205647914199999349e+01, 7.834173119999999813e+01, 5.378420649599999592e+01, 6.123680978399999475e+01, 5.419461994199999566e+01
2.061000000000000000e+03, 7.247531775599999548e+01, 6.390496430999999689e+01, 8.379786128399999257e+01, 8.612275827599999900e+01, 6.332939683199999337e+01, 5.318294506199999461e+01, 4.615142621399999712e+01, 7.938029840399998704e+01, 5.113942014599999908e+01, 5.304883822199999344e+01, 9.616990712399999097e+01, 5.370765679799999504e+01, 8.021674349999999265e+01, 5.262692990399999360e+01, 6.139243994399999593e+01, 5.442137560799999818e+01
2.062000000000000000e+03, 7.353457257599998798e+01, 6.624333111599999313e+01, 8.381999955599999907e+01, 8.594715005999999846e+01, 6.340379025599999352e+01, 5.225892055199999930e+01, 4.836272659199999424e+01, 7.649588969999999222e+01, 5.071465387799999291e+01, 5.225231770199999914e+01, 9.524114038799999093e+01, 5.292374673599999824e+01, 8.422791771599999322e+01, 5.186993975999999407e+01, 5.987343360599999187e+01, 5.550632438399999558e+01
2.063000000000000000e+03, 7.351698337199999855e+01, 6.651538430399999413e+01, 8.516959055999998895e+01, 8.392338244799999813e+01, 6.158910238199999299e+01, 5.228541079199999331e+01, 4.867578052199999661e+01, 7.463792260799999667e+01, 5.196683411999999436e+01, 5.174734355999999735e+01, 9.487747511999999972e+01, 5.057546579999999636e+01, 8.457374149199999636e+01, 5.439207866399999602e+01, 5.978086756199999741e+01, 5.427308150999999725e+01
2.064000000000000000e+03, 7.146595288799998968e+01, 6.750924134399998877e+01, 8.475417471599999431e+01, 8.326847433599999704e+01, 6.231908982599999547e+01, 5.349760338599999443e+01, 4.570428909599999656e+01, 7.714773882000000071e+01, 5.114213224199999530e+01, 5.230393819199999683e+01, 9.620502245999999502e+01, 5.102110495799999512e+01, 8.281482109199998831e+01, 5.368757624999999933e+01, 6.126656399999999536e+01, 5.383041856199999842e+01
