year, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.052000000000000000e+03, 4.649423830199999941e+01, 9.121551479999999401e+01, 4.614341212799999425e+01, 4.482941738399999565e+01, 5.063626326599999317e+01, 7.052306590799999242e+01, 4.405455815399999864e+01, 4.555224221399999607e+01, 7.365076696799999922e+01, 6.505346995200000038e+01, 4.680916468199999514e+01, 5.148928841399999357e+01, 4.611864059999999910e+01, 5.004039448799999690e+01
2.053000000000000000e+03, 4.609230409799999961e+01, 9.168602403599999207e+01, 4.574900320199999726e+01, 4.463916069599999759e+01, 5.018372560799999604e+01, 7.118918506800000046e+01, 4.464143128799999971e+01, 4.434185505599999999e+01, 7.352445740399998897e+01, 6.457098492000000078e+01, 4.559265559799999323e+01, 5.059533742199999296e+01, 4.688725175999999806e+01, 5.093603659799999406e+01
2.054000000000000000e+03, 4.581311588999999884e+01, 9.291605417999998906e+01, 4.584424980599999344e+01, 4.459991808599999530e+01, 5.020287190199999827e+01, 6.943709221199999604e+01, 4.492574015399999610e+01, 4.441862550599999793e+01, 7.292005419599999527e+01, 6.450231133799999839e+01, 4.715066802599999818e+01, 5.114761950599999807e+01, 4.658726161799999943e+01, 5.091261717599999770e+01
2.055000000000000000e+03, 4.674765765599999412e+01, 9.206794076399999938e+01, 4.715282824199999823e+01, 4.539095134199999393e+01, 5.028745145399999927e+01, 7.023189401999999859e+01, 4.602164768999999467e+01, 4.550042856599999652e+01, 7.345512550799999474e+01, 6.705254487599999891e+01, 4.708961432999999630e+01, 5.150650312799999853e+01, 4.753418520599999653e+01, 5.201639294399999613e+01
2.056000000000000000e+03, 4.682052552599999728e+01, 9.265859427599998810e+01, 4.662353590199999331e+01, 4.538353249799999389e+01, 5.080928552999999681e+01, 7.141722188399999993e+01, 4.599097104599999852e+01, 4.613911928999999645e+01, 7.291405447199998946e+01, 6.707413915200000076e+01, 4.761747178199999553e+01, 5.143801087799999294e+01, 4.830574498199999312e+01, 5.101282675799999566e+01
2.057000000000000000e+03, 4.603420295999999468e+01, 9.338583020399998702e+01, 4.598865314999999754e+01, 4.438251678599999650e+01, 5.177253688199999715e+01, 7.108617272399999365e+01, 4.498300164599999817e+01, 4.468208513399999759e+01, 7.345760896799998818e+01, 6.649956111599999531e+01, 4.736102102999999630e+01, 5.071808341799999909e+01, 4.770414059399999473e+01, 5.126403464999999926e+01
2.058000000000000000e+03, 4.684811164199999922e+01, 9.193637257199999624e+01, 4.777669310399999603e+01, 4.541045241599999827e+01, 5.156007884999999646e+01, 7.123136446799999533e+01, 4.509619223399999299e+01, 4.412602267199999773e+01, 7.437972949199999562e+01, 6.666726167999999575e+01, 4.737332006999999834e+01, 5.151977978399999358e+01, 4.715953358399999473e+01, 5.194969430399999766e+01
2.059000000000000000e+03, 4.725634910399999455e+01, 9.240470582399998989e+01, 4.705776296999999886e+01, 4.501237348799999438e+01, 5.105819917799999530e+01, 7.327440057599999079e+01, 4.550857273799999803e+01, 4.523853391199999407e+01, 7.433661977999999237e+01, 6.645977845199999479e+01, 4.712112667799999599e+01, 5.221115533799999753e+01, 4.794315587999999906e+01, 5.100627515399999368e+01
2.060000000000000000e+03, 4.685734380599999582e+01, 9.520097140799998670e+01, 4.630635863999999913e+01, 4.487528649599999397e+01, 5.096106041399999498e+01, 7.260716188799999316e+01, 4.566434480999999579e+01, 4.476215109599999664e+01, 7.284701681999999323e+01, 6.633879847199999347e+01, 4.738714466399999736e+01, 5.319057677399999307e+01, 4.683296647799999590e+01, 5.115890939399999837e+01
2.061000000000000000e+03, 4.726249862399999557e+01, 9.455779468799998710e+01, 4.695261011999999567e+01, 4.514501784599999468e+01, 5.130224051399999752e+01, 7.237030287599999667e+01, 4.442947388999999703e+01, 4.540141735199999573e+01, 7.422389434799998753e+01, 6.596693778599998836e+01, 4.694694940799999472e+01, 5.258041430399999427e+01, 4.615561261799999926e+01, 5.138811304199999341e+01
