year, TaiESM1, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, INM-CM5-0, IPSL-CM6A-LR, NorESM2-LM, INM-CM4-8, ACCESS-ESM1-5, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, GFDL-ESM4
2.045000000000000000e+03, 8.794363632187499613e-01, 4.498725703499999895e+00, -8.843557328437499088e-01, 4.258725410249999399e+00, 4.223349902249999843e+00, 4.873499034750000014e+00, 1.711432973812499814e+00, 4.212598589999999810e+00, 1.852668204785156217e-02, 2.016879582937499915e+00, 2.549535804000000017e+00, 3.317828893874999796e+00, 1.350328034812499967e+00, 3.264949673999999913e+00, 4.094085316499999294e+00, 1.480123312312499939e+00
2.046000000000000000e+03, 1.389827367562499916e+00, 3.139988027624999845e+00, 2.749071036093749809e-01, 3.339999440999999791e+00, 3.484235989124999655e+00, 3.760185844124999566e+00, 3.293845519499999597e+00, 3.560312154374999594e+00, 1.751109326999999771e+00, 1.693203687562499837e+00, -1.693148129999999807e-01, 2.993226874874999943e+00, 1.062548976937499834e+00, 3.771331356374999721e+00, 2.999028266999999914e+00, -9.464302374609374902e-02
2.047000000000000000e+03, -4.997197023749999634e-01, 1.464715019812499852e+00, 2.183073440624999861e+00, 1.202280434999999925e-01, 3.092447753999999716e+00, 3.674558212874999619e+00, 2.163436367624999690e+00, 3.508367434874999802e+00, 2.393541255374999732e+00, 2.896532078624999951e+00, 2.401362922499999719e+00, 4.055657961375000120e+00, 3.339024535124999638e+00, 3.275935288874999962e+00, 3.316560308999999762e+00, 2.729096121374999573e+00
2.048000000000000000e+03, -3.660090333749999592e-01, 2.483673360749999670e+00, 4.529003712749999799e+00, 1.537495426687499833e+00, -2.368097369999999924e-01, 1.642181642437499978e+00, 2.895588955124999586e+00, 3.184641278999999603e+00, 2.022700099921874717e-01, 2.119926542625000021e+00, 5.089969037249999495e+00, 1.730881323562499796e+00, 3.498229103624999947e+00, 2.208837367124999673e+00, 4.505123076749999456e+00, 1.081154847374999894e+00
2.049000000000000000e+03, 1.423393127999999841e+00, 3.362498159624999872e+00, 1.954972197562499847e+00, 2.488779482624999595e+00, -1.593654020999999865e+00, 1.937924033062499829e+00, 2.246440597874999945e+00, 2.853121049999999936e+00, 3.456484801874999846e+00, -1.795394863687499898e+00, 4.350058593750000036e+00, 2.629389144374999709e+00, -3.150383266406249771e-01, 3.040756307999999741e+00, 3.455696894624999516e+00, 7.293104670937499145e-01
2.050000000000000000e+03, 1.866792860437499924e+00, 1.377547544812499858e+00, 1.727152437937499840e+00, 2.077306624124999779e+00, 2.887279711874999766e+00, 2.034861385499999731e+00, 1.604353594499999813e+00, 3.356199829124999923e+00, 2.505589648875000020e+00, -2.746128517874999897e+00, 3.077629036874999890e+00, 3.081675253499999823e+00, 9.642853262812499660e-01, 2.971132457624999557e+00, 2.621120552999999909e+00, 3.450643250624999769e+00
2.051000000000000000e+03, -2.753974576124999629e+00, 2.589464814749999899e+00, 6.077815635937499072e-01, 5.955829829999998992e-01, 5.504248599749999471e+00, 9.015253602187499604e-01, 1.138779619312499936e+00, 3.669213846374999921e+00, 2.184063375374999616e+00, 4.537772630156249876e-01, 5.409305036999999317e+00, 2.521821819374999940e+00, 1.460310943499999903e+00, 3.456789321374999613e+00, 2.686582144124999960e+00, 1.948566693937499927e+00
2.052000000000000000e+03, 1.482076049765624903e-01, 2.944721550374999719e+00, 2.102320831499999709e+00, 2.728573806374999577e+00, 2.203255987874999988e+00, 3.427924765499999804e+00, 4.284574089749999537e+00, 3.825352031624999594e+00, 3.569657650874999533e+00, -1.101952454414062421e-01, 5.729377697999999519e+00, 2.559851278874999636e+00, 1.620580467937499769e+00, 2.637162521999999676e+00, 4.137044246999999508e+00, 2.450084317875000028e+00
2.053000000000000000e+03, 1.198197878062499999e+00, 4.076621517375000003e+00, -2.854302110156249905e-01, 3.946983919874999636e+00, 1.793265074999999875e+00, 3.220601927624999750e+00, 2.370269165624999896e+00, 2.984822284499999867e+00, 4.742006233499999723e+00, 7.715577434062499407e-01, 1.571702501249999884e+00, 2.063055185437499883e+00, 3.999793661999999639e+00, 3.088686100499999920e+00, 3.260847283874999558e+00, 2.380096078874999854e+00
2.054000000000000000e+03, 1.573625334937499787e+00, 4.010444699624999387e+00, 1.073988414562499827e+00, 4.210607387249999611e+00, 4.220572763249999859e+00, 5.102737175249999702e+00, 3.512482636499999700e+00, 3.069882514124999684e+00, 3.498869924999999714e+00, 2.039407373812499813e+00, 2.256661464749999624e+00, 2.887926692624999792e+00, 1.633884101999999894e+00, 2.682016815374999918e+00, 3.872910290624999696e+00, -2.684167853906249679e-01
