year, INM-CM5-0, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, CanESM5, CESM2-WACCM, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, EC-Earth3-Veg
2.037000000000000000e+03, 3.088931646198034286e+00, 2.887564175762236118e+00, 3.186805977020412683e+00, 3.010664368048310280e+00, 3.054911701474338770e+00, 3.171014471445232630e+00, 3.280263149645179510e+00, 3.195951785892248154e+00, 2.883163047954440117e+00, 2.927579171955585480e+00, 2.995675953570753336e+00, 2.988829405512660742e+00, 3.089806088246405125e+00, 2.992919983807951212e+00, 3.223499539308249950e+00, 2.964229986537247896e+00
2.038000000000000000e+03, 3.094631235580891371e+00, 2.915788348764181137e+00, 3.173776727635413408e+00, 2.984179649502038956e+00, 3.077271580696105957e+00, 3.177994606085121632e+00, 3.278943628538399935e+00, 3.191784198861569166e+00, 2.876343845855444670e+00, 2.917667047586292028e+00, 2.977554069366306067e+00, 3.006515640299767256e+00, 3.091055201366543770e+00, 2.975613134913146496e+00, 3.244045784231275320e+00, 2.973301615566015244e+00
2.039000000000000000e+03, 3.088490024674683809e+00, 2.877359418198466301e+00, 3.178582387045025826e+00, 2.976530638989061117e+00, 3.076804184820502996e+00, 3.170064592268317938e+00, 3.301174007356166840e+00, 3.187723481096327305e+00, 2.865710353944450617e+00, 2.878209657501429319e+00, 2.968341938685625792e+00, 2.996762248221784830e+00, 3.076069930102676153e+00, 2.977576071862131357e+00, 3.254339180421084166e+00, 2.966554393060505390e+00
2.040000000000000000e+03, 3.091663098894059658e+00, 2.881919592618942261e+00, 3.171369025949388742e+00, 2.987611724529415369e+00, 3.057241451460868120e+00, 3.188454906921833754e+00, 3.281909250654280186e+00, 3.192044771276414394e+00, 2.866140659898519516e+00, 2.873958775307983160e+00, 2.975290326867252588e+00, 3.009874478448182344e+00, 3.086608496960252523e+00, 3.016588068567216396e+00, 3.225665213540196419e+00, 2.963453612755984068e+00
2.041000000000000000e+03, 3.078372648451477289e+00, 2.894111489877104759e+00, 3.180999204050749540e+00, 3.007449803408235312e+00, 3.067089768592268229e+00, 3.167095826938748360e+00, 3.267612028867006302e+00, 3.188207221683114767e+00, 2.875009237322956324e+00, 2.880290464963763952e+00, 2.985165361315011978e+00, 3.019353467971086502e+00, 3.065022791270166636e+00, 2.969891857355833054e+00, 3.224412642884999514e+00, 2.985201508272439241e+00
2.042000000000000000e+03, 3.082460083533078432e+00, 2.878370275720953941e+00, 3.219853097107261419e+00, 2.997936552856117487e+00, 3.069919918198138475e+00, 3.178107447456568480e+00, 3.279929026030004025e+00, 3.199890861287713051e+00, 2.876466745510697365e+00, 2.909673855174332857e+00, 2.972829819191247225e+00, 3.015008603688329458e+00, 3.087485453579574823e+00, 2.994944842066615820e+00, 3.232688724528998137e+00, 2.992328430991619825e+00
2.043000000000000000e+03, 3.068900888320058584e+00, 2.907930628862231970e+00, 3.204209008254110813e+00, 3.007728606462478638e+00, 3.058110864367336035e+00, 3.182959312107414007e+00, 3.303748299367725849e+00, 3.212661109864711761e+00, 2.872594620566815138e+00, 2.944011578802019358e+00, 2.993668068666011095e+00, 3.003393800463527441e+00, 3.086730767972767353e+00, 3.001438407227396965e+00, 3.260727447923272848e+00, 2.950454852543771267e+00
2.044000000000000000e+03, 3.097698069177567959e+00, 2.918491826858371496e+00, 3.214618074707686901e+00, 2.978064841590821743e+00, 3.071724122855812311e+00, 3.166077111382037401e+00, 3.302420920226722956e+00, 3.202003729529678822e+00, 2.887079806532710791e+00, 2.881830011028796434e+00, 2.972418058197945356e+00, 3.021193190943449736e+00, 3.086697764229029417e+00, 2.999303536489605904e+00, 3.244901995640248060e+00, 2.971393999177962542e+00
2.045000000000000000e+03, 3.104791359510272741e+00, 2.888116124086081982e+00, 3.219971596263349056e+00, 2.985216595698148012e+00, 3.069612511899322271e+00, 3.190511197317391634e+00, 3.279616904910653830e+00, 3.198708698619157076e+00, 2.880202454980462790e+00, 2.865163749083876610e+00, 2.978118590544909239e+00, 2.989310945849865675e+00, 3.062796453014016151e+00, 2.983511716593056917e+00, 3.234819194767624140e+00, 2.986959822010248899e+00
2.046000000000000000e+03, 3.103304619435220957e+00, 2.886344923172146082e+00, 3.186640958301723003e+00, 3.004659258294850588e+00, 3.067394031677395105e+00, 3.214365988969802856e+00, 3.298342914786189795e+00, 3.221737139392644167e+00, 2.880397019907832146e+00, 2.859225904103368521e+00, 2.976965974085032940e+00, 3.009278525132685900e+00, 3.087365382816642523e+00, 3.022689674980938435e+00, 3.236770187504589558e+00, 2.984645159449428320e+00
