year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM4-8, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, INM-CM5-0
2.038000000000000000e+03, 1.199148963188759964e+00, 2.454302700786122671e+00, 5.351449308577315378e+00, 2.268903148481333787e+00, 4.913852924170700298e+00, 2.041715100151900053e+00, 4.663149828998259139e+00, 4.655041806538874560e+00, 5.357689870158350409e+00, 8.376120172044524637e+00, 5.445193706147945178e+00, 1.655627550026521400e+00, 5.655383388671841871e+00, 1.771203569973318404e+00, 1.808817863999735209e+00, 9.994835390424105626e+00
2.039000000000000000e+03, 1.410190531331724006e+00, 2.494861518473998174e+00, 5.381969169457096136e+00, 2.287531665340494236e+00, 4.964337912392990049e+00, 2.172997522262678505e+00, 4.602522829136310278e+00, 4.430763506460995593e+00, 5.378904760245139194e+00, 8.351280547260207854e+00, 5.413909826318161755e+00, 1.499953396764895919e+00, 5.669330456633831616e+00, 1.741843732931877886e+00, 1.758120047899417004e+00, 1.007079314303370765e+01
2.040000000000000000e+03, 1.619166298993673259e+00, 2.501955811876035884e+00, 5.440609146078855041e+00, 2.255029250253079098e+00, 4.936193010434930528e+00, 2.172289774625150827e+00, 4.568924767475315285e+00, 4.444336825920861322e+00, 5.341332312884461864e+00, 8.267505814062682035e+00, 5.508902465554858630e+00, 1.617253723775745389e+00, 5.725352480529737775e+00, 1.684039127795313062e+00, 1.763987430055763639e+00, 1.010563828261563657e+01
2.041000000000000000e+03, 1.382616694866598328e+00, 2.549510012595628705e+00, 5.480259026385119192e+00, 2.282168458334814964e+00, 4.883367449505266578e+00, 2.225953284565580059e+00, 4.667308225676920941e+00, 4.728536321492607719e+00, 5.312886446104654325e+00, 8.275815859676548314e+00, 5.493265789905471763e+00, 1.717815312185348331e+00, 5.708222895338446179e+00, 1.778452478670684123e+00, 1.796300694191928615e+00, 1.004124301387416374e+01
2.042000000000000000e+03, 1.278186662627255776e+00, 2.473528539497194867e+00, 5.521494002127224299e+00, 2.273715714451198355e+00, 4.844913635249941564e+00, 2.116944919802716374e+00, 4.726864905227858848e+00, 4.778922752794839468e+00, 5.324104077585636752e+00, 8.276815015273633946e+00, 5.582832347240223925e+00, 1.746787505121307094e+00, 5.732959748959859603e+00, 1.868541452638528666e+00, 1.785265623458401008e+00, 1.013374004757789493e+01
2.043000000000000000e+03, 1.392805302671108469e+00, 2.477719017847701988e+00, 5.561833491844481614e+00, 2.241417648968799803e+00, 4.929349613256533758e+00, 2.099187591407136289e+00, 4.799844825387180158e+00, 4.711494415591007900e+00, 5.370867201573157779e+00, 8.368402950214575142e+00, 5.647371734596799087e+00, 1.757407033698554555e+00, 5.808212934249194603e+00, 1.909606277048890632e+00, 1.868006451786554445e+00, 1.020203406589990358e+01
2.044000000000000000e+03, 1.388274672551832900e+00, 2.513429227124593712e+00, 5.607996680099470943e+00, 2.237325482314385550e+00, 4.949605388251902660e+00, 2.124901442170800792e+00, 4.780658146233618844e+00, 4.663213338908300365e+00, 5.401663816728322409e+00, 8.428051889958886989e+00, 5.652636752770907158e+00, 1.745875548738633043e+00, 5.846909481904117634e+00, 1.815105307783016153e+00, 1.926366970330111839e+00, 1.018408779303538836e+01
2.045000000000000000e+03, 1.291817709188410879e+00, 2.528190018097070446e+00, 5.613712877992962369e+00, 2.250132390262304050e+00, 4.949664014563387227e+00, 2.073682371790559920e+00, 4.806506995955995620e+00, 4.653517327443163154e+00, 5.428400786777154430e+00, 8.446058942019407212e+00, 5.669716023436302876e+00, 1.748599642478865679e+00, 5.878037302848626133e+00, 1.730004569435077411e+00, 1.875234069041438190e+00, 1.030905560241705388e+01
2.046000000000000000e+03, 1.288112251517948392e+00, 2.533175763862968388e+00, 5.620292914967793152e+00, 2.292587550610858393e+00, 4.886938091111880489e+00, 2.037798121877311353e+00, 4.917817904547328034e+00, 5.037235338258127193e+00, 5.414279067406848611e+00, 8.385364814702306546e+00, 5.769053148358310068e+00, 1.718204128186962665e+00, 5.925962165240228785e+00, 1.684351867697866600e+00, 1.871215095206105961e+00, 1.037047545679721416e+01
2.047000000000000000e+03, 1.491260094515952206e+00, 2.504276975511729564e+00, 5.628819683139439256e+00, 2.275808104442527124e+00, 4.915272186688454781e+00, 2.002861966273744798e+00, 4.979250732622967135e+00, 5.029898902232447178e+00, 5.395344040587381151e+00, 8.452227448244027386e+00, 5.680710928352451283e+00, 1.680266340807491154e+00, 5.978322647396938194e+00, 1.744471290028921429e+00, 1.901838189053508321e+00, 1.035726428348524841e+01
