year, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, NorESM2-LM, MIROC-ES2L, CanESM5
2.061000000000000000e+03, 1.601647445611138254e+00, 6.786114019923431551e-01, 1.206467620940532059e+00, 7.526457003977519156e-01, 1.130869046773383069e+00, 5.801732367879300911e-01, 1.928205668598156119e+00, 6.801193184615932363e-01, 1.057372973844619146e+00, 6.653553239975632527e-01, 7.861575224335619616e-01, 7.081001139610968442e-01, 7.659973218371528558e-01, 2.284888226928747379e+00
2.062000000000000000e+03, 1.139229798046092368e+00, 6.660847038227952766e-01, 1.127114625682788862e+00, 8.043725442921804136e-01, 1.149831786742566697e+00, 5.587176830641307212e-01, 2.140223250878471095e+00, 6.878921445936772017e-01, 1.043006030707454235e+00, 7.536054059172817565e-01, 7.277004826479044342e-01, 6.858804898637470560e-01, 7.701964135162282510e-01, 2.362794844981363163e+00
2.063000000000000000e+03, 1.178429120095754623e+00, 6.298467744876545815e-01, 1.180318232935152922e+00, 8.853696822195624705e-01, 1.153239729689691018e+00, 5.483192462615185114e-01, 1.873264274175559629e+00, 6.770110023917829123e-01, 1.155947633687024689e+00, 6.908449638322511355e-01, 7.696245874245959406e-01, 7.770456576242870117e-01, 7.975409619293712948e-01, 2.301836911760047233e+00
2.064000000000000000e+03, 1.425044765158009152e+00, 6.286413203913564507e-01, 1.222932307742242486e+00, 8.778813637784349533e-01, 1.102082776518679141e+00, 5.589623439394808546e-01, 1.657855268114527103e+00, 6.789295123623790840e-01, 1.132357948786531399e+00, 7.019103163715284532e-01, 8.008301097179975070e-01, 6.788288180366405244e-01, 7.907436493094388563e-01, 2.203725198968129018e+00
2.065000000000000000e+03, 1.171079496548416587e+00, 6.245468802614588810e-01, 1.199847452794917002e+00, 8.733124649227660408e-01, 1.131162069039345575e+00, 5.325342437204059198e-01, 1.776965372898705375e+00, 6.652183314787926127e-01, 1.023122200895828504e+00, 7.675486183904729476e-01, 7.096906209958775413e-01, 7.363032246807839076e-01, 7.621768015976783106e-01, 2.229170389405260355e+00
2.066000000000000000e+03, 1.417782734083383733e+00, 6.496673544171956971e-01, 1.196471888268343164e+00, 7.534909177674681269e-01, 1.152352144125191824e+00, 5.757084336393187840e-01, 1.994151159340501023e+00, 6.680778110198687392e-01, 1.080945569810477513e+00, 6.844334249270040971e-01, 6.985857037538772962e-01, 7.034562342997983109e-01, 7.637419222578047950e-01, 2.238736069635263171e+00
2.067000000000000000e+03, 1.343861857380742153e+00, 6.449482070561333158e-01, 1.200597769172666140e+00, 9.846864176121820078e-01, 9.534904362086651375e-01, 5.685761764904998516e-01, 2.159000850296941998e+00, 6.723670721170892373e-01, 1.184167349889814869e+00, 7.030302600830278248e-01, 7.508571297830407554e-01, 6.801478945756089800e-01, 7.872302845965315488e-01, 2.184343770716380195e+00
2.068000000000000000e+03, 1.447696265825601403e+00, 6.681836634003653907e-01, 1.269508150723374751e+00, 9.373789477665364078e-01, 1.034492035740470328e+00, 5.086395074615048806e-01, 1.978640721619015386e+00, 6.829219336794826178e-01, 1.152581448920649176e+00, 6.951850413204502255e-01, 7.368768421352672737e-01, 6.758867474667776820e-01, 8.178486125783925864e-01, 2.154690838432759659e+00
2.069000000000000000e+03, 1.282801862196323528e+00, 6.778239630454665487e-01, 1.268759363657508521e+00, 7.979428641324124438e-01, 1.072476094904909694e+00, 5.553657154775049065e-01, 1.783406288604723278e+00, 6.842917085145930889e-01, 1.119149631208182338e+00, 6.847700385280865998e-01, 8.118365232417055211e-01, 6.887102926932694436e-01, 7.821632351982197306e-01, 2.239077324710172512e+00
2.070000000000000000e+03, 1.439280060022377183e+00, 6.572169039701727389e-01, 1.260768347520558219e+00, 8.021629548633733009e-01, 1.109598166745727754e+00, 5.805273516238488307e-01, 1.936974087161156488e+00, 6.835782553326458233e-01, 1.269713420243156587e+00, 6.508794822157786264e-01, 7.468569335099406459e-01, 6.982077837691000877e-01, 7.729847237093993018e-01, 2.294870532923225515e+00
2.071000000000000000e+03, 1.595345460164869333e+00, 6.312436015892708419e-01, 1.278190769616557532e+00, 8.965909052214874331e-01, 1.109679096008910681e+00, 5.603389943087063729e-01, 2.157030646572932753e+00, 7.018680266779768750e-01, 1.114465964558087441e+00, 7.191796970485766494e-01, 7.218123778357530274e-01, 6.001964123537457674e-01, 7.858252697394536579e-01, 2.237652595710724501e+00
2.072000000000000000e+03, 1.375986710021886994e+00, 6.599890335177492906e-01, 1.228166007927024461e+00, 8.529758235135278532e-01, 1.098973053642268161e+00, 5.502772165914451286e-01, 1.932996708813546682e+00, 6.482408525560574564e-01, 1.026037875411180078e+00, 6.965172119842126808e-01, 6.474507287773492159e-01, 5.967988824438349438e-01, 7.917270048422737627e-01, 2.051421510974070550e+00
2.073000000000000000e+03, 1.360938331201820395e+00, 6.542071850230912755e-01, 1.258750063537386499e+00, 7.686939902696313665e-01, 1.087348733474651663e+00, 5.528952988576887329e-01, 1.857291940300140221e+00, 6.853770476695029146e-01, 1.011610834491371014e+00, 6.765538950672514984e-01, 6.990166450494785799e-01, 6.598770879460496008e-01, 8.079932041504803708e-01, 2.291391105617752277e+00
2.074000000000000000e+03, 1.288713448921228633e+00, 6.460700010453898079e-01, 1.263025304146632388e+00, 8.819237291957733316e-01, 1.065872172310033283e+00, 5.244412481799408665e-01, 2.171874391501859236e+00, 7.231136531523678634e-01, 1.138902198735797011e+00, 6.888708403751924170e-01, 6.952630868629847694e-01, 6.659534733974420417e-01, 7.901774669497531045e-01, 2.252880456318783420e+00
2.075000000000000000e+03, 1.373781304200186293e+00, 6.428967965366889636e-01, 1.287207361350698687e+00, 9.372426818386123681e-01, 1.106595110927974357e+00, 5.853532339861609035e-01, 1.939809487631438678e+00, 6.848756315774080505e-01, 1.111450587847608196e+00, 6.811096706987742611e-01, 7.276232612558285462e-01, 6.401563080705502395e-01, 7.676565437916762491e-01, 2.307358856754523124e+00
2.076000000000000000e+03, 1.453958410884393482e+00, 6.600180180691787024e-01, 1.288378679775581848e+00, 8.318769100181967469e-01, 1.124018094186100880e+00, 5.490656557192190590e-01, 1.834543502120807634e+00, 7.093818897499317710e-01, 1.057991954316006566e+00, 6.989592090072382913e-01, 7.236113986277689092e-01, 6.592990620798633294e-01, 7.865501463290228701e-01, 2.113804876950056588e+00
2.077000000000000000e+03, 1.413898256741007442e+00, 6.810703193908451691e-01, 1.290661466200169194e+00, 9.821369292867814238e-01, 1.215256394820699581e+00, 5.620102706893678191e-01, 1.883187711135972275e+00, 7.063967418309903268e-01, 1.006625510672166213e+00, 7.319916080557437033e-01, 7.115449580683169684e-01, 6.775584840773133388e-01, 7.640458477236320434e-01, 2.224716046366320477e+00
2.078000000000000000e+03, 1.364329549561416055e+00, 6.976061981017802616e-01, 1.255245379372243342e+00, 7.829404450555890183e-01, 1.220088631981808946e+00, 5.397348240737024350e-01, 2.161536400330803520e+00, 6.943410657945666697e-01, 1.092580714754264548e+00, 7.186881936471184451e-01, 8.422619389132661727e-01, 6.501684647038969977e-01, 7.818370539330835589e-01, 2.310799460319489462e+00
2.079000000000000000e+03, 1.393408078656311666e+00, 6.693732661576697884e-01, 1.264550172242066894e+00, 9.398707905664414053e-01, 1.191583488205085972e+00, 6.191997240523374746e-01, 2.178630270042232198e+00, 6.687597214054975536e-01, 1.271950609180477532e+00, 7.082292980160962426e-01, 7.533625652624323932e-01, 6.751859897593112114e-01, 7.936153266639893733e-01, 2.382020193065358615e+00
2.080000000000000000e+03, 1.171242045582497004e+00, 6.935383716056959802e-01, 1.235394815494777587e+00, 9.210214568970137572e-01, 1.130630588720621832e+00, 5.693053386440557473e-01, 1.982474831785543401e+00, 6.921951154557021146e-01, 1.138302635194369250e+00, 6.902377962329574457e-01, 7.909632627558549345e-01, 6.634385681791544753e-01, 8.005506446466731374e-01, 2.344179135567006966e+00
2.081000000000000000e+03, 1.441523235680798543e+00, 6.639643455994788113e-01, 1.255884538109347970e+00, 7.268251495509050475e-01, 1.149352623767684767e+00, 5.689466105999185785e-01, 1.618240051642860333e+00, 6.872208712305186706e-01, 1.193557367845929695e+00, 7.276430053855131863e-01, 7.585522172243388539e-01, 7.188663984917175176e-01, 7.689025381545705473e-01, 2.197642476109203713e+00
2.082000000000000000e+03, 1.254391710322893427e+00, 6.955105066200869546e-01, 1.220239420923559637e+00, 7.582175235308284966e-01, 1.146351386687136653e+00, 6.139491295385246517e-01, 1.696841820417628321e+00, 6.955096761357881796e-01, 1.174116832156848922e+00, 6.856542183970424365e-01, 7.535567184373554994e-01, 6.917140877180278924e-01, 7.613949927611367574e-01, 2.262667218009795533e+00
2.083000000000000000e+03, 1.363941113857066734e+00, 6.569382030915612569e-01, 1.314259318344258576e+00, 9.940436672481401947e-01, 1.130017866642838875e+00, 5.843395379028379910e-01, 2.174247607306918795e+00, 6.916556816476377989e-01, 1.172650728353018978e+00, 7.130481701998027111e-01, 6.652727295713231070e-01, 7.093749301012411967e-01, 7.625621009851302201e-01, 2.260990966366708044e+00
