year, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, INM-CM5-0, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, CMCC-ESM2, INM-CM4-8, EC-Earth3-Veg, MIROC-ES2L, NorESM2-MM, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR
2.051000000000000000e+03, 4.686574107536032874e-01, 6.167050906956761391e-01, 1.964660764567444373e-01, 4.491285536304813752e-01, 6.362587991940334975e-01, 2.045521246822334938e-01, 4.142981935172831975e-01, 3.737394227773417343e-01, 2.682514664020091977e-01, 5.312081083173415541e-01, 9.036263102352090071e-01, 2.461714243995296314e-01, 4.027093211043357157e-01, 2.938368361839298060e-01, 1.075303851572400937e+00, 2.833896206719947464e-01
2.052000000000000000e+03, 4.695668356266229915e-01, 6.041304102176050517e-01, 2.292882749328813974e-01, 4.595985130906098948e-01, 5.870387965416606901e-01, 2.076488776638338585e-01, 4.034154208732265712e-01, 3.619535710587136745e-01, 2.599228067173240397e-01, 4.929413268295704253e-01, 7.191393028503676454e-01, 2.244991368984120272e-01, 3.333533977884384769e-01, 3.076439159754690844e-01, 1.034613366863223138e+00, 2.606558461240781055e-01
2.053000000000000000e+03, 4.075439358666218537e-01, 5.910794192816294368e-01, 3.072214514826174803e-01, 4.301378403241982729e-01, 5.699627183172959466e-01, 2.079312612646895264e-01, 3.783970571314939635e-01, 3.494646008412887195e-01, 2.811277774585953515e-01, 5.079256252562892593e-01, 9.033451039926594373e-01, 2.112402366431282708e-01, 2.398359340123324412e-01, 2.965818852273619521e-01, 1.036124551861289378e+00, 2.551447449384112165e-01
2.054000000000000000e+03, 5.221457085736763704e-01, 5.919385688239824361e-01, 3.141590577240647164e-01, 4.233131515898280739e-01, 6.236029251517721805e-01, 2.165395329858787465e-01, 3.969473154920387103e-01, 3.798467937414954365e-01, 2.734389841704688018e-01, 5.208076297420635159e-01, 9.384947759386743638e-01, 2.216937982910288929e-01, 2.801125699548335790e-01, 2.907651655739487695e-01, 9.919233017357302895e-01, 2.640006389873563730e-01
2.055000000000000000e+03, 4.601298160448746843e-01, 5.941516484027364875e-01, 2.607612634086135528e-01, 4.286947034005689217e-01, 6.058226718757918627e-01, 2.193313422873239826e-01, 4.383970742079999483e-01, 3.613944359797808814e-01, 2.557433219356969878e-01, 5.545526641806375334e-01, 9.381716019833070686e-01, 2.117041674016646724e-01, 2.933474702747037033e-01, 3.168389907480442247e-01, 1.030902509072504802e+00, 2.763519736111927361e-01
2.056000000000000000e+03, 4.325995899580933335e-01, 6.006010354078458180e-01, 3.162752621625862792e-01, 4.461127601333381709e-01, 6.365514472448525751e-01, 2.151590467916059679e-01, 3.240167016321298110e-01, 3.562692452076651195e-01, 2.441305081895661921e-01, 5.128904708307159277e-01, 9.498086498252488186e-01, 2.475056048736266057e-01, 2.710788973100267674e-01, 3.252372530394406214e-01, 1.088892193781305862e+00, 2.688804566934552831e-01
2.057000000000000000e+03, 4.656048726003861327e-01, 5.827438237602775573e-01, 3.910791578155057291e-01, 4.424444855574403701e-01, 6.130427383200240943e-01, 2.208142207266192425e-01, 4.170633348394077733e-01, 3.279458976246799051e-01, 2.634190571634001943e-01, 4.885724786247757634e-01, 9.747458759158306174e-01, 2.311376113523287978e-01, 3.302376241025947179e-01, 2.841005765273664219e-01, 1.013333623959894236e+00, 2.815781348040044541e-01
2.058000000000000000e+03, 4.748005267569458954e-01, 5.824416113200985290e-01, 4.019322380322041810e-01, 4.434057870298205306e-01, 5.583490532688604180e-01, 2.208120603717310393e-01, 4.298019375828320832e-01, 3.204220223360380593e-01, 2.871460637260737081e-01, 5.148471277947858082e-01, 8.200514846169426608e-01, 2.127071643554168112e-01, 3.436514779133301722e-01, 2.731564111097040115e-01, 9.701442459545100983e-01, 2.916273441988200821e-01
2.059000000000000000e+03, 4.845177555759906385e-01, 5.870777600980099376e-01, 4.594258530025021603e-01, 4.522932277060174311e-01, 5.779871201243622636e-01, 2.181420921974966676e-01, 2.893308895123957725e-01, 3.598240866446135167e-01, 3.195051520830815006e-01, 4.770917215255275345e-01, 9.164945615908123289e-01, 2.309111079619821649e-01, 3.495894627514090081e-01, 3.301399601843309495e-01, 1.078152362258170793e+00, 2.705504925307628539e-01
2.060000000000000000e+03, 4.715401030898977996e-01, 5.891064380412840418e-01, 3.849757428524396285e-01, 4.677937147745196422e-01, 5.732076392496802120e-01, 2.301384919603413348e-01, 3.563295140803803829e-01, 3.535571266086960374e-01, 3.071076703018101317e-01, 5.458203901572517003e-01, 1.038561618019757882e+00, 2.272846108541815568e-01, 3.443245368850756938e-01, 3.302226834281401513e-01, 1.064159215258239533e+00, 2.743927142885790316e-01
