year, UKESM1-0-LL, INM-CM4-8, CMCC-CM2-SR5, CanESM5, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR
2.050000000000000000e+03, 2.911050605548754220e+02, 2.896074809898911440e+02, 2.920788045735618539e+02, 2.904641241693099687e+02, 2.897844511217634818e+02, 2.911969263749724632e+02, 2.911034055937051903e+02, 2.903332507280719028e+02, 2.900789070123486226e+02, 2.900428465657906258e+02, 2.927635757649412085e+02, 2.941452922695016241e+02, 2.904094655824019924e+02, 2.901028811522798492e+02, 2.910591582870420098e+02, 2.911062226658584677e+02
2.051000000000000000e+03, 2.902360598460359142e+02, 2.899770204892604966e+02, 2.923726845515803348e+02, 2.902866605661275798e+02, 2.894903919104881425e+02, 2.911041743134707076e+02, 2.915406214598355064e+02, 2.906107041887681248e+02, 2.900652284840176094e+02, 2.899482112074354632e+02, 2.932964521215300806e+02, 2.941376795515181470e+02, 2.902565219970548469e+02, 2.900603788307694231e+02, 2.915315025860423361e+02, 2.907407425418821845e+02
2.052000000000000000e+03, 2.911132125080764581e+02, 2.897415763793823089e+02, 2.926626826783285082e+02, 2.902208624457084056e+02, 2.891910299660813166e+02, 2.908817349403671528e+02, 2.921872149136312373e+02, 2.905640761729052315e+02, 2.893321795104849912e+02, 2.900108961721950322e+02, 2.929079750117469416e+02, 2.937004531131443628e+02, 2.908535190722524248e+02, 2.906362362616998780e+02, 2.911007393074871175e+02, 2.909881368393957359e+02
2.053000000000000000e+03, 2.909903251454766178e+02, 2.894364529797604177e+02, 2.922137617279118444e+02, 2.909341418333290790e+02, 2.890122379356683950e+02, 2.906051521380333043e+02, 2.919375900068021110e+02, 2.906133237309119295e+02, 2.900098097881105446e+02, 2.897043251216088038e+02, 2.930237008368199554e+02, 2.932340263300384890e+02, 2.900492433505882559e+02, 2.898370451930919103e+02, 2.915614800713175327e+02, 2.907828170554789153e+02
2.054000000000000000e+03, 2.913266816733009250e+02, 2.899110178008234584e+02, 2.921424020695930039e+02, 2.910243858305049116e+02, 2.893468698503228325e+02, 2.906118816996427086e+02, 2.915782852300475838e+02, 2.906622816273428498e+02, 2.900306222675569074e+02, 2.900164150466397928e+02, 2.930489596966747854e+02, 2.933373195279673951e+02, 2.897992903579377071e+02, 2.904627080449670871e+02, 2.911457779124069702e+02, 2.910079569444359322e+02
2.055000000000000000e+03, 2.906718805255654274e+02, 2.907504482430052235e+02, 2.930116588281345003e+02, 2.901012688438758005e+02, 2.887280260063935771e+02, 2.904819231268133990e+02, 2.913409397178639324e+02, 2.906561833248900939e+02, 2.894653351516055864e+02, 2.899497174253298795e+02, 2.932011668412866925e+02, 2.944183566527711946e+02, 2.905728303747337691e+02, 2.902796974039963516e+02, 2.917421347970172860e+02, 2.909505108058311862e+02
2.056000000000000000e+03, 2.908595515912521705e+02, 2.901733239447792130e+02, 2.919178098051326629e+02, 2.903970501564604092e+02, 2.891333134264667706e+02, 2.912370460694344843e+02, 2.920265168220871601e+02, 2.904790032614531583e+02, 2.898199754447816190e+02, 2.894708985642324706e+02, 2.932218153148149327e+02, 2.941065378730031057e+02, 2.908078947400182415e+02, 2.901596721913531383e+02, 2.916420466122741004e+02, 2.908091789763517454e+02
2.057000000000000000e+03, 2.912441383578302521e+02, 2.901060392720292498e+02, 2.927335219501130155e+02, 2.909983464442610170e+02, 2.893588348805229771e+02, 2.907361214608152977e+02, 2.922249796926181489e+02, 2.905648228676865870e+02, 2.898633346026425670e+02, 2.898663987702649933e+02, 2.932307451733780113e+02, 2.941441912757794057e+02, 2.905349777543039522e+02, 2.900374747965424831e+02, 2.922231453607494132e+02, 2.905765062845001694e+02
2.058000000000000000e+03, 2.914313640682116784e+02, 2.903249035919801031e+02, 2.928120164615010594e+02, 2.901196536517970230e+02, 2.893753106320749566e+02, 2.910925827686231742e+02, 2.915640851595927643e+02, 2.912293582718654079e+02, 2.901655781073313278e+02, 2.898056217331085804e+02, 2.931290211102286207e+02, 2.934789846476487583e+02, 2.905035005235885137e+02, 2.900366107200173929e+02, 2.911763773653288467e+02, 2.915556558658320228e+02
2.059000000000000000e+03, 2.918308948728773657e+02, 2.895075988709014609e+02, 2.937749280041313682e+02, 2.910549657097616318e+02, 2.890773670569990941e+02, 2.903131003083621522e+02, 2.916429565267669091e+02, 2.905351037803763461e+02, 2.896524153669885777e+02, 2.909040222470270578e+02, 2.929093325607423139e+02, 2.935797071440624109e+02, 2.909479126713110873e+02, 2.895680461430538912e+02, 2.916602794110777950e+02, 2.912813057504667427e+02
