year, NorESM2-LM, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, CNRM-ESM2-1, INM-CM5-0, GFDL-ESM4, TaiESM1, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, CMCC-CM2-SR5, MIROC-ES2L, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg
2.045000000000000000e+03, 1.402418714910884434e+00, 2.381350948922880129e+00, 3.231419532350610524e+00, 4.001593947320685629e+00, 2.182069067269655438e+00, 3.595597245089482641e+00, 1.780186234508843279e+00, 1.476888136386810491e+00, 2.056723202929576111e+00, 1.859078678278984764e+00, 1.723368389388612698e+00, 1.203000117682573311e+00, 1.532196310280077078e+00, 2.171615869900842988e+00, 2.584277312851777975e+00, 6.767953673417250293e+00
2.046000000000000000e+03, 1.359877067787050420e+00, 2.929004924746833716e+00, 3.339777817354613099e+00, 3.843238614504228323e+00, 2.395048007203899321e+00, 3.428108736232604148e+00, 1.975015865245094870e+00, 1.358984512209774120e+00, 2.267403199333607233e+00, 2.074955787441297606e+00, 1.868286786597377347e+00, 1.330452503722588498e+00, 1.512726304047149251e+00, 2.092216297702945926e+00, 2.410149950415341635e+00, 7.162361820948864199e+00
2.047000000000000000e+03, 1.760383179464779069e+00, 2.755986909657523132e+00, 3.237152676873243262e+00, 3.346911084359228461e+00, 1.891601995408711545e+00, 3.240170385279312892e+00, 1.787464634337723846e+00, 1.369828594826616008e+00, 1.914692595883429771e+00, 2.211304945361566521e+00, 1.659072583815290214e+00, 1.481782313702660447e+00, 1.711044656573124767e+00, 2.132002586929024890e+00, 2.751308068801403994e+00, 5.619094379056301491e+00
2.048000000000000000e+03, 1.708291694717475107e+00, 2.175889212661691552e+00, 3.282041452674813176e+00, 4.257838941002033195e+00, 2.209040118282508125e+00, 3.360100188533021282e+00, 1.732734739497956422e+00, 1.376910486492859853e+00, 2.127526365814434772e+00, 2.104968609255522871e+00, 1.777148994802994819e+00, 1.309377463431594002e+00, 1.430875998966112839e+00, 1.940281525621440073e+00, 2.424761534233541127e+00, 5.718828111697220606e+00
2.049000000000000000e+03, 1.966691933467770381e+00, 1.672385762686865451e+00, 3.368926656009232801e+00, 3.830045420748436680e+00, 2.115063058715571653e+00, 2.951167431020536469e+00, 1.946517480319004845e+00, 1.405912065104302888e+00, 2.205482966527913202e+00, 2.047996415324810471e+00, 1.758408838619955450e+00, 1.361097687970521442e+00, 1.689847322654901340e+00, 2.161219123013413679e+00, 2.631481330335175617e+00, 5.502331952690158623e+00
2.050000000000000000e+03, 1.479820953622372759e+00, 2.095045877183132621e+00, 3.219237518894749073e+00, 3.040886857142400590e+00, 2.261152849124500097e+00, 3.436867774047429602e+00, 1.942663679803926513e+00, 1.329219569321028471e+00, 2.391510182142928098e+00, 1.935092530601226324e+00, 2.009157113363652325e+00, 1.310797094400182994e+00, 1.760556105131620752e+00, 2.274519768133726139e+00, 2.604640115548957802e+00, 7.545483604781860976e+00
2.051000000000000000e+03, 1.158465689510140839e+00, 2.820070693006239804e+00, 3.240454932577495839e+00, 4.407015409512943904e+00, 2.147191689285627980e+00, 3.484638055744462282e+00, 1.857468128214434300e+00, 1.464902781675238908e+00, 2.154663228516266127e+00, 2.264593716619955899e+00, 1.983301265520328371e+00, 1.350351016201053689e+00, 2.082366186168744360e+00, 2.242895753737899067e+00, 2.750179716648633921e+00, 5.381552273387763208e+00
2.052000000000000000e+03, 1.367455468814978037e+00, 2.168469212790003375e+00, 3.302391012800815151e+00, 3.753790748282809453e+00, 2.205381959102060918e+00, 3.000872223809874839e+00, 1.910092747255229595e+00, 1.498785998560854482e+00, 2.295428889456982979e+00, 1.778267353076625756e+00, 1.720848765363580668e+00, 1.384426407234462086e+00, 1.647663217722947993e+00, 2.173356728850288633e+00, 2.451995270679280026e+00, 6.009518283535741467e+00
2.053000000000000000e+03, 1.839836441653709631e+00, 2.377202475433441098e+00, 3.279136966544052623e+00, 3.725124074343200586e+00, 1.753921046681475637e+00, 2.947507961965633694e+00, 1.682696050583910141e+00, 1.404630567871674618e+00, 2.036958263942956648e+00, 1.358036145494511793e+00, 1.781001320573599722e+00, 1.327026997107040085e+00, 1.405021364041860954e+00, 2.100220234241624961e+00, 2.595685045720837358e+00, 6.281794540197023657e+00
2.054000000000000000e+03, 1.760457650451977774e+00, 1.838640097918760707e+00, 3.410732337802844683e+00, 3.584595193592289064e+00, 2.642301079094483196e+00, 3.185257689951581206e+00, 1.630620229237822683e+00, 1.398759413283657826e+00, 2.093965270316578753e+00, 1.713119301021598817e+00, 1.864504851630743643e+00, 1.487852016186321791e+00, 1.677912451560789275e+00, 2.358672216070153649e+00, 2.640424199995683008e+00, 7.337724422394844126e+00
2.055000000000000000e+03, 1.392315127381925199e+00, 2.386374135363123372e+00, 3.410687023481283831e+00, 3.845924634221175697e+00, 2.103006825272160096e+00, 3.076364293248298853e+00, 1.758714468612997850e+00, 1.534324174092502879e+00, 2.621990369940979004e+00, 1.810675940274300455e+00, 1.938492096774043327e+00, 1.430842806439280634e+00, 1.729076852135644771e+00, 2.193457180549942542e+00, 2.794510679711796008e+00, 7.165644300528221322e+00
2.056000000000000000e+03, 1.797465124243560863e+00, 2.737345094444975757e+00, 3.398074826398440162e+00, 3.957115587629383313e+00, 1.953383786568444913e+00, 3.373578412015027173e+00, 1.825177548211319944e+00, 1.451041675786431284e+00, 1.777512461880557337e+00, 1.636521909131478658e+00, 1.872675687071325923e+00, 1.265877478924765986e+00, 2.028663847922232311e+00, 2.160295886336683679e+00, 2.599715527570280127e+00, 7.830449069168587961e+00
2.057000000000000000e+03, 2.164997927653014020e+00, 1.956452224605856438e+00, 3.451058096090033001e+00, 3.452172666156364755e+00, 2.104318910912725382e+00, 3.298717992509985653e+00, 1.757857943089763175e+00, 1.330460049658167110e+00, 2.269497068876170864e+00, 1.874948782402698244e+00, 2.055770953455356320e+00, 1.354484445814589044e+00, 1.749173647919677554e+00, 1.916771910354385433e+00, 2.407633146416130909e+00, 6.472842413962652586e+00
2.058000000000000000e+03, 2.151480014593318391e+00, 1.718430755388481668e+00, 3.428939301439350995e+00, 3.564131221575579378e+00, 2.283584218398393428e+00, 2.902258827261559038e+00, 1.834963840706408611e+00, 1.470690871210953432e+00, 2.416079202048095009e+00, 2.025008071934310649e+00, 2.064082547144587831e+00, 1.407692320664157837e+00, 1.691003734641729706e+00, 1.986075136244243700e+00, 2.610499749882107867e+00, 6.213163078005988993e+00
2.059000000000000000e+03, 2.314462679339127860e+00, 2.538059171526123148e+00, 3.390177688304800263e+00, 3.714511931574173254e+00, 2.370778882288324230e+00, 3.094450721609630861e+00, 1.844593135411729312e+00, 1.641857754052525875e+00, 1.643382088100637350e+00, 2.010155284809454379e+00, 1.821573390189803909e+00, 1.533386698503130363e+00, 1.824109431680636773e+00, 2.252502502221342962e+00, 2.367124059499865485e+00, 7.183194392207306933e+00
2.060000000000000000e+03, 1.914209134637310683e+00, 2.408905938381884937e+00, 3.558695187772149549e+00, 3.910461203468401425e+00, 2.219415801259053911e+00, 3.083822059814572913e+00, 1.968509274438742240e+00, 1.418770744609865631e+00, 1.965904045073226802e+00, 1.894005010591351512e+00, 1.972449458009847056e+00, 1.590738201792661011e+00, 1.567301993720610520e+00, 2.141369273892082425e+00, 2.786338720939093072e+00, 6.360929596430281663e+00
2.061000000000000000e+03, 1.933086174449202721e+00, 1.915602098662412267e+00, 3.479234607818197045e+00, 4.825640676034367083e+00, 2.355112501120183222e+00, 3.397342883934074020e+00, 1.961208898914691190e+00, 1.326677064713289722e+00, 2.137837633279584093e+00, 2.054272330796778068e+00, 1.976853278951369974e+00, 1.573108908416967155e+00, 1.652099298784821757e+00, 2.029642269927146803e+00, 2.523527731726292966e+00, 5.459995233078820398e+00
2.062000000000000000e+03, 1.844157378685183257e+00, 2.088041662366909357e+00, 3.532950365230325129e+00, 3.556738275735356947e+00, 2.335779621121770511e+00, 3.210699857934372403e+00, 1.746949137160647592e+00, 1.407488808343525299e+00, 1.823380748546954200e+00, 1.841221299069328632e+00, 1.882430873863191412e+00, 1.609972035525876644e+00, 1.695609250426057368e+00, 1.981362954230996065e+00, 2.671012677688957115e+00, 4.996890395074327529e+00
2.063000000000000000e+03, 1.873753635714305421e+00, 2.504774745987273121e+00, 3.486911077551062110e+00, 2.903746013928096836e+00, 2.485036556872282976e+00, 3.202023612593960511e+00, 1.784080454990544906e+00, 1.326753830760225350e+00, 2.254279460505866250e+00, 2.211486713420421246e+00, 1.961200013816655208e+00, 1.380162812080373724e+00, 1.744119648797096911e+00, 2.174942986515592036e+00, 3.128011957612655713e+00, 5.464534179941598069e+00
2.064000000000000000e+03, 1.885480632558922842e+00, 2.369399506085648976e+00, 3.677620129253933445e+00, 4.226489580294505721e+00, 2.046047825111505070e+00, 2.849079898223299434e+00, 1.628293165886880001e+00, 1.398578525833741759e+00, 2.383942341144785537e+00, 2.180195303781419014e+00, 1.961868937813142866e+00, 1.299069240525770885e+00, 1.727422967745792182e+00, 2.190385096785194996e+00, 2.882270897941352938e+00, 6.460080511674983761e+00
2.065000000000000000e+03, 2.007021980994252441e+00, 2.004860973486272790e+00, 3.511559177162665968e+00, 3.448736203782952092e+00, 2.426429927655545882e+00, 3.256990790363603949e+00, 1.598751269429138144e+00, 1.545962157374984658e+00, 2.731819174371024062e+00, 2.045808267345472498e+00, 1.823988671394243699e+00, 1.537045999727947310e+00, 1.564230190467797765e+00, 1.948292334010055304e+00, 2.523796974814886074e+00, 7.270016717987014765e+00
2.066000000000000000e+03, 2.028332964367565161e+00, 1.909126800833984117e+00, 3.458276949338477291e+00, 3.855531292693493928e+00, 2.506398200328590953e+00, 3.566564566353252363e+00, 2.012873096597973088e+00, 1.288632582009560323e+00, 1.725924447839683795e+00, 1.540761952277094116e+00, 1.877753928010616802e+00, 1.575556904292448435e+00, 1.775462698023726027e+00, 2.241115131330924548e+00, 2.435446919716149683e+00, 5.832049351249958491e+00
2.067000000000000000e+03, 1.904597350836631175e+00, 2.698959543028359498e+00, 3.408766735652414503e+00, 3.614591889113031087e+00, 1.751899469115325569e+00, 3.559477520090097435e+00, 1.947054705869740054e+00, 1.222106997020922847e+00, 2.182212452099767219e+00, 2.015256796097292469e+00, 1.916275599210954139e+00, 1.354064219136826175e+00, 2.068594679608201314e+00, 2.395827620170609684e+00, 2.652198988394005141e+00, 6.336769632040081923e+00
2.068000000000000000e+03, 1.595276149083394435e+00, 2.297032880827786894e+00, 3.261643134137739430e+00, 4.177750363542969581e+00, 2.038462990960291155e+00, 3.639733772126451772e+00, 1.924961912578446066e+00, 1.445284617641915181e+00, 2.406746535087066263e+00, 1.868108404852110604e+00, 2.014730937633197883e+00, 1.312457618362930400e+00, 1.941817939643895485e+00, 2.273911285462808074e+00, 2.758608892942997937e+00, 6.886794930867635500e+00
2.069000000000000000e+03, 1.702291465418001915e+00, 2.365382689594028420e+00, 3.312913226971781810e+00, 3.763565081201939666e+00, 2.291394995222657105e+00, 3.224758447295307473e+00, 2.000917534602509651e+00, 1.533594646160709951e+00, 2.473177100145381058e+00, 2.000475940011035014e+00, 1.939339812922253437e+00, 1.462557076249719978e+00, 1.649335395893186007e+00, 2.396343020682790925e+00, 2.536585165281840748e+00, 7.117779097368923225e+00
2.070000000000000000e+03, 1.989778828672314592e+00, 3.056712244679266277e+00, 3.303352068602184666e+00, 4.064642486517162645e+00, 2.163340612277604880e+00, 3.261523057094763978e+00, 1.859049462248332008e+00, 1.332520117865596321e+00, 1.832161625489260315e+00, 2.052403640975621002e+00, 2.009716055354607622e+00, 1.351643286209144978e+00, 1.485298024368543857e+00, 2.328037786555913868e+00, 2.437254538922168035e+00, 6.043221874703455399e+00
2.071000000000000000e+03, 1.439064959456028303e+00, 2.490468236963471860e+00, 3.372288165069173616e+00, 4.670549224323415238e+00, 2.343527169429203916e+00, 3.479891172289118817e+00, 1.704629880724171098e+00, 1.257949274006381568e+00, 2.353383270176100606e+00, 1.887209476317424528e+00, 1.886231732789570348e+00, 1.173939919770200069e+00, 1.473722711078865544e+00, 2.224768910465834804e+00, 2.218917793905632152e+00, 6.711936662180499447e+00
2.072000000000000000e+03, 1.485148270643439794e+00, 1.886229689176498248e+00, 3.319337642454336379e+00, 4.002319570530719517e+00, 2.349218036278995392e+00, 3.414026462052476063e+00, 1.805441693245141366e+00, 1.304981292950554428e+00, 2.395825927976995118e+00, 1.615706252802618259e+00, 1.872226900317663256e+00, 1.454934927284313506e+00, 1.517995437136836490e+00, 2.192480654486654856e+00, 3.119454181345814980e+00, 6.805734616962056727e+00
2.073000000000000000e+03, 1.754096225300472822e+00, 1.691710204872165280e+00, 3.454704121187363253e+00, 4.067038373373895510e+00, 2.180034464693452634e+00, 2.967771331399682744e+00, 1.844397446774667770e+00, 1.480177663449492531e+00, 2.259171545420735061e+00, 1.679315488136775558e+00, 2.145773612183966339e+00, 1.546024548482575645e+00, 1.522279938685050071e+00, 2.239215156103767868e+00, 2.619789147172339572e+00, 6.015394478228261121e+00
2.074000000000000000e+03, 1.962775884279412519e+00, 2.404574259370730438e+00, 3.312393720795505203e+00, 3.338642523872220824e+00, 2.044519252915363072e+00, 3.025661054585184750e+00, 1.870141419297871366e+00, 1.350048426944878477e+00, 2.311018383593687275e+00, 1.721948402290358837e+00, 2.056507794063584083e+00, 1.434989705830817419e+00, 1.834835349928540582e+00, 2.327143537295512488e+00, 2.468437105766177808e+00, 6.468042073143556614e+00
