year, TaiESM1, NorESM2-MM, MIROC-ES2L, NorESM2-LM, CMCC-CM2-SR5, CanESM5, INM-CM5-0, ACCESS-ESM1-5, CESM2-WACCM, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg
1.933000000000000000e+03, 1.911582935490295085e+02, 1.549389208725533820e+02, 1.211924811891684328e+02, 1.572441927753733637e+02, 1.181320941220034797e+02, 1.012926997457198723e+02, 1.284015797483639858e+02, 1.833115180599930056e+02, 1.535477494987025580e+02, 1.276197769036002825e+02, 1.251945175924271183e+02, 1.514050640076384582e+02, 1.288256502988415662e+02, 2.019382987382169574e+02, 7.451588960932832606e+01, 1.387091790930026605e+02
1.934000000000000000e+03, 1.908915262213541837e+02, 1.547984949356634559e+02, 1.211478980275403359e+02, 1.570053109728330014e+02, 1.185380609519953055e+02, 1.016604991233413955e+02, 1.286247028409285917e+02, 1.833803798137569743e+02, 1.533139275857467112e+02, 1.270898211345211593e+02, 1.254290537211491596e+02, 1.509877074495464910e+02, 1.286573383701436910e+02, 2.021222190443233728e+02, 7.495808282447387683e+01, 1.379555509708264651e+02
1.935000000000000000e+03, 1.908866576915871462e+02, 1.545745418755616356e+02, 1.209802650814829974e+02, 1.572421325322295331e+02, 1.188332837781246525e+02, 1.013039297393181926e+02, 1.283645350940843457e+02, 1.833716082854290619e+02, 1.526835664694467596e+02, 1.272918576236585153e+02, 1.256092187096949289e+02, 1.509449952544839277e+02, 1.284421288050827741e+02, 2.022850175798283203e+02, 7.560463825877323529e+01, 1.365478882628027293e+02
1.936000000000000000e+03, 1.905889929658622464e+02, 1.544819709969235078e+02, 1.209150443518288114e+02, 1.568061526870048112e+02, 1.188654744809918924e+02, 1.014598393933039091e+02, 1.281922342750671646e+02, 1.834939756720286823e+02, 1.520572500682252155e+02, 1.272630631808940223e+02, 1.258246513373708666e+02, 1.507710319478100587e+02, 1.282950645973181452e+02, 2.022345171744792083e+02, 7.568502034762273922e+01, 1.357890699644773917e+02
1.937000000000000000e+03, 1.896855722879580242e+02, 1.540314075991848028e+02, 1.211104332710856539e+02, 1.565086934111396033e+02, 1.186030603503714360e+02, 1.019696959160388445e+02, 1.285604208411545244e+02, 1.835491262901643950e+02, 1.523829048271857403e+02, 1.273953310455905381e+02, 1.258602662412043571e+02, 1.508089741134855615e+02, 1.279614633198886935e+02, 2.023703603390229659e+02, 7.517130669515506725e+01, 1.353449379647094304e+02
1.938000000000000000e+03, 1.895693987288913149e+02, 1.537993523477421718e+02, 1.214273877330126510e+02, 1.562574291903279118e+02, 1.190280652900786436e+02, 1.021304465058279334e+02, 1.285659772888151906e+02, 1.837321923790330516e+02, 1.523333334904539242e+02, 1.273136097174993893e+02, 1.258423739428662458e+02, 1.505949300113712468e+02, 1.282207368282626305e+02, 2.025336682681345621e+02, 7.527263322757849551e+01, 1.346782568401005733e+02
1.939000000000000000e+03, 1.894870767085495515e+02, 1.536997536465326846e+02, 1.213710877485577981e+02, 1.558397771733163779e+02, 1.191855222651971076e+02, 1.015124337622373787e+02, 1.284875062067210365e+02, 1.832606116324962500e+02, 1.519132726537762608e+02, 1.273553782628603415e+02, 1.262947515466969008e+02, 1.500851028182279379e+02, 1.280508653764262874e+02, 2.025518068104125291e+02, 7.506488867221140993e+01, 1.323672558199276352e+02
1.940000000000000000e+03, 1.888547346058763310e+02, 1.536740097139676777e+02, 1.212358228241691336e+02, 1.556705809836894332e+02, 1.194857361793883399e+02, 1.008997361274262232e+02, 1.284906084817965848e+02, 1.832051322163391660e+02, 1.519092743329193809e+02, 1.274639937962729022e+02, 1.261478940624308933e+02, 1.496485172475989884e+02, 1.284038760360750473e+02, 2.023738665405502957e+02, 7.467911671739619806e+01, 1.324538556425602849e+02
1.941000000000000000e+03, 1.877754136544917571e+02, 1.537371736761821239e+02, 1.210644759255065424e+02, 1.558594187210157997e+02, 1.197956903818008527e+02, 1.001234289895495806e+02, 1.288563988848717372e+02, 1.834788023813816551e+02, 1.518108031860330698e+02, 1.276415654675438560e+02, 1.261425379308089845e+02, 1.496452175562326090e+02, 1.285853415027840185e+02, 2.022596552496687252e+02, 7.475912844657422340e+01, 1.323755281071390186e+02
1.942000000000000000e+03, 1.875829039342587521e+02, 1.535452612532055241e+02, 1.208988406133219087e+02, 1.558762814100342666e+02, 1.189733618251796230e+02, 1.006549269747523709e+02, 1.285624303281011294e+02, 1.830922954851381235e+02, 1.515192151890703940e+02, 1.278912133560698834e+02, 1.261292418768911574e+02, 1.496873716656060083e+02, 1.288786357045989632e+02, 2.020758880792517971e+02, 7.526927255528217131e+01, 1.324962968034635082e+02
