year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.891000000000000000e+03, 1.081360948710752698e-10, -2.477888148120170269e-10, 2.039291546056507845e-11, 1.183259439616044260e-10
1.892000000000000000e+03, 1.087713605985014265e-10, -2.517685884085851779e-10, 2.136111649718775976e-11, 1.216635306878521248e-10
1.893000000000000000e+03, 1.087682605178740324e-10, -2.416087918806873978e-10, 2.142696497133570364e-11, 1.252170830336635217e-10
1.894000000000000000e+03, 1.094697292193251846e-10, -2.441379817543654420e-10, 2.229632818575129690e-11, 1.204788613499406084e-10
1.895000000000000000e+03, 1.096451185215548020e-10, -2.436450869596604639e-10, 2.245448222012408607e-11, 1.154768594174823989e-10
1.896000000000000000e+03, 1.103296613991276220e-10, -2.446397346235127284e-10, 2.307946859923816626e-11, 1.230611283721351591e-10
1.897000000000000000e+03, 1.105097939649749228e-10, -2.538140192054508816e-10, 2.342419053232692643e-11, 1.260053134768164397e-10
1.898000000000000000e+03, 1.089512434496213982e-10, -2.595920221299205764e-10, 2.777174734213679239e-11, 1.293273170720415407e-10
1.899000000000000000e+03, 1.099355889485158169e-10, -2.590807093880476031e-10, 3.359529392496170631e-11, 1.259712992046194993e-10
1.900000000000000000e+03, 1.107649148898514415e-10, -2.577214112616857567e-10, 3.467015446048056435e-11, 1.240736721744944396e-10
1.901000000000000000e+03, 1.360749787352601083e-10, -2.729872555344277236e-10, 3.692491668374965383e-11, 1.270209054181857245e-10
1.902000000000000000e+03, 1.386115378024813633e-10, -2.797348608143587062e-10, 3.879439110225909577e-11, 1.248185108325727132e-10
1.903000000000000000e+03, 1.388523710074963463e-10, -2.856012825539808261e-10, 4.028522338661403929e-11, 1.365101457940043129e-10
1.904000000000000000e+03, 1.402637134164200976e-10, -2.738662449193303261e-10, 4.288479852353970466e-11, 1.339382384736151932e-10
1.905000000000000000e+03, 1.431125590150729833e-10, -2.794298987666382464e-10, 4.849348896502682614e-11, 1.312687563329912316e-10
1.906000000000000000e+03, 1.434306685597009698e-10, -2.754393450344611820e-10, 5.365934045687585897e-11, 1.376512850657931151e-10
1.907000000000000000e+03, 1.434886736630683830e-10, -2.934920145227514434e-10, 5.616840211550917448e-11, 1.378879145070101195e-10
1.908000000000000000e+03, 1.439663655028242342e-10, -2.851375885196045013e-10, 6.062231408701957926e-11, 1.384884319830906489e-10
1.909000000000000000e+03, 1.447371456142717504e-10, -2.950708941582670589e-10, 6.361618794799216184e-11, 1.393770069065828732e-10
1.910000000000000000e+03, 1.457194257047306750e-10, -3.106096826469075433e-10, 6.638330094415312738e-11, 1.412994841650398823e-10
1.911000000000000000e+03, 2.001082743065589962e-10, -3.531480094182976337e-10, 7.742275922596024191e-11, 1.384693505273854016e-10
1.912000000000000000e+03, 2.038942133064504373e-10, -3.628727100579055221e-10, 8.705138254951520517e-11, 1.502763923741370303e-10
1.913000000000000000e+03, 2.023498154706534199e-10, -3.538904263293914681e-10, 9.521343257968383430e-11, 1.566104574245685324e-10
1.914000000000000000e+03, 2.040326129484646783e-10, -3.694391062101535649e-10, 1.005226332648098340e-10, 1.604832410538862945e-10
1.915000000000000000e+03, 2.018040096855608273e-10, -3.923892615105841945e-10, 1.064248374127615616e-10, 1.600810571939585645e-10
1.916000000000000000e+03, 2.021150072003164312e-10, -4.043919834128063456e-10, 1.093300751092903177e-10, 1.624580558579198547e-10
1.917000000000000000e+03, 2.021930731640545614e-10, -3.996380091764849905e-10, 1.146251795307439723e-10, 1.735211808227230089e-10
1.918000000000000000e+03, 2.037861452206843613e-10, -4.174294293586462039e-10, 1.200698557747276737e-10, 1.810211719655825044e-10
1.919000000000000000e+03, 2.022106295723594436e-10, -4.289695415921912469e-10, 1.312329058515663740e-10, 1.811772531655454903e-10
1.920000000000000000e+03, 2.029935866591632767e-10, -4.273077976427990397e-10, 1.352491542626464020e-10, 2.016042539398809465e-10
1.921000000000000000e+03, 2.569301292642070987e-10, -4.656174523856952360e-10, 1.510165235336918923e-10, 2.133911887451375178e-10
1.922000000000000000e+03, 2.597055559464487610e-10, -4.574632785502515892e-10, 1.583851463985137873e-10, 2.239150025834011650e-10
1.923000000000000000e+03, 2.660156930713113354e-10, -4.656298240855028947e-10, 1.615985393425486551e-10, 2.235049606533107351e-10
1.924000000000000000e+03, 2.676495878889687831e-10, -4.849011488571631351e-10, 1.683251420837043988e-10, 2.420517017688777435e-10
1.925000000000000000e+03, 2.723542842178781968e-10, -4.840968911007084731e-10, 1.722391781828732401e-10, 2.479867691910027539e-10
1.926000000000000000e+03, 2.719705356771726468e-10, -4.978407751363484696e-10, 1.746874923959921353e-10, 2.497040004525774578e-10
1.927000000000000000e+03, 2.755054475819131104e-10, -5.223100701364393374e-10, 1.812535378292556862e-10, 2.719408208553992346e-10
1.928000000000000000e+03, 2.784218709644628288e-10, -5.203558395674655285e-10, 1.889816758480389997e-10, 2.713174905792367250e-10
1.929000000000000000e+03, 2.820391510561682233e-10, -5.318311628623101450e-10, 1.965651580172146199e-10, 2.713578393482567189e-10
1.930000000000000000e+03, 2.813509908456304424e-10, -5.558874208384184971e-10, 2.078619620667268006e-10, 2.960195714187349758e-10
1.931000000000000000e+03, 2.918076921609963700e-10, -5.456757128569989512e-10, 1.982043732373762874e-10, 3.029512476096227805e-10
1.932000000000000000e+03, 2.929532966988433304e-10, -5.296743913693719705e-10, 2.038066074753193618e-10, 2.983336563119918308e-10
1.933000000000000000e+03, 2.951405728937272625e-10, -5.327295671387101178e-10, 2.093212225082104126e-10, 2.917100422580450716e-10
1.934000000000000000e+03, 2.953067994721035696e-10, -5.311346069502507042e-10, 2.116871207615572593e-10, 3.187773445542390586e-10
1.935000000000000000e+03, 2.916753501443615109e-10, -5.369840969992909736e-10, 2.205356123148401878e-10, 3.282873018991182589e-10
1.936000000000000000e+03, 2.938854661937030157e-10, -5.338799945280688513e-10, 2.286716257711580719e-10, 3.576426563148346092e-10
1.937000000000000000e+03, 2.961143485549311503e-10, -5.659528016626456024e-10, 2.333733679763681964e-10, 3.357211094325085914e-10
1.938000000000000000e+03, 2.960296961346682510e-10, -5.770052088790022688e-10, 2.349291130744937487e-10, 3.173999988123864060e-10
1.939000000000000000e+03, 2.926370327438364041e-10, -5.723978047855379699e-10, 2.397268138266451142e-10, 3.266725439910565649e-10
1.940000000000000000e+03, 2.879427742620780649e-10, -5.568806337086635096e-10, 2.445042728493873292e-10, 3.441268218751137889e-10
1.941000000000000000e+03, 2.838984070839600613e-10, -5.683975767264870050e-10, 2.020231625914854688e-10, 3.465160553866867867e-10
1.942000000000000000e+03, 2.830673909103605931e-10, -6.252823602250580637e-10, 2.040275410338907152e-10, 3.663243491234797427e-10
1.943000000000000000e+03, 2.830542375512242721e-10, -5.948542172146291909e-10, 2.104910096392133786e-10, 3.723530410073933951e-10
