year, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, CanESM5, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5
1.880000000000000000e+03, 4.595277671849441248e+00, 6.159724468955003474e+00, 2.987275424540836966e+01, 5.427477639474459181e+01, 4.770998183879897603e+00, 3.257382964406199477e+01, 3.379882386735147293e+01, 1.887195301629597921e+01, 1.136065275526257068e+01, 2.058931720214318695e+00, 4.779807453728874833e+00, 6.733799254278138413e+00, 6.831984179524081213e+00
1.881000000000000000e+03, 4.781734797511554724e+00, 5.920955833414241809e+00, 2.946385048130344941e+01, 5.425179984629575358e+01, 4.705129207734907837e+00, 3.257560113336492691e+01, 3.382828936018262311e+01, 1.882170259599681827e+01, 1.157495908860844125e+01, 1.950844057152489874e+00, 4.840567513067638217e+00, 6.646332008809134884e+00, 6.835911218754884722e+00
1.882000000000000000e+03, 4.707015747703898079e+00, 6.091920610676463177e+00, 2.956624392961993664e+01, 5.412811266728432713e+01, 4.618435802551405622e+00, 3.280369115434668004e+01, 3.395165587040023070e+01, 1.887223534636357059e+01, 1.124934948773695709e+01, 2.045052454209534520e+00, 4.787850978016792602e+00, 6.491596246395802794e+00, 6.826566822713795446e+00
1.883000000000000000e+03, 4.605507566940900688e+00, 6.048971009592340131e+00, 2.947662523773425747e+01, 5.401961578668270647e+01, 4.680199607596624567e+00, 3.321475968681166790e+01, 3.402641376268640983e+01, 1.893086659148019990e+01, 1.150084388742400421e+01, 2.148686115144751607e+00, 4.757447767846891828e+00, 6.334662555386086247e+00, 6.692167199407639266e+00
1.884000000000000000e+03, 4.708788594060137278e+00, 6.116390433828902573e+00, 2.961293119851013600e+01, 5.407091814878629776e+01, 4.728290499767040522e+00, 3.284201973929604179e+01, 3.439823733707581965e+01, 1.898281701355908879e+01, 1.173468718523394827e+01, 2.181468874246514478e+00, 4.861818318951457663e+00, 6.463464594901584093e+00, 6.705375038044461000e+00
1.885000000000000000e+03, 4.696028041479601178e+00, 6.094883888387109039e+00, 2.965344311133237554e+01, 5.439760693058278207e+01, 4.733157837338400675e+00, 3.220902148754731797e+01, 3.468905027972858335e+01, 1.902598301566522565e+01, 1.152292302083152897e+01, 2.080072374316327188e+00, 4.953178672739703359e+00, 6.495050178379657702e+00, 6.803194096213961650e+00
1.886000000000000000e+03, 4.721687842520849721e+00, 6.288017621544259583e+00, 2.957223306550971031e+01, 5.471132605011338512e+01, 4.761665427095058689e+00, 3.228633238344902168e+01, 3.481868384111132997e+01, 1.906172369402542088e+01, 1.143248026900066350e+01, 1.981019063459458884e+00, 4.829588412897020788e+00, 6.595975839154736065e+00, 6.840152809625986485e+00
1.887000000000000000e+03, 4.704422465712370105e+00, 6.093045758997642558e+00, 2.985392803555592778e+01, 5.483547042872477562e+01, 4.732639729894720482e+00, 3.264246289690597536e+01, 3.476955045950641221e+01, 1.902424387039741660e+01, 1.154522105776593399e+01, 2.210879771507789471e+00, 4.634242325160589537e+00, 6.446435212928165015e+00, 6.836523134700264848e+00
1.888000000000000000e+03, 4.580443296457632485e+00, 5.842129649806720337e+00, 2.954390552312284157e+01, 5.453735914923070993e+01, 4.785323954366966781e+00, 3.285133142723162081e+01, 3.466286204912171343e+01, 1.906441906352898386e+01, 1.189816734775611096e+01, 2.109619316550431112e+00, 4.751877807666140541e+00, 6.617886353732726157e+00, 6.750383865601413014e+00
1.889000000000000000e+03, 4.745056911592238080e+00, 6.141202918559231172e+00, 2.965324868922790102e+01, 5.408192785714005879e+01, 4.749121184920649164e+00, 3.285174489814081511e+01, 3.458740490503707576e+01, 1.912903382535179020e+01, 1.156216448311853640e+01, 2.050766412192841948e+00, 4.748839233068433252e+00, 6.552925803563393714e+00, 6.588330637734130413e+00
