year, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, TaiESM1, NorESM2-MM
1.934000000000000000e+03, 1.521928160324740985e-09, 9.280110502039527614e-10, 1.001533970764249185e-09, 1.288417837857382884e-09, 1.384669740795834207e-09
1.935000000000000000e+03, 1.360071388038392904e-09, 1.272245936157681880e-09, 8.730667144406007188e-10, 1.052094443784256758e-09, 1.557075621784611042e-09
1.936000000000000000e+03, 2.291288176063983078e-09, 1.294940193769261352e-09, 1.076915357927983754e-09, 1.335769537767540079e-09, 1.645872549194009491e-09
1.937000000000000000e+03, 2.039427702566390250e-09, 1.481599136787103556e-09, 9.148188623645910507e-10, 1.481852603640605518e-09, 1.290569317932576924e-09
1.938000000000000000e+03, 1.351270336924489846e-09, 1.331117997458784974e-09, 9.356898756942674362e-10, 1.197089068925874792e-09, 1.433746019676389770e-09
1.939000000000000000e+03, 2.489258509545004677e-09, 1.518920853067562725e-09, 1.103706681003030115e-09, 1.206382534049604576e-09, 1.199637755785883448e-09
1.940000000000000000e+03, 1.697810198477463669e-09, 1.060537151631263097e-09, 9.783065207125787844e-10, 1.508200853980972222e-09, 9.320525621349700473e-10
1.941000000000000000e+03, 1.937431021855651898e-09, 1.075157377375222274e-09, 9.001909282088353824e-10, 1.298124863385854766e-09, 1.177508216760009571e-09
1.942000000000000000e+03, 1.550649960421650193e-09, 1.061719801507180222e-09, 1.020304590013147889e-09, 1.272674356753470463e-09, 1.007396689008238565e-09
1.943000000000000000e+03, 3.107733381331869707e-09, 1.037617694683978077e-09, 1.168391226188974226e-09, 1.561272261923291150e-09, 1.609284678087574980e-09
1.944000000000000000e+03, 2.102008474435779476e-09, 7.390935367100447579e-10, 1.019011589930127878e-09, 1.418699886392614475e-09, 1.223205659168179793e-09
1.945000000000000000e+03, 1.726425663203014047e-09, 8.497856049810041942e-10, 8.798719943578172742e-10, 1.468418022206768621e-09, 1.229833277598915345e-09
1.946000000000000000e+03, 1.754230446007451462e-09, 8.926747853846596591e-10, 1.085007615329247232e-09, 1.351748242508145029e-09, 9.319991526065919269e-10
1.947000000000000000e+03, 2.060394424654829855e-09, 8.345648847913551746e-10, 1.106890132730853713e-09, 1.458809395628786455e-09, 7.669452125566265592e-10
1.948000000000000000e+03, 1.281515629514180809e-09, 1.132473363795184881e-09, 1.016067170785308725e-09, 1.245734067750801340e-09, 8.243756057375496642e-10
1.949000000000000000e+03, 1.510875423610359781e-09, 7.052856513288211005e-10, 9.646302861001749631e-10, 1.175132613995778356e-09, 9.208172744529460567e-10
1.950000000000000000e+03, 1.735178520348019929e-09, 1.297708929079091603e-09, 9.255013149614892877e-10, 1.106442226279066944e-09, 1.075891015373505306e-09
1.951000000000000000e+03, 1.509650187297964352e-09, 1.031053777946285236e-09, 8.509008678294756701e-10, 1.028033864511088041e-09, 9.661465417035616297e-10
1.952000000000000000e+03, 1.993495719384085610e-09, 1.254377319044908953e-09, 1.338749450153891146e-09, 1.121150076396559865e-09, 8.371343536524234645e-10
1.953000000000000000e+03, 2.483699290137456693e-09, 1.005952845562560760e-09, 9.574801243605216867e-10, 9.393805083243809713e-10, 1.015783676715218676e-09
1.954000000000000000e+03, 1.275944082159834359e-09, 7.408916966107340809e-10, 9.511460617065199193e-10, 1.105245097395606097e-09, 1.160440274866948889e-09
1.955000000000000000e+03, 1.577606597104422467e-09, 6.760346325294840251e-10, 9.604130804735340845e-10, 1.175015006091437234e-09, 1.470750131669763404e-09
1.956000000000000000e+03, 1.221199627996070684e-09, 9.050022966293429046e-10, 9.934480505618604830e-10, 1.233649985896655523e-09, 1.304064974384167422e-09
1.957000000000000000e+03, 1.936548008903659287e-09, 7.016851295234757270e-10, 1.207307809680531480e-09, 1.132100237607177298e-09, 9.619996087926646593e-10
1.958000000000000000e+03, 1.567784690758865569e-09, 8.554906586733184681e-10, 1.019433825089637886e-09, 1.003499023538623112e-09, 1.202190845823108922e-09
1.959000000000000000e+03, 1.495476641439437589e-09, 9.230481127987286788e-10, 1.010094877000573614e-09, 1.313803983412288874e-09, 1.010429130032237551e-09
1.960000000000000000e+03, 1.472702807177525951e-09, 1.100013637788174144e-09, 1.003669430882124485e-09, 1.254133896600712949e-09, 9.670120257925268917e-10
1.961000000000000000e+03, 1.193600830160736775e-09, 1.854171663026096931e-09, 1.134794196729308483e-09, 1.023128037890425069e-09, 2.226147435680286632e-09
1.962000000000000000e+03, 2.304640205140013552e-09, 1.847606465134074668e-09, 9.931393776365082860e-10, 1.291668736749512015e-09, 1.897485527359614640e-09
1.963000000000000000e+03, 1.954639106476308766e-09, 1.663791219151631525e-09, 1.016609326950087455e-09, 1.328671883601940837e-09, 1.886508029528410317e-09
1.964000000000000000e+03, 1.462924181757554652e-09, 1.481369974130610652e-09, 1.077760970435550284e-09, 1.106775567286179117e-09, 1.791358973441397327e-09
1.965000000000000000e+03, 1.242930014892081191e-09, 1.417833241184814438e-09, 1.009532345798419471e-09, 1.458790602415587905e-09, 1.887055090762568854e-09
1.966000000000000000e+03, 1.745527261637653278e-09, 1.513539239179180668e-09, 9.788223182775065261e-10, 9.217521653253995912e-10, 2.001470532627549349e-09
1.967000000000000000e+03, 1.997060111289417827e-09, 1.201016183866750896e-09, 1.044604798560929043e-09, 9.684019861415464041e-10, 1.562989064727157648e-09
1.968000000000000000e+03, 1.250517010210215191e-09, 1.468927998483527505e-09, 1.260272483390143199e-09, 1.159840930218476810e-09, 1.755799656400620356e-09
1.969000000000000000e+03, 1.695834154451017522e-09, 1.286670928046363868e-09, 9.853103621498113238e-10, 9.432236740920490355e-10, 1.998903444382501955e-09
1.970000000000000000e+03, 1.777498984872022380e-09, 1.792596249244416871e-09, 1.068218546595941480e-09, 1.232071282385476577e-09, 1.721914228284664941e-09
1.971000000000000000e+03, 1.253626262746848676e-09, 1.015185445467404363e-09, 1.178651506724522108e-09, 1.139364472292653636e-09, 1.311467852874345052e-09
1.972000000000000000e+03, 2.041155080671312503e-09, 1.249602951308956054e-09, 8.928196484452972017e-10, 9.748728141528305607e-10, 1.178568619349804243e-09
1.973000000000000000e+03, 1.269635286032304818e-09, 9.139169656444386392e-10, 9.471667256159550160e-10, 9.243826560297695578e-10, 1.094515090819436451e-09
1.974000000000000000e+03, 1.448212852276497810e-09, 1.143861498750867402e-09, 1.197697405707060577e-09, 1.123429348278051829e-09, 1.023455115439699801e-09
1.975000000000000000e+03, 1.625318067775221035e-09, 8.508148384043897263e-10, 9.234470189941293626e-10, 1.148717195460624783e-09, 1.325939871821395371e-09
1.976000000000000000e+03, 1.576666305613637605e-09, 7.813331870113870098e-10, 1.121455675535558749e-09, 1.086200016488020371e-09, 1.060516724886423309e-09
1.977000000000000000e+03, 1.915667098604268135e-09, 1.286755408992141878e-09, 1.000552387925160246e-09, 8.105274363239514167e-10, 8.456251967486718126e-10
1.978000000000000000e+03, 1.790245513264324928e-09, 9.934226148306300489e-10, 1.056604616654092633e-09, 9.499626970876057628e-10, 1.086299382832406201e-09
1.979000000000000000e+03, 1.358780417995204893e-09, 7.773982167104778127e-10, 9.727894313372367760e-10, 1.007138222212252599e-09, 1.866176843257526430e-09
1.980000000000000000e+03, 1.673446004435804852e-09, 9.033978978597985387e-10, 1.087604792791476988e-09, 1.346940716610999677e-09, 1.661688444791549325e-09
1.981000000000000000e+03, 2.414522938030960574e-09, 9.287816555854391489e-10, 1.006785319210758059e-09, 1.092780871597751230e-09, 1.347331171458722029e-09
1.982000000000000000e+03, 1.825847807576405496e-09, 8.237173990485544464e-10, 8.901792088171109592e-10, 1.164918425522058355e-09, 1.146922206313250144e-09
1.983000000000000000e+03, 1.261312594631214284e-09, 8.297872779257745799e-10, 1.042113188948607301e-09, 1.255385262187405638e-09, 9.686740458096802139e-10
1.984000000000000000e+03, 1.891824349968457875e-09, 1.026538326123295077e-09, 1.096609544499075076e-09, 1.106340025557559577e-09, 9.030421790680046521e-10
1.985000000000000000e+03, 1.375304237678111531e-09, 1.158653198250152469e-09, 1.030137374298424191e-09, 1.028323832695511462e-09, 1.103014745052169704e-09
1.986000000000000000e+03, 1.748845314787673418e-09, 7.716114245053407466e-10, 1.014167146468308064e-09, 1.119801047223170528e-09, 1.414383292088384345e-09
1.987000000000000000e+03, 1.690358286093948277e-09, 1.084956471723456796e-09, 9.661823117291611200e-10, 1.168955597464204738e-09, 1.135228612640583884e-09
1.988000000000000000e+03, 1.447479584213279440e-09, 9.722199156019094631e-10, 9.244437631947379583e-10, 1.207981900670394923e-09, 7.825380430065887595e-10
1.989000000000000000e+03, 1.280538587777161309e-09, 1.001848426047368981e-09, 9.867323570743723240e-10, 1.359654382751529065e-09, 1.032716678002346437e-09
1.990000000000000000e+03, 1.176293026000333101e-09, 1.286944282966222262e-09, 1.016554180325330526e-09, 1.102172198091319623e-09, 1.102970332167780226e-09
1.991000000000000000e+03, 1.234585834876987417e-09, 1.008054191389392011e-09, 9.476368518668040324e-10, 1.239147916446133316e-09, 1.106158972300616961e-09
1.992000000000000000e+03, 1.669084726417803334e-09, 7.239030242910661846e-10, 1.227498496664037342e-09, 1.246574600481155645e-09, 1.194030608534969963e-09
1.993000000000000000e+03, 1.812041028224805800e-09, 1.025636819256083477e-09, 9.761465423747464908e-10, 1.093460659549958232e-09, 1.108450141301749470e-09
1.994000000000000000e+03, 3.641833891492234017e-09, 8.228184707675922441e-10, 1.103800360151542181e-09, 1.034961906975157189e-09, 1.213259342271351276e-09
1.995000000000000000e+03, 1.995994638883624060e-09, 1.015618580592583440e-09, 9.574974385241071517e-10, 1.086612040476939337e-09, 8.766017998417155852e-10
1.996000000000000000e+03, 1.217760760325647168e-09, 9.329087373267822256e-10, 9.691858894766586804e-10, 1.278566837525814741e-09, 1.222711660694019590e-09
1.997000000000000000e+03, 1.029589633116809067e-09, 1.047041536783563371e-09, 1.147485197216719482e-09, 1.345553425713831254e-09, 1.642998521418219603e-09
1.998000000000000000e+03, 1.903594024601669605e-09, 7.925028480437437854e-10, 1.031159950233428682e-09, 1.018523333507762021e-09, 1.434945616037119570e-09
1.999000000000000000e+03, 1.452567911243433484e-09, 1.112837301703037933e-09, 9.521423171981516786e-10, 1.239518956217589672e-09, 1.191015189814477001e-09
2.000000000000000000e+03, 1.811463776609840123e-09, 1.100257857664529639e-09, 9.096521991124475435e-10, 1.268316850593422524e-09, 1.386669247703867697e-09
2.001000000000000000e+03, 1.848504586056590294e-09, 7.651432925289921032e-10, 8.622865885472160064e-10, 1.092981933130122574e-09, 1.258699274046397841e-09
2.002000000000000000e+03, 1.288098622548962623e-09, 5.576996194737748985e-10, 9.218098371054683427e-10, 1.240700055306552104e-09, 8.597856126004710455e-10
2.003000000000000000e+03, 1.516032723061924537e-09, 8.669070937843672469e-10, 1.018811483790871240e-09, 1.411476948072679750e-09, 8.893442762767714422e-10
2.004000000000000000e+03, 1.969601578066698903e-09, 8.074361288459697034e-10, 1.057185450712308121e-09, 1.481348290630870067e-09, 1.174793454313359668e-09
2.005000000000000000e+03, 1.506750899799990489e-09, 6.774655006575110325e-10, 9.125932216442022290e-10, 1.473196358797161266e-09, 7.964934986236843563e-10
2.006000000000000000e+03, 1.699239244948739270e-09, 3.579820454579219644e-10, 1.001389485557888732e-09, 1.215857329129483885e-09, 7.199042844319946432e-10
2.007000000000000000e+03, 1.338804493468358706e-09, 6.705928967514649187e-10, 8.792068350578632183e-10, 1.182325664177053326e-09, 1.000574720544557941e-09
2.008000000000000000e+03, 2.637640452672596717e-09, 6.431062770854924306e-10, 1.121492420610108823e-09, 1.315642889005089151e-09, 1.152393229097413917e-09
2.009000000000000000e+03, 2.383114226988764866e-09, 8.732265361090335806e-10, 9.599347108370076269e-10, 1.379021928594715446e-09, 8.203556465235299818e-10
2.010000000000000000e+03, 2.527452745880586826e-09, 1.979013324145261864e-09, 9.884218046580318109e-10, 1.480679449452473363e-09, 2.418799474273385731e-09
2.011000000000000000e+03, 1.534148108269957103e-09, 1.009133216057553887e-09, 8.499114661161020063e-10, 1.569882441203078028e-09, 8.029069216584350916e-10
2.012000000000000000e+03, 3.285157060599315091e-09, 1.043749133615944868e-09, 1.008709284591845453e-09, 1.462323069948672201e-09, 1.198470352629771783e-09
2.013000000000000000e+03, 1.573624201750842419e-09, 1.196662673862893740e-09, 9.962664677712663800e-10, 1.191352618385404360e-09, 1.699840219828212932e-09
2.014000000000000000e+03, 1.750778706562037888e-09, 1.577634870995890138e-09, 8.730288216065843581e-10, 1.091495446342787187e-09, 1.385354022447162865e-09
