year, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, GFDL-ESM4, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L
2.064000000000000000e+03, 2.970483639061961867e+02, 2.968800371910629678e+02, 2.975160028863494972e+02, 2.982056114584999591e+02, 2.968993708150187558e+02, 2.978787958992313065e+02, 2.972473379117427612e+02, 2.956567157307881075e+02, 2.976453514815655126e+02, 2.984834926070147390e+02, 2.956808065534196430e+02, 3.001086286363178033e+02, 2.993692026417123770e+02, 2.966040614904889026e+02, 2.958242200236821873e+02, 2.976317886729225961e+02
2.065000000000000000e+03, 2.967654422917193529e+02, 2.970223858182426397e+02, 2.980614132487930306e+02, 2.978944261776823623e+02, 2.970562304148412522e+02, 2.981924892283363420e+02, 2.977974089463007772e+02, 2.958838802776748480e+02, 2.975720511145069054e+02, 2.990024116778552639e+02, 2.953693629529666964e+02, 2.999671879047337484e+02, 2.992267704105133816e+02, 2.969638631211011557e+02, 2.957087023847024057e+02, 2.974881677619591187e+02
2.066000000000000000e+03, 2.971344669866601862e+02, 2.966396721829933654e+02, 2.976314427116522552e+02, 2.984447221928816703e+02, 2.959139550364623688e+02, 2.987545354009639595e+02, 2.982254830017823224e+02, 2.962652651418953269e+02, 2.980912971858431888e+02, 2.994446701031081375e+02, 2.958309723570170604e+02, 2.999100670302690332e+02, 2.990704848399432763e+02, 2.972953241483745614e+02, 2.956658236606909895e+02, 2.985374036798260704e+02
2.067000000000000000e+03, 2.976390194642237361e+02, 2.970158374973261175e+02, 2.973383752524355828e+02, 2.985632772716401178e+02, 2.961566142334881420e+02, 2.984788539960983371e+02, 2.978468275032173551e+02, 2.961328283813910502e+02, 2.983926945711624512e+02, 2.998663848672229619e+02, 2.957770369007342310e+02, 3.005317419640247181e+02, 2.988015251954622613e+02, 2.971510363575117708e+02, 2.959103688671610826e+02, 2.988032128309597510e+02
2.068000000000000000e+03, 2.980987409570714135e+02, 2.968452831293231498e+02, 2.978120404876028147e+02, 2.991762335336979959e+02, 2.967949628126960988e+02, 2.982645842741541742e+02, 2.978833423514719811e+02, 2.961228185781735647e+02, 2.979778362646617325e+02, 2.993010083773917813e+02, 2.958499259385603750e+02, 3.005378729762900321e+02, 2.993285546462069533e+02, 2.969654506346228686e+02, 2.962096919118093297e+02, 2.977322437321446955e+02
2.069000000000000000e+03, 2.968764003334441668e+02, 2.972404477964865919e+02, 2.976827306208352297e+02, 2.989020213093993448e+02, 2.971322894787014661e+02, 2.988411346770549812e+02, 2.982303450719485909e+02, 2.966417403172600871e+02, 2.983059853287723513e+02, 2.996698002743212896e+02, 2.958148593567476041e+02, 2.999415143418783600e+02, 2.996785363038981700e+02, 2.971419791655042104e+02, 2.960191336307929078e+02, 2.975641434981305906e+02
2.070000000000000000e+03, 2.966485108930639853e+02, 2.966438537700288407e+02, 2.973281439619681805e+02, 2.980999672574015449e+02, 2.960593578440116858e+02, 2.984262003492116264e+02, 2.980315074255503873e+02, 2.970026552920456311e+02, 2.986700357024716368e+02, 2.994311679633639756e+02, 2.962803270431538749e+02, 3.003520359343124255e+02, 2.996282398328593786e+02, 2.970420205441015469e+02, 2.957700492175932254e+02, 2.982873741859758638e+02
2.071000000000000000e+03, 2.970378806854928939e+02, 2.971763866921243675e+02, 2.976721139016221400e+02, 2.978233376064289928e+02, 2.962036568722346033e+02, 2.988342286026202146e+02, 2.981705139702614247e+02, 2.962455274752191485e+02, 2.987438620957059925e+02, 2.997408492883376994e+02, 2.958455903103179025e+02, 3.000009015185661951e+02, 2.992252793175793499e+02, 2.974445853664663559e+02, 2.961018545122354908e+02, 2.988168899309932272e+02
2.072000000000000000e+03, 2.978886960025627673e+02, 2.971541545599249616e+02, 2.980419809296986386e+02, 2.983518240395590055e+02, 2.970640116907891297e+02, 2.985841868662671459e+02, 2.983820131921703478e+02, 2.956766689225188998e+02, 2.985892366502866935e+02, 2.995098393073495799e+02, 2.958328400681746757e+02, 3.003165577384999096e+02, 2.999220372291409831e+02, 2.978349530423588476e+02, 2.962995268053959421e+02, 2.980395972671477693e+02
2.073000000000000000e+03, 2.977616191634372740e+02, 2.975389362003361953e+02, 2.974617342451484774e+02, 2.983822739462611366e+02, 2.977736085138145086e+02, 2.987081613214053846e+02, 2.980515469339798642e+02, 2.968426018922850744e+02, 2.988775805174194033e+02, 2.999601011448889381e+02, 2.957859237610335867e+02, 3.003820145864226561e+02, 2.997733200455539873e+02, 2.973928013922658806e+02, 2.961834551763643617e+02, 2.976123277857775520e+02
2.074000000000000000e+03, 2.972830603182067080e+02, 2.972037670868612622e+02, 2.975833001123579038e+02, 2.988870041063900658e+02, 2.973403810719954095e+02, 2.988821836845937128e+02, 2.978513416958940638e+02, 2.970030757162331270e+02, 2.983594711872793255e+02, 3.002965496754515016e+02, 2.960250125178357052e+02, 3.010043261892308237e+02, 2.994994603265441810e+02, 2.975929314706439186e+02, 2.960420231510165081e+02, 2.980512840347345787e+02
