year, GFDL-ESM4, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CESM2-WACCM, NorESM2-MM
2.037000000000000000e+03, 2.173198724844126818e-09, 1.001590124692616262e-09, 1.855207519616747745e-09, 1.427080781723090999e-09, 1.435885347358580133e-09, 9.418969073992092323e-10, 8.979605416825728356e-10, 2.189329358568086222e-09, 1.435885347358580133e-09, 8.979605416825728356e-10, 1.063424972694797940e-09, 1.427080781723090999e-09
2.038000000000000000e+03, 3.829649925629249405e-09, 8.238559616421271008e-10, 1.984480972738177244e-09, 1.280372599295399899e-09, 1.244986375495929872e-09, 9.154252807921422515e-10, 7.077444460819108085e-10, 3.845840517111128236e-09, 1.244986375495929872e-09, 7.077444460819108085e-10, 1.310462370933530451e-09, 1.280372599295399899e-09
2.039000000000000000e+03, 2.621796088222473172e-09, 8.042117522518264369e-10, 1.837792400619846612e-09, 1.460178004480817527e-09, 1.511117095546750083e-09, 8.618653469292701392e-10, 8.510346658761642890e-10, 2.638131777635239043e-09, 1.511117095546750083e-09, 8.510346658761642890e-10, 9.685987021079704718e-10, 1.460178004480817527e-09
2.040000000000000000e+03, 2.075596089525420326e-09, 1.086117966831880493e-09, 1.767277315262321569e-09, 1.250847217440438591e-09, 1.542160380350649528e-09, 8.846613414594397291e-10, 7.785330813832491278e-10, 2.092107140524851273e-09, 1.542160380350649528e-09, 7.785330813832491278e-10, 1.087636573934023639e-09, 1.250847217440438591e-09
2.041000000000000000e+03, 3.312207542594781501e-09, 1.478453360101644236e-09, 1.592181273630576201e-09, 1.431076675463698591e-09, 1.349269306536257350e-09, 8.935123788635139151e-10, 7.544803607878281310e-10, 3.328826699960199951e-09, 1.349269306536257350e-09, 7.544803607878281310e-10, 7.791894211795067958e-10, 1.431076675463698591e-09
2.042000000000000000e+03, 3.641692331083077106e-09, 8.685901783282878050e-10, 2.287316251713736623e-09, 1.463789185731343009e-09, 1.255323728424380820e-09, 8.638660217496839564e-10, 8.589324175378403239e-10, 3.658475157060822053e-09, 1.255323728424380820e-09, 8.589324175378403239e-10, 7.365114250908869998e-10, 1.463789185731343009e-09
2.043000000000000000e+03, 2.482395636267780975e-09, 1.241409818949478121e-09, 2.577075902331753794e-09, 1.853865555767329214e-09, 1.489860668547198649e-09, 9.907271599464949746e-10, 7.709100149475548290e-10, 2.499051665896097829e-09, 1.489860668547198649e-09, 7.709100149475548290e-10, 7.823581544930333341e-10, 1.853865555767329214e-09
2.044000000000000000e+03, 2.853932483576606724e-09, 1.364884851471428207e-09, 1.978732016564508971e-09, 1.558975784023316902e-09, 1.689149044205843632e-09, 1.182580191658409946e-09, 7.196715534285958468e-10, 2.870906483817642013e-09, 1.689149044205843632e-09, 7.196715534285958468e-10, 9.595883502715703057e-10, 1.558975784023316902e-09
2.045000000000000000e+03, 2.870261263546109845e-09, 1.114277423928169150e-09, 2.123101438783725666e-09, 1.644352516548546574e-09, 1.799874502474280120e-09, 9.838799125155963778e-10, 7.456344097777677317e-10, 2.887461293688496819e-09, 1.799874502474280120e-09, 7.456344097777677317e-10, 8.924343934625762884e-10, 1.644352516548546574e-09
2.046000000000000000e+03, 2.998990196370665098e-09, 1.339667284962003862e-09, 1.897500850450867175e-09, 1.231788615675102295e-09, 1.663802012752745660e-09, 8.866362474667357939e-10, 5.731370309556433666e-10, 3.016224267068337439e-09, 1.663802012752745660e-09, 5.731370309556433666e-10, 7.618663040645502934e-10, 1.231788615675102295e-09
2.047000000000000000e+03, 2.814943422476264565e-09, 1.249005674435243345e-09, 3.016045157102715625e-09, 2.039795670068875062e-09, 1.543359707686859814e-09, 1.062977574131273038e-09, 6.811578168095996990e-10, 2.832212037459033169e-09, 1.543359707686859814e-09, 6.811578168095996990e-10, 9.616900077108155585e-10, 2.039795670068875062e-09
2.048000000000000000e+03, 3.971879122005952636e-09, 1.500425851722150412e-09, 2.353850986162844547e-09, 1.764395979261211606e-09, 1.944034874446337678e-09, 1.032582725853466557e-09, 8.120945226682354765e-10, 3.989343843214701734e-09, 1.944034874446337678e-09, 8.120945226682354765e-10, 8.525794873786868376e-10, 1.764395979261211606e-09
2.049000000000000000e+03, 3.859342083944561498e-09, 1.070063447281124522e-09, 3.272199211783447235e-09, 1.350216403814641629e-09, 1.397688664879188521e-09, 9.992606352884181891e-10, 9.398889099294748415e-10, 3.876903182236760713e-09, 1.397688664879188521e-09, 9.398889099294748415e-10, 8.257272535502856107e-10, 1.350216403814641629e-09
2.050000000000000000e+03, 3.323085380260536296e-09, 1.024557018809964811e-09, 2.202797206406339537e-09, 1.051544174615214353e-09, 1.408130605982338274e-09, 9.397693302169540331e-10, 5.199291073505656734e-10, 3.341057067046978051e-09, 1.408130605982338274e-09, 5.199291073505656734e-10, 9.006879258620864755e-10, 1.051544174615214353e-09
2.051000000000000000e+03, 8.916305676350570523e-09, 1.500110672958474729e-09, 2.133633884450169780e-09, 1.624468203555310699e-09, 1.885868229574875071e-09, 9.768374350351106725e-10, 6.622315325677571038e-10, 8.934819863231324569e-09, 1.885868229574875071e-09, 6.622315325677571038e-10, 7.823054165741427038e-10, 1.624468203555310699e-09
2.052000000000000000e+03, 3.418976119198376993e-09, 1.169229221895311228e-09, 2.312693294192166831e-09, 1.511707122699795858e-09, 2.190418605707767434e-09, 9.608479012083046987e-10, 7.230322177575405516e-10, 3.437877616489736512e-09, 2.190418605707767434e-09, 7.230322177575405516e-10, 1.193131617959068089e-09, 1.511707122699795858e-09
2.053000000000000000e+03, 4.085561343558146642e-09, 1.406474802264427900e-09, 2.569354142602259191e-09, 1.243349159964564651e-09, 2.334747901206990290e-09, 9.366628913968110975e-10, 6.587664252767218885e-10, 4.104785453661814054e-09, 2.334747901206990290e-09, 6.587664252767218885e-10, 1.563741972525912950e-09, 1.243349159964564651e-09
2.054000000000000000e+03, 2.601751704804399580e-09, 1.209500985156135256e-09, 2.142214030149104011e-09, 1.668554957096703957e-09, 1.736287210274191336e-09, 1.034810995555897687e-09, 6.523615582467872074e-10, 2.621441129902546404e-09, 1.736287210274191336e-09, 6.523615582467872074e-10, 6.628058444268027217e-10, 1.668554957096703957e-09
2.055000000000000000e+03, 2.362307063005851114e-09, 1.665487234099770439e-09, 2.525008934870458617e-09, 1.609408058893869652e-09, 2.089699002688447029e-09, 9.626744191875103101e-10, 5.344772426999013977e-10, 2.382003741043715360e-09, 2.089699002688447029e-09, 5.344772426999013977e-10, 8.292738564768650987e-10, 1.609408058893869652e-09
2.056000000000000000e+03, 3.015709794683421579e-09, 2.145977756016119102e-09, 2.219845401885376354e-09, 1.152946055315143962e-09, 1.931990393452756045e-09, 1.014588162360325737e-09, 6.580372108813901154e-10, 3.035399097540461379e-09, 1.931990393452756045e-09, 6.580372108813901154e-10, 8.456529128751566709e-10, 1.152946055315143962e-09
2.057000000000000000e+03, 2.540047690970827122e-09, 1.732989342154230797e-09, 2.448774398938322544e-09, 1.486822273482000266e-09, 2.447778219071874329e-09, 1.031431019415287137e-09, 6.789898730343833361e-10, 2.560114569051767349e-09, 2.447778219071874329e-09, 6.789898730343833361e-10, 1.658798629004230257e-09, 1.486822273482000266e-09
