year, IPSL-CM6A-LR, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, ACCESS-ESM1-5, NorESM2-LM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, EC-Earth3-Veg, NorESM2-MM, TaiESM1
2.059000000000000000e+03, 4.710601577591831735e+00, 4.876927600339242552e+00, 3.819251756527948238e+00, 3.707810441565941417e+00, 4.897317575039150661e+00, 3.951232881306614875e+00, 3.958282715230965643e+00, 4.903619246119708563e+00, 4.992275390282531866e+00, 4.328766981705356898e+00, 5.011213675827352887e+00, 3.423480675137202667e+00, 4.315033422845751865e+00, 4.459917393573211264e+00, 3.814843909105624764e+00, 4.039511994055472677e+00
2.060000000000000000e+03, 4.819875571543657422e+00, 5.194766067071502569e+00, 3.545778949944863978e+00, 3.550089029353280967e+00, 5.077504549723050431e+00, 4.085790380541696187e+00, 4.081376826988914353e+00, 5.101309529408460719e+00, 4.425928034097846187e+00, 4.165127391999634554e+00, 5.008231138126322257e+00, 3.204008500512595781e+00, 3.864604233879484596e+00, 4.402302314462187560e+00, 3.635948383917283255e+00, 4.182730186628131896e+00
2.061000000000000000e+03, 4.797067420088560574e+00, 4.685851063659813853e+00, 3.622780084666013423e+00, 3.623421577584531761e+00, 4.765012604785860084e+00, 4.090883567252336483e+00, 3.831436840309544678e+00, 5.104694795572036092e+00, 4.949991717445933581e+00, 3.900302865815258979e+00, 4.935027329290013753e+00, 3.714860094290726611e+00, 4.159579608613586110e+00, 4.724070815661159273e+00, 3.861280959660343903e+00, 4.148167588859817734e+00
2.062000000000000000e+03, 4.713921192373739188e+00, 4.472991331532163883e+00, 3.838021696263786531e+00, 4.171842916933766077e+00, 4.758762699013592723e+00, 3.870515508263276949e+00, 3.890846500951013809e+00, 5.200399268927063723e+00, 4.728659692067017417e+00, 3.828580309317362484e+00, 5.040069901531341934e+00, 3.994544906669079243e+00, 4.294646077194655298e+00, 4.801689901269845073e+00, 3.830325337905935879e+00, 4.175729519232032949e+00
2.063000000000000000e+03, 4.763365806052396678e+00, 4.648086330333469185e+00, 3.914685425895853665e+00, 4.106307907386041123e+00, 5.115371189185951906e+00, 3.985260191011017472e+00, 4.028664442133401913e+00, 5.125499457734936648e+00, 5.338439940587429433e+00, 4.126420895370686459e+00, 4.818089350244752822e+00, 3.525352652489254446e+00, 4.104155093104304264e+00, 4.857539044318988530e+00, 4.212097015524960852e+00, 4.294696484986441298e+00
2.064000000000000000e+03, 4.947099441891825933e+00, 4.396167670482391543e+00, 3.374261195948335068e+00, 4.028360392423225633e+00, 4.780240996481727400e+00, 3.892679870438259915e+00, 3.999765272557363360e+00, 5.036572625330884456e+00, 5.264988582895889557e+00, 4.200704738880792100e+00, 5.033984712060209255e+00, 3.608514699966568262e+00, 4.143995754257813857e+00, 4.655591479230912988e+00, 3.692426498241208055e+00, 4.283872919119515288e+00
2.065000000000000000e+03, 4.821114758506750420e+00, 4.618169062997584895e+00, 3.632380359874150866e+00, 3.742930019368718497e+00, 4.711329634553547585e+00, 3.848375084810431002e+00, 3.764694320743286138e+00, 5.086634924020819071e+00, 5.284802523393639540e+00, 3.788267185327376829e+00, 5.013219296679951142e+00, 3.456568031768449067e+00, 4.375455236023378269e+00, 4.523913743493208628e+00, 3.839274004036890009e+00, 4.254930880253755987e+00
2.066000000000000000e+03, 4.699817240680199681e+00, 4.417463697454938831e+00, 4.240207102462702160e+00, 3.927799782823734542e+00, 4.287487832267619758e+00, 3.913739713953267252e+00, 3.666638950438926070e+00, 5.069790031598013336e+00, 4.919401082098969979e+00, 3.967207935668861207e+00, 5.097985115011881341e+00, 3.789665436123510478e+00, 4.376240818704462576e+00, 4.525686077321672940e+00, 3.745787954428609901e+00, 4.216021535139219623e+00
2.067000000000000000e+03, 4.833888551374456277e+00, 4.971104120458642583e+00, 3.932298025534762598e+00, 3.939202491578567056e+00, 5.045470803237628310e+00, 3.996243696316985172e+00, 4.130767551317275021e+00, 5.019283799572419547e+00, 4.446480193780015355e+00, 4.318268458968657519e+00, 5.089058945890794661e+00, 3.403410162714043175e+00, 4.423670095738633457e+00, 4.565982072128729641e+00, 3.910993258932567329e+00, 4.357928091229931411e+00
2.068000000000000000e+03, 4.750899159983666742e+00, 4.511532115429414347e+00, 3.560597886392431466e+00, 3.787164073429070132e+00, 4.997131694030037430e+00, 4.155432570830059902e+00, 3.961401136070902052e+00, 5.045601388716987046e+00, 5.195399661197339647e+00, 3.990879704462951594e+00, 5.002065560711060677e+00, 3.597701726125797528e+00, 3.918542584883300872e+00, 4.380844213327856451e+00, 3.595278308069741691e+00, 4.208729350630685317e+00
2.069000000000000000e+03, 4.962801866912024629e+00, 4.419199854224821422e+00, 3.805397181320631983e+00, 3.841073077829489257e+00, 4.998861042970018431e+00, 4.095919569528466475e+00, 3.833713048810420965e+00, 4.917463230616130332e+00, 5.069019559120461871e+00, 3.935375139334666095e+00, 4.991217086156805038e+00, 3.846998470795367275e+00, 4.404110437537844369e+00, 4.641249737996377078e+00, 3.926895546829528350e+00, 4.148795851710801230e+00
2.070000000000000000e+03, 4.862499377553633373e+00, 4.525432823101373181e+00, 4.231765837007393394e+00, 3.693581523661801036e+00, 4.393249602574049284e+00, 4.071450446299047066e+00, 3.858510277768891772e+00, 4.630428744779252703e+00, 4.898290687269542865e+00, 4.147256362587213196e+00, 5.354652252119639577e+00, 3.764013638591775290e+00, 4.127396461225315782e+00, 4.713213920547474345e+00, 3.789550760846926547e+00, 4.137744712503077515e+00
2.071000000000000000e+03, 4.620658073459544823e+00, 4.800286177250566944e+00, 4.015058216730646556e+00, 4.040420627191165792e+00, 4.939137010461581490e+00, 3.625465661696100739e+00, 3.617924993101306441e+00, 4.889438290982234037e+00, 4.948412298591259528e+00, 3.919184885916690675e+00, 5.148027734218522333e+00, 3.822539686169838191e+00, 4.284813789298712372e+00, 4.604992223826900322e+00, 3.639631982624765172e+00, 4.022991643829651132e+00
2.072000000000000000e+03, 4.648268718866387594e+00, 4.377503120379705237e+00, 3.570050280088638672e+00, 3.978325722794464614e+00, 4.960790187477196689e+00, 3.898596046225546896e+00, 3.732214918940395254e+00, 5.092947775561261103e+00, 4.893627235529798725e+00, 3.678692086072769207e+00, 4.863130266501803689e+00, 3.522150973152557540e+00, 3.909146617980112204e+00, 4.556384039084473869e+00, 3.739494326627674781e+00, 4.098933627499822485e+00
2.073000000000000000e+03, 4.633907178142476546e+00, 4.814312568346878152e+00, 3.556940169529689832e+00, 3.375574508737984925e+00, 4.962129113251798174e+00, 3.602847673353374525e+00, 4.162570354295043629e+00, 4.992734542244047447e+00, 4.768999383370425171e+00, 3.944659916510540931e+00, 4.783109299039133511e+00, 3.605078435244461588e+00, 4.174333953226120109e+00, 4.748466395740178037e+00, 3.706664026479036256e+00, 4.077324143374099208e+00
2.074000000000000000e+03, 4.804907113360656012e+00, 4.886476708003841374e+00, 3.810948212035482729e+00, 3.695870915848900484e+00, 4.773923913125106111e+00, 3.863573520352034052e+00, 3.807310084875071610e+00, 4.932969825668154229e+00, 4.518525738480939857e+00, 3.801285796237807268e+00, 4.994504459778871031e+00, 3.455816008515995019e+00, 3.838105179832462355e+00, 4.859454582211056639e+00, 3.769777102235169153e+00, 4.219794394366660484e+00
2.075000000000000000e+03, 4.959565207175816504e+00, 4.687634978792467599e+00, 3.962130305194067503e+00, 4.090520913307085671e+00, 4.606609164230244247e+00, 4.031974642851373858e+00, 3.738551055573325677e+00, 5.310723090713634242e+00, 5.364188574539388910e+00, 3.678592694975267641e+00, 4.879725824191504024e+00, 3.765887796954469291e+00, 4.028074379532378124e+00, 4.553961895277137906e+00, 3.740227576271942134e+00, 4.293535271597345826e+00
