year, IPSL-CM6A-LR, NorESM2-LM, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5
2.054000000000000000e+03, 1.418443385377355526e+02, 1.687947837056377978e+02, 1.033467894264026796e+02, 1.284727852063734872e+02, 1.802765094575520664e+02, 1.530339569110800824e+02, 6.368331744336797584e+01, 1.291306134180541960e+02, 1.302096857445207547e+02, 1.568692447698941237e+02, 1.398067361258404162e+02, 1.618412873175847153e+02, 1.875352444591913184e+02, 1.689526713077129898e+02, 1.630184430737718628e+02, 1.855501798040023687e+02
2.055000000000000000e+03, 1.421541730255009099e+02, 1.687239855684021563e+02, 1.042423759326221244e+02, 1.282781750387088380e+02, 1.821957972299982487e+02, 1.523949154770831171e+02, 6.503874123910327398e+01, 1.300991595736151396e+02, 1.303528663366567457e+02, 1.566312882216601281e+02, 1.402358619376903164e+02, 1.624163171256163594e+02, 1.881539401923822084e+02, 1.688720122384352749e+02, 1.638147942191517359e+02, 1.853069385031818399e+02
2.056000000000000000e+03, 1.417917184314869985e+02, 1.684460659749616127e+02, 1.053992653506871164e+02, 1.283565676005890452e+02, 1.829590077708825504e+02, 1.514378937864223928e+02, 6.592329567942114465e+01, 1.303292961772258423e+02, 1.311227655362223743e+02, 1.564404196721272342e+02, 1.401971850628903269e+02, 1.626197036648157450e+02, 1.889312102997361080e+02, 1.696505141761286666e+02, 1.639969308385303179e+02, 1.847902389995198007e+02
2.057000000000000000e+03, 1.424386573984694451e+02, 1.682938848370436915e+02, 1.056404626871283483e+02, 1.282023547528847587e+02, 1.837733810650208852e+02, 1.499717311877232646e+02, 6.581556004856760467e+01, 1.308993138495285393e+02, 1.315375752480525193e+02, 1.568615640426930611e+02, 1.405386555977547118e+02, 1.632655117871867390e+02, 1.894711220607005657e+02, 1.703992793371218113e+02, 1.650131621511468722e+02, 1.836482753223663735e+02
2.058000000000000000e+03, 1.426791432078011894e+02, 1.690762878365235622e+02, 1.054670850193984109e+02, 1.288576253917897247e+02, 1.842031230434420479e+02, 1.486299972555785587e+02, 6.606809265531562403e+01, 1.314792229196575590e+02, 1.314773812432268016e+02, 1.583290962543511569e+02, 1.410538285418303701e+02, 1.635965446230547400e+02, 1.893509381235830631e+02, 1.709641505965561237e+02, 1.651793304668580049e+02, 1.822881449287403939e+02
2.059000000000000000e+03, 1.422560866855149015e+02, 1.699123298863719924e+02, 1.049530183955092042e+02, 1.297594731028739261e+02, 1.850381176572467439e+02, 1.461942560152574231e+02, 6.613408965564831021e+01, 1.307562617129891294e+02, 1.321483240908215180e+02, 1.581984158483033980e+02, 1.412515413247385254e+02, 1.639452143861460058e+02, 1.892706527807891632e+02, 1.713093554842675701e+02, 1.654049240178635500e+02, 1.823119529259923581e+02
2.060000000000000000e+03, 1.425049683792853727e+02, 1.707539992031158818e+02, 1.042297345275115958e+02, 1.291496873578689986e+02, 1.858828436526235066e+02, 1.449997252306256712e+02, 6.525506218765150379e+01, 1.313992327433530249e+02, 1.323479668754841896e+02, 1.573221129482569438e+02, 1.413211687251634885e+02, 1.641909774205962833e+02, 1.894326489881869406e+02, 1.717960328937724057e+02, 1.655514542678839689e+02, 1.812858519918669344e+02
2.061000000000000000e+03, 1.429029630158666464e+02, 1.716069589096616141e+02, 1.034181691578538675e+02, 1.284622391574017115e+02, 1.865591568650259262e+02, 1.445093488363479537e+02, 6.422180101479186476e+01, 1.305024531768517591e+02, 1.328462036633362686e+02, 1.568767463000154976e+02, 1.419006251364510547e+02, 1.648711733344610479e+02, 1.897160204030744239e+02, 1.719399676111575559e+02, 1.658371330303097295e+02, 1.807445959850715269e+02
2.062000000000000000e+03, 1.431876421220912334e+02, 1.720264020982584441e+02, 1.049682175466864322e+02, 1.295757867780570223e+02, 1.870046783950086251e+02, 1.426734635227657577e+02, 6.210854984357668940e+01, 1.313208555039733199e+02, 1.333542946092759109e+02, 1.567978784485464701e+02, 1.427517755297108124e+02, 1.662269932993217765e+02, 1.895550267619038607e+02, 1.723627905351658853e+02, 1.661856614894428219e+02, 1.801222124043412407e+02
2.063000000000000000e+03, 1.427990244395919319e+02, 1.725791208245573785e+02, 1.064315521723419096e+02, 1.286355406988010373e+02, 1.878035316665621224e+02, 1.405600596174029988e+02, 6.284925288922340059e+01, 1.330787889617014628e+02, 1.333915431028595151e+02, 1.586881817039539158e+02, 1.433127008399626163e+02, 1.670545839623042070e+02, 1.891580837303428098e+02, 1.731044372470315693e+02, 1.657187907015147346e+02, 1.801690045330626901e+02
