year, NorESM2-LM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, CanESM5, CMCC-CM2-SR5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1
2.069000000000000000e+03, 1.470352633869142096e+02, 1.046001078985638628e+02, 1.055408993477726796e+02, 1.983397262605668914e+02, 1.138895359190562999e+02, 1.263903248736462643e+02, 1.478071510326058160e+02, 1.160324652108150758e+02, 1.998499953812932972e+02, 2.953371616963792690e+02, 1.441196708204833783e+02, 3.167369780253133058e+02, 1.882456022853029367e+02
2.070000000000000000e+03, 1.471895461628506894e+02, 1.044252635058596610e+02, 1.053780818416727811e+02, 1.982861990627349940e+02, 1.138655437744304066e+02, 1.267421140603239991e+02, 1.479738901714453334e+02, 1.163232577948613908e+02, 1.997647247010826277e+02, 2.953479485499157704e+02, 1.442749263342857091e+02, 3.160797489957971038e+02, 1.880905711137889682e+02
2.071000000000000000e+03, 1.473336237674026563e+02, 1.042452726461173711e+02, 1.052616461081118615e+02, 1.983873584942455466e+02, 1.138483528101510558e+02, 1.268755500209458944e+02, 1.481838598795422399e+02, 1.162121503762086832e+02, 1.997501304932871733e+02, 2.955753143082297925e+02, 1.444362720063452343e+02, 3.162432031853397802e+02, 1.880523390224599325e+02
2.072000000000000000e+03, 1.475195833868281738e+02, 1.040565076560197184e+02, 1.052704408648805412e+02, 1.983842073895076794e+02, 1.138053023876657335e+02, 1.266329481259027716e+02, 1.483536097385068047e+02, 1.163312904819998721e+02, 1.997848179399724700e+02, 2.956701318526130535e+02, 1.445445744013257467e+02, 3.161850177581005710e+02, 1.880864396635335822e+02
2.073000000000000000e+03, 1.477095804947816760e+02, 1.038306905880875206e+02, 1.050777312813546871e+02, 1.983642509510456478e+02, 1.137670492284906913e+02, 1.273096124734428685e+02, 1.485242600850453130e+02, 1.165818706409629613e+02, 1.997931962195906124e+02, 2.958017346715085978e+02, 1.446919179037525964e+02, 3.154357617165163106e+02, 1.879883965981903486e+02
2.074000000000000000e+03, 1.479546649348307596e+02, 1.034677252236778884e+02, 1.049680089736284287e+02, 1.983642488591947597e+02, 1.137297208848109733e+02, 1.277746912868626623e+02, 1.485863529587150822e+02, 1.169049740037525282e+02, 1.997094989970119343e+02, 2.958368113786565345e+02, 1.448547447485399857e+02, 3.155017429362318921e+02, 1.878377353006157477e+02
2.075000000000000000e+03, 1.481219119945803016e+02, 1.031595071171680189e+02, 1.047852800566367222e+02, 1.983700735671567372e+02, 1.136674931947704295e+02, 1.272407456905003755e+02, 1.487126409213277896e+02, 1.171302049091601987e+02, 1.996302910188857993e+02, 2.959769546892304106e+02, 1.450081387453726336e+02, 3.158031435501402484e+02, 1.875967096793310134e+02
2.076000000000000000e+03, 1.482739826534435110e+02, 1.030161980364787695e+02, 1.046713969262703756e+02, 1.982397443017112550e+02, 1.136311138402364094e+02, 1.271074269009164937e+02, 1.488783712754776900e+02, 1.171962511497532660e+02, 1.996848231491526633e+02, 2.960355236090705375e+02, 1.450679999263639672e+02, 3.156376185184182646e+02, 1.874488683116430821e+02
2.077000000000000000e+03, 1.484525167913489554e+02, 1.028010301917257152e+02, 1.045600616375588743e+02, 1.981652345735325582e+02, 1.135934622498967883e+02, 1.273327159909744637e+02, 1.490173022158075469e+02, 1.173819592850853013e+02, 1.995444498094748269e+02, 2.961193119298428087e+02, 1.452481890143462806e+02, 3.155528654220424869e+02, 1.873521421302402814e+02
2.078000000000000000e+03, 1.486006568156263938e+02, 1.023708232873384958e+02, 1.044293838176728713e+02, 1.981136266832187403e+02, 1.135842062898411200e+02, 1.274070006596132743e+02, 1.491037367487250549e+02, 1.177094718476243003e+02, 1.996258750348191313e+02, 2.961856518917086873e+02, 1.454821625945284893e+02, 3.146770628127248415e+02, 1.871357087825570034e+02
2.079000000000000000e+03, 1.488152510315420045e+02, 1.019004450267235313e+02, 1.045148827318926266e+02, 1.980206533841443672e+02, 1.135201559889684546e+02, 1.280700338952630375e+02, 1.492953262002409360e+02, 1.179899293979578374e+02, 1.995888458882339194e+02, 2.963290482349889885e+02, 1.456581521440328686e+02, 3.141295727999052474e+02, 1.871087271825806795e+02
2.080000000000000000e+03, 1.490055628503423009e+02, 1.016427375266605821e+02, 1.042615384350750958e+02, 1.978364656582062082e+02, 1.134716779028356939e+02, 1.284079710408381914e+02, 1.495487963123067061e+02, 1.181792087390446540e+02, 1.996603435162884352e+02, 2.964196681329780176e+02, 1.457388480692097517e+02, 3.139254237954424980e+02, 1.869261858758983408e+02
2.081000000000000000e+03, 1.491244156612038125e+02, 1.014190859284192783e+02, 1.041000119076865076e+02, 1.977335379755690496e+02, 1.134282846604590844e+02, 1.283739030281357429e+02, 1.497035718514214295e+02, 1.182142263207098978e+02, 1.994779938093073781e+02, 2.963422060807384355e+02, 1.458844824994748137e+02, 3.129950517729415083e+02, 1.867522696659199539e+02
2.082000000000000000e+03, 1.493073459795737676e+02, 1.012111406272355509e+02, 1.039277282649149328e+02, 1.976880103214772362e+02, 1.134066956373025334e+02, 1.281986027548939830e+02, 1.498420382236465684e+02, 1.183001084642264971e+02, 1.992506808047083098e+02, 2.962462925040415485e+02, 1.460975677215443227e+02, 3.127843642707389904e+02, 1.864938331693928149e+02
2.083000000000000000e+03, 1.494550250917889969e+02, 1.010628053880122224e+02, 1.040487130148380004e+02, 1.976395253998693136e+02, 1.133577546939298912e+02, 1.280882070046575905e+02, 1.499836218250593447e+02, 1.184120261425617002e+02, 1.992088358182198533e+02, 2.963809967926243871e+02, 1.462612923032370702e+02, 3.131647569916689804e+02, 1.862813825063774686e+02
2.084000000000000000e+03, 1.495196120037617220e+02, 1.007303337577341296e+02, 1.038442790442948223e+02, 1.975454874998868320e+02, 1.132774324838046880e+02, 1.281834546506380832e+02, 1.501504277498101771e+02, 1.185203905420235913e+02, 1.991536706744904279e+02, 2.965395401363325050e+02, 1.464668874983541969e+02, 3.125574366344744135e+02, 1.860355167661264773e+02
2.085000000000000000e+03, 1.495836697312595902e+02, 1.004683199776287381e+02, 1.035272661124880074e+02, 1.973946445041306959e+02, 1.132194628994013925e+02, 1.284777381499119144e+02, 1.503220049159162102e+02, 1.186111329169448396e+02, 1.990888616055741522e+02, 2.966676217108034166e+02, 1.466941406641180947e+02, 3.120521656193235458e+02, 1.857199013050003771e+02
2.086000000000000000e+03, 1.497729551746658956e+02, 1.002751650972360551e+02, 1.033055683840817522e+02, 1.973001332040826412e+02, 1.131303783097454954e+02, 1.282832493102553428e+02, 1.504225309537826263e+02, 1.188268598915949212e+02, 1.990216945045174270e+02, 2.966499723457836240e+02, 1.468768613727526713e+02, 3.119766938499310527e+02, 1.855385408537906642e+02
2.087000000000000000e+03, 1.499706823753315916e+02, 1.001295367440276038e+02, 1.034163211731731593e+02, 1.972382074564563368e+02, 1.130374017604262775e+02, 1.283010942541529289e+02, 1.505582390680607148e+02, 1.191941264182560616e+02, 1.989209424798836778e+02, 2.966754076736867205e+02, 1.470381379695674582e+02, 3.126639448888518018e+02, 1.853070078529169962e+02
2.088000000000000000e+03, 1.501532327899292909e+02, 1.000544175053776854e+02, 1.034307616951828095e+02, 1.971626946082145651e+02, 1.129605700285291476e+02, 1.286760416968232050e+02, 1.507423773266491196e+02, 1.193701732083451645e+02, 1.988394352810466614e+02, 2.967841242810087010e+02, 1.471501617100839212e+02, 3.129575272198489415e+02, 1.851298657574326967e+02
