year, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, TaiESM1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CESM2-WACCM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, CMCC-CM2-SR5
2.045000000000000000e+03, 3.654777926489092010e+01, 3.142837289137807488e+01, 4.581231460675298450e+01, 4.588685711393754474e+01, 3.480465243276660203e+01, 4.412598046621077685e+01, 3.881170612472639192e+01, 2.929229291213511388e+01, 2.865271873604032749e+01, 3.464713762151551890e+01, 3.242297944326609382e+01, 3.323103791974799748e+01, 4.771334097167360255e+01, 3.856761115621299751e+01, 3.665679118698263039e+01, 2.659980229156569465e+01
2.046000000000000000e+03, 3.767040465316899400e+01, 3.178373966809776618e+01, 4.682271025657932739e+01, 4.711835900977306579e+01, 3.685370294180012252e+01, 4.062028414653521935e+01, 3.919064023782777184e+01, 2.906885095620177850e+01, 2.955631962342530628e+01, 3.473186162450943471e+01, 3.342647208649674440e+01, 3.281481585404609547e+01, 4.695044284167677517e+01, 3.810067262162798585e+01, 3.711986327102134453e+01, 2.594242506567942996e+01
2.047000000000000000e+03, 3.535996897760940527e+01, 3.159718417004285840e+01, 4.521113507106610285e+01, 4.783894089766218372e+01, 3.855595908611756784e+01, 4.156268172822429108e+01, 3.966743314445633217e+01, 2.852251922927636585e+01, 2.971340955829996133e+01, 3.468769839176098913e+01, 3.195298682079371488e+01, 3.345422099957747974e+01, 4.504895152101763500e+01, 3.685688881684483675e+01, 3.661226750169879551e+01, 2.545272139943187284e+01
2.048000000000000000e+03, 3.719751850637793211e+01, 3.128816217952067191e+01, 4.598229033499947604e+01, 4.590646199111414916e+01, 3.677379344427859564e+01, 4.225183248972141570e+01, 3.919660469161878069e+01, 2.825118606691365031e+01, 2.805321147751198652e+01, 3.434706191868027503e+01, 3.342782234199738411e+01, 3.348866820622539109e+01, 4.762203869127803557e+01, 3.732396220920632857e+01, 3.660355144789384241e+01, 2.570331347089951279e+01
2.049000000000000000e+03, 3.738104020497339519e+01, 2.718414542429081138e+01, 4.839753652244333892e+01, 4.710053999002113301e+01, 3.589696979517332664e+01, 4.276940057174999765e+01, 3.954609533152575551e+01, 2.909680473540789336e+01, 2.945430809512485837e+01, 3.448566783478585762e+01, 3.388733493818252640e+01, 3.336414895998671426e+01, 4.754956104362458547e+01, 3.749264363539929690e+01, 3.706786528771236533e+01, 2.603454050622851312e+01
2.050000000000000000e+03, 3.697934267585342383e+01, 2.939900781292594090e+01, 4.526970229680907920e+01, 4.853286326253443406e+01, 3.432099379197445188e+01, 4.042957137726219230e+01, 3.918341060757425964e+01, 2.905050543003646624e+01, 3.019034492712074780e+01, 3.454340215441398954e+01, 3.455313748793351181e+01, 3.471074412566778022e+01, 4.784725293941146163e+01, 3.776569340225035631e+01, 3.787863734877731048e+01, 2.709541946109440147e+01
2.051000000000000000e+03, 3.753113476313624375e+01, 3.188128310685442912e+01, 4.707355789463150586e+01, 4.999526515855644959e+01, 3.715534090516587185e+01, 4.336809083337401205e+01, 3.802781904350018038e+01, 2.843855950474805994e+01, 2.646699101445616265e+01, 3.522090168747354255e+01, 3.349998533182642291e+01, 3.459061996688117091e+01, 4.710689520341196612e+01, 3.789025887518575786e+01, 3.742787391227935956e+01, 2.648824226689975347e+01
2.052000000000000000e+03, 3.715405226202631894e+01, 3.017901627379233886e+01, 4.742550112093658754e+01, 4.974021385020319030e+01, 3.884574489634147909e+01, 4.589808133908859133e+01, 3.796597142910994904e+01, 2.944147340004093749e+01, 2.941727760269872149e+01, 3.500174103036586359e+01, 3.449130390633001753e+01, 3.269523483412135789e+01, 4.729769362245023245e+01, 3.618399146294029833e+01, 3.779813719641977343e+01, 2.645149823631860642e+01
2.053000000000000000e+03, 3.788856871088594147e+01, 3.133043878245151603e+01, 4.563301664745686992e+01, 4.900349153977500549e+01, 3.688965070409798841e+01, 4.617441781485903363e+01, 3.884594115424299332e+01, 2.944133379196552980e+01, 2.983246075598400537e+01, 3.525585886170588168e+01, 3.471371001139618073e+01, 3.275832825279793070e+01, 4.683997735296471632e+01, 3.619096043609683022e+01, 3.828544205112682164e+01, 2.632990800671896992e+01
2.054000000000000000e+03, 3.737207186023833572e+01, 3.193348949766726008e+01, 4.709013754535074980e+01, 4.862326578828751167e+01, 3.753911337907459256e+01, 4.969049954078452203e+01, 3.997408369922048621e+01, 2.957032952285504024e+01, 3.053107854401682175e+01, 3.508539900055370708e+01, 3.396179714574094533e+01, 3.492368057576238272e+01, 4.882235967943743304e+01, 3.703254471866995345e+01, 3.761797605736552441e+01, 2.709171861443305573e+01
