year, CMCC-ESM2, CESM2-WACCM, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1
2.076000000000000000e+03, -2.169431647452700801e-10, 2.257265600850528039e-09, 3.561504131724804907e-09, 1.716551349778207078e-09, -1.049750903647036525e-10, -3.970901795964811825e-10, -1.268337846419418565e-09
2.077000000000000000e+03, -1.528584838031456306e-09, 2.633832576451195106e-09, -2.649013721733410909e-09, 7.894764061893515718e-10, 1.617953410974943890e-09, -2.401783557382954077e-09, 1.213934292051208514e-10
2.078000000000000000e+03, 1.740776334503269791e-10, 1.998141336751369390e-09, 1.126160275172965174e-09, 2.047816869698617397e-10, 2.835121216834848480e-09, -1.674596929186207265e-09, 2.295365170136351828e-10
2.079000000000000000e+03, 5.889494216932265329e-10, 2.195987848111545131e-09, -2.670731179107627446e-09, 1.784529141346327472e-10, 2.100293380514457284e-09, -1.718156724047811490e-09, -1.559805640323496926e-09
2.080000000000000000e+03, -1.248482057540410181e-09, 1.537975983203521391e-09, 3.719238969410514527e-10, -7.581053950586512841e-10, 9.725534868160692770e-10, -1.028709920265013611e-10, -3.370531475883887459e-10
2.081000000000000000e+03, -1.412334036790695175e-09, 1.457498755969941976e-09, -1.770855479301658920e-09, -5.067937319235151820e-10, -6.874581643296582251e-10, -3.323957380848602604e-09, -1.137527972719464370e-09
2.082000000000000000e+03, -6.566122605376071244e-10, 2.625039814974100528e-09, -1.338654282704295335e-09, 1.446654794256486196e-10, 1.778250032067135378e-09, 1.161491486408666855e-09, 1.189690723914468215e-09
2.083000000000000000e+03, 6.040040831763476621e-11, 1.953967279392666527e-09, 3.551637353594448763e-09, 9.337410676538489482e-10, 2.027706972752465167e-09, 4.176359978412113029e-10, -2.879593974220197403e-09
2.084000000000000000e+03, -6.122893009988582742e-10, 2.210591522784100996e-09, 3.156380538470835496e-10, 9.270627939123586623e-10, 1.523784814770282565e-09, -1.583723221735626405e-09, -1.589834755640341466e-09
2.085000000000000000e+03, -6.160701074319582286e-10, 1.671369668046099270e-09, -2.525279351753880451e-11, -7.064669962927321251e-10, -6.392160083279501390e-10, -2.288170193393869308e-09, 5.109190631512391315e-10
2.086000000000000000e+03, -6.344006459443910508e-10, 3.087091065297897957e-09, -2.478872200112986482e-10, -2.903948211188069458e-10, -2.591111232963389598e-10, 2.363484767432497285e-09, 2.029006586388652660e-10
2.087000000000000000e+03, -1.022984026925266555e-09, 1.596806209224064944e-09, -7.450518207841938640e-10, 1.334095624909147471e-09, 1.862844149307701764e-09, 1.155121718721701808e-09, -6.317591912504895759e-10
2.088000000000000000e+03, -5.743693655656031274e-11, 1.930259117872343523e-09, 2.699341175540042926e-09, 1.610122878848791469e-09, 1.636859801358941331e-09, 4.430336200131298021e-10, -7.432570673557078460e-10
2.089000000000000000e+03, -4.849388028436512434e-12, 2.511720034253275046e-09, 1.997683768911950315e-09, -6.986693365358882432e-10, -8.561073009961425111e-10, -1.983742812018422358e-09, -1.068593857930932145e-09
2.090000000000000000e+03, -1.738717971941364332e-10, 1.908551621427414474e-09, -8.748427464510393791e-10, -5.246778626901054739e-10, 1.709499337367589411e-09, -3.787018757721210342e-09, -6.680271915431374980e-10
2.091000000000000000e+03, -1.232024553878726669e-09, 1.720656938132454218e-09, -4.166837189067702153e-10, 9.739389973605606961e-10, 2.063456802189958645e-09, -1.278749815088409743e-09, 1.127056933580381289e-10
2.092000000000000000e+03, -4.864177473101829430e-10, 3.032624452724511243e-09, -3.554206967652395887e-09, 1.804798778310498443e-09, 9.937977195538880519e-10, -5.907952046314030546e-10, 4.828467514467682981e-10
2.093000000000000000e+03, 1.004047854026226409e-10, 2.131902122887644902e-09, 2.088093562871548926e-09, 1.173221600604670373e-09, -3.843023040327552592e-10, 2.896386891685009368e-10, -1.139653636770375012e-09
2.094000000000000000e+03, 1.870662334001529866e-10, 2.449115700960272930e-09, -2.601294670323572933e-09, 9.525795362681904096e-11, 9.055353419896782022e-10, -2.603604401871341599e-09, -1.078887506528117680e-09
2.095000000000000000e+03, -1.578467530666958662e-10, 2.405005869052809292e-09, 4.649037765203519700e-09, 8.433302530533848227e-10, 1.379812774272313365e-09, -4.357231701167881605e-10, -6.798507618726357414e-10
2.096000000000000000e+03, -1.020520593397450030e-09, 2.384461158237016366e-09, 2.605956970065015476e-09, 5.927817770291219586e-10, 1.489011351871871289e-09, 1.318455868741553856e-10, -1.285946985671020287e-09
2.097000000000000000e+03, -3.043928503052110852e-10, 2.770838798577594641e-09, -2.768790224911682732e-09, 1.558027240132009785e-11, -1.273847608174070973e-09, -3.512396479543168439e-09, -8.378209573054960095e-10
2.098000000000000000e+03, -6.279922772929875897e-11, 1.994915473819394661e-09, -9.542329481148628613e-10, 6.913994107655911936e-10, 6.472569859792919998e-10, -2.300405041900838870e-09, 1.083070087359744926e-10
2.099000000000000000e+03, -1.505520036745694826e-09, 2.347106381700321632e-09, 2.060414949134535657e-09, 2.436871075593715930e-09, 2.557102643597717812e-09, -1.211089070985570599e-09, -1.216564363430669934e-09
2.100000000000000000e+03, -1.424014788469767321e-09, 3.036231396986094233e-09, 5.102688385844043131e-09, 2.433870077662979785e-09, 1.627069211036936497e-09, -2.210031395059559256e-09, -1.588092909247691413e-10
