year, INM-CM4-8, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, INM-CM5-0, UKESM1-0-LL, NorESM2-LM, TaiESM1
2.041000000000000000e+03, 2.000980415405227220e+01, 1.199147015336481203e+01, 1.940014272799701445e+01, 1.172861830433712704e+01, 1.754826710349375984e+00, 5.466378273062272974e+00, 6.600070910179088202e+00, 1.656661735647006495e+01, 1.384991542958241695e+01, 1.183654475475668022e+01, 8.651643134718401740e+00, 1.301823809449439473e+01, 1.806346909186661520e+01, 8.982635857328819640e+00, 9.266426566487714567e+00, 7.717785909770990216e+00
2.042000000000000000e+03, 2.008906773094714637e+01, 1.224082486486494048e+01, 2.001695912285179801e+01, 1.180008083522588436e+01, 1.763224310460458355e+00, 5.553271934781363051e+00, 6.864923754132705724e+00, 1.675255440509050331e+01, 1.376692864372463987e+01, 1.147430733906751854e+01, 8.892631710504282694e+00, 1.302408520070402353e+01, 1.817396757408245378e+01, 8.997786699024734602e+00, 9.312371953673299174e+00, 8.713266882382507461e+00
2.043000000000000000e+03, 2.014223729677533470e+01, 1.220025014610297553e+01, 1.985556863291688146e+01, 1.173137642081213272e+01, 2.054893512813789069e+00, 4.716115429906310830e+00, 6.452931023025644031e+00, 1.693131042543530285e+01, 1.393036807053469239e+01, 1.166790333855258943e+01, 8.955531451505471807e+00, 1.326094935952364828e+01, 1.829323138883466981e+01, 8.919694293811456731e+00, 9.287694495771898318e+00, 8.636576106049222545e+00
2.044000000000000000e+03, 2.018835438242889424e+01, 1.190240824479301196e+01, 1.986251733738908598e+01, 1.174008924921085217e+01, 1.930455830037673737e+00, 4.292055251120022064e+00, 5.330417303431109310e+00, 1.689780264941299492e+01, 1.416606193496595623e+01, 1.200345960302289150e+01, 8.997840566889982128e+00, 1.316218767358003916e+01, 1.849839724902902560e+01, 9.011131546404854475e+00, 9.233060315645076344e+00, 6.656009141840519838e+00
2.045000000000000000e+03, 2.025771323755277464e+01, 1.208405294805438679e+01, 1.930093571751844195e+01, 1.215837320942767441e+01, 1.823375441456126955e+00, 5.121716124795256952e+00, 6.161449151182793571e+00, 1.678853764826454764e+01, 1.422901523504530985e+01, 1.225156312988096019e+01, 8.924293401722055208e+00, 1.300301560092326270e+01, 1.842514835707533649e+01, 9.091730766895388172e+00, 9.279447016837737650e+00, 7.399177794046486234e+00
2.046000000000000000e+03, 2.051779005584825200e+01, 1.200481099453839740e+01, 1.878067358625548877e+01, 1.175717075351001384e+01, 1.801571201620155716e+00, 5.136329261971234850e+00, 7.944556943729790710e+00, 1.699668339185800647e+01, 1.409877863913506246e+01, 1.204726901078520918e+01, 8.791067357667191828e+00, 1.329967773534406383e+01, 1.848642712577384373e+01, 9.009027383616452056e+00, 9.529121608437847613e+00, 8.409479596721853412e+00
2.047000000000000000e+03, 2.049704585317635264e+01, 1.214604483058248618e+01, 1.933682134023392507e+01, 1.208278358958077270e+01, 1.709374717982516945e+00, 5.247801117113724878e+00, 7.917319963627170054e+00, 1.696201156545765443e+01, 1.404688733832382219e+01, 1.197557849845675371e+01, 8.879919794053316551e+00, 1.321563376742221863e+01, 1.833568449723789584e+01, 8.983050289494649121e+00, 9.483126128833442081e+00, 7.392045867331230369e+00
2.048000000000000000e+03, 2.046076013289810902e+01, 1.253304318986448251e+01, 1.988490612769787802e+01, 1.253573911684841136e+01, 1.614664029562723035e+00, 5.167658094796130364e+00, 6.732428586084951760e+00, 1.700180389294898831e+01, 1.432434474879400810e+01, 1.238917351712257009e+01, 9.131691581707363170e+00, 1.367675168234321781e+01, 1.832522833036993859e+01, 8.870880159385784225e+00, 9.396846877783746166e+00, 6.607687966385618950e+00
2.049000000000000000e+03, 2.070636795117230378e+01, 1.225687560541466148e+01, 2.003574483053784761e+01, 1.214667199522329710e+01, 1.639376627661500940e+00, 5.483001859694355495e+00, 5.472095528676052645e+00, 1.696164940247149033e+01, 1.442459938440794076e+01, 1.283301497829993387e+01, 9.024629804185568815e+00, 1.369949943496714262e+01, 1.880547362120468691e+01, 8.748251208623486264e+00, 9.407750856093374026e+00, 7.307553963789312768e+00
2.050000000000000000e+03, 2.085098222489328990e+01, 1.220588066819436968e+01, 1.985791842754969139e+01, 1.205490547898508602e+01, 1.846653422434740177e+00, 5.368677261299130699e+00, 6.211503819706220675e+00, 1.677486775174054046e+01, 1.415525635774181090e+01, 1.251747934542437868e+01, 8.981669911394188688e+00, 1.357986756689047247e+01, 1.893820715984586656e+01, 8.674547736522312036e+00, 9.252827519625565600e+00, 8.661043898932645035e+00
