year, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
2.061000000000000000e+03, 2.726673462584842348e-11, 6.413476996691259496e-10, 2.548317142900165355e-10, 1.686019587723307289e-10, 1.630094280585664235e-10, 2.509249592299681763e-10, 1.395794974874039551e-09, 4.006387141288165199e-11, 3.391996426032174833e-11
2.062000000000000000e+03, 2.728429029230890054e-11, 8.714704242293590657e-10, 2.240513464755723772e-10, 1.719114885378828369e-10, 1.168927867658027921e-10, 2.262755101202817277e-10, 1.305682825620758574e-09, 4.010094826717754167e-11, 3.386333261656162074e-11
2.063000000000000000e+03, 2.719260247609720266e-11, 6.367421977643655102e-10, 3.026372473814467093e-10, 1.685359565136778538e-10, 1.617193446202976952e-10, 2.225916211309204112e-10, 1.432877181836713573e-09, 4.003412896718454493e-11, 3.388979307952227041e-11
2.064000000000000000e+03, 2.388933352973931190e-11, 8.252408312153451567e-10, 2.464678774278073814e-10, 1.688892366907954313e-10, 1.853028393017194145e-10, 1.837477608135941821e-10, 1.143176584536201240e-09, 3.996356251177220995e-11, 3.384921785399060746e-11
2.065000000000000000e+03, 2.113329540145034629e-11, 7.164222101375486739e-10, 2.196360352656936657e-10, 1.475446180382860081e-10, 2.311619947854408790e-10, 1.584838366211118236e-10, 1.339832117390998365e-09, 4.021881608815983632e-11, 3.344855764602478733e-11
2.066000000000000000e+03, 2.144778837599468924e-11, 7.300317047610095883e-10, 2.089729255730932999e-10, 1.621514318410459005e-10, 1.641976980935601129e-10, 1.863443908697997888e-10, 1.260077510800493624e-09, 4.043649057750416553e-11, 3.307901127573013790e-11
2.067000000000000000e+03, 2.158361177168151271e-11, 8.411319984365588349e-10, 3.496831250326104475e-10, 1.425511718400169553e-10, 1.458446002364317711e-10, 1.837473035983414185e-10, 1.397865365838469956e-09, 4.037044858279728546e-11, 3.307838067873039094e-11
2.068000000000000000e+03, 2.162285239671968994e-11, 8.107412604520573716e-10, 4.234947026241919794e-10, 1.460532550415846449e-10, 1.561944089934836114e-10, 1.682258704393967944e-10, 1.250842171315525447e-09, 4.020537077076647994e-11, 3.312068931330352469e-11
2.069000000000000000e+03, 2.197596474718147245e-11, 7.253218677524688916e-10, 3.445748180277788525e-10, 1.315801211024939705e-10, 1.550082378589142591e-10, 1.439816798394377974e-10, 1.406797683303362885e-09, 4.005643742802639157e-11, 3.301107427264745781e-11
2.070000000000000000e+03, 2.229974575758295546e-11, 7.150127055742456857e-10, 2.560841024232979029e-10, 1.210874002646329047e-10, 1.885844776090314257e-10, 1.721189172082846576e-10, 1.474631851656710495e-09, 3.997670167665744745e-11, 3.301207709175128826e-11
2.071000000000000000e+03, 2.236441144847517620e-11, 7.491069598330015545e-10, 3.287789786462037235e-10, 1.274982590381618829e-10, 1.884283379331115125e-10, 3.258704623245687701e-10, 1.345936729429860509e-09, 3.983033033894957604e-11, 3.292092088829742952e-11
2.072000000000000000e+03, 2.259073631442234454e-11, 6.638041903208989023e-10, 2.571713711316437253e-10, 2.015768601944398538e-10, 1.464135841424778435e-10, 2.615440631107783366e-10, 1.226104091838404937e-09, 3.960176423250319771e-11, 3.269831157333832940e-11
2.073000000000000000e+03, 2.129889064769551147e-11, 5.616654062171683422e-10, 2.491578512802888347e-10, 2.329219816646162883e-10, 1.564041569411044429e-10, 2.869777717701950673e-10, 1.272910313572004979e-09, 3.945339649396611435e-11, 3.252428527592754153e-11
2.074000000000000000e+03, 2.115498581704917966e-11, 6.803689497890468943e-10, 2.645005985776375026e-10, 2.147886077171978182e-10, 1.676708185290289134e-10, 3.295999667471112588e-10, 1.203241865899711126e-09, 3.865573362718165069e-11, 2.748798317435803351e-11
2.075000000000000000e+03, 2.128721975284008677e-11, 8.233048832262058745e-10, 2.737903273783310414e-10, 2.251530211831142113e-10, 1.742574375221670042e-10, 2.004848763741552840e-10, 1.450551899415271925e-09, 3.824455128630739073e-11, 2.637402296008000601e-11
2.076000000000000000e+03, 2.141004484800164018e-11, 5.424383569500005942e-10, 2.839879898804742718e-10, 1.803032707491588185e-10, 1.933555345537475684e-10, 1.850926247235816628e-10, 1.295813671927532356e-09, 3.807360440597260972e-11, 2.631383781062014889e-11
