year, CMCC-ESM2, TaiESM1, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM
2.035000000000000000e+03, 3.791327835629958342e-11, 4.483571929086868649e-11, 8.533427488817142070e-11, 4.108964200404053893e-13, 1.031233402906190619e-11, 1.969274347542528710e-11, 2.890523585584052657e-11, 1.676556418629602357e-10, 1.248074864897093333e-11, 2.210417551608251643e-10
2.036000000000000000e+03, 3.771909614181757148e-11, 4.357059963234334510e-11, 1.157730143638273787e-10, 8.690703572708907774e-13, 1.087464029334877355e-11, 1.897512248281626048e-11, 2.770154929731409087e-11, 1.749315267665769915e-10, 1.288910430620695504e-11, 2.553169840973151826e-10
2.037000000000000000e+03, 3.772764406972083610e-11, 4.263209229143551579e-11, 1.088427456989394519e-10, 9.887392249595455392e-13, 1.071032029008522427e-11, 1.866300621730245705e-11, 2.748779095173350529e-11, 2.293289086310367937e-10, 1.274665397335649985e-11, 2.795501621409938756e-10
2.038000000000000000e+03, 3.783844524702475521e-11, 4.199917262765109463e-11, 1.095714931320300637e-10, 9.720895523342365343e-13, 1.049752380006867826e-11, 1.836823801435788861e-11, 2.735951359339076558e-11, 2.063362857612507015e-10, 1.260861224628082877e-11, 2.538096667959473339e-10
2.039000000000000000e+03, 3.800918547643591662e-11, 4.136033748721196626e-11, 1.109413828567765952e-10, 9.242399756040699413e-13, 1.037567088066613878e-11, 1.796211971911205090e-11, 2.766358659187266666e-11, 1.736859110792667487e-10, 1.243860710083437804e-11, 2.698277187841310587e-10
2.040000000000000000e+03, 4.360734438930749219e-11, 4.606229313367084827e-11, 1.114380966753511761e-10, 1.167326096098979078e-12, 1.021623848845159055e-11, 1.767645946564716543e-11, 2.820548638057895350e-11, 1.691839041936779128e-10, 1.517966334687523545e-11, 2.429769970382804864e-10
2.041000000000000000e+03, 4.371722512395082996e-11, 4.620415180589802254e-11, 1.086079135505294144e-10, 2.579171427220655434e-12, 1.290454897581541126e-11, 1.717008614216035071e-11, 2.778006239456856776e-11, 1.611542023697831987e-10, 1.717250596794205921e-11, 2.912114435049040224e-10
2.042000000000000000e+03, 4.415915430720545941e-11, 4.642278913243212071e-11, 1.059861385484432939e-10, 3.143712849008587049e-12, 1.326016339960062712e-11, 1.716353237357674188e-11, 2.838526187716529149e-11, 2.398370680663660024e-10, 1.768767029179097728e-11, 2.376120536731213609e-10
2.043000000000000000e+03, 4.463978361138004543e-11, 4.636646660796604626e-11, 1.072088783048373257e-10, 3.251264028999087392e-12, 1.325758206540392833e-11, 1.712145323578120650e-11, 2.840166308012927723e-11, 1.901044460217799910e-10, 1.794068794294451732e-11, 2.529870048732956468e-10
2.044000000000000000e+03, 4.466084706396721626e-11, 4.614535353544543228e-11, 1.060983556227806653e-10, 3.115331438538150278e-12, 1.359768980083181197e-11, 1.721278056954911687e-11, 2.828524418641603145e-11, 1.507385987083232561e-10, 1.806351658038315753e-11, 2.846955725519970739e-10
2.045000000000000000e+03, 4.000181482456830939e-11, 4.027007602740866081e-11, 1.092119416761798962e-10, 2.636782736187874216e-12, 1.298128202223797220e-11, 1.717080867437895181e-11, 2.618340243990742868e-11, 1.657351757563464493e-10, 1.933983577066725471e-11, 2.965102786256385841e-10
2.046000000000000000e+03, 3.947629932403480073e-11, 3.973744152725901615e-11, 7.857138088477276703e-11, 1.530769609510598072e-12, 1.193067062787155714e-11, 1.677331822299795720e-11, 2.704045098248776221e-11, 1.833136353108171698e-10, 2.024621571627268241e-11, 2.564089599238671402e-10
2.047000000000000000e+03, 3.927456296836398748e-11, 3.918726914220110653e-11, 7.524571738859019527e-11, 9.897776739112630198e-13, 1.202880832264716771e-11, 1.673587138795096070e-11, 2.649633812524553117e-11, 1.780410959180449863e-10, 2.059763763910045445e-11, 2.896662852082609567e-10
2.048000000000000000e+03, 3.841841544191050601e-11, 3.874335755675009230e-11, 7.577438937193815082e-11, 7.591662464081978472e-13, 1.222421790131805353e-11, 1.680222257085259774e-11, 2.640266462808283101e-11, 2.277496919305925853e-10, 2.091328552736776036e-11, 3.016680354613588882e-10
