year, IPSL-CM6A-LR, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, NorESM2-MM, INM-CM4-8, UKESM1-0-LL, CESM2-WACCM, TaiESM1
2.047000000000000000e+03, 6.425798110762933391e+00, 6.009714435397542687e+00, 5.517568171478785644e+00, 3.564044992956795888e+00, 8.311134076124661263e+00, 7.742935765788676150e+00, 5.593798996635460874e+00, 3.320914909228432244e+00, 3.380464251376954277e+00, 6.703479189920339643e+00, 2.470933705904627242e+00, 6.427199593091284413e+00, 8.077452107558716676e+00, 2.540094075606428081e+00, 6.261159354254320242e+00, 4.550029451918172541e+00
2.048000000000000000e+03, 8.001116324435503913e+00, 5.599858773584418081e+00, 4.215089152946430495e+00, 4.487118780701760734e+00, 8.092699593877300757e+00, 7.850379365876150928e+00, 5.376261615419339002e+00, 3.572506951874230285e+00, 3.704505867174523459e+00, 7.559341472006804175e+00, 1.928729575091296500e+00, 7.243421741158381444e+00, 8.828905139030753801e+00, 1.541218576131811568e+00, 6.387899267004804038e+00, 3.839603788940354701e+00
2.049000000000000000e+03, 6.337879460743218729e+00, 5.653110464577880911e+00, 3.286296026573868545e+00, 3.524634697768221692e+00, 7.534236689963261568e+00, 7.881941442235308237e+00, 3.464746673590878956e+00, 3.167290259295271859e+00, 3.062648253066537762e+00, 8.681955525357649250e+00, 2.819034504760631776e+00, 7.262442749954312937e+00, 9.003080192286097017e+00, 1.797625500944097121e+00, 5.126579438278175083e+00, 5.431267072624743619e+00
2.050000000000000000e+03, 5.804799894852786579e+00, 5.448477484486601519e+00, 5.301802551774570382e+00, 3.676973027044979858e+00, 7.226428403971137726e+00, 8.491578951048916579e+00, 4.284502833233284846e+00, 3.094440687292717485e+00, 2.922642677243051601e+00, 7.501251986817625728e+00, 3.514507578803935051e+00, 6.286106310911895534e+00, 8.902264144984858518e+00, 1.790753061598116425e+00, 5.617625746633039263e+00, 6.121916793857697492e+00
2.051000000000000000e+03, 5.033196315960188905e+00, 6.007040071284412974e+00, 4.756644074753397788e+00, 3.064835075627219574e+00, 6.603978387574753306e+00, 7.840945262787993641e+00, 6.420959688968046031e+00, 3.581678963754950207e+00, 3.374458926263994574e+00, 7.900130443022886695e+00, 3.237100830959779518e+00, 5.918098141250112576e+00, 8.810391645794361182e+00, 3.281958386618604617e+00, 5.169700984998980786e+00, 6.423641682136911335e+00
2.052000000000000000e+03, 5.748072919959654747e+00, 6.269354972009061555e+00, 4.041145668429116711e+00, 3.345508062465836652e+00, 7.698978475018797951e+00, 8.277850345933748244e+00, 5.533143198667561435e+00, 2.881630130273706403e+00, 3.387266873269466849e+00, 7.039198469714831319e+00, 3.504543319464193729e+00, 6.272666245989567457e+00, 8.316433627843366594e+00, 3.088905218388837692e+00, 5.472190341897348098e+00, 4.912154102628878860e+00
2.053000000000000000e+03, 7.170797203787965479e+00, 5.780753685228106065e+00, 3.303661401212578674e+00, 5.353287075332639589e+00, 7.403324505154590618e+00, 7.313351376012393601e+00, 3.325854172142541199e+00, 2.618542371220308418e+00, 3.289729852313364233e+00, 7.234046782545091148e+00, 2.785709353737798377e+00, 5.435784361865183101e+00, 8.627357568216956096e+00, 2.513285016479867906e+00, 7.094564825456538770e+00, 4.759573823533766124e+00
2.054000000000000000e+03, 7.696597151145636140e+00, 5.722302809043259053e+00, 4.189946320608486374e+00, 4.160463846592296733e+00, 7.126885776376014725e+00, 9.924948679626995229e+00, 5.061041105694154218e+00, 2.546243415246174813e+00, 2.999302405489423506e+00, 7.808781966314679579e+00, 4.133059155794311934e+00, 5.868840974929419474e+00, 9.193699458356832110e+00, 3.797333004732493134e+00, 7.495507425744410313e+00, 4.705042862843456852e+00
2.055000000000000000e+03, 6.931056676180715748e+00, 5.307384418660626046e+00, 5.831402501939398242e+00, 5.535477922191992306e+00, 8.235106285999629350e+00, 7.083425376337446622e+00, 3.194302081665644888e+00, 3.095831741020956596e+00, 2.918128071843678839e+00, 7.600902768261342146e+00, 6.851921673157162829e+00, 6.306995526361427906e+00, 8.614483363536585614e+00, 4.243039559117318227e+00, 6.146091512367423348e+00, 5.384154872309468765e+00
2.056000000000000000e+03, 6.256047432704882283e+00, 5.460357661547672770e+00, 5.399704714247952175e+00, 7.159972455537037206e+00, 7.987989588445317146e+00, 7.877871330279058171e+00, 3.838658228197895372e+00, 2.823787197813711902e+00, 3.311486992212197666e+00, 7.968291146946365089e+00, 4.525118355855217267e+00, 5.921810807248444775e+00, 9.398915757383800695e+00, 2.787888840821773684e+00, 6.202509812778687071e+00, 5.492751201120442239e+00
