year, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, CESM2-WACCM
2.075000000000000000e+03, 1.053307073419061830e-02, 4.175631666146860377e-02, 1.251863074873791892e-01, 2.400676675190963338e-01, 1.888138080460982360e-01, 1.481992112657839512e-02, 7.396774256729394745e-03, 1.770880408264077499e-01, 1.533739231905903722e-01
2.076000000000000000e+03, 9.597145115526584461e-03, 4.113277029751278430e-02, 1.240470473451918410e-01, 2.391611819132253292e-01, 1.762615327916453867e-01, 1.493725719560308994e-02, 7.384182604190148852e-03, 1.750285345591810204e-01, 1.596893542728023418e-01
2.077000000000000000e+03, 8.915196484172126234e-03, 4.054145960308988550e-02, 1.230489045837110385e-01, 2.370517712514191855e-01, 1.731447661367770396e-01, 1.502184392600177699e-02, 7.380294265781339562e-03, 1.738826142028938593e-01, 1.592972575764957377e-01
2.078000000000000000e+03, 8.413341138948668071e-03, 3.991349449936176796e-02, 1.221602468437762434e-01, 2.351826330509977081e-01, 1.914926981219439162e-01, 1.511653601662147663e-02, 7.412714874958530042e-03, 1.738334468464875771e-01, 1.660633149431947342e-01
2.079000000000000000e+03, 8.026593153570387579e-03, 3.932735146895881273e-02, 1.213466113935331436e-01, 2.334566371185503308e-01, 1.918889072277764618e-01, 1.521115813919682834e-02, 7.446860316728517136e-03, 1.754800511766948790e-01, 1.751692352556141197e-01
2.080000000000000000e+03, 7.841899494027585599e-03, 3.868559696862219899e-02, 1.206118503501962258e-01, 2.318583760749419742e-01, 1.792039391596188525e-01, 1.536278920403033425e-02, 7.476979610838434438e-03, 1.753072088760137537e-01, 1.843831009686359157e-01
2.081000000000000000e+03, 8.195131724655789832e-03, 3.808340483341661475e-02, 1.199350416010953324e-01, 2.304278233194579084e-01, 1.667736281834191758e-01, 1.483443333548843668e-02, 7.444735822408605694e-03, 1.742828950674861488e-01, 1.776158932934092660e-01
2.082000000000000000e+03, 8.455073462542324336e-03, 3.738265591506640534e-02, 1.192910187315841669e-01, 2.278534177035445862e-01, 1.575851341932291427e-01, 1.435207419630134783e-02, 7.435884484012099740e-03, 1.741098862355672239e-01, 1.797872927311140456e-01
2.083000000000000000e+03, 8.602733562034803674e-03, 3.672785479443912288e-02, 1.186619693045349311e-01, 2.254063275646123743e-01, 1.597223919755734189e-01, 1.386555721869451099e-02, 7.447947136347793200e-03, 1.736457585128769465e-01, 1.758929310710929117e-01
2.084000000000000000e+03, 8.712408358022024832e-03, 3.612836098612256380e-02, 1.180539730544459820e-01, 2.231569447192290889e-01, 1.627649949226697978e-01, 1.335784877389567353e-02, 7.462441537789974225e-03, 1.737477338176592057e-01, 1.776032799850876254e-01
2.085000000000000000e+03, 8.599039784817250412e-03, 3.550629199941478936e-02, 1.170541629281555279e-01, 2.210293738513549044e-01, 1.745768199716941083e-01, 1.285574685030471329e-02, 7.446934565209211571e-03, 1.729924050105261790e-01, 1.775610229808818885e-01
2.086000000000000000e+03, 7.527263079435948454e-03, 3.471899371930513983e-02, 1.157355347307889026e-01, 2.187375393899102793e-01, 1.691535799167434573e-01, 1.285525920959683897e-02, 7.461654408344148282e-03, 1.711454356453759318e-01, 1.736760612995383313e-01
2.087000000000000000e+03, 6.782594410162719190e-03, 3.395897951930423181e-02, 1.144947975083507735e-01, 2.165040260890780666e-01, 1.620160714452143491e-01, 1.284798176862463406e-02, 7.498226708062359809e-03, 1.712851187006169673e-01, 1.700649730324331754e-01
2.088000000000000000e+03, 6.302024624317381467e-03, 3.330285111775745793e-02, 1.133255535396757024e-01, 2.142837921516390909e-01, 1.568389626775531509e-01, 1.283846347047011387e-02, 7.556397300865163799e-03, 1.719010881279872116e-01, 1.662825905380735103e-01
2.089000000000000000e+03, 5.893023797849341119e-03, 3.263007621175576661e-02, 1.122465708257121553e-01, 2.121271668378504616e-01, 1.646393723311350699e-01, 1.283190858428123228e-02, 7.547737821333097563e-03, 1.709190823840669449e-01, 1.658270749430611202e-01
