year, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg
1.929000000000000000e+03, 5.503565278402036481e-05, 1.233172503439928201e-02, 3.685847731692132312e-02, 1.674534620142031568e-02, 1.473607278423140210e-01, 9.194409839358099260e-03, 5.341985126716499756e-03, 8.728627447504790082e-02, 2.773924804357603621e-02
1.930000000000000000e+03, 6.505944139326264009e-05, 1.228677964387316426e-02, 3.701136973163823840e-02, 1.673412952890190181e-02, 1.553903387440596362e-01, 9.222303193229456145e-03, 5.288923558216048100e-03, 8.690950768706778851e-02, 2.804374800177371688e-02
1.931000000000000000e+03, 7.655664313204825803e-05, 1.235862542351644222e-02, 4.214863341706368699e-02, 1.749235681059399528e-02, 1.609159659727696090e-01, 1.035566523917059133e-02, 6.503159593472266665e-03, 8.875577997851900880e-02, 3.057944498408565401e-02
1.932000000000000000e+03, 7.622060225674233262e-05, 1.240590901731527737e-02, 4.657168553489037660e-02, 1.776828577775852250e-02, 1.653594138700460736e-01, 1.122070212358819777e-02, 7.597306317634468925e-03, 9.124211573091033090e-02, 3.315653036345286159e-02
1.933000000000000000e+03, 7.621855894407119736e-05, 1.243706444507445934e-02, 5.063404802248335640e-02, 1.790991718046118161e-02, 1.696316717952748299e-01, 1.190027127599735564e-02, 8.581731194598103685e-03, 9.556943119701476197e-02, 3.575637269954136388e-02
1.934000000000000000e+03, 7.872655567773328348e-05, 1.245480220567626341e-02, 5.446536893211702951e-02, 1.902711979808694581e-02, 1.734814942803822591e-01, 1.240486056099665037e-02, 9.495839374522103277e-03, 9.805590222330574923e-02, 3.830781140329751061e-02
1.935000000000000000e+03, 7.459104328066802170e-05, 1.243385037665672467e-02, 5.817015422437316063e-02, 1.886437611141454293e-02, 1.769331410085544787e-01, 1.287606619473898213e-02, 1.036665024702158010e-02, 1.001466971411633933e-01, 4.050372793517487829e-02
1.936000000000000000e+03, 8.387729642280231622e-05, 1.238940788020450982e-02, 6.172335030283427476e-02, 1.958324526862040629e-02, 1.816019878310097813e-01, 1.337146261984449754e-02, 1.121300135664530032e-02, 9.876004429159490616e-02, 4.286969171401865120e-02
1.937000000000000000e+03, 8.395226083485627581e-05, 1.234963108332138432e-02, 6.514871417455113389e-02, 1.928772844802141562e-02, 1.860824655698706531e-01, 1.388276766704763313e-02, 1.190619903194314357e-02, 9.926032549050424481e-02, 4.533878958231347261e-02
1.938000000000000000e+03, 7.306842867667819237e-05, 1.231682446086189951e-02, 6.845419926839431402e-02, 1.957135125481174881e-02, 1.903847117818940893e-01, 1.431104661133771050e-02, 1.252317848781254669e-02, 1.009727361728686296e-01, 4.776882287547565969e-02
1.939000000000000000e+03, 6.907330566874581555e-05, 1.227788432702192276e-02, 7.168887757732873844e-02, 1.942028780873201674e-02, 1.944918794088314473e-01, 1.467282595281819112e-02, 1.301514856603053043e-02, 9.936444040486774876e-02, 5.038865046709316980e-02
1.940000000000000000e+03, 8.081329088937969562e-05, 1.206094842853779568e-02, 7.493606647259618003e-02, 2.000253726631380513e-02, 1.913599617824712495e-01, 1.492658598920337636e-02, 1.336441875711764579e-02, 1.041659393839343556e-01, 5.298678834921129177e-02
1.941000000000000000e+03, 1.038265251978146323e-04, 1.169502045370383360e-02, 7.174389008345664898e-02, 1.898130704607945210e-02, 1.912257154841636997e-01, 1.433980474689304681e-02, 1.246247305122842250e-02, 1.024994543584085427e-01, 5.083742001332670207e-02
1.942000000000000000e+03, 1.062696207693859904e-04, 1.136797924447068356e-02, 6.934968702012854480e-02, 1.975442893582800633e-02, 1.911643529722459600e-01, 1.373715875109770765e-02, 1.180888618543728466e-02, 1.007492473945061501e-01, 4.884609043274083101e-02
1.943000000000000000e+03, 1.016698581507931613e-04, 1.108081698390888173e-02, 6.733725795612004184e-02, 1.808666682000440243e-02, 1.899260136913661356e-01, 1.313339661822040226e-02, 1.127681704074262777e-02, 1.018904286078992916e-01, 4.702255253649296335e-02
1.944000000000000000e+03, 1.196259733492556542e-04, 1.082543433217839947e-02, 6.554526829279645750e-02, 1.817731278337746809e-02, 1.887491265286717068e-01, 1.253435594413599384e-02, 1.084701631433429916e-02, 9.988937758984080262e-02, 4.537551263090649351e-02
1.945000000000000000e+03, 1.280804112485188343e-04, 1.059473823042628854e-02, 6.390706664778074420e-02, 1.713485957664196216e-02, 1.885490391923636544e-01, 1.195287036599781971e-02, 1.041510705096050475e-02, 9.857738305933895495e-02, 4.384007081005256851e-02
1.946000000000000000e+03, 9.885039037321738452e-05, 1.038293239106905484e-02, 6.239154141257158975e-02, 1.657449501580951154e-02, 1.888531915319619225e-01, 1.138160484453652234e-02, 1.012903830363649955e-02, 9.800264411835242495e-02, 4.244254093062478639e-02
1.947000000000000000e+03, 8.281189775718623557e-05, 1.018759485793120471e-02, 6.098127223807752600e-02, 1.633300765397197735e-02, 1.890964141180994651e-01, 1.083131650338273015e-02, 9.890187878696131418e-03, 9.915906134438418063e-02, 4.117042856407139573e-02
1.948000000000000000e+03, 7.659972774876695929e-05, 9.992239388814177017e-03, 5.966416814746471758e-02, 1.638706132473580906e-02, 1.887940402584226685e-01, 1.034647783191376853e-02, 9.544686635967842767e-03, 9.715389628050342952e-02, 3.997937210372721345e-02
1.949000000000000000e+03, 7.593652844984590704e-05, 9.797749507607868627e-03, 5.843104677871716057e-02, 1.687755907129695823e-02, 1.881339668588727365e-01, 9.961233714578529921e-03, 9.456944620872039658e-03, 9.870319242661078352e-02, 3.885929202074781680e-02
1.950000000000000000e+03, 8.928717365386457713e-05, 9.749634628475927628e-03, 5.727403302165959276e-02, 1.702940434339589651e-02, 1.983320217873428271e-01, 9.757209596832114307e-03, 9.448420820541208673e-03, 9.810388484737769810e-02, 3.788211954116061514e-02
1.951000000000000000e+03, 1.078187959055838064e-04, 9.810415839334347965e-03, 5.712834931968438501e-02, 1.707994657253098653e-02, 2.053896662569342502e-01, 1.211281631432422658e-02, 1.145457515057793536e-02, 1.020171749577621495e-01, 4.341897299839438118e-02
1.952000000000000000e+03, 1.297605886091962731e-04, 9.836759796507169723e-03, 5.692640634158317725e-02, 1.937019554170819891e-02, 2.115066163126662624e-01, 1.383440414077973489e-02, 1.308962172531586733e-02, 1.103586004653005354e-01, 4.923603474070078340e-02
1.953000000000000000e+03, 1.597296814018928112e-04, 9.842857412777157936e-03, 5.671046051351311817e-02, 1.861382527103875098e-02, 2.171993574156357298e-01, 1.497126613480686229e-02, 1.452641655423981756e-02, 1.073474895884321267e-01, 5.532729198472407378e-02
