year, UKESM1-0-LL, IPSL-CM6A-LR, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM
1.894000000000000000e+03, 2.716921485504020615e-14, 2.028097110909830334e-10, 1.133570096106709425e-10, 8.027881829566891387e-12, 4.265413064055020234e-12, 8.461907703679766394e-11, 3.968189828951381785e-12, 2.055732119941036823e-11
1.895000000000000000e+03, 2.507396869993243180e-14, 2.183491958204985520e-10, 1.132274641438753652e-10, 7.912770965518551458e-12, 4.300454873572265971e-12, 9.021209009399528189e-11, 3.947704206564498305e-12, 2.114537216815285177e-11
1.896000000000000000e+03, 2.195504252353542355e-14, 1.791614532969567642e-10, 1.124883958228196533e-10, 7.695855895409782872e-12, 4.327748753268693550e-12, 9.210063716347964318e-11, 3.925343500014628247e-12, 1.983720641891981376e-11
1.897000000000000000e+03, 2.205824040225176322e-14, 1.730241467870224831e-10, 1.116705388973620417e-10, 7.521548020090763506e-12, 4.351898282932253613e-12, 9.364347465600182874e-11, 3.904505235126750935e-12, 2.075913940252939431e-11
1.898000000000000000e+03, 2.947022219015129629e-14, 2.116794741906813707e-10, 1.132480450067113677e-10, 7.355896545691598090e-12, 4.375861980486127814e-12, 9.846180882793923909e-11, 3.883029545900997359e-12, 2.039945810061863347e-11
1.899000000000000000e+03, 3.561517725732628329e-14, 2.094581773224691699e-10, 1.149982376290585132e-10, 7.272565925726423763e-12, 4.400339765108688619e-12, 9.580142930266875856e-11, 3.859218278122672650e-12, 2.102860878560938269e-11
1.900000000000000000e+03, 4.033470682722113649e-14, 2.281414698664284859e-10, 1.205290829816178917e-10, 7.277794762350297428e-12, 4.424239387953569007e-12, 9.402272018356349670e-11, 3.838359683325535332e-12, 1.816247947191234083e-11
1.901000000000000000e+03, 4.334454506083683029e-14, 2.159394754217069064e-10, 1.212043244088277046e-10, 7.458885198492445959e-12, 4.640063012739489026e-12, 9.059070679693934287e-11, 3.806439333883282126e-12, 1.812659652212323258e-11
1.902000000000000000e+03, 4.029922998501232032e-14, 1.980312427583938429e-10, 1.234742906814139105e-10, 7.792278071160421964e-12, 5.339889502190479571e-12, 9.317639964600102369e-11, 3.657162406975846257e-12, 1.607265914526044352e-11
1.903000000000000000e+03, 4.153621657198754779e-14, 1.921046726026075870e-10, 1.258415385062477159e-10, 8.170264563637442583e-12, 5.680093693918165854e-12, 9.495624533773890207e-11, 3.440352193451452656e-12, 1.563632863994024854e-11
1.904000000000000000e+03, 3.477225178331942081e-14, 2.070207808965201493e-10, 1.267006472391526537e-10, 8.532074384840006186e-12, 5.885487388590450940e-12, 1.026715842117737102e-10, 3.266159140637106097e-12, 2.265511819233064821e-11
1.905000000000000000e+03, 3.248003470043999594e-14, 2.231592154522779578e-10, 1.256901635180729933e-10, 8.951427942303388923e-12, 6.032370233081623047e-12, 1.023207052552092089e-10, 3.128307514486280980e-12, 1.946734245837074219e-11
1.906000000000000000e+03, 3.383738619147487612e-14, 2.340337718266615608e-10, 1.247944632683102108e-10, 9.312827342717005999e-12, 6.156744659342332264e-12, 1.027687610560316506e-10, 3.019053712571631768e-12, 1.881257987951667244e-11
1.907000000000000000e+03, 3.126535760096399288e-14, 2.169509270620651287e-10, 1.261164331753981710e-10, 9.686602183220251111e-12, 6.270673960688260234e-12, 1.025280332838448969e-10, 2.931662022201487649e-12, 2.606909128319552120e-11
1.908000000000000000e+03, 3.884966076322664713e-14, 2.174635014250680991e-10, 1.282272641820016067e-10, 1.003528260674536620e-11, 6.378722398334281882e-12, 1.104561081389160154e-10, 2.859828631463982254e-12, 2.090303612821253114e-11
1.909000000000000000e+03, 5.176426188285201734e-14, 2.063468008963830123e-10, 1.296791341854958882e-10, 1.037619870460582103e-11, 6.481006280891779643e-12, 1.102634220833347117e-10, 2.801075803342020927e-12, 1.795036833514932378e-11
1.910000000000000000e+03, 5.886150064672944653e-14, 2.210329419457249224e-10, 1.291578923472251609e-10, 1.072387508545967595e-11, 6.576933966096542723e-12, 1.096628968794202126e-10, 2.744755367493951748e-12, 1.978937325154010244e-11
1.911000000000000000e+03, 5.663390839433916963e-14, 2.655037394534680446e-10, 1.285210406363385602e-10, 1.086640323924646310e-11, 4.934934332122502812e-12, 9.730628072127876854e-11, 2.694763483703269376e-12, 2.302527386986544428e-11
1.912000000000000000e+03, 6.226759422180588897e-14, 2.526323797940975702e-10, 1.279261453647834534e-10, 1.113119055383091441e-11, 4.239561411205440298e-12, 9.341445832675427360e-11, 2.669151039874571375e-12, 2.360290855246081872e-11
1.913000000000000000e+03, 8.334600789682914085e-14, 2.682824140659453078e-10, 1.265798977327143144e-10, 1.142355863803793949e-11, 3.902002729296412545e-12, 9.490430317412938921e-11, 2.656119662108598574e-12, 2.360141357973313771e-11
1.914000000000000000e+03, 8.390191775466903856e-14, 2.322518150589515016e-10, 1.244648408469115373e-10, 1.182484702565277631e-11, 3.703832446107713524e-12, 1.079847268845316546e-10, 2.639868332134181137e-12, 2.350043697375109041e-11
1.915000000000000000e+03, 7.617386936493032022e-14, 2.295330685354534961e-10, 1.247785761001355508e-10, 1.234281351785035082e-11, 3.564155233970148210e-12, 1.094059361770979538e-10, 2.613680402696641568e-12, 2.354585189193791503e-11
1.916000000000000000e+03, 6.805751128596271160e-14, 2.590923061810065119e-10, 1.264246195961742952e-10, 1.283023851748411460e-11, 3.461391079462823451e-12, 1.137393116017048351e-10, 2.576484576364640972e-12, 2.416836814890477943e-11
1.917000000000000000e+03, 4.998711047518544281e-14, 2.327875423255488671e-10, 1.279724661361776202e-10, 1.337455010118412303e-11, 3.376141040537603891e-12, 1.071354617848927241e-10, 2.533221460720791068e-12, 2.343889815902707449e-11
1.918000000000000000e+03, 5.042571415971638355e-14, 2.645550054415120923e-10, 1.286608319596183224e-10, 1.398369565853978739e-11, 3.294370267226758797e-12, 1.030601088307399336e-10, 2.488192327710203410e-12, 2.674297997892819510e-11
1.919000000000000000e+03, 6.126350753657490979e-14, 2.490209147746708586e-10, 1.265959740921089362e-10, 1.459858902270822719e-11, 3.220054863296376391e-12, 1.000936925739335413e-10, 2.443066511779847608e-12, 2.630148950290222392e-11
1.920000000000000000e+03, 6.360295304769908056e-14, 2.731116525649120373e-10, 1.293243448508761052e-10, 1.518791148311176132e-11, 3.146872838525984993e-12, 1.173834801020174307e-10, 2.399543220139082759e-12, 2.365917254428495857e-11
1.921000000000000000e+03, 8.049308702261274118e-14, 2.889655099834738533e-10, 1.314354380935605158e-10, 1.555929917954215141e-11, 3.359867521369162681e-12, 1.261852289019698802e-10, 2.350066380541855477e-12, 3.277221975330062890e-11
1.922000000000000000e+03, 7.201474141957026224e-14, 2.671553650468271771e-10, 1.351461850490082877e-10, 1.588653793289692558e-11, 3.356787893165642208e-12, 1.210843104261367785e-10, 2.307588599653794485e-12, 3.069355654336314135e-11
1.923000000000000000e+03, 5.166246104350532192e-14, 2.545480274919997332e-10, 1.370407002104121453e-10, 1.616482869609875890e-11, 3.339967545910643370e-12, 1.249697442404450835e-10, 2.276997943404253767e-12, 2.663874204229955961e-11
1.924000000000000000e+03, 6.154990154485152203e-14, 2.604123234840058255e-10, 1.373646673566021540e-10, 1.641005553130203412e-11, 3.413523750190345975e-12, 1.219948012794476761e-10, 2.234434275209816145e-12, 2.663494662495681635e-11
1.925000000000000000e+03, 8.345913379700804926e-14, 2.761995725277119420e-10, 1.377491920468244857e-10, 1.664704380377107268e-11, 3.438169513742292198e-12, 1.164298167774001362e-10, 2.180221720647823498e-12, 2.642426388057762490e-11
1.926000000000000000e+03, 7.853672880361378553e-14, 3.070326297361816566e-10, 1.377683207005207712e-10, 1.678211868549010261e-11, 3.498130946569719463e-12, 1.134832828516067647e-10, 2.110574887729075268e-12, 2.650533243346478508e-11
1.927000000000000000e+03, 6.128435038495363737e-14, 2.722430004427760897e-10, 1.387737782430028382e-10, 1.685346781862083445e-11, 3.524383154992468150e-12, 1.192030434751616679e-10, 2.034200664830079266e-12, 2.903144032178820543e-11
1.928000000000000000e+03, 6.719437153402787551e-14, 2.789408210266867052e-10, 1.402310698280885531e-10, 1.692026765429225556e-11, 3.538202021260682348e-12, 1.137612596733781130e-10, 1.969911545617840786e-12, 2.856673096016802674e-11
1.929000000000000000e+03, 6.258209605498987629e-14, 2.876666376897616572e-10, 1.421683382993035647e-10, 1.703137444344679902e-11, 3.546915983041231242e-12, 1.116822152782874831e-10, 1.916560002020422234e-12, 2.826269906991741720e-11
1.930000000000000000e+03, 8.494550688653095561e-14, 3.059186712491060914e-10, 1.637584132531589820e-10, 1.721336338447158152e-11, 3.586599290108125995e-12, 1.117471561827324060e-10, 1.944921222389189843e-12, 2.923277869392434247e-11
1.931000000000000000e+03, 1.117047922579538827e-13, 2.863521844747084256e-10, 1.697715514723571163e-10, 1.747041235923910602e-11, 8.354452535714531517e-12, 1.175640198339123949e-10, 2.031376001787592523e-12, 3.170188884374596615e-11
1.932000000000000000e+03, 1.047555433928207355e-13, 2.915322873452162893e-10, 1.736183746889561947e-10, 2.046630376980063459e-11, 1.048739662450503701e-11, 1.252527880863522413e-10, 2.100518242614887284e-12, 3.139912120941531172e-11
1.933000000000000000e+03, 9.885290675186939702e-14, 3.161389581261801334e-10, 1.785586937866731031e-10, 2.328839517728658212e-11, 1.163398059465191385e-11, 1.379981618998709247e-10, 2.158177306559757186e-12, 3.060112983720964950e-11
1.934000000000000000e+03, 1.018509941722181558e-13, 3.544603363918202792e-10, 1.818885472606421290e-10, 2.603193556773905030e-11, 1.238812539669433971e-11, 1.452366873501394410e-10, 2.205435858710227571e-12, 3.670793961483624822e-11
1.935000000000000000e+03, 8.751747268323632047e-14, 3.290333953374510469e-10, 1.860287352647866432e-10, 2.880865894562217079e-11, 1.301787276330546240e-11, 1.514131189353931305e-10, 2.233644945104849130e-12, 3.469738461419812502e-11
1.936000000000000000e+03, 1.090490061008575727e-13, 3.216699724587504345e-10, 1.933906095677206791e-10, 3.155791532783570744e-11, 1.353800662064416672e-11, 1.467520141472307786e-10, 2.248779227032540682e-12, 3.874519546353154950e-11
1.937000000000000000e+03, 1.069297262029303063e-13, 3.509749267280124534e-10, 1.986449790415090187e-10, 3.449329218381384205e-11, 1.399999154383330885e-11, 1.479969036956637372e-10, 2.264502725586023791e-12, 3.602556012373608650e-11
1.938000000000000000e+03, 7.359646830134556169e-14, 3.498129251489160916e-10, 2.033864950809960596e-10, 3.719853106383324029e-11, 1.441666937835975021e-11, 1.534261418071065633e-10, 2.280801044948021809e-12, 3.726685637558690052e-11
