year, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, IPSL-CM6A-LR, CMCC-CM2-SR5, INM-CM4-8, CESM2-WACCM
1.880000000000000000e+03, 2.880342622400048640e+02, 2.881564012721881340e+02, 2.879081972691644751e+02, 2.910528647767818597e+02, 2.895784593511297089e+02, 2.879012667505473360e+02, 2.878570062308481283e+02, 2.869169358725856682e+02, 2.880552433467166793e+02, 2.865457769036643185e+02, 2.882208656981630384e+02, 2.895471670212018012e+02, 2.864884592684936706e+02, 2.881794911256760088e+02, 2.880941152822759932e+02, 2.892569532161951429e+02
1.881000000000000000e+03, 2.875712143159593097e+02, 2.888450668006719297e+02, 2.878061347543327315e+02, 2.910182010856945567e+02, 2.891984322169184907e+02, 2.874679482698123252e+02, 2.873519282169163489e+02, 2.874269609277097857e+02, 2.883731642762837737e+02, 2.863653612193323283e+02, 2.875490772908500503e+02, 2.895073538152989272e+02, 2.861336866648420028e+02, 2.883147846331838196e+02, 2.876814973870803556e+02, 2.893422782568666776e+02
1.882000000000000000e+03, 2.877705284866020179e+02, 2.887326763799099467e+02, 2.884223175396399483e+02, 2.917992905092676779e+02, 2.900319937660253231e+02, 2.875362146572239226e+02, 2.875822543488168321e+02, 2.860958116514975131e+02, 2.883940867365593022e+02, 2.870102051881253260e+02, 2.873609788602914250e+02, 2.891269117068541732e+02, 2.855912968839947439e+02, 2.887457636082003773e+02, 2.880537564807539184e+02, 2.899312360983079202e+02
1.883000000000000000e+03, 2.876453224815923022e+02, 2.892362693183084161e+02, 2.882330954461806414e+02, 2.917063164199049083e+02, 2.888050399056645006e+02, 2.874396886653949537e+02, 2.877326013191759557e+02, 2.876140428997744038e+02, 2.880018143838451010e+02, 2.861581703748310019e+02, 2.874357021682975528e+02, 2.892187759726550098e+02, 2.859365614738449040e+02, 2.885353139447901754e+02, 2.876861778465043358e+02, 2.897483320450804172e+02
1.884000000000000000e+03, 2.873536487826617645e+02, 2.879125587926109802e+02, 2.871356067465134174e+02, 2.904017791774726334e+02, 2.894740026325500253e+02, 2.865989543429354285e+02, 2.867113969936891635e+02, 2.859310197231639563e+02, 2.880177990555633301e+02, 2.863415292107982282e+02, 2.875786172084402779e+02, 2.889178258326858213e+02, 2.848414755798674491e+02, 2.874508102641068490e+02, 2.868069441709282614e+02, 2.886431745206151049e+02
1.885000000000000000e+03, 2.872565617628340533e+02, 2.884284349421763523e+02, 2.883674178742766117e+02, 2.910301512075205324e+02, 2.889674521429146239e+02, 2.871400088612410855e+02, 2.870873252065551924e+02, 2.863342048071318118e+02, 2.881747813800587323e+02, 2.870608253904204048e+02, 2.869167402384874777e+02, 2.890557321092665006e+02, 2.849038424470518294e+02, 2.890107759239280654e+02, 2.869856104098903415e+02, 2.888269581342240144e+02
1.886000000000000000e+03, 2.873609433234315702e+02, 2.883734177663030778e+02, 2.875922478027670763e+02, 2.911053148133199215e+02, 2.894794139448766828e+02, 2.871647342257746232e+02, 2.875445340135022434e+02, 2.867274360023176882e+02, 2.879466933966257329e+02, 2.863887714893872385e+02, 2.871855850579440244e+02, 2.899738630603001752e+02, 2.861677434446049233e+02, 2.880175579335805196e+02, 2.873540968502038027e+02, 2.892033068806447886e+02
1.887000000000000000e+03, 2.872937541812307813e+02, 2.880803959160854788e+02, 2.875219238808331852e+02, 2.915154684487263808e+02, 2.894940959356898702e+02, 2.871166878815745918e+02, 2.873913222611908509e+02, 2.863907949721137243e+02, 2.888001700792308384e+02, 2.859441849673632419e+02, 2.878804659452679289e+02, 2.891297664696253378e+02, 2.851006018909661179e+02, 2.877522924674651108e+02, 2.877430909581649985e+02, 2.884712925181621017e+02
1.888000000000000000e+03, 2.875357089667703008e+02, 2.884401851709281459e+02, 2.879145681333326365e+02, 2.913149077210739506e+02, 2.902707377167458276e+02, 2.877124440904200924e+02, 2.877386511589201632e+02, 2.866285165955189314e+02, 2.883185719999219714e+02, 2.871405431351006428e+02, 2.878476268232982420e+02, 2.890829310738288314e+02, 2.853341767591900293e+02, 2.885336543423062494e+02, 2.877249757412977829e+02, 2.889401259049963642e+02
1.889000000000000000e+03, 2.881017842133567797e+02, 2.892556501020193878e+02, 2.875624628098496487e+02, 2.917947374743893079e+02, 2.893367171657902190e+02, 2.870763524400464917e+02, 2.878421357508265146e+02, 2.867868347514648804e+02, 2.886934692115034409e+02, 2.863640481757567500e+02, 2.876761337744489992e+02, 2.894002758288830250e+02, 2.857989777987297657e+02, 2.883919517241732251e+02, 2.875902970840363082e+02, 2.889213415260082911e+02
1.890000000000000000e+03, 2.875637818258687162e+02, 2.884343218245739990e+02, 2.876192423606669308e+02, 2.906214050395132062e+02, 2.886688525067880846e+02, 2.874690770558855775e+02, 2.871153315005702780e+02, 2.863944386702069096e+02, 2.882241825486561311e+02, 2.867798793316860611e+02, 2.878011048373193717e+02, 2.892320987345885328e+02, 2.856663253327128587e+02, 2.879993635084271091e+02, 2.877566353416841025e+02, 2.892034675030067206e+02
