year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, NorESM2-LM, NorESM2-MM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, TaiESM1, CESM2-WACCM
1.897000000000000000e+03, 7.059020175036637685e-11, 9.080825229978322399e-11, 7.682425689651509886e-11, 3.340755175156414025e-10, 8.907849407223275931e-11, 7.682425689651509886e-11, 3.144785573043391182e-11, 7.144867294800296064e-11, 9.080825229978322399e-11, 3.654190469561731688e-10, 3.144785573043391182e-11, 9.395767584772938153e-11
1.898000000000000000e+03, 7.905269417980406109e-11, 1.004258326796859927e-10, 6.807431117318934246e-11, 3.814476895276364524e-10, 8.410798056566086185e-11, 6.807431117318934246e-11, 2.302718418076404737e-11, 7.993151728293946039e-11, 1.004258326796859927e-10, 5.991778693208393423e-10, 2.302718418076404737e-11, 8.989383009213851113e-11
1.899000000000000000e+03, 1.060984436518586608e-10, 1.521569232203586231e-10, 9.199264501268487179e-11, 3.156716330494653615e-10, 9.723031614294186154e-11, 9.199264501268487179e-11, 2.011880341570162135e-11, 1.070101944591926146e-10, 1.521569232203586231e-10, 2.376240858825157921e-10, 2.011880341570162135e-11, 9.541882682352382737e-11
1.900000000000000000e+03, 9.564074576508605332e-11, 9.055731307253678795e-11, 8.544462724449992589e-11, 3.851922518298500573e-10, 1.155544486421418733e-10, 8.544462724449992589e-11, 3.083053599055017653e-11, 9.659100025819621607e-11, 9.055731307253678795e-11, 2.809157356126864995e-10, 3.083053599055017653e-11, 1.534402215468131275e-10
1.901000000000000000e+03, 8.156109743715515093e-11, 1.396397525260109315e-10, 6.665617365586881938e-11, 4.151928506986680428e-10, 1.088529672099320202e-10, 6.665617365586881938e-11, 2.257314660675668898e-11, 8.252697393545060828e-11, 1.396397525260109315e-10, 2.998573749495157995e-10, 2.257314660675668898e-11, 1.223055766621749027e-10
1.902000000000000000e+03, 9.908915794245218759e-11, 9.902268164442199764e-11, 1.005946352010384724e-10, 3.642436302186175955e-10, 1.080552547354492035e-10, 1.005946352010384724e-10, 2.816788171367189956e-11, 1.000966482289367741e-10, 9.902268164442199764e-11, 1.915330566598050002e-10, 2.816788171367189956e-11, 1.315688131146444129e-10
1.903000000000000000e+03, 4.596816913315046211e-11, 1.139882172552639532e-10, 6.342065174801491090e-11, 4.024026293985399231e-10, 7.657372217724503385e-11, 6.342065174801491090e-11, 2.486517975133078652e-11, 4.693065674436402996e-11, 1.139882172552639532e-10, 2.511198729321739610e-10, 2.486517975133078652e-11, 7.703003130275623672e-11
1.904000000000000000e+03, 6.553971884111280855e-11, 1.451448495546865909e-10, 7.698297926391915676e-11, 3.616627039083518827e-10, 7.878857038116744532e-11, 7.698297926391915676e-11, 1.723361259373177032e-11, 6.654149557091836635e-11, 1.451448495546865909e-10, 3.364863931357301261e-10, 1.723361259373177032e-11, 7.376276387864745214e-11
1.905000000000000000e+03, 7.443844817050476158e-11, 1.007348639531249161e-10, 1.237189693655360044e-10, 3.711669259241236196e-10, 8.530536355781558488e-11, 1.237189693655360044e-10, 2.662647609600444706e-11, 7.546893630027379235e-11, 1.007348639531249161e-10, 2.712980151841126530e-10, 2.662647609600444706e-11, 1.009647783867741560e-10
1.906000000000000000e+03, 1.240311957442661561e-10, 1.159235098970014305e-10, 9.430565755392666924e-11, 3.713635237009010446e-10, 9.084502439715646192e-11, 9.430565755392666924e-11, 3.087198203769428390e-11, 1.250934097112058594e-10, 1.159235098970014305e-10, 1.528301694064670577e-10, 3.087198203769428390e-11, 6.735161086636638528e-11
1.907000000000000000e+03, 7.541186642952953946e-11, 8.362362752983130727e-11, 8.448843170165938234e-11, 4.157809394028108410e-10, 1.159987278635551517e-10, 8.448843170165938234e-11, 1.822305642262724742e-11, 7.649400928370596034e-11, 8.362362752983130727e-11, 2.032547693140591554e-10, 1.822305642262724742e-11, 1.194695525440058783e-10
1.908000000000000000e+03, 5.668063978071205389e-11, 9.144201736832890009e-11, 8.075767184240619703e-11, 3.963824822766254854e-10, 1.052411819611135678e-10, 8.075767184240619703e-11, 2.760347212013107328e-11, 5.774981364755355029e-11, 9.144201736832890009e-11, 2.659188873667296279e-10, 2.760347212013107328e-11, 1.468895789031841627e-10
1.909000000000000000e+03, 7.910683224638830061e-11, 1.503541435173981615e-10, 7.558358411219935991e-11, 3.369718885957945995e-10, 9.801172663017262867e-11, 7.558358411219935991e-11, 2.191854921630383295e-11, 8.018421771709402632e-11, 1.503541435173981615e-10, 1.634228760600467942e-10, 2.191854921630383295e-11, 9.772325414200399965e-11
1.910000000000000000e+03, 4.824528442898084135e-11, 9.786315642585546707e-11, 8.671986540467662584e-11, 5.287636744352569900e-10, 8.972858798564134244e-11, 8.671986540467662584e-11, 2.256586511367617152e-11, 4.938112919079937423e-11, 9.786315642585546707e-11, 2.028737699845253230e-10, 2.256586511367617152e-11, 1.003318875057824819e-10
1.911000000000000000e+03, 8.257360278105914509e-11, 1.367833263674164244e-10, 7.276737908962047341e-11, 4.033559958741494127e-10, 8.502487159402292405e-11, 7.276737908962047341e-11, 2.535325679852722544e-11, 8.365894409609571368e-11, 1.367833263674164244e-10, 2.891277475706981022e-10, 2.535325679852722544e-11, 7.608175687421406628e-11
1.912000000000000000e+03, 7.862906036455375133e-11, 1.184583547588489188e-10, 7.242578708375183669e-11, 3.555129751571676901e-10, 7.000276765973602290e-11, 7.242578708375183669e-11, 3.188662267011635356e-11, 7.980998302367653617e-11, 1.184583547588489188e-10, 2.210322303461553822e-10, 3.188662267011635356e-11, 1.002641846135233852e-10
1.913000000000000000e+03, 8.123348589877197232e-11, 1.112257274335261559e-10, 6.402890463697164382e-11, 3.960891320522000231e-10, 6.314259113249734221e-11, 6.402890463697164382e-11, 3.602121792144473883e-11, 8.235058737406218973e-11, 1.112257274335261559e-10, 2.010887984666628005e-10, 3.602121792144473883e-11, 1.334667355218357699e-10
1.914000000000000000e+03, 6.805089527624716951e-11, 8.556298075878627029e-11, 7.698569137512437647e-11, 3.858504300820885964e-10, 8.517870956811434746e-11, 7.698569137512437647e-11, 3.905658407688708847e-11, 6.919877791028858849e-11, 8.556298075878627029e-11, 5.637873375141071034e-10, 3.905658407688708847e-11, 1.104794910610643853e-10
1.915000000000000000e+03, 9.847365882418836618e-11, 1.275150736382967974e-10, 1.009855163423344106e-10, 2.992796638539921135e-10, 9.133972536208916987e-11, 1.009855163423344106e-10, 4.885437495796258759e-11, 9.962780673195194483e-11, 1.275150736382967974e-10, 2.916413910304444040e-10, 4.885437495796258759e-11, 8.645974770186695725e-11
1.916000000000000000e+03, 6.090663045018445926e-11, 9.857397122751229229e-11, 8.663644369241475021e-11, 3.734615371245192433e-10, 7.451817965610331908e-11, 8.663644369241475021e-11, 5.284110052008623998e-11, 6.204782067509247423e-11, 9.857397122751229229e-11, 1.975486470229912071e-10, 5.284110052008623998e-11, 8.316040126091862017e-11
1.917000000000000000e+03, 5.668719934247854428e-11, 1.074453636662930462e-10, 1.068409170363272479e-10, 3.898414219259552133e-10, 8.365201355495826028e-11, 1.068409170363272479e-10, 4.135264111090868425e-11, 5.782143718470660303e-11, 1.074453636662930462e-10, 1.928076762452551035e-10, 4.135264111090868425e-11, 9.364790257513162139e-11
