year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM, TaiESM1
1.963000000000000000e+03, 5.450538504232349676e-11, 9.241214151404557135e-11, 7.862716977124661260e-11, 9.598087409828858744e-11, 2.163252865250557344e-11
1.964000000000000000e+03, 7.445796483038948668e-11, 9.891458337582476804e-11, 8.458307581525934195e-11, 8.999207585142530854e-11, 2.025097027573540542e-11
1.965000000000000000e+03, 4.887037253187157932e-11, 8.454428706603225079e-11, 6.536872080673025270e-11, 6.867232499522494321e-11, 2.060043120549007405e-11
1.966000000000000000e+03, 6.383593041941710767e-11, 9.824832501153991191e-11, 7.696355037159048770e-11, 6.662150046206955092e-11, 2.409725460323550199e-11
1.967000000000000000e+03, 4.355120223160455184e-11, 8.657740718957460567e-11, 7.332376404658572648e-11, 9.488457373614046444e-11, 2.037631214560866985e-11
1.968000000000000000e+03, 3.928545591932088868e-11, 9.527208761470548853e-11, 8.313893981366234694e-11, 8.554091638066554027e-11, 1.388568269844589303e-11
1.969000000000000000e+03, 5.083730605546456489e-11, 9.702019342977624664e-11, 5.858402752542774660e-11, 1.096619740554934161e-10, 2.672612509067057575e-11
1.970000000000000000e+03, 6.592840777222710450e-11, 9.297780973568332828e-11, 6.031849055337091701e-11, 8.297586193723500506e-11, 2.090808028049571333e-11
1.971000000000000000e+03, 5.442987872138797366e-11, 1.432024120554804547e-10, 7.399720693299489342e-11, 7.119892367080597156e-11, 1.910309941283298636e-11
1.972000000000000000e+03, 5.409101791803806294e-11, 1.064157953178815950e-10, 8.961948118010853660e-11, 6.932966796131818812e-11, 2.887127417151559458e-11
1.973000000000000000e+03, 4.889799603254501444e-11, 7.309913731260761661e-11, 7.931671803972062754e-11, 7.179746212020729101e-11, 2.121014107180668070e-11
1.974000000000000000e+03, 7.709277857153666039e-11, 8.855587146391823995e-11, 8.123833363024038195e-11, 6.188998317538342387e-11, 2.975691398588422561e-11
1.975000000000000000e+03, 5.066585282161507743e-11, 8.462098519662754682e-11, 1.044285014238821155e-10, 6.611768316300509075e-11, 2.970037967609732468e-11
