year, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, TaiESM1, CanESM5, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5
1.880000000000000000e+03, 5.504176044756340369e-01, 1.485362546900795833e+00, 7.011980335081286597e+00, 6.355664111296145391e-01, 1.023609225903238107e+00, 1.051318490015916485e+00, 1.642205223894485311e+00, 5.412518656172266018e-01, 1.680350506392072896e-01, 4.177045291492725632e+00, 6.661067250494521197e+00, 3.639717220243097628e+00, 7.831976426066059593e-01
1.881000000000000000e+03, 5.785523135654383475e-01, 1.483550351735350104e+00, 7.055427647066872865e+00, 6.552124844050110086e-01, 1.026910797217821969e+00, 1.029224582304784752e+00, 1.650231965588486283e+00, 5.213683762924855580e-01, 1.888630086574279165e-01, 4.148349087203542673e+00, 6.688398574792175921e+00, 3.654443443796069335e+00, 8.417537187085761818e-01
1.882000000000000000e+03, 5.766416196458203913e-01, 1.509615937647945438e+00, 7.057213348871427705e+00, 6.696541329671359399e-01, 1.039927665298953086e+00, 1.030891930111598187e+00, 1.562335960521410216e+00, 5.332789553067710520e-01, 1.374701132304078366e-01, 4.148723611098660946e+00, 6.703982427271761857e+00, 3.646778985616159208e+00, 8.157827439342223430e-01
1.883000000000000000e+03, 5.373626394791325422e-01, 1.507170145055394039e+00, 7.023116095593109343e+00, 6.366859842108993917e-01, 1.027489835231705229e+00, 1.054327971318407720e+00, 1.662289656387516912e+00, 5.697662035427522031e-01, 1.744304937329053118e-01, 4.165166887748749325e+00, 6.728372263112304630e+00, 3.652954690611852406e+00, 7.872566965271557970e-01
1.884000000000000000e+03, 5.332970592548980093e-01, 1.499257403610023243e+00, 7.021464716891444802e+00, 6.355747954502245500e-01, 1.028396028577376553e+00, 1.099106849076037173e+00, 1.646215144104129946e+00, 5.680272055997099834e-01, 1.881479531213266221e-01, 4.112645995710156654e+00, 6.738082018925066308e+00, 3.699274645266042771e+00, 8.005399912639971083e-01
1.885000000000000000e+03, 5.062642862856153725e-01, 1.502171718981969661e+00, 7.015017136600658176e+00, 6.089083318364483244e-01, 1.032977355287096888e+00, 1.123931508388272160e+00, 1.512164712831320257e+00, 5.471131185633495431e-01, 1.703562706848236463e-01, 4.080590575538331599e+00, 6.721634630436411406e+00, 3.720387329891067463e+00, 7.376394059100775946e-01
1.886000000000000000e+03, 5.238372776515035634e-01, 1.494832828735522368e+00, 7.017431424498911774e+00, 6.533239009771878436e-01, 1.004614492321486363e+00, 1.143310345948096662e+00, 1.393998919755339294e+00, 5.408937196877193765e-01, 1.790153881404738800e-01, 4.151038241516486593e+00, 6.750054547233077074e+00, 3.719588276631353274e+00, 7.297295443134178550e-01
1.887000000000000000e+03, 5.307194642553902941e-01, 1.516464742436601565e+00, 7.034728327667043146e+00, 6.087271564437015670e-01, 1.008175827871749419e+00, 1.175486686549425341e+00, 1.440948611763873233e+00, 5.557564911154018183e-01, 1.825406586693505695e-01, 4.161037641408812604e+00, 6.745922904214705973e+00, 3.718873333170621187e+00, 7.897142165577057948e-01
1.888000000000000000e+03, 5.270278104846450873e-01, 1.523626706003513798e+00, 7.052972015349797452e+00, 6.212224008609943393e-01, 9.949977817689821258e-01, 1.205268206022273692e+00, 1.538047266754797970e+00, 5.969906135114460000e-01, 1.541379152646385475e-01, 4.198593890828251851e+00, 6.771612079569734988e+00, 3.727306581708976552e+00, 8.556082499782259321e-01
1.889000000000000000e+03, 5.278395772213022585e-01, 1.525274360919704808e+00, 7.060302569965119623e+00, 6.454741329118461879e-01, 1.005403126792701496e+00, 1.223234507843478092e+00, 1.577236539178940689e+00, 5.730649197929797989e-01, 1.839305885429173837e-01, 4.176763974617754727e+00, 6.786957840093712058e+00, 3.719449720453583019e+00, 8.164009201835781271e-01
