year, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM
1.999000000000000000e+03, -4.616053759819672970e-10, 1.651219862142009951e-10, 3.221311766566880355e-11, -4.928773294994611061e-12
2.000000000000000000e+03, -4.554928273819474997e-10, 1.329394877026430942e-10, 3.126775763007181863e-11, -4.950844956950481594e-12
2.001000000000000000e+03, -4.196136783693329666e-10, 1.539644269285389690e-10, 7.390918764518178389e-11, 1.148833951461293071e-11
2.002000000000000000e+03, -4.557184329749476181e-10, 1.781538315225802908e-10, 6.760935490419632490e-11, 9.482434366754068832e-12
2.003000000000000000e+03, -4.690098592803517436e-10, 1.479809523081844347e-10, 4.471562313773589415e-11, -1.676692376577621397e-12
2.004000000000000000e+03, -5.574432955461887917e-10, 1.707902109005585808e-10, 7.472931251602601429e-11, 5.588882517785850669e-12
2.005000000000000000e+03, -5.716227916509305525e-10, 1.604273175906432024e-10, 1.073772063640885722e-10, 4.146763972225896603e-12
2.006000000000000000e+03, -5.594082107117228697e-10, 1.805085707722626899e-10, 6.901146689384569183e-11, -4.189827829074076650e-12
2.007000000000000000e+03, -4.922841349950262609e-10, 1.629385731362246320e-10, 2.962732790478313709e-11, -1.592557694099857326e-12
2.008000000000000000e+03, -4.549376552173584353e-10, 1.704487346759226981e-10, 2.791281142191963807e-11, -3.210888067757435932e-12
2.009000000000000000e+03, -5.207556455102989966e-10, 1.679539057811447782e-10, 4.159840742032318987e-11, 4.003223217734257974e-13
2.010000000000000000e+03, -5.519418300604548495e-10, 1.394460869456401881e-10, 4.199037377118091548e-11, 9.593206660379891829e-13
2.011000000000000000e+03, -5.035823906007470843e-10, 1.581854106349485155e-10, 3.266629401980177493e-11, 1.602552090709859287e-12
2.012000000000000000e+03, -5.340364565311201807e-10, 1.508319557049444711e-10, 3.354759099944416230e-11, 4.219441356691729611e-12
2.013000000000000000e+03, -5.240120452805173599e-10, 1.931574267338695299e-10, 3.716207350108200616e-11, 2.758181060509714664e-12
2.014000000000000000e+03, -4.690483177824001330e-10, 1.588087825528270857e-10, 2.216436264616749834e-11, 2.099166014448160947e-12
