year, INM-CM4-8, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg, CanESM5, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, ACCESS-ESM1-5
2.051000000000000000e+03, 1.104735923373041295e+01, 1.330465747346326744e+01, 7.328446420136687678e+00, 1.163789601143903951e+01, 1.456886393917523392e+01, 9.584127046739251199e+00, 1.153111956169182761e+01, 1.303709329898690150e+01, 1.287023839320813146e+01, 1.113184280414578886e+01, 1.013451005246087888e+01, 1.094630754434421860e+01, 1.247222019549421645e+01, 1.589171694752886665e+01, 1.176788033532922739e+01, 6.890770801786594291e+00
2.052000000000000000e+03, 1.072352641495922043e+01, 1.227752659188669604e+01, 7.006812896927896439e+00, 1.179115844782674394e+01, 1.495828691701720103e+01, 9.826001336715034284e+00, 1.162660212488729350e+01, 1.341262656757231220e+01, 1.290094478222180996e+01, 1.177609885806397294e+01, 9.789770952947259630e+00, 1.036147341623373741e+01, 1.201004834717700476e+01, 1.630311229471560708e+01, 1.199816449232999460e+01, 6.762856886215992347e+00
2.053000000000000000e+03, 1.096324302041118592e+01, 1.344361986312771329e+01, 7.009206571077574388e+00, 1.221980158057301935e+01, 1.486930289253486137e+01, 9.012156117678092215e+00, 1.161059229534402704e+01, 1.335626518822822106e+01, 1.333053593079906918e+01, 1.159158364756684101e+01, 1.129278090343933982e+01, 1.065849200430431942e+01, 1.255180992817421526e+01, 1.663861475204967988e+01, 1.222476231755063836e+01, 6.736450259087475523e+00
2.054000000000000000e+03, 1.106895727991695999e+01, 1.311440568648413496e+01, 7.125672841762508369e+00, 1.256439040460418610e+01, 1.458322015199387423e+01, 8.255991710617220036e+00, 1.108698389940410323e+01, 1.326653484343961331e+01, 1.216653369351549507e+01, 1.122149095803840346e+01, 1.057598240710332682e+01, 1.052878075984842887e+01, 1.248632259828426250e+01, 1.661921229396991606e+01, 1.215876561108048293e+01, 6.826083785509879043e+00
2.055000000000000000e+03, 1.104292298010592255e+01, 1.343954725284469909e+01, 7.166346670297278898e+00, 1.269515582942465670e+01, 1.494267763622176304e+01, 1.056877743827250526e+01, 1.147556451228698293e+01, 1.306827871539090147e+01, 1.308168766997248156e+01, 1.110458126364085452e+01, 1.056854884902399938e+01, 1.106503822312540208e+01, 1.336164756155526057e+01, 1.718915242124799647e+01, 1.221851652465988103e+01, 6.988649040117821620e+00
2.056000000000000000e+03, 1.074141341813462169e+01, 1.288123669268960292e+01, 7.376146765165422892e+00, 1.236481586714831948e+01, 1.587807035096917119e+01, 1.104883756071715695e+01, 1.109159493904651583e+01, 1.336916220561211865e+01, 1.437991980380136248e+01, 1.197287092059623781e+01, 9.252249055160595148e+00, 1.059597985312651502e+01, 1.294551734456241832e+01, 1.752262337538723358e+01, 1.196221112510918339e+01, 7.355286465484988767e+00
2.057000000000000000e+03, 1.132843304284243757e+01, 1.344567370823761543e+01, 7.456828838423955830e+00, 1.307723149647906524e+01, 1.608590305947912569e+01, 9.855301323249896939e+00, 1.175228614856586340e+01, 1.409089057604528961e+01, 1.321477244928986927e+01, 1.154245840844244064e+01, 9.824947046173649667e+00, 1.121824753299000754e+01, 1.378715977478571553e+01, 1.685497117932875355e+01, 1.215205456162399855e+01, 7.551205689329102633e+00
2.058000000000000000e+03, 1.157157766608978910e+01, 1.250567605565203699e+01, 7.285595115778471076e+00, 1.225066817841657141e+01, 1.625259832238600666e+01, 1.017951333228326405e+01, 1.136872779283687507e+01, 1.430123372967581830e+01, 1.289500817928964693e+01, 1.127423180944405878e+01, 9.893071854564949419e+00, 1.108400451410532561e+01, 1.324104714278056072e+01, 1.711808757501457379e+01, 1.221473876659205970e+01, 7.696319919442776047e+00
2.059000000000000000e+03, 1.140372180643510625e+01, 1.302255162148525436e+01, 7.308726406456701241e+00, 1.273477642692992617e+01, 1.548590042632566721e+01, 1.002566467105240022e+01, 1.188596432594184904e+01, 1.378204100005332933e+01, 1.403314707213285928e+01, 1.132581267579772621e+01, 9.824663682527290831e+00, 1.127690180696721178e+01, 1.351919025368533767e+01, 1.729071009135586579e+01, 1.231151691240046375e+01, 7.479000783839710564e+00
2.060000000000000000e+03, 1.133326015646530038e+01, 1.361649731408012443e+01, 7.801340190106813566e+00, 1.271771260952568205e+01, 1.661568089218073752e+01, 1.066650777731708288e+01, 1.163713731569995247e+01, 1.326428066589666521e+01, 1.321119161972989531e+01, 1.075670337771486551e+01, 1.051642055053295799e+01, 1.178215241705160210e+01, 1.321220192037464791e+01, 1.685539601157577039e+01, 1.261172480345185498e+01, 7.340681319324354526e+00
2.061000000000000000e+03, 1.142416683780934861e+01, 1.368913947932910169e+01, 7.547382180533178442e+00, 1.314679375029197494e+01, 1.579313153792858415e+01, 1.033849573097577590e+01, 1.176787977859785528e+01, 1.385758573623449941e+01, 1.435063457573096812e+01, 1.195906855471442753e+01, 1.108434971135541325e+01, 1.194402093536494291e+01, 1.333790109587438444e+01, 1.732105771216500045e+01, 1.250703899409339570e+01, 7.165093405587111164e+00
2.062000000000000000e+03, 1.147114234270694766e+01, 1.386413822417480546e+01, 7.558551469638641329e+00, 1.314860608529150454e+01, 1.636481518926667533e+01, 1.112745826840035157e+01, 1.198794078539070540e+01, 1.400885268227563607e+01, 1.394492118722605944e+01, 1.231695389527253326e+01, 1.143521747543671907e+01, 1.203729503183178196e+01, 1.356693413984733176e+01, 1.715532316955584946e+01, 1.260826932083507756e+01, 7.404600944738636059e+00
2.063000000000000000e+03, 1.161089791636375068e+01, 1.297733256769431343e+01, 7.561369076472379547e+00, 1.364827818227964862e+01, 1.590567450855038345e+01, 1.022543928003841884e+01, 1.220482676428828839e+01, 1.333988467552749135e+01, 1.379325341432376817e+01, 1.205457051127150514e+01, 1.033984527462842529e+01, 1.251893632685859004e+01, 1.417451792699055879e+01, 1.671637167172131200e+01, 1.327324691705844018e+01, 7.547346300398537267e+00
2.064000000000000000e+03, 1.168678574269949344e+01, 1.336218375185708318e+01, 7.834142163702096262e+00, 1.429931083034857409e+01, 1.623066134123196136e+01, 9.810120633373614396e+00, 1.213708193030429960e+01, 1.386707531521967596e+01, 1.409160523159042633e+01, 1.198948063200274916e+01, 1.171721116321821654e+01, 1.209690782873138204e+01, 1.397013956756282127e+01, 1.730955800937606881e+01, 1.280437771305169292e+01, 7.434207571349392474e+00
2.065000000000000000e+03, 1.168036004138039097e+01, 1.421291040491195545e+01, 7.974846959043448535e+00, 1.339105948120192480e+01, 1.663669954735925316e+01, 8.897433039474300642e+00, 1.176289001038205484e+01, 1.408438719108439940e+01, 1.386010421570659901e+01, 1.253512923044903005e+01, 1.103871040443617169e+01, 1.280733829907896926e+01, 1.407052886505372236e+01, 1.766614209710754224e+01, 1.292167293619460544e+01, 7.579245803303463980e+00
2.066000000000000000e+03, 1.188215312423093728e+01, 1.375351382776300824e+01, 7.804608941286034884e+00, 1.335379082111407989e+01, 1.661003754815797961e+01, 1.158202010646265734e+01, 1.175691184790857413e+01, 1.420937929676570022e+01, 1.417947347919291445e+01, 1.226885661286087448e+01, 1.194358850640278114e+01, 1.294236163855799759e+01, 1.469438973640891000e+01, 1.773346953596167097e+01, 1.284873096326446706e+01, 7.734490803551778981e+00
2.067000000000000000e+03, 1.186813619568075673e+01, 1.399750481299534499e+01, 7.867635443333570677e+00, 1.387371479403386054e+01, 1.653071191838030174e+01, 1.099126998439153979e+01, 1.212268275675651275e+01, 1.360008256280764272e+01, 1.352741202276272325e+01, 1.207929187933480186e+01, 1.223975658474424399e+01, 1.278333786585328724e+01, 1.405450920249665181e+01, 1.829538416636741260e+01, 1.308776560145293466e+01, 7.752558887453273151e+00
2.068000000000000000e+03, 1.161162880972521094e+01, 1.454654215078913282e+01, 8.103961516449192715e+00, 1.303507558198882066e+01, 1.723066262811264693e+01, 1.058653042032963221e+01, 1.197117346928876991e+01, 1.448212257595857189e+01, 1.511934383528818593e+01, 1.226925103813802309e+01, 1.174572023097517537e+01, 1.245364172306037531e+01, 1.489521572656975579e+01, 1.790112574419271141e+01, 1.300927278758600458e+01, 7.717427750647226858e+00
2.069000000000000000e+03, 1.211471716734588888e+01, 1.385515213474400653e+01, 8.135619691636801321e+00, 1.457674981830146343e+01, 1.773269382525276328e+01, 1.073542265358363146e+01, 1.247799024393825817e+01, 1.472651922213975517e+01, 1.562461829219139808e+01, 1.225227709523140973e+01, 1.167040170282763256e+01, 1.271050276557881809e+01, 1.523972414053941193e+01, 1.756052938762934446e+01, 1.334939247882325652e+01, 7.690344116505265504e+00
2.070000000000000000e+03, 1.216424498073135396e+01, 1.371743396771371515e+01, 7.887933106442520881e+00, 1.421164503020015069e+01, 1.751275789558019724e+01, 1.082567108470940020e+01, 1.195264067849323020e+01, 1.454648304083668187e+01, 1.503565308604891193e+01, 1.298895894098143167e+01, 1.189732597037215811e+01, 1.261380506873161167e+01, 1.461814820018496341e+01, 1.822131237744626375e+01, 1.284838899989426153e+01, 7.825309444579124474e+00
2.071000000000000000e+03, 1.223733644256985187e+01, 1.402406343734165262e+01, 7.832385243692189469e+00, 1.431895072121803736e+01, 1.693315950788113255e+01, 1.041397780062424339e+01, 1.196762282903253727e+01, 1.467864535630690881e+01, 1.533058740597995140e+01, 1.268265170244163542e+01, 1.170820508513328839e+01, 1.211778630997378592e+01, 1.526670399050998483e+01, 1.828356993089161620e+01, 1.374647852742086407e+01, 7.652248186781837269e+00
