year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL
2.078000000000000000e+03, 3.161401820009235166e+02, 6.071406983986610584e+01, 9.283869974206743336e+02, 2.204054076542730627e+02, 3.737735566683529669e+02, 1.572274492948055240e+02, 4.540720085024922810e+02, 7.333402169543024911e+02, 1.000727323323837254e+03, 1.995332863118069042e+02, 7.557679900430771625e+01, 1.327241568860214784e+03, 2.639347683804827511e+02
2.079000000000000000e+03, 3.161833463923971408e+02, 6.069577873365774678e+01, 9.282325739931488897e+02, 2.206770578835376853e+02, 3.742171826513749124e+02, 1.572960911294452444e+02, 4.545691746927076906e+02, 7.333228557337957909e+02, 1.000475154671804489e+03, 1.995737169794709303e+02, 7.574243414402486962e+01, 1.327113686543500990e+03, 2.641674639842229908e+02
2.080000000000000000e+03, 3.162364319950889922e+02, 6.067990954036281437e+01, 9.280934922451870079e+02, 2.209392984082666942e+02, 3.746674549584855640e+02, 1.574190386887715647e+02, 4.549984316513149452e+02, 7.332956645322672102e+02, 1.000227147731561786e+03, 1.996011638723083195e+02, 7.592189267660795338e+01, 1.326891000395983383e+03, 2.643798366628497547e+02
2.081000000000000000e+03, 3.163194604193415103e+02, 6.065201034880742981e+01, 9.279053795586650040e+02, 2.212228692373958268e+02, 3.751353355422618279e+02, 1.575746657722146438e+02, 4.553733599929554998e+02, 7.332817855787345707e+02, 9.999551240554803826e+02, 1.996456382935790259e+02, 7.608439008972513307e+01, 1.326620408666404728e+03, 2.644455572794879004e+02
2.082000000000000000e+03, 3.163287892869689699e+02, 6.060066085636535149e+01, 9.276895761846761843e+02, 2.215466855441089820e+02, 3.755961202624314978e+02, 1.577465036909807736e+02, 4.557668318026802581e+02, 7.332680901471451307e+02, 9.997002853661379049e+02, 1.997064737059298807e+02, 7.623817912365245775e+01, 1.326382900251532874e+03, 2.645675868693875827e+02
2.083000000000000000e+03, 3.162945882105924511e+02, 6.057490518617449027e+01, 9.274863723893098495e+02, 2.219123356179348434e+02, 3.760712750209173691e+02, 1.578066433681497358e+02, 4.561897526421864768e+02, 7.332466284523064814e+02, 9.994937860861609806e+02, 1.997582261280092553e+02, 7.637955682797181112e+01, 1.326136665383935679e+03, 2.648260511170563518e+02
2.084000000000000000e+03, 3.162550379370835003e+02, 6.056150366883739622e+01, 9.273158452151093343e+02, 2.222738498640741511e+02, 3.765323414767897816e+02, 1.579092318547177172e+02, 4.566034827219913268e+02, 7.332144706722693854e+02, 9.992394338732843835e+02, 1.997999871495885316e+02, 7.652354891776197121e+01, 1.325884500686198635e+03, 2.648373653356222803e+02
2.085000000000000000e+03, 3.162149955036954339e+02, 6.051973224587705147e+01, 9.271544070625609493e+02, 2.226300896704159413e+02, 3.770182866869182590e+02, 1.579590336838567737e+02, 4.569596664286523264e+02, 7.331718303528989509e+02, 9.990092583050546864e+02, 1.998381265562231590e+02, 7.670484108087543973e+01, 1.325586912932132918e+03, 2.649197327394177819e+02
2.086000000000000000e+03, 3.162280330026121646e+02, 6.049498092178887987e+01, 9.269763182894897682e+02, 2.229774240172035888e+02, 3.775050594606981349e+02, 1.580131446864330087e+02, 4.573704331906178027e+02, 7.331343554044933626e+02, 9.988398035612433432e+02, 1.998780707632528788e+02, 7.685146536115441052e+01, 1.325274265224963301e+03, 2.650769575840899392e+02
2.087000000000000000e+03, 3.162034166157246773e+02, 6.045333476563338593e+01, 9.267798983039492668e+02, 2.233481828057187784e+02, 3.779718671712309401e+02, 1.580494008556173640e+02, 4.578150410449289325e+02, 7.330592886616883561e+02, 9.986152064874601137e+02, 1.999286751671531022e+02, 7.699547719376886334e+01, 1.324996656017598752e+03, 2.652566001382133436e+02
2.088000000000000000e+03, 3.161197396431270477e+02, 6.041008475297854829e+01, 9.266041063931234021e+02, 2.236928644762143392e+02, 3.784660201871053573e+02, 1.582022222016902049e+02, 4.582317029541832198e+02, 7.329862290147984822e+02, 9.983482201144777264e+02, 1.999704507512144858e+02, 7.713862608315112368e+01, 1.324738122810440473e+03, 2.654107573480453652e+02
