year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CMCC-CM2-SR5, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, NorESM2-MM
2.052000000000000000e+03, 4.156599412680193062e+00, 4.787313485826975246e+00, 6.976468325441238960e+00, 6.744295126754357383e+00, 3.454755022655047636e+00, 4.164079290908057729e+00, 6.837931765333830292e+00, 5.270294223276044576e+00, 6.662842892614618151e+00, 5.972094384487527385e+00, 4.072548076886807422e+00, 7.279092052307303717e+00, 2.129858558609498687e+00, 4.771254699167251090e+00
2.053000000000000000e+03, 4.065324723543954022e+00, 4.897779996715672546e+00, 7.073057115196560218e+00, 6.721200782055441358e+00, 3.457193232736123889e+00, 4.945814180638052449e+00, 6.820807987213571622e+00, 5.138560180562005364e+00, 6.850327802996491577e+00, 6.107229325571362111e+00, 4.145984199076147902e+00, 7.314773994911819344e+00, 2.210099963203581375e+00, 4.807552198548045830e+00
2.054000000000000000e+03, 4.027934740988523110e+00, 4.819164565528303967e+00, 7.117428931350579191e+00, 6.416575129601109317e+00, 3.491045722745359292e+00, 3.849716245897481848e+00, 6.707666725353529813e+00, 5.313462505445308182e+00, 6.781598308789281049e+00, 6.028546992232062252e+00, 4.092682228899046315e+00, 7.374769527615372411e+00, 2.245981513211457781e+00, 4.846668598447955389e+00
2.055000000000000000e+03, 4.257299014640496537e+00, 5.015212828631644193e+00, 7.308445265199543073e+00, 6.524939703305943084e+00, 3.547172332031725439e+00, 4.248049529214788400e+00, 6.783220156519475630e+00, 5.428501680628825099e+00, 7.002757705959095524e+00, 5.978542082868013807e+00, 4.144254609429844471e+00, 7.398105033023836263e+00, 2.121075664482005685e+00, 4.736233972460792252e+00
2.056000000000000000e+03, 4.412837267855048928e+00, 4.924938309384174318e+00, 7.216468232447089903e+00, 6.704301346472422374e+00, 3.586005632437131219e+00, 3.747350003978304755e+00, 7.039209071381038463e+00, 5.401937471075888730e+00, 6.939466951654653215e+00, 6.087886169561876670e+00, 4.148850544040596056e+00, 7.494471078756771654e+00, 2.270260253836801301e+00, 4.679702844469206369e+00
2.057000000000000000e+03, 4.146778820427469370e+00, 5.101050199219492320e+00, 7.273649897807585418e+00, 6.565214776754889847e+00, 3.611429697584434884e+00, 4.307563996857515676e+00, 7.333492396175673278e+00, 5.565633848709556020e+00, 7.300769424763797311e+00, 6.099320098819045910e+00, 4.154850201642755536e+00, 7.384206114877969185e+00, 2.244768502551255818e+00, 4.663213386625367107e+00
2.058000000000000000e+03, 4.381402817661540716e+00, 5.069740639176112396e+00, 7.236512457714411539e+00, 6.644475901599110834e+00, 3.635999100148390450e+00, 4.560578993332804032e+00, 7.167613591198297662e+00, 5.581674633362155191e+00, 6.980877967192244071e+00, 5.864248038261070661e+00, 4.206971662960955705e+00, 7.357294496493750557e+00, 2.277948704508886646e+00, 4.745096392705979049e+00
2.059000000000000000e+03, 4.381850742687620759e+00, 5.147359472890398635e+00, 7.416405266772536642e+00, 6.925773519476480899e+00, 3.620957576997516192e+00, 4.087694391636377489e+00, 7.091514073466231416e+00, 5.502458951744608306e+00, 7.111850095183792853e+00, 6.113560937237919823e+00, 4.227645898707619310e+00, 7.549264605531750938e+00, 2.304653894659547841e+00, 4.882365574808272157e+00
2.060000000000000000e+03, 4.382409677407176574e+00, 5.281702439375103530e+00, 7.203721286004141078e+00, 6.819152660034996316e+00, 3.546870059887125670e+00, 4.569805245244323189e+00, 7.508497103052794053e+00, 5.526677906123393491e+00, 7.017527942340587188e+00, 6.209815116709272331e+00, 4.235778995598574959e+00, 7.250230358710850531e+00, 2.380485313973835559e+00, 4.911990423622164315e+00
2.061000000000000000e+03, 4.414483476117945671e+00, 5.207712905735426112e+00, 7.391058145672523061e+00, 6.932563266131788637e+00, 3.571196378600820509e+00, 4.486613215551122025e+00, 7.009332323192456471e+00, 5.650239795679096844e+00, 7.080928072938999840e+00, 6.249247930971263187e+00, 4.271352438361208925e+00, 7.523453659257309134e+00, 2.336303490605928790e+00, 4.809442258564112116e+00
