year, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, INM-CM5-0, MIROC-ES2L, CanESM5, NorESM2-MM, INM-CM4-8
2.051000000000000000e+03, 1.839910915605307062e+00, 1.811313154621996269e+00, 1.615626880987667269e+00, 1.751831837086585075e+00, 2.075596614769990467e+00, 1.943154622176595403e+00, 1.869765406411166619e+00, 1.753501981907528151e+00, 1.611354438782615972e+00, 1.881751501865837950e+00, 1.978428092252763060e+00, 1.847333976074796436e+00, 1.874521141458696416e+00, 1.918312083932706136e+00, 1.574225514145152882e+00, 1.910439571976835671e+00
2.052000000000000000e+03, 1.802367166636719586e+00, 1.776772241087078763e+00, 1.512621706763583429e+00, 1.705470887743840036e+00, 2.059658467305218732e+00, 2.011534798774715416e+00, 1.834330827151836152e+00, 1.753249353688755452e+00, 1.581697925519094827e+00, 1.923309295935190288e+00, 1.952182490687610850e+00, 1.906531078409043012e+00, 1.874428268469259695e+00, 1.975057758695457633e+00, 1.611883811056172178e+00, 1.862599072790962929e+00
2.053000000000000000e+03, 1.922089358249288393e+00, 1.817574799825605547e+00, 1.514287796944752129e+00, 1.713778633717960354e+00, 2.075818624425229242e+00, 1.887499400332608435e+00, 1.797064662714247030e+00, 1.669866533449798185e+00, 1.605814958723332353e+00, 1.784559777635295941e+00, 2.013054109808256165e+00, 2.003590679453121304e+00, 1.928734377986809800e+00, 1.748193800500400297e+00, 1.624124131136917892e+00, 1.824893203894756066e+00
2.054000000000000000e+03, 1.886482664103547702e+00, 1.817674410356779013e+00, 1.553810750669073260e+00, 1.691015915519586743e+00, 2.061048297434268317e+00, 1.965007347559258211e+00, 1.875362201990683486e+00, 1.754722098344089209e+00, 1.537305805894103816e+00, 1.933606221184919649e+00, 2.009419022259777865e+00, 1.861696559486506475e+00, 1.927602736323024368e+00, 1.678787073821985887e+00, 1.679781603319060235e+00, 1.841823482731299144e+00
2.055000000000000000e+03, 1.885305741807544511e+00, 1.808948219700400983e+00, 1.548008306165389758e+00, 1.676069109373295118e+00, 2.105844066766264788e+00, 1.933452436801940344e+00, 1.944196579185870188e+00, 1.704337200681647957e+00, 1.603629955463917955e+00, 1.925398044515217899e+00, 1.922262225122415735e+00, 1.836296579194731882e+00, 1.853820846813774903e+00, 1.918495099182700780e+00, 1.653308776822408399e+00, 1.851122700557901624e+00
2.056000000000000000e+03, 1.882172836102585345e+00, 1.843001849774342116e+00, 1.617825400739189012e+00, 1.657138606671502368e+00, 2.145065457559327537e+00, 1.827557838747081220e+00, 1.904454766636987317e+00, 1.792376938174183199e+00, 1.591452326919257754e+00, 1.887885303830881378e+00, 1.949738245717216989e+00, 1.766986892175798074e+00, 1.925537001118704739e+00, 1.862577727654150861e+00, 1.557725849637745963e+00, 1.888442870164237286e+00
2.057000000000000000e+03, 1.904478247935593282e+00, 1.863707005837959230e+00, 1.530072133793547895e+00, 1.737971976959856946e+00, 2.081622138806771272e+00, 1.896900214271673324e+00, 1.842465747407238341e+00, 1.789526588236263427e+00, 1.529334021379758601e+00, 1.919980564576830417e+00, 1.897019656485358086e+00, 1.976002930724669371e+00, 1.935093651057706143e+00, 1.869255263344261841e+00, 1.509399307212857977e+00, 1.872916080170835551e+00
2.058000000000000000e+03, 1.791128774427295678e+00, 1.834679690171065580e+00, 1.543239578931129286e+00, 1.660240018184073518e+00, 2.134454473019043341e+00, 1.961275814634437786e+00, 1.824112251235282089e+00, 1.755570459546408113e+00, 1.586976533925589683e+00, 1.908434089812311996e+00, 1.998537271293518769e+00, 1.861693898358048216e+00, 1.854990233955864154e+00, 1.943552256949250490e+00, 1.612080313368147388e+00, 1.915812111881780577e+00
2.059000000000000000e+03, 1.866596496983658149e+00, 1.838399890178601614e+00, 1.550343578106405218e+00, 1.740448271966163807e+00, 2.046418505571665047e+00, 1.942035126452425375e+00, 1.905814623940119468e+00, 1.737638430293634739e+00, 1.650099499877965670e+00, 1.910797400556352610e+00, 1.982315569230401531e+00, 1.846936924016467252e+00, 1.888619044012157744e+00, 1.929171449130721250e+00, 1.629820533035905461e+00, 1.868452884207491893e+00
2.060000000000000000e+03, 1.834277560402150620e+00, 1.807297888317488388e+00, 1.676642007208158258e+00, 1.783314876307812824e+00, 2.049880343265972016e+00, 1.954179612834753943e+00, 1.853097315387676414e+00, 1.754504892601779442e+00, 1.575210700036535627e+00, 1.867528785264184199e+00, 1.931023738505279308e+00, 1.852985294413993733e+00, 1.867525962132870587e+00, 1.929187877196888445e+00, 1.564125731086957405e+00, 1.886653573337503165e+00
