year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.895000000000000000e+03, 6.609819693502835575e-10, 2.973729957531847895e-11, 4.376594177240391875e-10, 5.093376891769814711e-13, 2.407525102454655984e-11, 4.275371583236248296e-10, 2.448271829006471865e-10, 7.954419851140867636e-11
1.896000000000000000e+03, 7.311794246616002819e-10, 2.680799465093646843e-11, 4.341775191773536911e-10, 4.748259127978282076e-13, 2.550035368841751636e-11, 4.297175732596994068e-10, 2.414793210260042756e-10, 7.985803253116982730e-11
1.897000000000000000e+03, 7.274028343831350261e-10, 2.615822478164245774e-11, 4.331826065281843046e-10, 4.561615272321561917e-13, 2.691073556078272616e-11, 4.305882648529014212e-10, 2.798499307116969644e-10, 8.023603024544460641e-11
1.898000000000000000e+03, 7.007146773341063999e-10, 2.627044339390487849e-11, 4.424491109342916851e-10, 4.518625240724005484e-13, 2.848341126992285631e-11, 4.340034605969091505e-10, 2.829560945303379625e-10, 8.065567070776945645e-11
1.899000000000000000e+03, 6.639546989058934942e-10, 2.663609175728194442e-11, 4.382562294379973122e-10, 4.327245819269982246e-13, 3.002578171551314866e-11, 4.376144427018470529e-10, 2.758873802176045197e-10, 8.111431657257844137e-11
1.900000000000000000e+03, 6.543113939843875383e-10, 2.703870724977554611e-11, 4.366996410905917814e-10, 4.321268181382722991e-13, 3.160233173780583559e-11, 4.487421311727203415e-10, 2.669525065897665729e-10, 8.163631268192404482e-11
1.901000000000000000e+03, 6.904402854904240879e-10, 2.820466190567963513e-11, 4.410587700983877321e-10, 4.063938187562331182e-13, 3.234678988659137166e-11, 4.556528783143781525e-10, 2.548628006302642190e-10, 8.214227994741281776e-11
1.902000000000000000e+03, 6.936309746695261593e-10, 2.948476077524631616e-11, 4.310097034464471961e-10, 4.142200254331660629e-13, 3.363406867135871371e-11, 4.628587057720908107e-10, 2.719816723101849843e-10, 8.254790764485002607e-11
1.903000000000000000e+03, 6.700349439569436687e-10, 3.030036394100682756e-11, 4.282953371465393365e-10, 3.967824237098369858e-13, 3.492771860913905707e-11, 4.682589672577138312e-10, 2.782540676522973611e-10, 8.293449254656310516e-11
1.904000000000000000e+03, 6.279672620029305330e-10, 3.094793604021072099e-11, 4.336689693669708524e-10, 4.327880742659133209e-13, 3.636722185004285513e-11, 4.695597134641341057e-10, 2.619710953111965068e-10, 8.336392207738030275e-11
1.905000000000000000e+03, 6.980016456398647936e-10, 3.148152574070315657e-11, 4.425488298223798134e-10, 4.440055509751024066e-13, 3.777195648604823313e-11, 4.683187574562784266e-10, 2.590778902843835140e-10, 8.383986511449895858e-11
1.906000000000000000e+03, 7.063590525803845815e-10, 3.198771037021185032e-11, 4.617410612294614643e-10, 4.330867319683937470e-13, 3.912077356223221639e-11, 4.691005675464183343e-10, 2.696262097913802416e-10, 8.435060222584093182e-11
1.907000000000000000e+03, 7.160467182538703158e-10, 3.241824659881406088e-11, 4.640328943150965433e-10, 4.017868208762007468e-13, 4.035298840900784943e-11, 4.694512898864540804e-10, 2.879037333870576210e-10, 8.488171366320029756e-11
1.908000000000000000e+03, 7.201576859316783901e-10, 3.294759452372758291e-11, 4.587711449260147862e-10, 4.021809542874745719e-13, 4.147108813236477722e-11, 4.676245589175388670e-10, 2.861660843044525553e-10, 8.540147529179823830e-11
1.909000000000000000e+03, 7.141433680523727412e-10, 3.331724584534958985e-11, 4.568990115395328178e-10, 3.881680211253292704e-13, 4.249598704246085342e-11, 4.675813079304707211e-10, 2.598986668889697581e-10, 8.592124699212577203e-11
1.910000000000000000e+03, 7.066136078182768643e-10, 3.372768674160659205e-11, 4.716725078761529790e-10, 4.771287656140326896e-13, 4.309893762094016036e-11, 4.932055462936056353e-10, 2.690869273885202082e-10, 8.734883928558049671e-11
1.911000000000000000e+03, 7.661495623086658362e-10, 4.220411866172642713e-11, 4.699754371067066977e-10, 5.822975942030230290e-13, 4.315444544499856870e-11, 5.005361388985141784e-10, 2.800299770485828451e-10, 8.944160955336556238e-11
