year, NorESM2-LM, INM-CM4-8, CESM2-WACCM, UKESM1-0-LL, NorESM2-MM, CanESM5, INM-CM5-0, IPSL-CM6A-LR, GFDL-ESM4, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CMCC-ESM2, EC-Earth3-Veg, CNRM-ESM2-1
1.880000000000000000e+03, 1.652048641758886660e+00, 1.072915144457518011e+00, 1.815242054800635385e+00, 2.177256316867700381e+00, 1.530695088527788128e+00, 7.954896647455910186e-01, 1.059503310011415511e+00, 7.370373427148789736e-01, 1.970908001730136361e+00, 1.072531018743756004e+00, 1.183625863551298840e+00, 7.449493729401686082e-01, 2.554225004324913506e+00, 2.243030338953298397e+00, 1.194762004073283812e+00, 9.138027191358928381e-01
1.881000000000000000e+03, 1.598651945833101884e+00, 1.069901195446026465e+00, 1.789649639732940223e+00, 2.181685681736401872e+00, 1.484258639323074336e+00, 7.995459477692588024e-01, 1.088974192558776588e+00, 7.490381601187331428e-01, 1.962416530518311442e+00, 1.090912570474234178e+00, 1.231687742653254647e+00, 7.961629697509895465e-01, 2.487818456941635947e+00, 2.166257574967294541e+00, 1.205378934285207260e+00, 8.908964790054249017e-01
1.882000000000000000e+03, 1.649819951028856035e+00, 1.081215050211370210e+00, 1.749495720543208899e+00, 2.173124145362128168e+00, 1.459104550726953331e+00, 8.379501919141266741e-01, 1.062257736373204864e+00, 7.525240857553986418e-01, 1.914901426084679281e+00, 1.111570379258435493e+00, 1.220381869621046445e+00, 7.830868711176287578e-01, 2.487953299989564382e+00, 2.217591882388493918e+00, 1.206551828789935055e+00, 8.786436601782808831e-01
1.883000000000000000e+03, 1.683969415546788362e+00, 1.076107789157186634e+00, 1.712348452869545845e+00, 2.179479375306966116e+00, 1.505958028552052852e+00, 8.171501338854574303e-01, 1.051192942043613465e+00, 7.547607495942052491e-01, 1.901069785314619232e+00, 1.096670276275049982e+00, 1.204045541061990132e+00, 7.918206461413529462e-01, 2.572122232448155632e+00, 2.123684879480284504e+00, 1.189207040029600870e+00, 9.259528463133960274e-01
1.884000000000000000e+03, 1.698233331987824890e+00, 1.052399108209224998e+00, 1.744083897739827194e+00, 2.140492533546491050e+00, 1.555433901053139500e+00, 7.841261979990642450e-01, 1.030461212486517120e+00, 7.413799947632777609e-01, 1.924459076601768626e+00, 1.105154796960655661e+00, 1.207222831649853667e+00, 7.889786869941879388e-01, 2.533675829216731845e+00, 2.098738748926636699e+00, 1.153376132538699084e+00, 8.893410278270421632e-01
1.885000000000000000e+03, 1.670044781750537943e+00, 1.064932581387845634e+00, 1.689830326565973762e+00, 2.142184455860830727e+00, 1.604121068950200790e+00, 8.079454093315385776e-01, 1.009292064586288618e+00, 7.255195930964705164e-01, 1.809406080808584338e+00, 1.129771323130270178e+00, 1.212474055266683948e+00, 7.628520449576767781e-01, 2.460746000945758905e+00, 2.101507141811413515e+00, 1.180973685663826434e+00, 9.365673136910129815e-01
1.886000000000000000e+03, 1.662391493093317019e+00, 1.076698811507372122e+00, 1.717996999881361786e+00, 2.159186335664994960e+00, 1.595852243305992957e+00, 8.078772272384650011e-01, 1.060802547230522475e+00, 7.489827043604732060e-01, 1.859153061526671591e+00, 1.127210825302900732e+00, 1.220567387017537309e+00, 7.598105909911940792e-01, 2.538149856628930223e+00, 2.159774825480202498e+00, 1.185962031650008575e+00, 9.226710638290874789e-01
1.887000000000000000e+03, 1.674772527913453102e+00, 1.071920442572335208e+00, 1.717622845422446698e+00, 2.159451005509549493e+00, 1.604236306952001145e+00, 7.843902681168999358e-01, 1.049662586230599937e+00, 7.524820540865764240e-01, 1.888438541669512194e+00, 1.094412149520463950e+00, 1.211751393341938599e+00, 7.834538225730088845e-01, 2.549446687007447032e+00, 2.208401298006704927e+00, 1.193496712680325755e+00, 8.855839797014306569e-01
1.888000000000000000e+03, 1.656862047304069607e+00, 1.093571573569462441e+00, 1.742836814487042529e+00, 2.147950664505601015e+00, 1.566352270258094537e+00, 7.767128915466163797e-01, 1.041783494728381054e+00, 7.684618865934866871e-01, 1.860515735392265446e+00, 1.092920369890967969e+00, 1.222004159889485297e+00, 7.806163376227364115e-01, 2.533497351512417950e+00, 2.176925076246166491e+00, 1.222806154904144904e+00, 8.808915792260352262e-01
1.889000000000000000e+03, 1.710242542493986662e+00, 1.083622538649312572e+00, 1.815830749647481257e+00, 2.177544302890582539e+00, 1.538263462952800031e+00, 8.416992573910834219e-01, 1.057940012538497010e+00, 7.592304400458521618e-01, 1.954153708462049721e+00, 1.104936849295692802e+00, 1.208542880505595107e+00, 7.751088076879132371e-01, 2.570072891594033404e+00, 2.279083936797208665e+00, 1.206774409514003388e+00, 9.092569240582702994e-01
1.890000000000000000e+03, 1.667596086187751458e+00, 1.087895553795997783e+00, 1.773030893698227528e+00, 2.162003834908528432e+00, 1.578752971942443128e+00, 8.329579050939646123e-01, 1.051652684836198226e+00, 7.541456186545071327e-01, 1.893861106922639426e+00, 1.098000334438117509e+00, 1.182672112509089324e+00, 7.641336751468577049e-01, 2.541334380875766463e+00, 2.234813525591337058e+00, 1.191329696897406754e+00, 9.202300928955805537e-01
1.891000000000000000e+03, 1.630153306244587652e+00, 1.088931491928298190e+00, 1.778210846846800308e+00, 2.166996340770929397e+00, 1.550813120891133101e+00, 8.028422403776597216e-01, 1.045772608563281025e+00, 7.472006632868956055e-01, 1.874836244820333730e+00, 1.110267130541317204e+00, 1.215692161115410341e+00, 7.462531890443623306e-01, 2.479459763311770537e+00, 2.121518842785708792e+00, 1.231521988601592232e+00, 9.288363938439913037e-01
1.892000000000000000e+03, 1.670557873870896604e+00, 1.075822626901303591e+00, 1.820202063152836391e+00, 2.177071260362284821e+00, 1.494701187082497773e+00, 8.052783979242407186e-01, 1.055294262965574159e+00, 7.445530233842242440e-01, 1.898621705424792472e+00, 1.115434151061531987e+00, 1.206850857745942029e+00, 7.810916864029713302e-01, 2.522983996814833318e+00, 1.997011654524498914e+00, 1.222145228203966205e+00, 9.257995105790368662e-01
1.893000000000000000e+03, 1.695515451841124843e+00, 1.080191533570493689e+00, 1.825816910921093994e+00, 2.241729974010556958e+00, 1.472107093012086310e+00, 8.098649098985838402e-01, 1.066445725191726979e+00, 7.493566184391775575e-01, 1.904746010306756832e+00, 1.105842221136625669e+00, 1.231740033344493446e+00, 7.733344437274165539e-01, 2.473787933266679229e+00, 2.128569122498701116e+00, 1.204973649777778988e+00, 9.161110408302495234e-01
1.894000000000000000e+03, 1.666285149344381322e+00, 1.095675387477420548e+00, 1.753494075842722877e+00, 2.222642910901484914e+00, 1.485119142788170032e+00, 8.022182708937324325e-01, 1.031144307932264192e+00, 7.346632430321660134e-01, 1.939933890135425498e+00, 1.115769467080856892e+00, 1.212633481610061681e+00, 7.608416468396008714e-01, 2.410973147230035085e+00, 2.299445199169543486e+00, 1.237755068438740169e+00, 9.456738477307623514e-01
1.895000000000000000e+03, 1.665347480575555039e+00, 1.071532054387154043e+00, 1.706955589957414254e+00, 2.228225760839218861e+00, 1.474557366930242086e+00, 7.898180375673709008e-01, 1.053540784853944867e+00, 7.465544276393916157e-01, 1.953670589307443972e+00, 1.117609557967857103e+00, 1.234160720044442661e+00, 7.757676318802102511e-01, 2.423004238897104035e+00, 2.274505626058261232e+00, 1.199245985935193826e+00, 9.487040757833458127e-01
1.896000000000000000e+03, 1.697343249824398770e+00, 1.121254159352060409e+00, 1.728375991978404747e+00, 2.166336502062652603e+00, 1.470744782092573866e+00, 7.968275570033611643e-01, 1.043267756755659414e+00, 7.679692084650631134e-01, 1.911742801520473156e+00, 1.121873974480186664e+00, 1.211791780635051330e+00, 7.772143889999771904e-01, 2.577088540452483922e+00, 2.219930728185693702e+00, 1.186488538323890785e+00, 9.091738689004845719e-01
