year, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, CNRM-ESM2-1, NorESM2-LM, TaiESM1, EC-Earth3-Veg, GFDL-ESM4
1.917000000000000000e+03, 1.723019073464080261e-10, 1.341265149710093530e-10, 1.808571846112801001e-10, 2.292028147377178789e-10, 1.723019073464080261e-10, 3.858718621169381968e-10, 2.881042095552030703e-10, 2.881042095552030703e-10, 8.314590828454432262e-11, 1.341265149710093530e-10, 2.745360261809427439e-10, 3.838504872990293599e-10
1.918000000000000000e+03, 3.176755892880946401e-10, 1.648555077002688350e-10, 1.608969406014506223e-10, 2.345908206214768170e-10, 3.176755892880946401e-10, 2.645968553244391029e-10, 2.803273365814937694e-10, 2.803273365814937694e-10, 2.453794517040788279e-10, 1.648555077002688350e-10, 2.513390143670916867e-10, 2.624575558299532782e-10
1.919000000000000000e+03, 3.108649228673031480e-10, 2.029898987109288505e-10, 1.875209479143022729e-10, 1.818812810634137911e-10, 3.108649228673031480e-10, 3.068820566397892316e-10, 3.375346820564159648e-10, 3.375346820564159648e-10, 5.239470246479767653e-10, 2.029898987109288505e-10, 2.565537453069839335e-10, 3.047740280174372744e-10
1.920000000000000000e+03, 2.137340548671910762e-10, 1.204038461959424945e-10, 1.447452930016174818e-10, 2.711101069899677969e-10, 2.137340548671910762e-10, 3.801701251540692959e-10, 2.858563805680345811e-10, 2.858563805680345811e-10, 1.007255485833421010e-09, 1.204038461959424945e-10, 2.565467601954928150e-10, 3.780963692931686122e-10
1.921000000000000000e+03, 3.574298173991443381e-10, 1.327902967704506572e-10, 2.187477806526687729e-10, 2.257305206945411885e-10, 3.574298173991443381e-10, 4.932352146814419199e-10, 2.500916731774494625e-10, 2.500916731774494625e-10, 3.886901692149658023e-10, 1.327902967704506572e-10, 2.153755283689781170e-10, 4.911784065542640804e-10
1.922000000000000000e+03, 3.174801968205563518e-10, 2.236663434376243270e-10, 1.510853233237727218e-10, 2.382121446480949185e-10, 3.174801968205563518e-10, 3.287537780076238898e-10, 2.239972085994720000e-10, 2.239972085994720000e-10, 1.208039118497067065e-10, 2.236663434376243270e-10, 3.611612001918690841e-10, 3.266904750960343584e-10
1.923000000000000000e+03, 2.948781800385041492e-10, 2.128052033584818178e-10, 1.943777324463223225e-10, 1.491826162393559612e-10, 2.948781800385041492e-10, 3.692897119621694250e-10, 2.164486776194852721e-10, 2.164486776194852721e-10, 1.439285167496052984e-10, 2.128052033584818178e-10, 2.012777597750762802e-10, 3.672080141411138799e-10
1.924000000000000000e+03, 3.642449751004161688e-10, 1.452589688805172150e-10, 1.459445978023152530e-10, 2.171795706868883933e-10, 3.642449751004161688e-10, 3.420974136237808413e-10, 1.950475184023220026e-10, 1.950475184023220026e-10, 2.063480563088194346e-10, 1.452589688805172150e-10, 3.244763839132564452e-10, 3.399704014555903845e-10
1.925000000000000000e+03, 2.016660114106588988e-10, 1.275309888935289242e-10, 1.783990707344186322e-10, 3.346265698695416067e-10, 2.016660114106588988e-10, 3.577512799378427483e-10, 1.891823967365637001e-10, 1.891823967365637001e-10, 1.175312956084855985e-10, 1.275309888935289242e-10, 2.598334158765002578e-10, 3.556070444631607072e-10
1.926000000000000000e+03, 1.784292050937803849e-10, 1.802849877372431902e-10, 1.721806472088369569e-10, 2.667742735287578145e-10, 1.784292050937803849e-10, 4.155875254545416878e-10, 3.031763506464478589e-10, 3.031763506464478589e-10, 1.951701526662378582e-10, 1.802849877372431902e-10, 1.954043231381619741e-10, 4.133813586573011282e-10
1.927000000000000000e+03, 2.240893654970210486e-10, 2.670030807610749000e-10, 1.065602158327708733e-10, 1.658949726653460694e-10, 2.240893654970210486e-10, 4.337235783582198830e-10, 2.699160256880186508e-10, 2.699160256880186508e-10, 3.147079945242169342e-10, 2.670030807610749000e-10, 3.879874416062804131e-10, 4.315765867343052946e-10
1.928000000000000000e+03, 2.530339072135926819e-10, 1.455598330754327067e-10, 1.293018199344061793e-10, 2.931613692870031420e-10, 2.530339072135926819e-10, 4.185241889149835406e-10, 2.668719633364392294e-10, 2.668719633364392294e-10, 2.285929590509851297e-10, 1.455598330754327067e-10, 2.046612820214165826e-10, 4.162909214334259160e-10
1.929000000000000000e+03, 4.473970750329966214e-10, 1.243077251045093657e-10, 2.567995820693071490e-10, 3.706657234008931526e-10, 4.473970750329966214e-10, 3.692205010221021536e-10, 2.436388090169818392e-10, 2.436388090169818392e-10, 2.340449002492998920e-10, 1.243077251045093657e-10, 1.989472214814048350e-10, 3.669294398885546601e-10
