year, IPSL-CM6A-LR, CanESM5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-LM, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5
1.924000000000000000e+03, 3.621697396092475429e+01, 1.233425190568851377e+02, 9.679899712275059187e+01, 1.999723032954329938e+02, 1.348848498410708032e+02, 9.706484863819294162e+01, 1.341761786781186743e+02, 6.659073742785999173e+01, 5.634719099363574912e+01, 9.122110360571646481e+01, 4.047489214615666242e+01, 9.113028869405114563e+01, 1.092194348432688287e+02, 2.696195784347346489e+02
1.925000000000000000e+03, 3.623075017779613916e+01, 1.233460098718953049e+02, 9.681484535769243394e+01, 1.999240772592405335e+02, 1.349349634677919596e+02, 9.704550894230112590e+01, 1.341677223466892599e+02, 6.656498765952653685e+01, 5.632142326959719725e+01, 9.124185746800405639e+01, 4.045903201210323630e+01, 9.115802045896872130e+01, 1.092286225340334340e+02, 2.695629729275864861e+02
1.926000000000000000e+03, 3.624047111457156234e+01, 1.233481158437179914e+02, 9.683591656490855826e+01, 1.999898313510209107e+02, 1.349889189727117582e+02, 9.704195504280043849e+01, 1.341502435309758141e+02, 6.656408735556033207e+01, 5.640701033775231110e+01, 9.122720760533582052e+01, 4.042112851848010280e+01, 9.119218102767931100e+01, 1.092053548648310652e+02, 2.696116581631280837e+02
1.927000000000000000e+03, 3.625509622948109012e+01, 1.233657217052694932e+02, 9.685297164816623194e+01, 1.999615267186355823e+02, 1.350603430432123844e+02, 9.706371699717571744e+01, 1.341329925121366102e+02, 6.658337006327843710e+01, 5.631678166248897099e+01, 9.125920286521908054e+01, 4.041551175640039872e+01, 9.123527588586004811e+01, 1.091840657686068710e+02, 2.696764501229985171e+02
1.928000000000000000e+03, 3.627519075415880678e+01, 1.233483939312889106e+02, 9.687699518430065382e+01, 2.001061791169708783e+02, 1.351095344496453379e+02, 9.711640879151528338e+01, 1.340960331550184890e+02, 6.666143054881815999e+01, 5.628395080570109599e+01, 9.127776768788645256e+01, 4.040100847727771338e+01, 9.127287461074543273e+01, 1.091878156675766292e+02, 2.697813698805142621e+02
1.929000000000000000e+03, 3.629799545394980242e+01, 1.233188559695101958e+02, 9.691013459513692396e+01, 2.003212568004966272e+02, 1.351720816709877511e+02, 9.713212631041440659e+01, 1.340668473914094534e+02, 6.660896698076210498e+01, 5.642000676448956398e+01, 9.127395975947274565e+01, 4.033553023532199688e+01, 9.132247097073241093e+01, 1.092159365859606766e+02, 2.698074952212122639e+02
1.930000000000000000e+03, 3.631331521590753653e+01, 1.233166963301672467e+02, 9.693443399152837969e+01, 2.002827202577052503e+02, 1.352286645356516601e+02, 9.713105415686271726e+01, 1.340581987973044136e+02, 6.661885905292596988e+01, 5.644394007480732967e+01, 9.126573385498483049e+01, 4.033774084141258243e+01, 9.136210341095592469e+01, 1.092483483041984300e+02, 2.698664696938179759e+02
1.931000000000000000e+03, 3.632612224312395455e+01, 1.233255180261573116e+02, 9.694899634936946597e+01, 2.003066097601467561e+02, 1.352827401420097146e+02, 9.713188161575561708e+01, 1.340713171013405258e+02, 6.662780642888928639e+01, 5.642887650648861353e+01, 9.127459907037375331e+01, 4.032716010548691798e+01, 9.139719207445159554e+01, 1.092983301927501998e+02, 2.698403294467186697e+02
1.932000000000000000e+03, 3.634295389569594903e+01, 1.233199425382479575e+02, 9.695088754756397975e+01, 2.002134580419096892e+02, 1.353226082292425190e+02, 9.714109420231558545e+01, 1.340883243933969311e+02, 6.660256959298658330e+01, 5.643431385494696428e+01, 9.129431924639226281e+01, 4.031215383764259741e+01, 9.142539696640045577e+01, 1.092955854100267601e+02, 2.698485058021238387e+02
1.933000000000000000e+03, 3.635207368905523850e+01, 1.233029499248233094e+02, 9.698742839363680446e+01, 2.001506625157562382e+02, 1.353948232606546185e+02, 9.712782932518284440e+01, 1.340836360229335185e+02, 6.667988226346045622e+01, 5.645983515047871037e+01, 9.130093330028942944e+01, 4.034299666237676263e+01, 9.145303955427203846e+01, 1.092440388694257223e+02, 2.698337692863042321e+02
1.934000000000000000e+03, 3.636329299984679153e+01, 1.232841919083371209e+02, 9.701409716025889907e+01, 2.001818180967152330e+02, 1.354640644828911036e+02, 9.712016516129952493e+01, 1.340671138789576560e+02, 6.671396182599325186e+01, 5.651331213846573576e+01, 9.129585988262752494e+01, 4.029229292960259556e+01, 9.148554720201532575e+01, 1.091986526362252476e+02, 2.698434698049317149e+02
1.935000000000000000e+03, 3.636909267805547330e+01, 1.232719092189840069e+02, 9.702883311603376626e+01, 2.002021957471683322e+02, 1.355417433624660077e+02, 9.713933321244606134e+01, 1.340421514198697253e+02, 6.665681634487469864e+01, 5.650854766070777657e+01, 9.131067226945441462e+01, 4.024346824892371188e+01, 9.152488360952206392e+01, 1.091962916997580351e+02, 2.699195099992975315e+02
1.936000000000000000e+03, 3.637873183572693847e+01, 1.232662513271968550e+02, 9.702527938430213794e+01, 2.001339028651580065e+02, 1.355968324992689134e+02, 9.719107050703418338e+01, 1.339702765279989762e+02, 6.657512713753658318e+01, 5.647955222230870476e+01, 9.132298379093163021e+01, 4.019375210316404434e+01, 9.156872799387433304e+01, 1.092332704056636601e+02, 2.699458428274531343e+02
1.937000000000000000e+03, 3.637356715506889060e+01, 1.232437678264848557e+02, 9.702488018899025235e+01, 2.000384876318660758e+02, 1.356533962425273501e+02, 9.724410554688449793e+01, 1.339182246426213680e+02, 6.658785699264076641e+01, 5.644125264978679013e+01, 9.132124037444675935e+01, 4.015138910254620441e+01, 9.162256720995495130e+01, 1.092040567601463295e+02, 2.699222730484178783e+02
1.938000000000000000e+03, 3.637478666559704266e+01, 1.232280888681050044e+02, 9.700578988112886236e+01, 2.000739522167455675e+02, 1.356821313867444303e+02, 9.728214072395056178e+01, 1.339006864466490470e+02, 6.664013495057446335e+01, 5.645085142229841324e+01, 9.131106429244603362e+01, 4.012523931339269012e+01, 9.166051241548011319e+01, 1.091568280987548860e+02, 2.699395877988386019e+02
