year, ACCESS-ESM1-5, NorESM2-MM, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, TaiESM1, GFDL-ESM4, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, CNRM-ESM2-1, CanESM5
1.934000000000000000e+03, 3.484565210795840695e+00, 3.283958777111912752e+00, 3.687512131462106435e+00, 4.375185851165487527e+00, 5.152399714096479677e+00, 3.263771126179530579e+00, 4.029121886961690713e+00, 3.136401972856521336e+00, 3.492100978386139420e+00, 1.915760537865386803e+00, 2.207065931900957345e+00, 3.435768126985476734e+00, 2.684969963347037414e+00, 3.715557055928452090e+00
1.935000000000000000e+03, 3.547464496900764264e+00, 3.253012910429234683e+00, 3.640711436246759192e+00, 4.822395618170698839e+00, 5.117545265121321130e+00, 3.238202439522829046e+00, 3.978873321329191359e+00, 3.093629008949764003e+00, 3.645175660010866014e+00, 1.921423161335917840e+00, 2.454263089698868860e+00, 3.364835489799709034e+00, 2.746938746752690896e+00, 4.040543435843996889e+00
1.936000000000000000e+03, 3.562829858388852688e+00, 3.153416775985915965e+00, 3.749608781268032320e+00, 4.503532652050045826e+00, 5.219688004313201901e+00, 3.217562917749301477e+00, 3.946988872182704000e+00, 3.116816400928496211e+00, 3.584828322320857907e+00, 1.843312133601049174e+00, 2.334628018977091823e+00, 3.475752689730711165e+00, 2.608316304735919910e+00, 3.978038458101549768e+00
1.937000000000000000e+03, 3.606159502310607667e+00, 3.344960078623995248e+00, 3.761409667128494672e+00, 4.617542664131589092e+00, 5.516051537942844973e+00, 3.207569217632576741e+00, 3.936057073322626110e+00, 3.128657167878066581e+00, 3.483507915195577453e+00, 1.907128224666512217e+00, 2.144798298649297941e+00, 3.457517838129145371e+00, 2.659262066441810290e+00, 3.867717965861593221e+00
1.938000000000000000e+03, 3.575592547296801538e+00, 3.259676517597167589e+00, 3.684937813855032385e+00, 4.337723369168156928e+00, 5.229254733157516988e+00, 3.186810959387290865e+00, 4.107542993821009070e+00, 3.098530411051685363e+00, 3.722684110626795384e+00, 1.941824706402450085e+00, 2.179140170850793812e+00, 3.483387597100463307e+00, 2.730540571899597424e+00, 3.752869956174642585e+00
1.939000000000000000e+03, 3.535180211582304555e+00, 3.268088529938143694e+00, 3.672042666114415876e+00, 4.639439391684576641e+00, 5.736000147528546478e+00, 3.147602197433517546e+00, 3.841578128770002376e+00, 3.104102280341786368e+00, 3.525538500505443373e+00, 1.952037031326965488e+00, 2.347466724529458038e+00, 3.564530845507963619e+00, 2.630937585687692870e+00, 3.738910909306274899e+00
1.940000000000000000e+03, 3.514295877211129682e+00, 3.302428913342801753e+00, 3.501023803168350934e+00, 4.694842534877083473e+00, 5.411747508219249880e+00, 3.250947752080329600e+00, 4.192710932747154118e+00, 3.018574078724708620e+00, 3.603863805411978483e+00, 1.915916767648647712e+00, 2.356758321447305793e+00, 3.342901884942661273e+00, 2.726791942089522358e+00, 3.858343969857585876e+00
1.941000000000000000e+03, 3.616866865471881631e+00, 3.343166217540302299e+00, 3.696850464926308977e+00, 4.564387118424511947e+00, 5.471973844847265234e+00, 3.210472954538005741e+00, 3.925659517032146884e+00, 3.073806194915819301e+00, 3.658266664620198227e+00, 1.922343003668466555e+00, 2.143281049834643515e+00, 3.496595490583521038e+00, 2.636665602053154256e+00, 3.988201909276672730e+00
1.942000000000000000e+03, 3.599360864247026282e+00, 3.249823503598454177e+00, 3.706514340613551006e+00, 4.627923449815266821e+00, 5.426870489293493804e+00, 3.243748065841210781e+00, 3.923372901770926013e+00, 3.108554652054197120e+00, 3.579384740195414860e+00, 1.951133884134384378e+00, 2.235765163114587395e+00, 3.468871992390731851e+00, 2.632230597433762309e+00, 3.824175416920271964e+00
1.943000000000000000e+03, 3.571395456755032782e+00, 3.422234392548697102e+00, 3.600912872479264948e+00, 4.637991946542047828e+00, 5.186863412699860731e+00, 3.257273638057994525e+00, 4.161278016495195686e+00, 3.079079447097545330e+00, 3.610662812193237592e+00, 1.999016580309933122e+00, 2.384337313547260528e+00, 3.493985804637143033e+00, 2.546299454757641190e+00, 3.738001971020348702e+00
