year, CESM2-WACCM, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CMCC-ESM2, NorESM2-MM, TaiESM1
2.045000000000000000e+03, 3.490071104331565569e-10, 2.421983682496188931e-09, 1.202828112292127020e-10, 1.658072640682807008e-09, 1.071377357186009003e-09, 1.645676342070018492e-11, 9.053571029420863744e-11, 5.005898222814215664e-10, 2.085761194470082551e-09, 6.405342223546769825e-10
2.046000000000000000e+03, 3.454432260236240062e-10, 2.427121804423135270e-09, 1.179413806686644541e-10, 1.698266178193223004e-09, 1.047399094398482037e-09, 1.231944673171374087e-11, 9.501699468388884701e-11, 4.967405333356496260e-10, 2.086649005430903237e-09, 6.384059122923150184e-10
2.047000000000000000e+03, 3.430545816669006641e-10, 2.430507070850964219e-09, 1.178422020628987055e-10, 1.705855000718297794e-09, 1.024564881842789092e-09, 1.007512766721319311e-11, 9.236527612605820249e-11, 4.925477463690844212e-10, 1.831302642072904945e-09, 6.359148347347243768e-10
2.048000000000000000e+03, 3.427384747049765501e-10, 2.445292207493266441e-09, 1.183431776098141369e-10, 1.559663656597199132e-09, 1.068161647221778947e-09, 8.966470721751070304e-12, 8.978065390539160702e-11, 4.890637329213127563e-10, 2.157220809741457060e-09, 6.378111118130703789e-10
2.049000000000000000e+03, 3.411620751765918714e-10, 2.446033063313733162e-09, 1.189578974563490716e-10, 1.542633416110389149e-09, 1.108888955301202808e-09, 8.303461777643102628e-12, 8.686902185139385952e-11, 4.874691198225809066e-10, 2.386687968896996436e-09, 6.442196102656787229e-10
2.050000000000000000e+03, 3.419800549241553224e-10, 2.453739050412786239e-09, 1.192972827920724427e-10, 1.445648343444297885e-09, 1.104465071919213675e-09, 7.751351712677811786e-12, 8.141474477460023551e-11, 5.295922679515974432e-10, 2.246889692337055664e-09, 6.690386554415469460e-10
2.051000000000000000e+03, 3.355667710281184424e-10, 2.461228060183831204e-09, 1.237672920208580217e-10, 1.692335721998353930e-09, 1.082434095979217956e-09, 7.012111154440849127e-12, 8.731060711319037556e-11, 5.358509506135133031e-10, 1.941440686265958485e-09, 6.633522043937385351e-10
2.052000000000000000e+03, 3.322876324728260801e-10, 2.463084023187348851e-09, 1.226500126286919472e-10, 1.611459444229502813e-09, 1.091486147979645408e-09, 6.495294936730997797e-12, 8.775899368615231150e-11, 5.354558542564706861e-10, 2.061603380237881590e-09, 6.632331724734401736e-10
2.053000000000000000e+03, 3.298349327722962131e-10, 2.469361455056634792e-09, 1.225315472744923224e-10, 1.489802939879795179e-09, 1.084702602900225704e-09, 6.111322310434478288e-12, 8.626004888356447088e-11, 5.377293750717888034e-10, 1.956183511956524392e-09, 6.656801196540745545e-10
2.054000000000000000e+03, 3.288154571228170531e-10, 2.472813858107181727e-09, 1.226989961138406177e-10, 1.402037354961920279e-09, 1.067903068691757024e-09, 5.812799965749482110e-12, 8.507493594519677976e-11, 5.365017840626663804e-10, 2.228804965032678274e-09, 6.670206780505731809e-10
2.055000000000000000e+03, 3.265648075546635789e-10, 2.453399558348722019e-09, 1.234793016513864570e-10, 1.527699963045661061e-09, 1.047118528764274537e-09, 5.527914189609497176e-12, 8.484179170329437431e-11, 5.072830430137300194e-10, 2.119027391624958705e-09, 6.140151056036351825e-10
2.056000000000000000e+03, 3.617062964908604185e-10, 2.429352890247101537e-09, 1.149791752661306622e-10, 1.429021616642126553e-09, 1.082148881295742246e-09, 6.272514364905941237e-12, 1.004519304780677964e-10, 5.086058682402686529e-10, 1.902433133842889324e-09, 6.095687996799729461e-10
2.057000000000000000e+03, 3.627702561599134743e-10, 2.419910242061081388e-09, 1.148501919365560004e-10, 1.466359146506431871e-09, 1.018163810775176742e-09, 1.295325817897229966e-11, 1.016295543279765086e-10, 5.079279766802978851e-10, 1.688110155308040657e-09, 6.071497116949042088e-10
2.058000000000000000e+03, 3.644884908458232413e-10, 2.434976028915058429e-09, 1.150573106969875922e-10, 1.389556958489758257e-09, 1.075615976478739214e-09, 1.483461806674880529e-11, 1.037653449776874123e-10, 5.099875247625246670e-10, 2.157993240861832727e-09, 6.266682979752279624e-10
2.059000000000000000e+03, 3.637091386498946982e-10, 2.449054192682867453e-09, 1.130853457666546457e-10, 1.558106289870283320e-09, 1.077444660370170180e-09, 9.527529611472754845e-12, 1.025683126279607237e-10, 5.083630057040633982e-10, 2.349384133481160658e-09, 6.282964914987421540e-10
2.060000000000000000e+03, 3.633078534537857830e-10, 2.433141122553911209e-09, 1.133258391392325076e-10, 1.634765714878772928e-09, 1.062322442282378481e-09, 6.748425557831437472e-12, 1.142651992929154964e-10, 4.740813270201522681e-10, 2.064172960702111596e-09, 6.129968933390542884e-10
2.061000000000000000e+03, 3.809375000887360680e-10, 2.399121251331798287e-09, 9.433235757506757713e-11, 1.492782347664388759e-09, 1.034625017403084580e-09, 5.722303388214898416e-12, 1.255726159387064048e-10, 4.799657566546878160e-10, 2.117634021000825651e-09, 6.018897149130533387e-10
2.062000000000000000e+03, 3.806696058993434748e-10, 2.365916268595877210e-09, 9.404858877098573583e-11, 1.313368122832533478e-09, 1.042985741817702699e-09, 5.331686586875900228e-12, 1.271127854709559146e-10, 4.756572272031881519e-10, 2.173336732055096292e-09, 5.968377687851743985e-10
2.063000000000000000e+03, 3.832098964434922703e-10, 2.372641698166840699e-09, 9.374193758946471565e-11, 1.494641611279340962e-09, 1.058299134481381464e-09, 5.131452895294889611e-12, 1.289435171624349858e-10, 4.603008972883720642e-10, 2.359708778899721010e-09, 5.966583290040195251e-10
2.064000000000000000e+03, 3.849006945758353050e-10, 2.380715147272379509e-09, 9.353157930412206353e-11, 1.901262859453604223e-09, 1.066793955086056080e-09, 4.892002633585867840e-12, 1.301528210741522741e-10, 4.556135882073882618e-10, 2.192052026188091837e-09, 5.976210531497257983e-10
2.065000000000000000e+03, 3.865724671882888983e-10, 2.376858063069369925e-09, 9.364922333000537751e-11, 1.520567092994112695e-09, 1.070981350880479968e-09, 4.613798204389871907e-12, 1.317464074408399469e-10, 4.485984245824321918e-10, 1.895480729977157303e-09, 5.872428139828472874e-10
2.066000000000000000e+03, 3.822014344127889457e-10, 2.371619111192581538e-09, 8.314199801119865528e-11, 1.431190567638680337e-09, 1.047972925285967456e-09, 4.172119381980435665e-12, 7.609761528050105635e-11, 4.431985218345895120e-10, 1.931699533310004615e-09, 5.848606764348437165e-10
2.067000000000000000e+03, 3.820736299985783289e-10, 2.368050697736390188e-09, 8.258113896630003407e-11, 1.520955344254779682e-09, 1.049999449937703295e-09, 3.902521672543717840e-12, 7.406883690323658314e-11, 4.368250734222917015e-10, 1.999417973873044464e-09, 5.839721276408861429e-10
2.068000000000000000e+03, 3.824121666700481402e-10, 2.364135680832162157e-09, 8.187115947632478345e-11, 1.682521891427606865e-09, 1.020570114124879430e-09, 3.707878310129762003e-12, 7.229733184708329122e-11, 4.313236128115225044e-10, 1.830975054723091585e-09, 5.860320063721006579e-10
2.069000000000000000e+03, 3.861475410860360391e-10, 2.359894794210402094e-09, 8.136242945684392030e-11, 1.544142917983387418e-09, 1.041321130334271282e-09, 3.542858043974181691e-12, 7.044644398539686497e-11, 4.344844139424382690e-10, 1.913575451657777605e-09, 5.853853511797330012e-10
2.070000000000000000e+03, 3.853270681038328185e-10, 2.358958382639146328e-09, 8.120899761158644772e-11, 1.419626957254984274e-09, 1.051935946260838960e-09, 3.429147986869193028e-12, 6.808238763013134072e-11, 4.582087502424327588e-10, 2.041872791872659898e-09, 6.340717302826067905e-10
2.071000000000000000e+03, 3.872356942440025717e-10, 2.362981208034742378e-09, 9.378522699967467014e-11, 1.565972769223701185e-09, 1.038065037444331142e-09, 3.380269890997878654e-12, 5.106824192193332805e-11, 4.628390717776338523e-10, 2.088083478767426320e-09, 6.413580705255301057e-10
2.072000000000000000e+03, 3.824490746833262818e-10, 2.360274663226498459e-09, 9.444118253964836286e-11, 1.487454067029053033e-09, 1.026805910408437046e-09, 3.289661024789123193e-12, 4.757601977905073510e-11, 4.601783055030850494e-10, 1.873949366859187782e-09, 6.455760051720100849e-10
2.073000000000000000e+03, 3.858176003263319825e-10, 2.367763004997534326e-09, 9.455998600530192981e-11, 1.593954700667996229e-09, 9.763096383052938278e-10, 3.191846009516655280e-12, 8.352879463332959184e-11, 4.569028495592153274e-10, 2.098325099595999840e-09, 6.480771899423434364e-10
2.074000000000000000e+03, 3.868887210925639141e-10, 2.364698926613797509e-09, 9.433692711569817624e-11, 1.623231655710259479e-09, 9.865239704832653063e-10, 3.120517761593767534e-12, 8.959633805782050516e-11, 4.556286152811519593e-10, 2.190866241206512101e-09, 6.535749889284377125e-10
2.075000000000000000e+03, 3.796891207911162282e-10, 2.353135627968296532e-09, 9.446739913132725459e-11, 1.471537096864996204e-09, 9.729256216880587014e-10, 3.074957644052620583e-12, 8.844574955428034886e-11, 4.736725441915896083e-10, 1.900543991366371600e-09, 6.505185812054570540e-10
2.076000000000000000e+03, 4.551799876710461338e-10, 2.353077309035906640e-09, 1.001298519331110473e-10, 1.423543923761436658e-09, 9.896543417673057975e-10, 3.038544195543182057e-12, 5.483038634268108463e-11, 4.745422899337185998e-10, 1.825353446331866718e-09, 6.522210234018963248e-10
2.077000000000000000e+03, 4.630188772794179521e-10, 2.354915758789302994e-09, 1.001666853234451914e-10, 1.694147959856619199e-09, 9.884564857377240000e-10, 3.032887295759194109e-12, 5.860486434146112605e-11, 4.721620070667739252e-10, 2.210275229069211698e-09, 6.550357072811128115e-10
