year, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, CanESM5, MIROC-ES2L
2.038000000000000000e+03, 4.259398466527965610e+00, 1.373904508143070968e+00, 1.041296429834791581e+01, 8.991793395412512879e+00, 4.738578272987554185e-01, 1.594509256914493855e+00, 7.799928402703842245e+00, 1.285457641052311972e+00, 2.952489926952882371e+00, 1.164730031910024888e+00, 1.184178459453167909e+00, 3.498314099462565885e+00, 7.046010364922658198e+00
2.039000000000000000e+03, 4.218964176431515334e+00, 1.405064939535778823e+00, 1.052733829463903881e+01, 9.026823397056794818e+00, 9.543126871507582321e-01, 1.528636907704293391e+00, 7.817172385660393630e+00, 1.307873528455383072e+00, 2.442520380198667240e+00, 1.193698797271903977e+00, 1.225295652995599616e+00, 3.423126608029498641e+00, 7.104601740130031651e+00
2.040000000000000000e+03, 4.181861172208751753e+00, 1.441369318128207899e+00, 1.060054317193919360e+01, 8.847400533895903862e+00, 6.020261247863536447e-01, 1.483327019858277973e+00, 7.733170156185670940e+00, 1.274268328814456064e+00, 2.014508460879931739e+00, 1.214057769146218657e+00, 1.233324988286574220e+00, 3.411363244708743636e+00, 7.215083912283934531e+00
2.041000000000000000e+03, 4.184628119845361205e+00, 1.481152096461727075e+00, 1.074127810654973025e+01, 8.842963258523202086e+00, 3.913745038738153381e-01, 1.536217969929364768e+00, 7.779440574383393425e+00, 1.287052645773303583e+00, 2.500428130662113890e+00, 1.241099207858035847e+00, 1.239449954106866425e+00, 3.499799446870202502e+00, 7.253168586842178023e+00
2.042000000000000000e+03, 4.176726159065521138e+00, 1.462272675845089021e+00, 1.076187368104805131e+01, 8.877797138407613531e+00, 5.293772391167905766e-01, 1.570511044958564639e+00, 7.725842896317260511e+00, 1.259085114541142802e+00, 2.739790021928019126e+00, 1.247861759142243843e+00, 1.263402257687093133e+00, 3.470872411960345794e+00, 7.165156609992674674e+00
2.043000000000000000e+03, 4.202644992654015255e+00, 1.416520918932868689e+00, 1.070794811681571979e+01, 8.951092976031089776e+00, 8.546582564179909802e-01, 1.505914034633510479e+00, 7.722233423481266179e+00, 1.276155531452791259e+00, 3.131347263711707019e+00, 1.225447316551272703e+00, 1.224260609197725724e+00, 3.576198337209493427e+00, 7.162735545390312097e+00
2.044000000000000000e+03, 4.219825854705228529e+00, 1.437418055095734504e+00, 1.082548256063250136e+01, 8.978795432322286274e+00, 6.804252766083448423e-01, 1.527871099940717015e+00, 7.677336195193878332e+00, 1.267875644079375252e+00, 2.792145378881419671e+00, 1.212407216858781167e+00, 1.255249091651618354e+00, 3.627506811192017455e+00, 7.237241448452802040e+00
2.045000000000000000e+03, 4.216730181337536187e+00, 1.443030444471403717e+00, 1.096062960242460882e+01, 8.963537991221006251e+00, 4.179198948715956430e-01, 1.594371488583405272e+00, 7.670309116361814006e+00, 1.340949931078028845e+00, 2.001251579454339513e+00, 1.224864729714758127e+00, 1.234027636831274810e+00, 3.757080510065989198e+00, 7.282363329246131833e+00
2.046000000000000000e+03, 4.240343338219577873e+00, 1.476101493849951707e+00, 1.094281748109535002e+01, 9.016205030781488716e+00, 5.422466244071887376e-01, 1.587690643165213134e+00, 7.669911663439564542e+00, 1.303603917339626994e+00, 2.313311825053820936e+00, 1.246290040648662334e+00, 1.245328083097473559e+00, 3.791528624593501817e+00, 7.212289613946714972e+00
2.047000000000000000e+03, 4.197642832237950650e+00, 1.480972322641297190e+00, 1.103256914060750304e+01, 8.968084510764510853e+00, 9.168556442253698036e-01, 1.508425549680407540e+00, 7.627073892138887423e+00, 1.288978206771184354e+00, 2.644949302269453906e+00, 1.236959725342002159e+00, 1.246825429656419848e+00, 3.460275827821537309e+00, 7.182134214821676466e+00
