year, TaiESM1, CESM2-WACCM, GFDL-ESM4, INM-CM5-0, CNRM-ESM2-1, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, CMCC-ESM2, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL, MIROC-ES2L
2.041000000000000000e+03, 4.908746544202460704e+00, 3.884977797385078535e+00, 3.384304325355566689e+00, 2.563112038930634551e+00, 2.934855262331709458e+00, 4.009321374828754614e+00, 3.434786578679167146e+00, 2.153333876765156862e+00, 2.580503073105659073e+00, 4.751001932295107366e+00, 3.878664972249172838e+00, 3.820095990465110614e+00, 2.922782618439807134e+00, 3.512234442322322625e+00, 3.962504072994632587e+00, 2.627754203797087129e+00
2.042000000000000000e+03, 5.837799141732836539e+00, 3.927889896548372395e+00, 3.319372962074137678e+00, 2.551283257450009501e+00, 3.055654767903653646e+00, 3.969228006441271717e+00, 3.493179839090400751e+00, 2.064435692474773987e+00, 2.599349086939579223e+00, 4.620164394651500750e+00, 3.769580710013333391e+00, 3.808492365667411672e+00, 2.934527898392990775e+00, 3.501004377078219321e+00, 3.970914001672422700e+00, 2.676367390814089031e+00
2.043000000000000000e+03, 5.241477514515474390e+00, 3.997961665807872045e+00, 3.484599314707663265e+00, 2.543416146746000361e+00, 3.005624154248053959e+00, 3.964716709189741728e+00, 3.450425852569748653e+00, 2.000486680218005020e+00, 2.579595144176229038e+00, 3.757948152388559837e+00, 3.700216444591508669e+00, 3.726680654173314178e+00, 2.959996706467566518e+00, 3.442849632828798967e+00, 3.955848899553000120e+00, 2.665293977840182738e+00
2.044000000000000000e+03, 4.225280326954647059e+00, 4.090917113686451501e+00, 3.427308911963493188e+00, 2.518088991478475425e+00, 3.039541979978849895e+00, 4.046182545456104229e+00, 3.490213652784768250e+00, 2.010139195718945171e+00, 2.553393366255360064e+00, 3.884903243323039046e+00, 3.589805014953804108e+00, 3.770465444920797271e+00, 2.913773247320771365e+00, 3.496156689285515817e+00, 3.966296676477996996e+00, 2.643175432802137959e+00
2.045000000000000000e+03, 4.823713558042857841e+00, 4.148426384258156574e+00, 3.242804736917553221e+00, 2.536084099985031592e+00, 3.106605168481891610e+00, 4.095528953805505523e+00, 3.369814071246726161e+00, 2.132739467356728369e+00, 2.589766260874557524e+00, 4.727268387527248095e+00, 3.741582163165650066e+00, 3.889185966834272534e+00, 2.943471709730046015e+00, 3.540611388322159048e+00, 3.960694752711027444e+00, 2.666272536484845634e+00
2.046000000000000000e+03, 5.644817630764003447e+00, 4.116218429556128378e+00, 3.428987942483034956e+00, 2.554662067940458137e+00, 3.039135017663433302e+00, 4.105720542964074404e+00, 3.321200198403427617e+00, 2.142501999276235303e+00, 2.602605878367955761e+00, 5.826672302733538977e+00, 3.627382058601175352e+00, 3.792896635070489353e+00, 2.871976451796061536e+00, 3.657554080131591334e+00, 3.940775611267822942e+00, 2.712269806821329787e+00
2.047000000000000000e+03, 4.703035142271866142e+00, 4.247955460823019003e+00, 3.288097391586775053e+00, 2.546658146936962908e+00, 3.018407688841357128e+00, 4.029789737564396290e+00, 3.584707039540941054e+00, 2.029434643495238610e+00, 2.575167967927908919e+00, 5.847581712519652974e+00, 3.845963715570202446e+00, 3.753253650437075262e+00, 2.887302111473908806e+00, 3.705702166801749797e+00, 3.967437848035041181e+00, 2.711170128791224432e+00
2.048000000000000000e+03, 4.115257643014488487e+00, 4.344315348227872242e+00, 3.225136899303418847e+00, 2.535661549710346296e+00, 3.104994930993688840e+00, 4.124611188659764061e+00, 3.603584330470582131e+00, 2.046979860719871258e+00, 2.547349002309061472e+00, 4.925866410205242296e+00, 3.915569430308273979e+00, 3.839022519322933924e+00, 2.991934566778885696e+00, 3.733396120705423371e+00, 3.934331439920172091e+00, 2.698553316403600189e+00
2.049000000000000000e+03, 4.956105167934215849e+00, 4.299263687116931187e+00, 3.412781214910359129e+00, 2.540663162463728142e+00, 3.070078769004648489e+00, 4.221527597008726040e+00, 3.543122944804165897e+00, 2.061734184593524866e+00, 2.575922998024876343e+00, 4.007481327582576469e+00, 3.847489334825182183e+00, 3.903744824689358239e+00, 2.871636491906582211e+00, 3.686441399727808488e+00, 3.947134664356731104e+00, 2.673989450004352619e+00
2.050000000000000000e+03, 6.062873914581135892e+00, 4.299818564236131735e+00, 3.362292679073412227e+00, 2.565302694578488030e+00, 3.054914512023090722e+00, 4.251516128748821899e+00, 3.425154554984956690e+00, 2.121961538809149950e+00, 2.595175675498760270e+00, 4.200622485012605267e+00, 3.889665699488449757e+00, 3.816578484134010019e+00, 2.949093490333217549e+00, 3.598761872326765143e+00, 3.946622246477228924e+00, 2.709412984259393475e+00
