year, NorESM2-MM, NorESM2-LM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.081000000000000000e+03, 2.224657304791138795e-10, 5.691867843791502724e-11, 7.379926368221509915e-10, 1.063190675320713572e-09, 1.012170267060420308e-10
2.082000000000000000e+03, 4.414229696705556832e-10, 1.666405826396411052e-10, 1.051758853389311494e-09, 1.150409901956949818e-09, 1.049884868277097715e-10
2.083000000000000000e+03, 3.141231391488847871e-10, 1.036420792154901271e-09, 7.290323938661914263e-10, 5.568320016091932820e-10, 1.131511190511839569e-10
2.084000000000000000e+03, 1.285213722577419337e-10, 1.483902410025446089e-10, 2.907888458222830930e-10, 5.942274806962549486e-10, 1.194465319031667994e-10
2.085000000000000000e+03, 1.958440764159922770e-10, 2.935990157133159760e-11, 1.136719288895341983e-09, 7.034733680662652134e-10, 8.868809814527524315e-11
2.086000000000000000e+03, 1.531446225702683113e-10, 1.485225148962693854e-11, 1.014956841085937767e-09, 1.421642484653173581e-09, 1.091924175776935234e-10
2.087000000000000000e+03, 1.561001480546674271e-10, 2.314661943328658181e-10, 7.632278253240169748e-10, 9.490000988993701874e-10, 1.272756350186793856e-10
2.088000000000000000e+03, 5.946506817564056776e-10, 6.150876859110785632e-10, 6.550852240480990458e-10, 5.141583146297670390e-10, 1.109572766001322798e-10
2.089000000000000000e+03, 2.741167023018670035e-10, 2.463134860581036572e-10, 6.808428677643122287e-10, 1.142063962751392291e-09, 1.078682097997108926e-10
2.090000000000000000e+03, 2.883383369524351237e-10, 5.448048160175175107e-11, 1.919428432233360868e-09, 1.841820111994881734e-09, 9.719221006240970317e-11
2.091000000000000000e+03, 2.683146144954346739e-10, 2.485641812922289216e-10, 9.018027790320540355e-10, 8.402481846079521127e-10, 9.794825164932090949e-11
2.092000000000000000e+03, 2.888720696442575094e-10, 6.023987381147251854e-10, 4.891023259848096114e-10, 4.580908074103667564e-10, 1.176779541070549000e-10
2.093000000000000000e+03, 3.152700551115703020e-10, 2.697363298923998596e-10, 3.117647568774166323e-10, 2.014350103088200037e-09, 1.036019848488817390e-10
2.094000000000000000e+03, 4.951514869053103375e-10, 7.445090862439075147e-11, 6.276514159353339555e-10, 7.268183133925740566e-10, 1.590490010961340983e-10
2.095000000000000000e+03, 3.651238701308502015e-10, 1.114855339062712614e-10, 7.628896240395778825e-10, 4.861725707347131521e-10, 9.323395511098388204e-11
2.096000000000000000e+03, 6.980160994541560584e-10, 7.705268283222180537e-10, 9.484410401058267631e-10, 1.860988798055118708e-09, 1.014753417922656035e-10
2.097000000000000000e+03, 5.718152148156588518e-10, 6.721161099026956343e-10, 4.652010023318487351e-10, 7.271810370364892251e-10, 1.297235731325139012e-10
2.098000000000000000e+03, 7.569888576087707522e-10, 5.331961226217709370e-10, 1.144187876411974249e-09, 1.094728166512308462e-09, 1.028441636191641624e-10
2.099000000000000000e+03, 7.573915294309465768e-10, 9.770899868287358811e-10, 6.277299153744175102e-10, 1.130739743673746962e-09, 1.315018275254457396e-10
2.100000000000000000e+03, 7.542220392333307471e-10, 7.859987201475746671e-10, 1.243443505299212114e-09, 1.167337910657722137e-09, 1.089835191915673949e-10
