year, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, INM-CM5-0, CanESM5, GFDL-ESM4, MIROC-ES2L, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, INM-CM4-8, NorESM2-MM, CMCC-CM2-SR5, UKESM1-0-LL
2.062000000000000000e+03, 8.892034708320537106e+00, 9.905617840651814276e+00, 1.322706022010565263e+01, 8.831303329312437000e+00, 1.079601856086529388e+01, 1.652795562087881009e+01, 1.244889788719382118e+01, 1.014250310728733062e+01, 7.816107663169261421e+00, 1.055702234013484997e+01, 1.398885851542498671e+01, 1.077052623904031492e+01, 1.644349976107323030e+01, 1.205129217411338871e+01, 1.277156325334278009e+01, 1.370609238690453147e+01
2.063000000000000000e+03, 9.390340212922506424e+00, 1.026968334374132752e+01, 1.413718517327808222e+01, 8.844026625340919878e+00, 1.059360929061710088e+01, 1.606421508910149143e+01, 1.266858203542181016e+01, 1.105198777352316242e+01, 7.614679143286612550e+00, 1.081612315158851345e+01, 1.397050704511879360e+01, 1.106640382282049018e+01, 1.682295972440764587e+01, 1.231744424232987356e+01, 1.316825477915279841e+01, 1.421284882338047773e+01
2.064000000000000000e+03, 9.440379302381689541e+00, 1.056839660839504980e+01, 1.424619053928787871e+01, 9.471402464960590351e+00, 1.045628096049631495e+01, 1.651169462367860064e+01, 1.266343796013086198e+01, 1.044568441849372498e+01, 7.930604831150948719e+00, 1.087967147022365921e+01, 1.524139021701919816e+01, 1.137337903759684998e+01, 1.670492521926583507e+01, 1.193954450793791722e+01, 1.312411697247527442e+01, 1.276916369933283946e+01
2.065000000000000000e+03, 8.998517783208651366e+00, 1.019168769242027217e+01, 1.452766379451822054e+01, 9.278322235049103028e+00, 1.067195485466498361e+01, 1.695330554684463209e+01, 1.265316087116902288e+01, 1.010520578606274000e+01, 7.891052753681910836e+00, 1.055801386587764235e+01, 1.666305554375333031e+01, 1.126921029662701912e+01, 1.741942597420250394e+01, 1.171294514923637919e+01, 1.353363906242148929e+01, 1.354507720412697047e+01
2.066000000000000000e+03, 8.792809570172490652e+00, 1.017451168566369013e+01, 1.424810638727875478e+01, 8.663507695380532780e+00, 1.058506850465030169e+01, 1.641897867271761768e+01, 1.284700018495554552e+01, 1.129424306392319899e+01, 8.082608960693029587e+00, 1.037135254853119726e+01, 1.508216926992981044e+01, 1.084824670268872993e+01, 1.713163390650392159e+01, 1.185708154531929281e+01, 1.288762694699444644e+01, 1.462749867013988414e+01
2.067000000000000000e+03, 8.727736206057937096e+00, 1.035420300218561529e+01, 1.444570411169409496e+01, 9.124776245029687871e+00, 1.043696974487887097e+01, 1.665830598644967253e+01, 1.268169006128249343e+01, 1.088596587043900854e+01, 8.043625065677531438e+00, 1.043315884142051786e+01, 1.441004024258417893e+01, 1.120652760097093115e+01, 1.754758068962697948e+01, 1.197640554169691285e+01, 1.324969446766795045e+01, 1.448883894225659752e+01
2.068000000000000000e+03, 8.904285562773376128e+00, 1.041985688301708990e+01, 1.465252486508129337e+01, 9.146971633827067905e+00, 1.100378476194069499e+01, 1.676463793330930230e+01, 1.295672070029737633e+01, 1.078306989729047594e+01, 7.930232824000537306e+00, 1.052876377864811985e+01, 1.588414942687596820e+01, 1.137823861361038524e+01, 1.746160547355885129e+01, 1.184705363180063920e+01, 1.072234090252735150e+01, 1.441587672757893301e+01
2.069000000000000000e+03, 9.104099052406215975e+00, 1.023610887957448590e+01, 1.459348178681867658e+01, 9.233812293974951402e+00, 1.140808791210415762e+01, 1.632515872289776482e+01, 1.312106958201613516e+01, 1.059567667876789265e+01, 8.080186424715442683e+00, 1.076354595530435176e+01, 1.531417403980487535e+01, 1.108323729679156777e+01, 1.732666547217895925e+01, 1.182159874634225005e+01, 1.269054650348311952e+01, 1.367672130035701628e+01
2.070000000000000000e+03, 9.123542324749452703e+00, 1.026927889452223752e+01, 1.396111329761807873e+01, 9.157700699768499319e+00, 1.099587642925765252e+01, 1.665277111513475816e+01, 1.300452913065984895e+01, 1.067671436104078175e+01, 8.194864573656467144e+00, 1.061597721369724390e+01, 1.512762143783312752e+01, 1.150399998497047527e+01, 1.752401651882107814e+01, 1.227761452598764969e+01, 1.313972917156788789e+01, 1.387514102476024114e+01
2.071000000000000000e+03, 8.590539133343121136e+00, 1.019769667236655586e+01, 1.430987420683508127e+01, 9.488239111532490000e+00, 1.073711415498611288e+01, 1.677262003356086240e+01, 1.328215923179774727e+01, 1.107669000010721305e+01, 8.213898329675243914e+00, 1.054116784237508675e+01, 1.506978471314773138e+01, 1.112143152944615920e+01, 1.740801379235466584e+01, 1.205931812739945386e+01, 1.313206434701945291e+01, 1.443081389622490107e+01
2.072000000000000000e+03, 9.433138152390672104e+00, 1.037463658384866250e+01, 1.440179961075740600e+01, 8.942467827292627902e+00, 1.071282277842113650e+01, 1.681868861151161454e+01, 1.319177195944460657e+01, 1.071310357286301418e+01, 8.237920638605803703e+00, 1.072005034388854483e+01, 1.518657322484908434e+01, 1.145782581401258149e+01, 1.758960435966425706e+01, 1.188274753279253559e+01, 1.335679242551746526e+01, 1.312103551149748704e+01
2.073000000000000000e+03, 8.880262909744804034e+00, 1.058302791524525865e+01, 1.508198456760192308e+01, 9.245917497378570715e+00, 1.086284326139070089e+01, 1.676339803095780212e+01, 1.312159030462859022e+01, 1.057296868902032472e+01, 8.070170446493788674e+00, 1.063047893326116267e+01, 1.536878961406557131e+01, 1.145788931910343322e+01, 1.753730833056925675e+01, 1.225672053154475449e+01, 1.332814275334043330e+01, 1.476654217318789364e+01
2.074000000000000000e+03, 8.871620090055268193e+00, 1.058165541112975028e+01, 1.473588201894584770e+01, 9.296552336213565582e+00, 1.099259705435706280e+01, 1.661729998343131243e+01, 1.317324947166215843e+01, 1.061813736045118262e+01, 8.271740710420210974e+00, 1.041028400706543877e+01, 1.646743630356820987e+01, 1.123931172025563541e+01, 1.766325304474618463e+01, 1.241372347641671681e+01, 1.215406156783579128e+01, 1.536532756113628118e+01
