year, TaiESM1, UKESM1-0-LL, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.072000000000000000e+03, 5.202951155233260574e-10, 3.648229763835649002e-09, 1.208626493610085306e-09, 3.465578680509071509e-10, 3.822558828341999222e-09, 4.131717142270232610e-10, 1.305926807237272707e-09, 1.827474943240329690e-09, 2.027312793671379444e-09
2.073000000000000000e+03, 5.186973890483430083e-10, 4.125847430716785608e-09, 1.190934698394133263e-09, 3.455635134925893107e-10, 3.807630030759207813e-09, 4.123792761206447034e-10, 1.242673073945911295e-09, 1.959340321245195257e-09, 2.022132241195185798e-09
2.074000000000000000e+03, 5.219414071216778552e-10, 4.349623435291229013e-09, 1.171785605379108361e-09, 3.527719843347753696e-10, 3.888148780184428606e-09, 4.167661613156756442e-10, 1.256743716368835900e-09, 2.074992883509352724e-09, 2.025239065681675200e-09
2.075000000000000000e+03, 5.235472867768369154e-10, 3.711039837156362071e-09, 1.099892663936500913e-09, 3.610051009893403416e-10, 3.735900423492389326e-09, 4.215364187124331996e-10, 1.271210910076853266e-09, 1.937383943058050286e-09, 2.027518814476468539e-09
2.076000000000000000e+03, 5.226141441503493110e-10, 3.863065525163662854e-09, 1.301380814746087728e-09, 3.594023149760751898e-10, 3.632174676748638020e-09, 4.203328432154599256e-10, 1.245656878827934471e-09, 1.944362851170910732e-09, 2.012443032580035665e-09
2.077000000000000000e+03, 5.225024856605862419e-10, 4.119817336558038281e-09, 1.201286137078702339e-09, 3.574507800895655158e-10, 3.935297433187505930e-09, 4.187530278443711810e-10, 1.296805725039174730e-09, 2.122453398740675518e-09, 2.009551463725614700e-09
2.078000000000000000e+03, 5.234490615967499949e-10, 3.569732348805862382e-09, 1.035367775087179902e-09, 3.558847610087160199e-10, 3.943675752223798628e-09, 4.169015766986578463e-10, 1.294723341235637686e-09, 2.245606472056931268e-09, 1.994065685808032241e-09
2.079000000000000000e+03, 5.239472416978289916e-10, 4.089244764338552741e-09, 1.428759375193689452e-09, 3.539618246853204343e-10, 3.925777248898443594e-09, 4.148584250433502269e-10, 1.230604002924332140e-09, 1.981969307471874203e-09, 1.997647781471714430e-09
2.080000000000000000e+03, 5.214083988495989439e-10, 3.741103909885816899e-09, 1.403084665341302037e-09, 3.528144947766248495e-10, 4.181395977830612484e-09, 4.142302146061904275e-10, 1.283572887718321123e-09, 1.924429829787845553e-09, 2.028685697871774119e-09
2.081000000000000000e+03, 5.206393755007276632e-10, 3.613228132895241006e-09, 1.184919492897242159e-09, 3.504908861685259560e-10, 4.175924352300052963e-09, 4.123963627976607069e-10, 1.239066967596675626e-09, 2.245959805616664622e-09, 2.025750965447413739e-09
2.082000000000000000e+03, 5.216359441023146476e-10, 4.174346159593788165e-09, 1.370116135764033302e-09, 3.470023781810178852e-10, 3.792419367138576610e-09, 4.099535708847715081e-10, 1.286903697647019517e-09, 2.255823566487621291e-09, 2.029183433368849790e-09
2.083000000000000000e+03, 5.208948379664695213e-10, 3.965599794780939881e-09, 1.222229926604241529e-09, 3.454199732188624631e-10, 3.836498636269627896e-09, 4.084042221620055209e-10, 1.303361214676323678e-09, 2.090511154179845384e-09, 2.039393497773504627e-09
2.084000000000000000e+03, 5.246179779692938175e-10, 3.625645514770905054e-09, 1.188110677511238607e-09, 3.440324026098762626e-10, 3.949885656649509476e-09, 4.069438253554856991e-10, 1.279023672025283907e-09, 2.039657813935414677e-09, 2.028833779233803897e-09
2.085000000000000000e+03, 5.259636823405195021e-10, 3.873793025053168949e-09, 1.121074329216601222e-09, 3.428285180413023989e-10, 3.862007885023813261e-09, 4.051787931217004579e-10, 1.290829510100310608e-09, 2.274440075671273486e-09, 2.056621339126521314e-09
2.086000000000000000e+03, 5.254545406779558236e-10, 4.131713368119672380e-09, 1.442650632610035548e-09, 3.416787673184780507e-10, 3.822343126024052100e-09, 4.040496683200389761e-10, 1.382406068683383913e-09, 2.334010842360992161e-09, 2.074677022453911189e-09
2.087000000000000000e+03, 5.210713596536891527e-10, 4.473747848506119177e-09, 1.306009870221230655e-09, 3.407553732706692185e-10, 4.394501697829837687e-09, 4.033175465063161946e-10, 1.270708893319786267e-09, 2.078879389144615148e-09, 2.030949761174581651e-09
2.088000000000000000e+03, 5.232802275180689400e-10, 4.034413597932624433e-09, 1.171091118776702818e-09, 3.395611130984770194e-10, 4.050007768482776583e-09, 4.021380068187429238e-10, 1.360621752001463314e-09, 1.941056764248457070e-09, 2.018554849933840977e-09
2.089000000000000000e+03, 5.247194198006280947e-10, 3.558713016339779369e-09, 1.248999160218677509e-09, 3.393508569914837040e-10, 4.013627480048305143e-09, 4.017133822688059906e-10, 1.301526015156669956e-09, 2.235033010997764541e-09, 2.015067278053501364e-09
2.090000000000000000e+03, 5.237867359884284519e-10, 3.610911487587640770e-09, 1.438203075764606472e-09, 3.385973416247286058e-10, 4.036991689414886365e-09, 4.010641540472135205e-10, 1.344080451892642712e-09, 2.399532272689041195e-09, 2.050046570190647544e-09
2.091000000000000000e+03, 5.222169428521273326e-10, 4.063405792491688236e-09, 1.214300741029358467e-09, 3.374946364198855159e-10, 4.224036908309635234e-09, 4.002067752235645982e-10, 1.358280714876197499e-09, 2.450179752035867919e-09, 2.026954861040178435e-09
2.092000000000000000e+03, 5.214557419123642587e-10, 4.470343209588230031e-09, 1.520847608941897112e-09, 3.367239086967576580e-10, 4.074384557846363096e-09, 3.992201354438906293e-10, 1.353089494078826702e-09, 2.203026712387378923e-09, 2.023841242344839959e-09
2.093000000000000000e+03, 5.237238456766930833e-10, 3.694208731804772577e-09, 1.285226510533837222e-09, 3.360198306749603664e-10, 3.774364590127732566e-09, 3.982375938182748882e-10, 1.381786106776175938e-09, 2.186704318261926565e-09, 2.019291690439798949e-09
2.094000000000000000e+03, 5.275646623193254772e-10, 3.799779911670900801e-09, 1.227862015876489385e-09, 3.348764873377876616e-10, 3.931593948584668830e-09, 3.977307360734354317e-10, 1.303589084130923931e-09, 2.217859728920904290e-09, 2.011492320714105896e-09
2.095000000000000000e+03, 5.285508573739570556e-10, 4.451484044351811495e-09, 1.249777061914821513e-09, 3.339871485006425709e-10, 4.067625970198771482e-09, 3.974882035288974923e-10, 1.320208473699094150e-09, 2.522869201802936665e-09, 2.029185258182442739e-09
2.096000000000000000e+03, 5.272104222752200301e-10, 4.205473312021356878e-09, 1.200039513146071252e-09, 3.334795142756425706e-10, 4.001517712174175569e-09, 3.967375439517463112e-10, 1.326886545986871108e-09, 2.277321440217592708e-09, 2.020834718893974192e-09
2.097000000000000000e+03, 5.316897553327735153e-10, 3.866920057123749060e-09, 1.342966122800897092e-09, 3.333269874296749624e-10, 4.141574004204092350e-09, 3.958881671312163820e-10, 1.360063184889711159e-09, 2.394427680392962052e-09, 2.009395695168390048e-09
2.098000000000000000e+03, 5.348619381581655370e-10, 4.094312460843614517e-09, 1.143529679220733722e-09, 3.323089335419100967e-10, 4.175351464372463018e-09, 3.945129008667085336e-10, 1.341887228534498865e-09, 2.491791874690600447e-09, 2.018503943499067652e-09
2.099000000000000000e+03, 5.603580248164041690e-10, 3.946373210913639103e-09, 1.409762758669512649e-09, 3.316759341338869150e-10, 3.903769664812146156e-09, 3.941401837094056072e-10, 1.394367960119665350e-09, 2.589406400603165363e-09, 2.022314472156094736e-09
2.100000000000000000e+03, 0.000000000000000000e+00, 3.765847421300450617e-09, 1.323784871107993060e-09, 3.782682281619392820e-10, 4.306550261603391702e-09, 4.309279263106936231e-10, 1.432884117395273463e-09, 2.243135382209618067e-09, 2.016907396013682020e-09
