year, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, MIROC-ES2L
2.065000000000000000e+03, 4.005455923547221537e-10, 4.405894226233295352e-09, 1.519491284295146712e-09, 4.613798206246199296e-12, 1.404629183126549264e-10, 4.471911672686288982e-11, 3.953384117178750388e-09, 3.897460593351916005e-09
2.066000000000000000e+03, 3.972012109152692954e-10, 4.403315338036568915e-09, 1.375903880834625953e-09, 4.172119359425272964e-12, 1.357234455120498884e-10, 4.600254327841892313e-11, 3.712282896206256496e-09, 3.892448951696796636e-09
2.067000000000000000e+03, 3.945860976117279740e-10, 4.393355215656724021e-09, 1.422520632341186534e-09, 3.902521662375945088e-12, 1.333967459520263630e-10, 4.409949123854733247e-11, 3.738721974609512743e-09, 3.903932258559442131e-09
2.068000000000000000e+03, 3.924781184865266828e-10, 4.382009060016437938e-09, 1.675301292947393780e-09, 3.707878183697058452e-12, 1.315154488529378385e-10, 4.208351518602630710e-11, 3.924470117355615986e-09, 3.910023659305568512e-09
2.069000000000000000e+03, 3.906224522061888146e-10, 4.371902705523676179e-09, 1.392215075237892241e-09, 3.542858015142230330e-12, 1.298388309289038697e-10, 4.011905270518900610e-11, 3.899044596295648673e-09, 3.917326603156830074e-09
2.070000000000000000e+03, 3.907260614328063568e-10, 4.393290461030287177e-09, 1.533458966889136628e-09, 3.429148039502320185e-12, 1.285183396264694149e-10, 3.758566335431807862e-11, 3.967582479052222190e-09, 3.950368774194322258e-09
2.071000000000000000e+03, 3.923481800620461493e-10, 4.389824098139271387e-09, 1.433403144515872779e-09, 3.380269869570364268e-12, 1.410811175561488208e-10, 3.455257868463518337e-11, 4.011891158168779790e-09, 3.962359728189074362e-09
2.072000000000000000e+03, 3.936160810307240596e-10, 4.387587127510686365e-09, 1.506766366297591401e-09, 3.289660921978255977e-12, 1.420117522703965916e-10, 3.074554268469515475e-11, 3.917000023914190642e-09, 3.984269503040565571e-09
2.073000000000000000e+03, 3.946452793545454795e-10, 4.389893444356517970e-09, 1.488296604746901337e-09, 3.191845966354311948e-12, 1.464425535874222934e-10, 2.692821459339662469e-11, 3.902190002081092272e-09, 4.004386004984839797e-09
2.074000000000000000e+03, 3.947903490315871346e-10, 4.389936670242119171e-09, 1.468341207398620093e-09, 3.120517716017717637e-12, 1.448014928514624885e-10, 2.526808115569580027e-11, 3.982485756385212968e-09, 4.010960508754992231e-09
2.075000000000000000e+03, 3.948593953760229814e-10, 4.380657719383704354e-09, 1.395427521906162370e-09, 3.074957579306500451e-12, 1.473663238791096747e-10, 2.400175626476066197e-11, 3.830367826941418962e-09, 3.974502329187179775e-09
2.076000000000000000e+03, 3.953415485111789459e-10, 4.365523596703004847e-09, 1.605694339848325436e-09, 3.038544120024566023e-12, 1.446270548321906788e-10, 2.571095097760474467e-11, 3.732304475248220156e-09, 3.959349492196290242e-09
2.077000000000000000e+03, 3.959830756538720669e-10, 4.364475980200632749e-09, 1.512531710654872806e-09, 3.032887292954184666e-12, 1.455706341174686542e-10, 2.550164826666510348e-11, 4.035464052145235108e-09, 3.958571009066959772e-09
2.078000000000000000e+03, 3.967251527630858273e-10, 4.353144229258923252e-09, 1.352060431928941177e-09, 2.915903325711583764e-12, 1.447924149127298635e-10, 2.549002292250587611e-11, 4.044380590726453577e-09, 3.967852454034581357e-09
2.079000000000000000e+03, 3.971574698452420054e-10, 4.351488051272895753e-09, 1.749552665470631031e-09, 2.833321224324848346e-12, 1.445710654455116058e-10, 2.660655027834676520e-11, 4.026762051114478318e-09, 3.960449001089588359e-09
2.080000000000000000e+03, 3.998508707609584123e-10, 4.394231010038707281e-09, 1.726943438883098608e-09, 2.808995278568829904e-12, 1.444300350394853243e-10, 2.771743860717223458e-11, 4.282488619350130328e-09, 3.931259307951688586e-09
2.081000000000000000e+03, 4.043995965436700606e-10, 4.407587129780017842e-09, 1.512779054281518417e-09, 2.904764084793324248e-12, 1.555534606549026488e-10, 2.969266026490222638e-11, 4.302364284757552515e-09, 3.947065753960313286e-09
2.082000000000000000e+03, 4.081473269267810698e-10, 4.405262457193405488e-09, 1.698861412321351011e-09, 3.333062213650661952e-12, 1.613598024323956382e-10, 3.225557729154317989e-11, 3.919668277492268135e-09, 3.972142687796391764e-09
2.083000000000000000e+03, 4.112247964903760404e-10, 4.407455376447409086e-09, 1.550546331848052364e-09, 1.204655142575381702e-11, 1.643269926358601587e-10, 3.284510395659491809e-11, 3.963404599580663685e-09, 3.958867043443951639e-09
