year, INM-CM5-0, CMCC-CM2-SR5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg, TaiESM1, CanESM5, MIROC-ES2L, GFDL-ESM4
1.870000000000000000e+03, 2.912207109012240114e+00, 3.066375643717415667e+00, 2.786820911087987351e+00, 2.320511454619257563e+00, 2.659561282126394754e+00, 1.941493576781714747e+00, 2.977078716755552801e+00, 2.734944872780647351e+00, 1.958724189779754710e+00, 2.776887437158576777e+00, 3.591858133071649917e+00, 2.200213923109092917e+00, 3.342441753975464724e+00, 1.280771760159905792e+00, 3.378665150715660648e+00, 2.450787127979760616e+00
1.871000000000000000e+03, 2.609324131926319623e+00, 3.529729433939871264e+00, 2.774800617283923021e+00, 2.920169702404554091e+00, 3.576803905546445783e+00, 1.883364755403485136e+00, 2.541049535848117547e+00, 1.849085220397593821e+00, 1.501768578895731565e+00, 2.407898952064929432e+00, 3.467274183319847047e+00, 1.970461718197393131e+00, 3.792698872095864537e+00, 9.729817929360025097e-01, 3.375734168096911514e+00, 2.045653968658587285e+00
1.872000000000000000e+03, 2.734634616677166896e+00, 2.607744703175852496e+00, 3.250598445454234930e+00, 2.723610033391019591e+00, 2.872002792199595422e+00, 1.925639645145654111e+00, 2.703855151046204330e+00, 1.839259977312664329e+00, 2.448996163498716960e+00, 2.230152663467885876e+00, 4.013172109837384482e+00, 2.143280059812481486e+00, 3.404542216103035202e+00, 1.178528386555599328e+00, 3.168301850074259907e+00, 1.946515583518554138e+00
1.873000000000000000e+03, 2.856772001511952652e+00, 2.360316358376265633e+00, 2.281398675850498936e+00, 2.966814799021403104e+00, 2.950189467770450769e+00, 1.953847776299575179e+00, 3.079028734771490861e+00, 2.440403570611943795e+00, 1.983997465030860718e+00, 2.317105487030254984e+00, 4.160441467174795349e+00, 1.910033711275467949e+00, 3.638347269972146414e+00, 1.270420194281524973e+00, 3.724413960241196087e+00, 2.484942624349260498e+00
1.874000000000000000e+03, 2.691992535914587314e+00, 3.166374149616152156e+00, 2.313079214739579115e+00, 2.881449829012052266e+00, 2.352537063672836659e+00, 2.121468884446591652e+00, 2.718470465292562643e+00, 2.259441145194500233e+00, 1.635549584367348652e+00, 2.235132131917514364e+00, 3.176423923744760014e+00, 2.397721857176274174e+00, 3.544218898835096443e+00, 1.787308834693936088e+00, 3.358436050965506681e+00, 2.362702658881240314e+00
1.875000000000000000e+03, 2.918822305758140168e+00, 2.819900984260118815e+00, 2.450921124346957747e+00, 2.963767747404248531e+00, 3.250716069086120097e+00, 2.149903966127285848e+00, 2.861488021126638248e+00, 2.222165563875631022e+00, 2.458411097564947578e+00, 2.593859592890897847e+00, 3.994109692656757193e+00, 2.308567979492524014e+00, 3.295457404424113168e+00, 1.498849793181086021e+00, 3.050500853917635258e+00, 2.344557430942990628e+00
1.876000000000000000e+03, 2.722669294520058347e+00, 2.948579598879520258e+00, 2.636686781698510895e+00, 2.440504452475030561e+00, 2.129891834217816360e+00, 2.313425724017216911e+00, 2.777377517765980741e+00, 2.103673939559035144e+00, 2.238327086944865485e+00, 2.610050274213415733e+00, 3.908133254419763336e+00, 1.800767333371629642e+00, 3.676557999797475329e+00, 1.325141880736923072e+00, 2.843237858919108074e+00, 2.504121460451085746e+00
1.877000000000000000e+03, 2.650171290297737237e+00, 3.290357263912225605e+00, 2.707190978324998110e+00, 3.145509914108013394e+00, 2.929318349959968426e+00, 2.522231048925512198e+00, 2.555931833550290744e+00, 1.820681618730657148e+00, 2.040522963533864420e+00, 2.311383632536953225e+00, 3.963983185402561116e+00, 1.737947854194024533e+00, 3.850427752944254323e+00, 1.360399628150795071e+00, 3.092822727264713745e+00, 2.338364215326777629e+00
1.878000000000000000e+03, 2.715130582061873632e+00, 2.457265758937990263e+00, 2.507729236070960432e+00, 2.760360593764751513e+00, 2.447546855251748532e+00, 1.982720393485929211e+00, 2.799094246099369965e+00, 2.137570725317151421e+00, 2.206275640441141661e+00, 2.720799764100618301e+00, 3.429831742263085292e+00, 1.669120619286251550e+00, 3.147869287292815343e+00, 9.988169636274667473e-01, 3.544827585008070603e+00, 2.109510849096289498e+00
1.879000000000000000e+03, 2.820424659570137660e+00, 3.011691364842974394e+00, 2.785255014818728725e+00, 2.934410773567737607e+00, 2.965192499593866327e+00, 1.825260264638768781e+00, 2.881930830172246161e+00, 1.849480334690575045e+00, 2.019162519770933084e+00, 2.519421477304897294e+00, 3.170988666366426845e+00, 2.316655201778381912e+00, 3.669855368420520403e+00, 1.465784690848885408e+00, 3.442890343294626287e+00, 2.442195697715852987e+00
