year, UKESM1-0-LL, NorESM2-LM, CNRM-ESM2-1, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, CanESM5, EC-Earth3-Veg, ACCESS-ESM1-5, GFDL-ESM4, CESM2-WACCM, IPSL-CM6A-LR, TaiESM1, MPI-ESM1-2-LR
1.943000000000000000e+03, 3.241746479842766604e+01, 1.313214702991806249e+01, 3.511880500885853706e+01, 3.963198557080932716e+01, 1.709051718040646861e+01, 1.273538043425568667e+01, 2.228586964485714716e+01, 2.673277208981509290e+01, 1.242514180466450568e+01, 4.010051243757541073e+00, 1.292574155204213859e+01, 1.087643074634256024e+01, 1.241678683282018802e+01, 1.374352813230469295e+01
1.944000000000000000e+03, 3.233525247883289921e+01, 1.313211547829126147e+01, 3.512976983153894395e+01, 3.969737036500486482e+01, 1.709556888678122633e+01, 1.272606019002897249e+01, 2.228071003134251526e+01, 2.672654552029650787e+01, 1.242740746912850547e+01, 3.993207004848656538e+00, 1.293086058757428880e+01, 1.088026057880349917e+01, 1.241627724579775105e+01, 1.370864661949049612e+01
1.945000000000000000e+03, 3.228156692694550145e+01, 1.312542914394231985e+01, 3.515244179905786126e+01, 3.974308346126920100e+01, 1.707424001473296826e+01, 1.272152368155586366e+01, 2.229273635055813330e+01, 2.671747521836803685e+01, 1.243061669072707787e+01, 4.024465711089392883e+00, 1.291851123246840771e+01, 1.087005914574239895e+01, 1.237876854540200000e+01, 1.374327584191029317e+01
1.946000000000000000e+03, 3.225310812597212617e+01, 1.312718332835600776e+01, 3.515230151476716003e+01, 3.968064836706679444e+01, 1.705037181445838357e+01, 1.272837184160549207e+01, 2.228965897783569261e+01, 2.671928286278491882e+01, 1.243338299668017299e+01, 4.007331673176800280e+00, 1.291345965136200569e+01, 1.086808013162287168e+01, 1.232625843213056704e+01, 1.374775004013881663e+01
1.947000000000000000e+03, 3.224567232270664618e+01, 1.313076551337799280e+01, 3.515126726217404496e+01, 3.966418818151546333e+01, 1.701571527273453910e+01, 1.272501086033796902e+01, 2.232030046153117908e+01, 2.670724724008806206e+01, 1.244859862262574168e+01, 3.945466291460756558e+00, 1.290142233955753426e+01, 1.087303648735963257e+01, 1.231015606236293713e+01, 1.374451155177647266e+01
1.948000000000000000e+03, 3.219459794671399777e+01, 1.313133053261810268e+01, 3.516427024262880963e+01, 3.975766377482218417e+01, 1.698446703083038756e+01, 1.272191555974879584e+01, 2.231562013348693796e+01, 2.668417973804376686e+01, 1.247363462656815614e+01, 3.930338071523473253e+00, 1.290006586670742017e+01, 1.087512706819072683e+01, 1.234011143266575239e+01, 1.372896263446658693e+01
1.949000000000000000e+03, 3.209431179731082295e+01, 1.311942454118267243e+01, 3.515863248908020466e+01, 3.977889932511924087e+01, 1.695903506620421552e+01, 1.270287106334398786e+01, 2.231490387799430053e+01, 2.666716678739184587e+01, 1.249483450926675765e+01, 3.930898871444698184e+00, 1.290960550131000062e+01, 1.086754900254075906e+01, 1.235257008339360141e+01, 1.374908506440231193e+01
1.950000000000000000e+03, 3.202405922122767379e+01, 1.311745033739813238e+01, 3.518207319604163530e+01, 3.972579182726329350e+01, 1.689386670951880731e+01, 1.270349422011863183e+01, 2.231119246082409546e+01, 2.665411269621016999e+01, 1.251037821490880653e+01, 3.917951410143868163e+00, 1.291063667500265666e+01, 1.086001543955792137e+01, 1.237604760657124281e+01, 1.375833738333070322e+01
1.951000000000000000e+03, 3.204759034979937837e+01, 1.311786960926871970e+01, 3.521697025301182293e+01, 3.973611168611763134e+01, 1.683304468528467268e+01, 1.270428670502362145e+01, 2.229761766628377373e+01, 2.664495622505212324e+01, 1.252129159842945150e+01, 3.927476659784220114e+00, 1.290679797847331933e+01, 1.087119790639483874e+01, 1.235489145628372754e+01, 1.379904602782928436e+01
1.952000000000000000e+03, 3.203931925157397842e+01, 1.311431535596667963e+01, 3.524602147592992196e+01, 3.980333615765500355e+01, 1.679480480728265235e+01, 1.270493430373213606e+01, 2.228409907175383609e+01, 2.663823816080678952e+01, 1.252481102244399302e+01, 3.944516486570979197e+00, 1.291199635225167519e+01, 1.086694141377374656e+01, 1.237496510796047389e+01, 1.376378579486107512e+01
