year, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L
1.908000000000000000e+03, 4.059785289740704406e-01, 1.465261592333775252e-02, 3.920259715153452782e-05, 1.369806042058854985e-02, 8.738707224228478565e-02, 5.365074303464463512e-02, 1.536321350040438863e-02, 5.555160497449650181e-02, 6.544096974697841684e-01
1.909000000000000000e+03, 4.132840903528640641e-01, 1.454814278949769640e-02, 3.859915136559983757e-05, 1.344966288428717759e-02, 8.755419066375189074e-02, 5.389839130616840002e-02, 1.569019917779721288e-02, 5.634244503585671832e-02, 6.559469509325017711e-01
1.910000000000000000e+03, 4.138348737652962073e-01, 1.449943655316524894e-02, 3.719891436919185853e-05, 1.319570109797142503e-02, 8.687064444212362624e-02, 5.417232442414655902e-02, 1.596231006232678995e-02, 5.693523845366830344e-02, 6.597948871858185793e-01
1.911000000000000000e+03, 3.959828303763144319e-01, 1.462516076844573229e-02, 4.228056379973584906e-05, 1.298574410391111801e-02, 8.720115266698862111e-02, 5.450314705739449372e-02, 1.617652943682468605e-02, 5.762951246629329644e-02, 6.627633210248231599e-01
1.912000000000000000e+03, 3.965764013262191301e-01, 1.473379749719745148e-02, 4.482443465678977114e-05, 1.279454963611960025e-02, 8.892406736670667444e-02, 5.487745960541165480e-02, 1.647021986650167719e-02, 5.832685560445096534e-02, 6.642134520222274796e-01
1.913000000000000000e+03, 3.951013767475307081e-01, 1.480070180156962956e-02, 4.248202657258686788e-05, 1.259342699748290141e-02, 9.043799087138802706e-02, 5.527377792332515555e-02, 1.687091881378623495e-02, 5.899788081086780600e-02, 6.665912734976601195e-01
1.914000000000000000e+03, 3.878964427935925885e-01, 1.487140394252012277e-02, 3.996517347189552032e-05, 1.239835557317583124e-02, 8.932685739243466372e-02, 5.567465404268026608e-02, 1.704984842583771518e-02, 5.966911143823716568e-02, 6.691596791882483686e-01
1.915000000000000000e+03, 3.977254936887430481e-01, 1.492379981188340747e-02, 4.295343657981982210e-05, 1.217226818483475165e-02, 9.075707511133949967e-02, 5.605760554288945208e-02, 1.724620120486086011e-02, 6.028073687738105813e-02, 6.721128491498693514e-01
1.916000000000000000e+03, 4.136415427689559277e-01, 1.496868640093079045e-02, 4.294380584146596287e-05, 1.198462431914308970e-02, 9.050249726895202851e-02, 5.639620130101475476e-02, 1.744704244622825515e-02, 6.078126896620413694e-02, 6.736069707360092806e-01
1.917000000000000000e+03, 4.026097195115282412e-01, 1.499409681718314770e-02, 4.395971750570806336e-05, 1.180394020381354131e-02, 9.037130736113976881e-02, 5.669505227717845652e-02, 1.773348572069611759e-02, 6.144710623379005116e-02, 6.742908278655360688e-01
1.918000000000000000e+03, 4.018586828899107233e-01, 1.500541901834019816e-02, 4.766707019518841667e-05, 1.163471884822502196e-02, 9.080441626441526637e-02, 5.696906401708078105e-02, 1.802937197054586133e-02, 6.202923828248840810e-02, 6.739335463195468279e-01
1.919000000000000000e+03, 3.899931595697956888e-01, 1.499897934852111037e-02, 4.671059225884306135e-05, 1.145123852955932248e-02, 9.114454508853703230e-02, 5.722480620450435401e-02, 1.814890804855512699e-02, 6.263693881098257588e-02, 6.758800725230832418e-01
1.920000000000000000e+03, 3.949496756903313477e-01, 1.497819546910742275e-02, 5.709935704053887477e-05, 1.131967409764319220e-02, 9.400164130854278544e-02, 5.755262603851397929e-02, 1.821100215705973024e-02, 6.322667967358690244e-02, 7.020520755901946686e-01
1.921000000000000000e+03, 4.014916337883888131e-01, 2.065681947732503701e-02, 6.643092081826220188e-05, 1.147187384306462207e-02, 9.983840980680534771e-02, 5.781282753527110241e-02, 1.932432865340478340e-02, 7.081467154388162988e-02, 7.175876776533525181e-01
1.922000000000000000e+03, 4.126215570831834878e-01, 2.578526341567900088e-02, 7.355100702162532052e-05, 1.164493135174664643e-02, 9.910387121446125047e-02, 5.804026273011815562e-02, 1.979450713917153132e-02, 7.745543982493864610e-02, 7.288509633088615658e-01
1.923000000000000000e+03, 4.262560021885794526e-01, 3.044143146521848670e-02, 7.964303202672390694e-05, 1.179953312050955119e-02, 1.012562239661718988e-01, 5.849378164672076191e-02, 2.004905507425270433e-02, 8.355361021810392419e-02, 7.376543957025432086e-01
