year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
1.883000000000000000e+03, 1.087593639750598683e-09, 8.627527301053139527e-10, 4.682772969587561876e-11, 5.062599870311624566e-11, 3.846873698221706558e-10, 1.450140503032889483e-10, 3.842554375392600397e-11, 1.588032912045892984e-09
1.884000000000000000e+03, 8.282981373456208519e-10, 7.671799775567309259e-10, 4.755218598383350625e-11, 5.169565666163662656e-11, 4.559470175869707651e-10, 1.525113468471508852e-10, 3.929471106279158368e-11, 1.319453941882765648e-09
1.885000000000000000e+03, 1.008725248148308456e-09, 7.356108554639272346e-10, 4.829913064918721545e-11, 5.286707374586737311e-11, 3.439942680625834263e-10, 1.861657210060458311e-10, 4.013826275668592988e-11, 1.166331513009135985e-09
1.886000000000000000e+03, 9.574335358201743940e-10, 7.758122726761225439e-10, 4.921494703379648979e-11, 5.366067065632721736e-11, 5.758492367238022475e-10, 1.453327254338328828e-10, 4.092402349631899976e-11, 1.327036992313808461e-09
1.887000000000000000e+03, 8.725735165800262883e-10, 8.594440042481156083e-10, 4.996011397555724178e-11, 5.438869499479011461e-11, 4.069563726243855067e-10, 1.518791512836100700e-10, 4.168370406652232134e-11, 1.553569277343097465e-09
1.888000000000000000e+03, 6.667290051207884756e-10, 8.630959009593661253e-10, 5.079097960181560642e-11, 5.551026946639816700e-11, 5.002629940575510356e-10, 1.591645552190766353e-10, 4.247704453742288673e-11, 1.558954415261976371e-09
1.889000000000000000e+03, 7.927700887045770834e-10, 8.083005322939792271e-10, 5.180320666560207335e-11, 5.667177340377203336e-11, 4.491132667233680229e-10, 1.552829598674517080e-10, 4.317050591501653591e-11, 1.496526165871839038e-09
1.890000000000000000e+03, 9.202596574396773978e-10, 7.749759874214306721e-10, 5.221446508647996125e-11, 5.780726855125204155e-11, 5.281013979761271635e-10, 1.768711695117992650e-10, 4.370177473320429174e-11, 1.441810509678432922e-09
1.891000000000000000e+03, 6.889456336816487197e-10, 7.782291145133755362e-10, 5.270450140152465244e-11, 5.873375253817118484e-11, 4.862284588843918996e-10, 1.666213251432184628e-10, 4.385084163392050264e-11, 1.169095725765849210e-09
1.892000000000000000e+03, 9.116096671372941598e-10, 7.296378608553087398e-10, 5.312682334567601505e-11, 5.932016956309910072e-11, 4.910254593844525643e-10, 1.732945577986174365e-10, 4.259631482516077822e-11, 1.380127610718247102e-09
1.893000000000000000e+03, 1.223761381158883622e-09, 7.581401734363717861e-10, 5.329352251503527942e-11, 5.986344215343690844e-11, 5.080715621523176519e-10, 1.907237542751335298e-10, 4.276723663808586310e-11, 1.494207800491119747e-09
1.894000000000000000e+03, 1.293132035687460633e-09, 7.576068377229153087e-10, 5.301308662198791259e-11, 6.002331606891149076e-11, 3.745751722469256060e-10, 1.837807370894950129e-10, 4.304080224181545842e-11, 1.613633496066675764e-09
1.895000000000000000e+03, 1.174985865238980521e-09, 7.716188292119871425e-10, 5.271983771426734039e-11, 6.075761665043726618e-11, 5.318763847716731837e-10, 1.723148144628640312e-10, 4.322169568139900886e-11, 1.377723875473770663e-09
1.896000000000000000e+03, 9.836699522450489984e-10, 7.583269877542441745e-10, 5.286278047472860289e-11, 6.124556888623301949e-11, 4.580759582619781192e-10, 1.613214449423034468e-10, 4.337119041326593828e-11, 1.600309615923603267e-09
1.897000000000000000e+03, 8.792403999556363173e-10, 7.435666827573859380e-10, 5.268425035823199685e-11, 6.180490270956395157e-11, 4.942280552275114560e-10, 1.775665460346480596e-10, 4.381675242731949730e-11, 1.500182644929659228e-09
1.898000000000000000e+03, 9.798206803237981584e-10, 7.909395282245082405e-10, 5.200590766082082573e-11, 6.232588315677382362e-11, 4.772717441786450809e-10, 1.819340092844695771e-10, 4.402120301383438571e-11, 1.499064833785340197e-09
1.899000000000000000e+03, 8.518994431139223592e-10, 8.499209965288904210e-10, 5.171637172902683344e-11, 6.281537045495855095e-11, 6.040084518719192263e-10, 1.734538552429654754e-10, 4.420662967466027639e-11, 1.851689545433529890e-09
1.900000000000000000e+03, 9.363247342297079366e-10, 9.056578670427522548e-10, 5.166977211471822686e-11, 6.317245024669477128e-11, 5.131285299516098639e-10, 1.708525404802428682e-10, 4.435018562920237515e-11, 1.511806926465279551e-09
