year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM
1.900000000000000000e+03, 1.502518626721270287e-10, 6.224623580396013939e-10, 3.824608108841746290e-10, 2.022053644010446434e-10, 2.394844248543477096e-10
1.901000000000000000e+03, 9.742059525148816012e-11, 6.114551274737341553e-10, 3.795119422127271365e-10, 3.779908773575998599e-10, 3.589166761140058645e-10
1.902000000000000000e+03, 1.581268921112036187e-10, 2.395553597450258232e-10, 3.680473463009500633e-10, 2.533467760634576352e-10, 2.482476469238571855e-10
1.903000000000000000e+03, 1.272114061116660384e-10, 3.790625097576052638e-10, 4.730268766626159766e-10, 4.507878280378827150e-10, 3.752005096755757872e-10
1.904000000000000000e+03, 8.404291026048055884e-11, 3.859852482999590837e-10, 4.518114188024650692e-10, 3.783525351019101124e-10, 3.916971666409068613e-10
1.905000000000000000e+03, 1.355974233280577575e-10, 6.171900051092793863e-10, 3.737880190221691992e-10, 2.007445607727677593e-10, 4.711112493636723145e-10
1.906000000000000000e+03, 1.014574027500041095e-10, 5.414183226302184950e-10, 4.029092579302864904e-10, 6.166918934264946785e-10, 4.701987049006853977e-10
1.907000000000000000e+03, 1.145252183883696436e-10, 5.458576543078903425e-10, 5.393456743173824037e-10, 3.455859962346577833e-10, 4.004401045108693030e-10
1.908000000000000000e+03, 1.266296621813699785e-10, 6.597807013837724414e-10, 3.605840905248100963e-10, 2.823787071184039463e-10, 3.332550300843846573e-10
1.909000000000000000e+03, 1.106659692997233085e-10, 4.006665162109133264e-10, 4.826759534060271006e-10, 3.373481508606394562e-10, 4.854127605200572117e-10
1.910000000000000000e+03, 1.325731239538149727e-10, 4.712670808362356417e-10, 5.291371881571368125e-10, 2.853861733313276762e-10, 3.064644696441440597e-10
1.911000000000000000e+03, 1.351545111953206519e-10, 4.736662398601987008e-10, 6.919933831505205060e-10, 2.751568734831215648e-10, 3.048109020550405164e-10
1.912000000000000000e+03, 1.256837809401987490e-10, 5.543516403247187649e-10, 4.864307914080830332e-10, 3.819212204120297955e-10, 3.561042412493640411e-10
1.913000000000000000e+03, 9.387237977071315847e-11, 4.324310753904179335e-10, 4.620354290826087759e-10, 3.298908621299813303e-10, 3.431317293665791423e-10
1.914000000000000000e+03, 1.176792818847293962e-10, 5.556567626235242500e-10, 5.360496145924793031e-10, 4.663720811200086237e-10, 3.883205960471620819e-10
1.915000000000000000e+03, 7.320207266570683750e-11, 6.362643488975225893e-10, 4.315956231966771845e-10, 2.528815233222912191e-10, 4.182136193659548339e-10
