year, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, NorESM2-MM, NorESM2-LM, CESM2-WACCM, TaiESM1, TaiESM1, GFDL-ESM4, MPI-ESM1-2-LR, GFDL-ESM4, CNRM-ESM2-1
1.915000000000000000e+03, 1.475524157953534186e-10, 3.560884868586921355e-10, 2.116921393528454920e-10, 2.116921393528454920e-10, 4.999497796457841158e-11, 8.326634013200634911e-11, 1.563524417136074368e-10, 1.563524417136074368e-10, 2.402579098644824328e-10, 2.056187316534396557e-10, 2.503180356053135609e-10, 3.560884868586921355e-10
1.916000000000000000e+03, 1.982786878234154260e-10, 3.541346513713168525e-10, 1.164129921253122635e-10, 1.164129921253122635e-10, 4.252278926928014379e-11, 1.145517721536594454e-10, 1.469551812416180926e-10, 1.469551812416180926e-10, 2.032727890751399112e-10, 1.627960189936328599e-10, 2.124358137836549102e-10, 3.541346513713168525e-10
1.917000000000000000e+03, 1.691081850426275417e-10, 4.674179732726036905e-10, 1.818098299089095354e-10, 1.818098299089095354e-10, 2.295648035307157015e-11, 4.544332102929156858e-11, 1.517744290990947129e-10, 1.517744290990947129e-10, 2.258948011495380283e-10, 1.783521633568802492e-10, 2.342854547896078451e-10, 4.674179732726036905e-10
1.918000000000000000e+03, 1.633694900047962549e-10, 3.372984925388276705e-10, 1.049987982606863224e-10, 1.049987982606863224e-10, 4.752893830066542223e-11, 1.222580117880258068e-10, 1.280549904056629286e-10, 1.280549904056629286e-10, 1.948791563875832122e-10, 1.900186586745725565e-10, 2.029069705151029152e-10, 3.372984925388276705e-10
1.919000000000000000e+03, 2.712974824482496554e-10, 3.672773148863137231e-10, 1.096098599353746987e-10, 1.096098599353746987e-10, 1.017319661845104079e-10, 1.284789681065269598e-10, 1.397395374427267203e-10, 1.397395374427267203e-10, 2.183794223427553299e-10, 1.741416023463688661e-10, 2.259812703061601734e-10, 3.672773148863137231e-10
1.920000000000000000e+03, 1.165097925588942514e-10, 3.236447904940893189e-10, 1.042983484546766587e-10, 1.042983484546766587e-10, 7.826405404416907687e-11, 5.508519724598177511e-11, 1.361305212260971118e-10, 1.361305212260971118e-10, 1.794536691167568049e-10, 2.754107104901668018e-10, 1.865381668370500897e-10, 3.236447904940893189e-10
1.921000000000000000e+03, 2.075416564459768968e-10, 3.875702274335151688e-10, 1.521118660975565537e-10, 1.521118660975565537e-10, 1.139274955085443941e-10, 6.938727353124768978e-11, 1.480520624999202612e-10, 1.480520624999202612e-10, 2.141382363705915059e-10, 2.189349328298198009e-10, 2.214199817016647999e-10, 3.875702274335151688e-10
1.922000000000000000e+03, 1.698651334324608864e-10, 3.542284596943535492e-10, 1.730586921045732740e-10, 1.730586921045732740e-10, 5.532591941674508995e-11, 8.760920921342605011e-11, 1.667449791564804667e-10, 1.667449791564804667e-10, 1.612289620353760110e-10, 2.556519718245983851e-10, 1.686428813487602853e-10, 3.542284596943535492e-10
1.923000000000000000e+03, 1.829372728165803892e-10, 3.663402141743762187e-10, 1.529730505222391929e-10, 1.529730505222391929e-10, 1.672821125262123110e-10, 5.687644352104242822e-11, 1.311388920854332097e-10, 1.311388920854332097e-10, 2.009169826905179858e-10, 1.954428973313007095e-10, 2.082384361304371268e-10, 3.663402141743762187e-10
1.924000000000000000e+03, 1.485325377262789636e-10, 2.632178034485094790e-10, 1.534940386964909316e-10, 1.534940386964909316e-10, 4.317080426001153034e-11, 4.317301136641119187e-11, 1.405563570433338348e-10, 1.405563570433338348e-10, 1.687078922327423641e-10, 1.887836238977404604e-10, 1.761481380671903867e-10, 2.632178034485094790e-10
1.925000000000000000e+03, 1.507036069361512486e-10, 2.616439805967313873e-10, 1.138262080105081838e-10, 1.138262080105081838e-10, 2.570830276288653225e-11, 1.200874943669889506e-10, 1.493805131847187213e-10, 1.493805131847187213e-10, 2.422239787387557552e-10, 2.516513044079299430e-10, 2.496763059582054436e-10, 2.616439805967313873e-10
1.926000000000000000e+03, 1.727636222883325595e-10, 2.893016629776815902e-10, 1.785548529662297020e-10, 1.785548529662297020e-10, 2.824821617569748893e-11, 7.160582456629784320e-11, 1.369880066172126880e-10, 1.369880066172126880e-10, 3.617210264856717329e-10, 1.204038238715740348e-10, 3.693964168603638783e-10, 2.893016629776815902e-10
1.927000000000000000e+03, 1.519950850354613281e-10, 3.039419761754029666e-10, 2.288994912444002082e-10, 2.288994912444002082e-10, 9.525340052204613633e-11, 4.757407897177153688e-11, 1.635782352093693274e-10, 1.635782352093693274e-10, 2.759367888394383044e-10, 2.418496740054487967e-10, 2.836147199370498503e-10, 3.039419761754029666e-10
1.928000000000000000e+03, 9.561289218121031026e-11, 3.577978016644220335e-10, 2.578778986475933495e-10, 2.578778986475933495e-10, 1.476651172753062947e-10, 9.345847173543202252e-11, 1.512436710677769487e-10, 1.512436710677769487e-10, 2.209723103803214538e-10, 2.079157924712541962e-10, 2.285885552506379828e-10, 3.577978016644220335e-10
1.929000000000000000e+03, 1.220808721684658453e-10, 3.099176246753793986e-10, 2.493691942520768042e-10, 2.493691942520768042e-10, 8.708745138392407000e-11, 4.686246481310466194e-11, 1.410167359197805130e-10, 1.410167359197805130e-10, 2.152193828340949374e-10, 2.142979727870766135e-10, 2.227544135969863175e-10, 3.099176246753793986e-10
1.930000000000000000e+03, 1.303305907062408054e-10, 3.291817948734935593e-10, 6.544414444768499492e-11, 6.544414444768499492e-11, 7.674060844722544762e-11, 4.543308458099216697e-11, 1.636793539789178537e-10, 1.636793539789178537e-10, 2.292646754164375742e-10, 1.867692330691687733e-10, 2.368458147746049502e-10, 3.291817948734935593e-10
1.931000000000000000e+03, 1.290745850342261007e-10, 3.221101295253183185e-10, 1.287702027033407522e-10, 1.287702027033407522e-10, 6.420385370570792773e-11, 6.294036811994638170e-11, 1.493241122305725147e-10, 1.493241122305725147e-10, 1.695711213823915706e-10, 1.656180650992909157e-10, 1.781216330478312863e-10, 3.221101295253183185e-10
1.932000000000000000e+03, 1.340567125424983031e-10, 3.089290981435318331e-10, 8.555041496170587230e-11, 8.555041496170587230e-11, 1.281363968567133871e-10, 1.547447319512723846e-10, 1.333287996142032454e-10, 1.333287996142032454e-10, 2.118778733202574525e-10, 2.111755533853216412e-10, 2.209040775505216320e-10, 3.089290981435318331e-10
1.933000000000000000e+03, 2.351899623335323108e-10, 4.714209715335917086e-10, 1.280635656386161369e-10, 1.280635656386161369e-10, 3.586939168451068343e-11, 3.814506968282323852e-11, 1.670441013914955443e-10, 1.670441013914955443e-10, 1.736087330273005994e-10, 1.623459560967961118e-10, 1.831624857697103240e-10, 4.714209715335917086e-10
1.934000000000000000e+03, 2.440934270853659453e-10, 3.447292710723257848e-10, 4.599615203970872574e-11, 4.599615203970872574e-11, 2.361153062102102257e-11, 6.006354187666588423e-11, 1.752455884536818393e-10, 1.752455884536818393e-10, 1.756813228076112851e-10, 2.110985644756696149e-10, 1.858203672750109769e-10, 3.447292710723257848e-10
1.935000000000000000e+03, 1.126040181104022037e-10, 3.156479290484761736e-10, 6.160645824093608141e-11, 6.160645824093608141e-11, 4.037655549770107039e-11, 5.896410400203349412e-11, 1.539898892774325357e-10, 1.539898892774325357e-10, 1.912863022146607526e-10, 1.754613681197876907e-10, 2.016508514135834592e-10, 3.156479290484761736e-10
1.936000000000000000e+03, 1.518867563279236239e-10, 4.113846244973249329e-10, 1.166538685869849040e-10, 1.166538685869849040e-10, 5.808612441738140586e-11, 4.697896286034829726e-11, 1.684767369012555918e-10, 1.684767369012555918e-10, 1.769863249779366042e-10, 2.075287985187052104e-10, 1.880478363089952605e-10, 4.113846244973249329e-10
1.937000000000000000e+03, 2.787742920190150534e-10, 3.515282499167675725e-10, 7.370231303430790936e-11, 7.370231303430790936e-11, 4.562904020312779298e-11, 7.197721971816528769e-11, 1.518862990762130041e-10, 1.518862990762130041e-10, 1.623793251853820616e-10, 1.856690663991216579e-10, 1.736778908547696693e-10, 3.515282499167675725e-10
1.938000000000000000e+03, 1.088364504627890591e-10, 3.404183309625917893e-10, 1.982749338723063928e-10, 1.982749338723063928e-10, 1.874038448793803003e-11, 1.172329778366274011e-10, 1.188919513405847004e-10, 1.188919513405847004e-10, 1.585067825346529137e-10, 3.556147350113066544e-10, 1.708028725378288514e-10, 3.404183309625917893e-10
1.939000000000000000e+03, 9.661785232583881128e-11, 3.585393135965666332e-10, 1.181406648725045661e-10, 1.181406648725045661e-10, 4.953359562177773044e-11, 9.784970829435656645e-11, 1.668857217369500809e-10, 1.668857217369500809e-10, 1.529705165291574190e-10, 2.280797160900151578e-10, 1.653384420614938863e-10, 3.585393135965666332e-10
