year, CanESM5, TaiESM1, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-LM, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, IPSL-CM6A-LR
1.895000000000000000e+03, -1.250053983547126935e-01, -1.429398276495024156e-01, -1.262448999177208375e-01, 2.060140997370966953e-02, 1.320389187711669132e-01, -6.845784523785472531e-02, 1.936504953717388400e-01, 1.026058465089114552e-01, -1.668940808130447706e-01, -1.445177524028302130e-01, -3.045995765645800879e-01, -1.420491037465917150e-01, -2.767442707447782535e-01, -1.544598199864253840e-01, -1.992192130682938767e-01, -1.233212815711621016e-02
1.896000000000000000e+03, 2.671639884789595715e-02, 5.245763921321844325e-02, 1.286638726723417780e-01, 1.265531937787609806e-01, 9.193358059934193804e-02, 1.586101619531026241e-01, -6.768323206803347758e-02, -3.340358554044476347e-01, -2.268562830388634252e-02, -1.130599407350241364e-01, 8.497767141561460291e-02, 6.129406033757595074e-01, 1.157278536425734583e-01, -4.247720618060520786e-02, -1.654071518929312867e-01, 1.283845563272469625e-01
1.897000000000000000e+03, 3.507489716790297696e-02, -3.191240325042479786e-02, -2.889930353671972540e-02, -1.485997825447547271e-01, 3.238768107843547073e-01, -4.726767306175811562e-02, -1.338379012533294499e-01, -6.907589786163374768e-02, 5.919225195882386013e-03, -1.671387169924838656e-01, 1.199078294312269227e-01, 3.862112834474872303e-01, -4.459653046176906832e-01, 2.513966475299062031e-01, -1.087774891941440947e-01, 1.385489001790867480e-01
1.898000000000000000e+03, 1.250542346721292830e-01, -4.640933465979248801e-02, 1.145718002279759624e-02, -9.336443810514366559e-02, 2.983962902445955884e-02, 4.759400547124792991e-01, -4.060635056495522782e-02, 7.187018826700275476e-02, -1.337391947403073211e-01, 4.569881623202778909e-02, 4.310888619082223899e-02, 2.418907547520995904e-01, -1.009440248764583437e-01, -1.711768047304847856e-02, -2.629753652710432876e-02, -1.274968330492607660e-01
1.899000000000000000e+03, 2.593904604331521285e-02, -1.146899299565492802e-01, -8.667838140616919776e-03, -5.688589796271926319e-02, 1.478348106836629705e-01, 1.894993886089067492e-01, 1.734944777957971376e-02, -2.381996483154107946e-01, 1.211062381586089365e-01, -1.002524748264492088e-01, -1.333374983928906354e-01, 2.344502855844682598e-01, -1.411801723806767328e-01, 3.311919395127362747e-02, -1.155907683679398001e-01, 2.525133361818179822e-02
1.900000000000000000e+03, -3.840292557630554243e-02, -6.048068040521031169e-02, 5.199445479310585427e-02, -1.362533432547333168e-01, 1.139890918516451301e-01, 1.948605236452676803e-01, -2.388681604787079027e-01, -3.593931040770346197e-01, -2.479834851834781737e-02, -6.521920211020823532e-02, 1.872157664966766014e-02, -1.060645249912993589e-02, 3.014680107243481455e-01, -2.152540821434033025e-01, -3.205229243340045331e-01, -9.751359423119726477e-02
1.901000000000000000e+03, -2.697502571818093386e-01, -7.504544043949695764e-02, 1.056377734349968206e-01, -1.050238339335749921e-01, -4.062691504766657163e-02, -1.557280577506196251e-01, -2.252590669672446533e-01, -1.017539404323143382e-01, -5.565242706741447415e-02, 1.217820881352606327e-01, -2.879374060904117405e-01, 3.903354193189856325e-01, -1.968831372348239794e-01, -4.138023298642149427e-03, -1.713489039766718791e-01, -4.416158041554019836e-02
1.902000000000000000e+03, -3.750744097442179625e-01, -2.562082283469941518e-02, 4.562529968588410756e-02, -1.205732045572861649e-01, 6.368954447621712200e-02, 2.777812049472532241e-01, -1.949299109792323181e-01, -2.195947303624191937e-01, 7.434116710346363489e-03, -3.530983453792674309e-02, -9.994386537359227496e-02, 4.130979962290634577e-01, -1.933521899221987417e-01, -8.553622020386679459e-02, 4.996842931942933885e-03, -9.940716255808330903e-02
1.903000000000000000e+03, -2.461389171121236216e-02, -1.477689862476739280e-01, -1.524621559533944140e-02, -9.944255502218345144e-02, -1.534672270828837948e-01, 5.451314061081153906e-01, -3.389954800961659243e-01, 2.317847425831362496e-02, -1.489499778004298169e-01, -2.836050991621346523e-02, -3.587921783329095504e-01, 5.680440202274487094e-01, -1.405064680663295762e-01, -1.179668519763081708e-01, 2.832641070575369624e-01, -8.445948991598291322e-03
1.904000000000000000e+03, -1.370237947413529278e-01, -1.176034654784418598e-01, -1.342959055191780271e-01, 1.611665266486009881e-03, -1.641620232479452934e-01, 3.786823307727110732e-01, 4.062664490630332748e-01, -2.676187698191664910e-01, -2.004862917184808413e-01, -9.489737030054896938e-02, -6.735545588803784622e-02, 1.881278983566790353e-01, -3.706411373777147578e-01, -4.267519818967441952e-02, 2.055047651809283893e-01, -7.163786110212710945e-02
