year, MPI-ESM1-2-LR, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
1.896000000000000000e+03, 3.120436310469802123e-10, 8.837860937740025077e-11, 9.842813876294066267e-13, 1.549452581361025480e-10, 3.146340059472719687e-10, 5.605016535114904091e-11, 3.466167055065767214e-10, 4.266421672488879092e-11
1.897000000000000000e+03, 3.071955545874344502e-10, 8.873126858425817357e-11, 1.092497439548498423e-12, 1.568782431738294005e-10, 3.163600053929000407e-10, 5.632832995261398902e-11, 3.492742387604678790e-10, 4.226635743097282541e-11
1.898000000000000000e+03, 3.089025334315101623e-10, 8.906153159426734693e-11, 1.157606470167998539e-12, 1.628328107313067363e-10, 3.188859725909105824e-10, 5.669847226133927348e-11, 3.318925321224405845e-10, 4.184019770921604780e-11
1.899000000000000000e+03, 3.082636677350772122e-10, 8.933633909603021329e-11, 1.250611575267303294e-12, 1.582051985299203308e-10, 3.230132264403797837e-10, 5.699078800817682677e-11, 3.132631606125314581e-10, 4.148425978642846573e-11
1.900000000000000000e+03, 3.264230461549528582e-10, 9.113278372311185350e-11, 1.913430023178550180e-12, 1.545627743868489457e-10, 3.928461292304080841e-10, 5.725586180073349612e-11, 3.021983023618868292e-10, 4.117813412180932680e-11
1.901000000000000000e+03, 3.479704802408763456e-10, 9.349532474345431081e-11, 2.843498859659172486e-12, 1.560347262552304336e-10, 4.175630524839963346e-10, 8.630141782024470222e-11, 3.446931771346946202e-10, 4.152643176884307842e-11
1.902000000000000000e+03, 3.610471443080789365e-10, 9.491919078303535769e-11, 4.631309278448555524e-12, 1.560161467072371549e-10, 4.297839223501120688e-10, 1.061052151189929358e-10, 3.474086928155033426e-10, 4.750970135875960012e-11
1.903000000000000000e+03, 3.666681375838708535e-10, 9.608056079102746199e-11, 8.969245254026432151e-12, 1.627285478239159225e-10, 4.369734689675220944e-10, 1.164577918090952411e-10, 4.145992556632822557e-10, 5.357538903606500827e-11
1.904000000000000000e+03, 3.819144811089513944e-10, 9.705066042115051410e-11, 1.282219589619562035e-11, 1.737562810418410392e-10, 4.422275544867839039e-10, 1.229307508986011337e-10, 3.811736413829901187e-10, 5.974077184247717680e-11
1.905000000000000000e+03, 3.918831455353438941e-10, 9.798082785690579995e-11, 1.588035439571260212e-11, 1.769379389218950906e-10, 4.477244669262668323e-10, 1.277876322358823991e-10, 3.905836244481845327e-10, 6.570789690937778152e-11
1.906000000000000000e+03, 4.016836441087972171e-10, 9.893353998060593883e-11, 2.302326063904398810e-11, 1.780819587930529498e-10, 4.522895174150113980e-10, 1.356165840203686618e-10, 4.305157011576526598e-10, 7.143982309337466356e-11
1.907000000000000000e+03, 4.078507009436496680e-10, 9.987251517114750512e-11, 3.124969429167043659e-11, 1.753446527868615378e-10, 4.585913701030254154e-10, 1.392936169599788098e-10, 4.226635538434392030e-10, 7.717019742450690041e-11
1.908000000000000000e+03, 4.243010272551219682e-10, 1.007901892793262082e-10, 3.867088276345201308e-11, 1.775777009149035165e-10, 4.649400302875533945e-10, 1.413516183349099966e-10, 3.716374964842436517e-10, 8.289503048137446778e-11
1.909000000000000000e+03, 4.322266659931344439e-10, 1.017194474857355996e-10, 4.624644821920641658e-11, 1.917982438940469979e-10, 4.709877288938645795e-10, 1.440321105942008849e-10, 3.527429548882140830e-10, 8.839629490531100680e-11
1.910000000000000000e+03, 3.949572381621186830e-10, 1.002621177709803449e-10, 3.468762819727495633e-11, 1.980301945394211332e-10, 3.671609742980175183e-10, 1.467268288383314963e-10, 3.621846200225559112e-10, 9.345271743082240012e-11
1.911000000000000000e+03, 3.578017983592420702e-10, 9.775652227959563137e-11, 1.715358973820714094e-11, 1.927656757890423790e-10, 3.487616172952767915e-10, 1.024846136687939542e-10, 3.775672665353976467e-10, 9.283134013668147834e-11
1.912000000000000000e+03, 3.371512787637976345e-10, 9.632310595886953580e-11, 1.037777952706705080e-11, 1.874039267422421902e-10, 3.354250862225249414e-10, 8.367963684786063070e-11, 3.618617405340504226e-10, 8.387737291965881738e-11
1.913000000000000000e+03, 3.278561194982731102e-10, 9.480914655089988869e-11, 7.545584190535697755e-12, 1.825694809557005235e-10, 3.246303158286046060e-10, 7.487656263814733758e-11, 4.087823101856197027e-10, 7.486776293141973836e-11
1.914000000000000000e+03, 3.400668296126294455e-10, 9.326856348436311277e-11, 6.184665546834897588e-12, 1.766804850592930492e-10, 3.150378515725317285e-10, 6.999857251500840755e-11, 3.819795867216934895e-10, 6.597350735326952482e-11
1.915000000000000000e+03, 3.441221494221780595e-10, 9.171087535582623576e-11, 5.371987987917058228e-12, 1.757220587829649143e-10, 3.083151811783002334e-10, 6.627208038742055380e-11, 3.759366682359912282e-10, 5.729560590936381874e-11
1.916000000000000000e+03, 3.390478051355381197e-10, 9.009481657847143958e-11, 4.797603786959687724e-12, 1.689263664798821255e-10, 3.013809261107112252e-10, 6.445404569610268718e-11, 4.112942394225160051e-10, 4.863696874811430224e-11
1.917000000000000000e+03, 3.383328647199067208e-10, 8.842854578189564583e-11, 4.336095869635059739e-12, 1.707232236871944454e-10, 2.932981375628296266e-10, 6.153729305592004234e-11, 3.797572596551796131e-10, 3.992664751179867635e-11
1.918000000000000000e+03, 3.349170034729663393e-10, 8.672150110142641099e-11, 3.918048968816623846e-12, 1.700192204016991328e-10, 2.858176780343628069e-10, 5.846647116279846765e-11, 3.581105147435796823e-10, 3.137014047331819493e-11
